[00:00:00.009 --> 00:00:01.470]  The War on Corruption.
[01:01:43.319 --> 01:01:47.922]  But I think that was kind of their idea to pick him, maybe thinking that, oh, well, he's not an official journalist.
[01:01:47.962 --> 01:01:49.263]  We can kind of poo-poo it.
[01:01:49.563 --> 01:01:52.045]  And we have to ask, why is he the guy that was sent
[01:01:52.847 --> 01:01:54.187]  From one of the biggest papers in the world.
[01:01:54.207 --> 01:01:55.808]  I mean, it's in the top ten.
[01:01:56.688 --> 01:01:57.888]  I think I pulled up its ratings.
[01:01:57.928 --> 01:02:00.209]  They say it's the sixth or seventh largest paper in the world.
[01:02:01.289 --> 01:02:02.209]  Why is he there?
[01:02:03.229 --> 01:02:10.611]  But I think that's maybe backfired on them because he isn't a mind-controlled, mainline journalist like Mambi Yat there, calling for world government in the same newspaper.
[01:02:10.951 --> 01:02:12.891]  Why do you think they sent you?
[01:02:12.951 --> 01:02:16.072]  Why do you think... I mean, you pointed out, nobody's going to this.
[01:02:16.092 --> 01:02:17.012]  Would you like to send me?
[01:02:17.032 --> 01:02:18.212]  I mean, how did that happen?
[01:02:19.272 --> 01:02:20.773]  Well, Mr. Trump, you're doing it at ten o'clock.
[01:02:20.793 --> 01:02:21.953]  I'll be there at ten o'clock.
[01:02:22.819 --> 01:02:23.359]  Okay.
[01:02:24.220 --> 01:02:24.480]  10 o'clock.
[01:02:24.940 --> 01:02:26.740]  Hey, who was that talking to you, Mr. Skelton?
[01:02:29.101 --> 01:02:29.441]  One of them.
[01:02:30.842 --> 01:02:33.063]  It's really bizarre.
[01:02:33.083 --> 01:02:35.564]  I wish I wouldn't have been babbling when the secret police came up.
[01:02:35.824 --> 01:02:36.984]  Tell me... Oh, he was polite.
[01:02:37.004 --> 01:02:38.044]  He waited until you quit talking.
[01:02:38.265 --> 01:02:39.965]  What did the police officer say to you this time?
[01:02:41.906 --> 01:02:42.246]  Nothing.
[01:02:42.346 --> 01:02:46.728]  I just sort of... I turned around and came up in his face again, as I've been doing.
[01:02:47.028 --> 01:02:48.328]  I'm talking to you now.
[01:02:48.348 --> 01:02:49.048]  Two things are happening.
[01:02:49.148 --> 01:02:50.409]  One, I'm having a conversation with you.
[01:02:51.087 --> 01:03:06.730]  At number two, I'm walking around a small suburb up on the hill with about, sort of, four policemen in plainclothes on various corners and streets and I'm sort of double-backing and saying hello to them and dodging them and it almost is a game for myself.
[01:03:06.750 --> 01:03:07.991]  Can we talk to him?
[01:03:08.031 --> 01:03:08.711]  Can we talk to him?
[01:03:08.731 --> 01:03:15.432]  I know it's not a game, I know it's not a game and, you know, it's... I didn't really speak much English so that wouldn't have been a good one.
[01:03:15.752 --> 01:03:17.093]  What was he saying about ten o'clock?
[01:03:18.193 --> 01:03:18.833]  I was telling him.
[01:03:19.545 --> 01:03:22.408]  I'm going to go back to the station at 10 just to try and clear it up.
[01:03:22.428 --> 01:03:29.474]  Apparently there's a change of command at 10 o'clock and the guy at the gate, who's quite nice, just said, the young guy just said, look, don't speak to the one now, speak to the one at 10 o'clock.
[01:03:29.835 --> 01:03:31.076]  You might get somewhere with him.
[01:03:31.096 --> 01:03:39.884]  But obviously I won't get anywhere because, you know, the amount of pressure I can put on these compared to the amount of pressure David Rockefeller can put on these, it's slightly different.
[01:03:39.924 --> 01:03:45.109]  So I've got a feeling that my request to be left... But wait a minute, David Rockefeller doesn't exist!
[01:03:46.308 --> 01:03:47.829]  There's no world government.
[01:03:48.410 --> 01:03:52.694]  He just wrote his memoir four years ago saying he wants to overthrow the U.S.
[01:03:53.475 --> 01:03:58.920]  I mean, Mr. Skelton, there's no world government, Mr. Skelton.
[01:04:02.083 --> 01:04:07.908]  Well, I kind of feel the tentacles of the world government tickling me on the back of my neck at the moment.
[01:04:08.509 --> 01:04:09.450]  And it's not a nice feeling.
[01:04:09.793 --> 01:04:18.500]  Well, what's wrong with them setting up a world government to carry out eugenics and a one-child policy and taxing you with carbon taxes to micromanage every facet of your life?
[01:04:18.520 --> 01:04:21.162]  I mean, what's wrong with them banning all your liberties?
[01:04:22.444 --> 01:04:28.689]  To answer your question, I think, is it's wrong in so many different ways that it's almost impossible to get your head around it.
[01:04:29.329 --> 01:04:31.051]  It's almost incomprehensibly bad.
[01:04:31.871 --> 01:04:32.912]  And it's so big.
[01:04:34.353 --> 01:04:35.434]  I read about this the other day.
[01:04:35.675 --> 01:04:38.597]  It's a bit like, I don't know whether you've read the Edgar Allen Poe short story, where
[01:04:38.871 --> 01:04:40.412]  Someone hides something in plain view.
[01:04:40.712 --> 01:04:41.993]  It's the Pauline letter.
[01:04:42.473 --> 01:04:47.797]  And it's a story about... I'm not going to give it away now, so close your ears if you don't want to hear this.
[01:04:47.837 --> 01:04:50.839]  But a letter is stolen and it's hidden in plain view on the wall.
[01:04:51.360 --> 01:05:01.386]  And in the story, Ed Gruntho talks about how if you look at a map and look for a word, you won't be able to see the word if it's the large word written right across in massive letters because you're looking close up.
[01:05:01.867 --> 01:05:03.268]  And I sort of think that... Stay there!
[01:05:03.408 --> 01:05:04.248]  This is key!
[01:05:04.489 --> 01:05:05.009]  This is key!
[01:05:05.029 --> 01:05:06.130]  You're talking about a spell!
[01:05:06.963 --> 01:05:15.354]  Many human illnesses can be attributed to the fact that soil in the United States no longer provides plants with the mineral elements which are essential to human nourishment.
[01:05:15.614 --> 01:05:20.040]  Many studies have shown that the majority of Americans are deficient in minerals.
[01:05:20.460 --> 01:05:25.667]  Deficiency in any one of the more important minerals actually results in disease.
[01:05:26.187 --> 01:05:35.192]  Go to RawOrganicVeganSuperfoods.com today and see the wide range of foods available that are designed to help your mind and body work the way they were intended to.
[01:05:35.532 --> 01:05:39.755]  You can also visit the link on PrisonPlanet.com to see some of the amazing products available.
[01:05:40.035 --> 01:05:41.195]  Folks, you've got to try this.
[01:05:41.516 --> 01:05:47.679]  These foods promote nutritional excellence, health and well-being, beauty enhancement, and truly sustainable agriculture.
[01:05:48.010 --> 01:05:53.774]  Many foods today have herbicides, pesticides, fungicides, and insecticides that were not intended for human consumption.
[01:05:53.994 --> 01:05:59.198]  Go to RawOrganicVeganSuperfoods.com today and see some of the amazing products available.
[01:05:59.438 --> 01:06:02.020]  You are what you eat, so eat what your body needs.
[01:06:02.280 --> 01:06:05.782]  Remember to go to RawOrganicVeganSuperfoods.com today!
[01:06:07.383 --> 01:06:09.945]  In the New World Order's war against humanity,
[01:06:10.569 --> 01:06:12.692]  Barack Obama is the tip of the spear.
[01:06:13.192 --> 01:06:20.201]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[01:06:20.780 --> 01:06:26.962]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[01:06:27.362 --> 01:06:29.182]  Well, Obama's already fudging.
[01:06:29.342 --> 01:06:31.743]  He's fudged since day one in this election.
[01:06:31.823 --> 01:06:42.786]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[01:06:43.406 --> 01:06:44.686]  It's not about left or right.
[01:06:45.087 --> 01:06:46.427]  It's about a one-world government.
[01:06:46.937 --> 01:06:53.264]  This film documents who Obama works for, the lies he is told, and his real agenda.
[01:06:53.844 --> 01:07:01.632]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[01:07:02.113 --> 01:07:03.254]  The Obama Deception.
[01:07:03.694 --> 01:07:04.876]  The people strike back.
[01:07:07.113 --> 01:07:10.656]  Hi, my name is MZ, owner of KSCO in Santa Cruz, California.
[01:07:10.837 --> 01:07:16.702]  And like Alex Jones, I'm passionate about talk radio, that great bastion of freedom of expression for us all.
[01:07:16.842 --> 01:07:30.696]  I'm also passionate about helping people know the joys, benefits, and surprisingly simple methods of becoming entrepreneurs who work for themselves and not as wage slaves for someone else, or even worse, for large companies with no heart and soul, nor loyalty to their employees.
[01:07:30.916 --> 01:07:50.088]  If you are tired of being dependent on others for a living and ready to start owning yourself, loving your work, and setting the sky as the limit for your earning potential, I want you to know about an exciting great business opportunity involving the marketing of healthful dark chocolate that actually helps people lose weight and can help them make money, perhaps lots of it, just by helping us spread the word about this wonderful unique product.
[01:07:50.168 --> 01:07:52.971]  Get on the web and go to chocolate.ownmyself.com.
[01:07:53.031 --> 01:07:55.113]  That's chocolate.ownmyself.com.
[01:07:55.213 --> 01:07:56.414]  And check out our opportunity.
[01:07:56.454 --> 01:07:57.775]  You'll know pretty quick if you're interested.
[01:07:57.835 --> 01:08:00.138]  If you are, we will connect with you and get you up and running.
[01:08:00.178 --> 01:08:03.541]  We don't want any money from you, and you'll be amazed at how simple this system is.
[01:08:03.661 --> 01:08:06.083]  Remember, chocolate.ownmyself.com.
[01:08:06.824 --> 01:08:11.909]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[01:08:12.229 --> 01:08:14.512]  Because there's a war on for your mind.
[01:08:23.339 --> 01:08:23.479]  Yeah.
[01:08:36.721 --> 01:08:48.744]  You know, once Charlie Skelton on Lone and Guardian is back in the UK, out of one police state and into another, back from Bilderberg 2009, I want to have him on for like a full hour and fully brief him.
[01:08:49.344 --> 01:08:56.466]  And I really want to thank you, sir, for your courage and what you've done, and I don't want to say your transformation, but you've certainly now been baptized in the tyranny
[01:08:56.986 --> 01:08:57.906]  And know how real it is.
[01:08:57.926 --> 01:08:59.367]  And that's what I encourage listeners to do.
[01:08:59.407 --> 01:09:02.208]  Go out, as you said, become citizen activist media.
[01:09:02.689 --> 01:09:04.490]  You will run into tyranny and corruption everywhere.
[01:09:04.970 --> 01:09:11.793]  Government is so corrupt that if you follow almost any judge that you see that's doing evil things, you'll catch them with hookers and buying drugs.
[01:09:12.553 --> 01:09:20.097]  I mean, I've never found a politician that wasn't corrupt, that was doing bad things, that I couldn't follow or watch, who wouldn't instantly do bad.
[01:09:20.737 --> 01:09:22.979]  Because bad people don't just do one bad thing.
[01:09:23.019 --> 01:09:24.280]  They just are all over the map.
[01:09:24.800 --> 01:09:34.107]  And if we start following them, videotaping them, going to city council meetings, hanging out in parking lots, following city council members as citizen media, I mean, it's unbelievable.
[01:09:34.147 --> 01:09:35.828]  You'll just immediately see evil.
[01:09:36.209 --> 01:09:45.356]  These people just run around continually engaged in wickedness, as the Bible says, and, you know, going and covering global elitists, going and doing everything you're doing.
[01:09:46.693 --> 01:09:55.036]  I just want to commend you, and if the citizens start covering what government's doing and ferreting things out and looking at legislation, there's no way they can get away with this if we all just do a little bit.
[01:09:55.516 --> 01:10:04.419]  So, you're there walking around in Greece with secret police following you everywhere as the sun is now set, and I appreciate you coming on with us.
[01:10:04.719 --> 01:10:10.681]  Closing comments, sir, from you, Charlie Skelton, reporter for the London Guardian there at Bilderberg 2009.
[01:10:10.901 --> 01:10:14.382]  Oh, and you were finishing up your Hidden in Plain View analogy.
[01:10:15.342 --> 01:10:28.470]  Well, I'll just finish that point and close off on that, which is that one of the problems with what you're engaged in, what anyone who's engaged in alternative thinking, one of the problems that faces them is, what do you pick?
[01:10:29.491 --> 01:10:44.641]  Even if you were to just pick one thing, for example, the lies concerning the Iraq War or the taking over of genetic seed varieties by large corporations, any one of those things is enough to absolutely blow anyone's mind.
[01:10:46.421 --> 01:10:47.441]  That's the trouble.
[01:10:47.562 --> 01:10:48.342]  It's so big.
[01:10:48.382 --> 01:10:50.603]  The problem is enormous.
[01:10:50.784 --> 01:10:52.104]  I'm talking to myself here.
