[00:00:00.069 --> 00:00:00.709]  Corruption.
[01:57:25.635 --> 01:57:30.099]  They're shutting us down and bragging and crowing that they've done it.
[01:57:31.340 --> 01:57:36.745]  I mean, I played you clips where they're saying the police are going to arrest you if they don't like what you say about Obama.
[01:57:38.723 --> 01:57:43.669]  We're selling a t-shirt, by the way, that's got Obama, says fascism, Obama, InfoWars.com.
[01:57:43.709 --> 01:57:44.250]  They hate it.
[01:57:44.670 --> 01:57:44.950]  Get it.
[01:57:45.291 --> 01:57:47.453]  Get it at InfoWars.com and support us.
[01:57:48.094 --> 01:57:50.477]  Just check it all out and get my film, The Obama Deception.
[01:57:50.717 --> 01:57:51.658]  Great job, crew!
[01:57:51.999 --> 01:57:52.679]  I'm outta here!
[01:57:52.719 --> 01:57:53.801]  Have a great Sunday night!
[01:57:55.370 --> 01:58:00.537]  The illusion created by the power elite is a lie that covers even the food they want you to eat.
[01:58:00.677 --> 01:58:05.043]  Will you continue to be their profit center, buying their processed food that makes you sick?
[01:58:05.203 --> 01:58:07.066]  Go to the doctor and buy their drugs?
[01:58:07.486 --> 01:58:08.848]  You don't have to cooperate.
[01:58:09.108 --> 01:58:10.150]  There is a solution.
[01:58:10.370 --> 01:58:18.392]  Inner Health Botanicals, a company that my wife and I just love, have been providing products for the last five years that give you the perfect solution to this madness.
[01:58:18.792 --> 01:58:25.874]  Try their Inner Food with 20 organic ingredients full of dense nutrition that gives you the energy you need and will keep you well.
[01:58:26.254 --> 01:58:31.895]  It even won the award for Best Superfood of 2009 from our friend Mike Adams, the health major.
[01:58:32.296 --> 01:58:37.857]  I love their Nutri-Cafe, great organic coffee infused with herbal extracts to boost your immune system.
[01:58:38.297 --> 01:58:42.122]  Try all of their truly honest products that will keep you alive and healthy.
[01:58:42.442 --> 01:58:49.410]  Go to enerfood.com or give them a call right now.
[01:58:49.430 --> 01:58:49.630]  866-762-9238.
[01:58:49.911 --> 01:58:53.255]  Click on their banner at infowars.com to see all the available discounts.
[01:58:55.677 --> 01:59:00.658]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[01:59:00.878 --> 01:59:04.679]  Number one, new climate legislation could easily double or triple your electric bill.
[01:59:04.919 --> 01:59:10.520]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[01:59:10.800 --> 01:59:15.661]  It's true, total government control of electricity in the name of smart grid technology is coming.
[01:59:15.881 --> 01:59:22.242]  Number three, in some areas of the country the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[01:59:22.402 --> 01:59:25.623]  Number four, the hurricane and dangerous summer storm season is here again.
[01:59:25.623 --> 01:59:25.803]  I think?
