[00:00:00.009 --> 00:00:00.129]  It's
[00:57:14.783 --> 00:57:17.704]  And they're not about to let him dig it because they know
[00:57:18.220 --> 00:57:24.343]  Actually, he could come on to talk about that, I would think, and I would love to see if we could schedule something like that for you, because I think you're
[00:57:47.337 --> 00:57:52.002]  This all has a tie-in to the New World Order and it is a solution.
[00:57:52.042 --> 00:57:56.967]  He's been a prolific researcher and been very effective in his film 77 ripple effect is just amazing.
[00:57:57.007 --> 00:58:00.130]  I don't know the man, but we'll talk to him then next week as this develops.
[00:58:00.170 --> 00:58:01.551]  Thank you so much for joining us, sir.
[00:58:02.912 --> 00:58:03.653]  Thank you, Alex.
[00:58:03.713 --> 00:58:04.694]  I hope you have a good day.
[00:58:04.954 --> 00:58:05.154]  You bet.
[00:58:05.174 --> 00:58:08.237]  Is there a particular website where we can look at more of his material?
[00:58:08.477 --> 00:58:11.861]  Because I guess if he's barred from talking about it though, I guess they're gonna make him take that down?
[00:58:13.032 --> 00:58:16.174]  No, I don't think so, and I'd like to give that out if you wouldn't mind, please.
[00:58:16.214 --> 00:58:17.535]  We need to mirror the site.
[00:58:18.695 --> 00:58:32.803]  Okay, it is http://jawtruth.net, and that's J-A-H-T-R-U-T-H dot net.
[00:58:33.103 --> 00:58:33.804]  Alright, thank you, sir.
[00:58:35.544 --> 00:58:41.908]  Our men down under, we're going to go to a call from Australia here in just a moment before they hang up because I want to skip ahead to them and go back to other folks that are calling in.
[00:58:42.128 --> 00:58:47.892]  Your take on hearing about them putting a gag order on Mr. Hill for being able to come on this show?
[00:58:48.732 --> 00:58:53.455]  Well, similar things have happened in Australia with Australian detainees in Guantanamo Bay.
[00:58:53.495 --> 00:58:57.878]  They've come back to Australia and they've had gag orders on them and we really haven't heard their full stories.
[00:58:57.918 --> 00:58:59.319]  They call that a de-notice in England.
[00:58:59.339 --> 00:59:00.640]  They just tell the media to shut up too.
[00:59:01.120 --> 00:59:02.201]  It's actually quite common.
[00:59:02.987 --> 00:59:05.650]  Yeah, there's nothing unusual about things like that in Australia.
[00:59:06.650 --> 00:59:08.813]  In fact, I don't really think you would hear much discussion about it.
[00:59:08.833 --> 00:59:11.675]  I think it's considered just one of those things that happens as part of a case.
[00:59:12.016 --> 00:59:15.559]  The truth is these countries aren't free now and the United States is becoming unfree as well.
[00:59:17.481 --> 00:59:18.002]  Absolutely.
[00:59:18.062 --> 00:59:20.123]  I mean, we're just not sure where to go from here, Alex.
[00:59:20.204 --> 00:59:31.714]  I mean, bringing up children, you just want to know what to tell them and what to believe, and it's really hard in a climate such as this where if you believe there's a tyranny coming, or there's tyranny here, what do you do?
[00:59:31.754 --> 00:59:32.655]  What should you believe?
[00:59:32.695 --> 00:59:33.876]  What should you look for for truth?
[00:59:33.936 --> 00:59:36.658]  And that's a lot of the big questions, and what do we tell our kids?
[00:59:36.698 --> 00:59:38.560]  That's what I wake up and think about every day.
[00:59:38.996 --> 00:59:46.077]  Our big frustration is we go around, as part of our TV show, we go around and talk to people on the street, and by and large, you tell them things exactly what you just described.
[00:59:46.438 --> 00:59:50.358]  You know, hey, listen, people are not able to talk freely about the things that they're experiencing.
[00:59:51.198 --> 00:59:53.759]  Well, what I hear more than anything is, well, we're at war.
[00:59:54.099 --> 00:59:56.179]  We need to wait and see what the government's going to do.
[00:59:56.580 --> 00:59:58.100]  We need to wait and see what's going to happen.
[00:59:58.260 --> 00:59:59.180]  It's for our own protection.
[00:59:59.260 --> 01:00:00.700]  It's for our own protection, things like this.
[01:00:00.780 --> 01:00:02.361]  I don't actually see a lot of resistance.
[01:00:03.041 --> 01:00:04.161]  Yeah, well, it's mounting here.
[01:00:05.081 --> 01:00:07.642]  Let's go to Jake in Australia.
[01:00:07.942 --> 01:00:08.482]  Welcome, sir.
[01:00:11.482 --> 01:00:12.383]  Yeah, how you doing Alex?
[01:00:12.643 --> 01:00:13.564]  Good, you're on the air.
[01:00:13.804 --> 01:00:14.125]  Welcome.
[01:00:15.666 --> 01:00:17.087]  Welcome.
[01:00:18.008 --> 01:00:28.658]  Yeah man, I guess to cut it shorter, I should maybe submit some factual evidence about the situation in Australia with people waking up to 9-11 truth.
[01:00:29.579 --> 01:00:35.625]  I think there was a lot of people in January 2006 when it seems like some dissident
[01:00:37.743 --> 01:00:44.907]  Executive at Channel 10 on one of our freighter and mainstream networks broadcast 9-11 in plain sight.
[01:00:46.227 --> 01:00:56.873]  And I wouldn't, you know, recommend it as a breakthrough in these days because there's been a lot of, like, counter-attack and establishment hearings from the opposition.
[01:00:56.933 --> 01:01:05.557]  But at the time, for many Australians, they actually saw footage of 9-11 that in five years, incredulously,
[01:01:06.124 --> 01:01:08.305]  They had never witnessed in their life.
[01:01:08.905 --> 01:01:28.374]  And yet 9-11 was covered so much in Australia that it was impossible, and I'm sure your film crew there have witnessed this too, that it was impossible to witness any radio station news broadcast in the country on any given day without some mesh of the threat of terrorism and 9-11.
[01:01:29.434 --> 01:01:35.437]  And yet, and the television were over broadcasting and repeating all the footage that they claimed was the total
[01:01:36.375 --> 01:01:39.556]  Um, uh, a canon of footage.
[01:01:40.097 --> 01:01:42.157]  And yet, oh my God, it's amazing.
[01:01:43.418 --> 01:01:58.644]  So it was, if you've been paying attention, it was obvious they had been blacking out, you know, stuff like live journalists in New York with dust all over them talking about, you know, witnessing all these explosions, everything, man.
[01:01:59.064 --> 01:02:01.725]  For me, so I woke up in January, 2006.
[01:02:03.413 --> 01:02:27.442]  But to say something in defence of Australians, and maybe your film crew there can speak of this, you know, the only kind of mainstream media where they actually attempted to confront us was in about April 2006 on the Australian Broadcasting Corporation on a radio show hosted by Adams.
[01:02:28.066 --> 01:02:40.197]  When he speaks with what he calls his Washington insider, Bruce Shapiro, and mockingly tell all of his listeners that they are mistaken about 9-11.
[01:02:45.103 --> 01:02:49.245]  You have Australia in one of the tightest, from what I've read, bubbles of information.
[01:02:49.305 --> 01:02:54.667]  Now that Australians are using the web and waking up, they're moving, saying, we're going to have Chinese-style censorship.
[01:02:54.687 --> 01:02:56.107]  You won't visit any alternative sites.
[01:02:56.507 --> 01:02:57.588]  This is being announced.
[01:02:57.648 --> 01:02:58.228]  They're doing it.
[01:02:58.268 --> 01:02:59.488]  They're, quote, testing it.
[01:03:00.249 --> 01:03:01.649]  They're hubs right now.
[01:03:01.709 --> 01:03:03.050]  The Chinese fight to get around them.
[01:03:03.070 --> 01:03:04.830]  I guess the Aussies, most of them are like, oh, that's fine.
[01:03:05.330 --> 01:03:06.451]  They're keeping us safe.
[01:03:07.211 --> 01:03:09.792]  Uh, but I'm not trying to be mean, that's, I mean, that's how you describe it.
[01:03:10.092 --> 01:03:13.274]  Well, crikey, we can't all be allowed to read the internet!
[01:03:13.674 --> 01:03:15.034]  Al-Qaeda might get us!
[01:03:15.574 --> 01:03:15.955]  I'm sorry.
[01:03:16.635 --> 01:03:22.897]  Well, you should know, Alex, that Australians really don't like Americans, uh, imitating them, but, uh, they get it done a lot.
[01:03:23.538 --> 01:03:25.418]  Hey, hey, hey, we did the British yesterday.
[01:03:25.498 --> 01:03:27.919]  You did very well yesterday, I have to, well, we... Oh, you like that?
[01:03:27.999 --> 01:03:29.640]  We don't like the British.
[01:03:29.660 --> 01:03:36.403]  Well, we like them, I mean, but we're all, a lot of people are from there, but the point is, go ahead and do an American imitation and make it better.
[01:03:37.578 --> 01:03:37.818]  Ours.
[01:03:38.539 --> 01:03:38.819]  Ours.
[01:03:39.260 --> 01:03:43.283]  Well, Alex, we're here in Texas and we just really, really appreciate being on your show.
[01:03:43.403 --> 01:03:44.324]  Is this okay?
[01:03:46.526 --> 01:03:48.708]  We're going to have barbecue soon for lunch.
[01:03:50.249 --> 01:03:50.930]  Crikey, mate!
[01:03:50.970 --> 01:03:51.910]  That's fantastic!
[01:03:51.951 --> 01:03:53.051]  Have yourself a brew!
[01:03:54.172 --> 01:03:54.793]  Crikey, Alex.
[01:03:55.474 --> 01:03:56.054]  Oh, my God.
[01:03:59.969 --> 01:04:00.709]  It's fun!
[01:04:01.270 --> 01:04:01.870]  It's fun!
[01:04:01.890 --> 01:04:09.293]  I mean, on Jake, who called in, I mean, the big thing is that I think it was fascinating that In Plain Sight played on national television in Australia.
[01:04:09.313 --> 01:04:22.260]  That was a long time ago, but the big discussion now is that, I mean, the BBC piece about 9-11 aired a couple of months ago, and now that seems to have really polarised people's ideas on 9-11.
[01:04:22.300 --> 01:04:24.201]  The one attacking me or the other one?
[01:04:24.221 --> 01:04:26.242]  The one attacking Dylan Avery in particular.
[01:04:26.262 --> 01:04:29.283]  Yeah, Dylan's their favourite person in the interview.
[01:04:29.423 --> 01:04:41.430]  Yeah, and I mean, I remember seeing, I was talking to a teenage girl the next day, and she said, that guy, I mean, Dylan Avery, was such a, you know, bleep bleep bleep, and I said, but, do you see any bias in that piece whatsoever?
[01:04:41.470 --> 01:04:43.412]  She said, no, that guy's just a bleep bleep bleep.
[01:04:43.432 --> 01:04:48.735]  Yeah, well, people love to buy in, like the media's their friend, and, oh, we're seeing the idiots together, you know, we're...
[01:04:51.209 --> 01:04:52.890]  Alex, let me say this about Australia.
[01:04:53.150 --> 01:04:55.251]  Australia is a wonderful country, okay?
[01:04:55.291 --> 01:04:58.493]  And the people there are some of the nicest, friendliest people you're gonna meet anywhere.
[01:04:58.813 --> 01:05:00.014]  It's also a small country.
[01:05:00.274 --> 01:05:02.095]  It's about 22-23 million people.
[01:05:02.776 --> 01:05:06.618]  Which is why films like In Plain Sight actually get screened.
[01:05:06.718 --> 01:05:08.359]  Because, you know, that stuff is still possible.
[01:05:08.999 --> 01:05:10.620]  But, you know, about internet censoring.
[01:05:10.640 --> 01:05:11.961]  Because you brought that up just a second ago.
[01:05:13.123 --> 01:05:23.546]  Just before the new Prime Minister made an announcement that that would be something we would talk about, 60 Minutes ran a segment about child pornography and different types of pornography on the web.
[01:05:23.566 --> 01:05:27.367]  It was one of a number of current affairs stories about pornography in the space of about two weeks.
[01:05:27.487 --> 01:05:29.608]  And that's the demonizing, ready-for-web censorship.
[01:05:29.708 --> 01:05:30.248]  That's right.
[01:05:30.388 --> 01:05:33.369]  What do you call censorship in dingo lingo?
[01:05:33.729 --> 01:05:34.249]  Censorship.
[01:05:35.489 --> 01:05:37.990]  It's the last of the big V8s, Max.
[01:05:39.508 --> 01:05:40.089]  Yeah, that's right.
[01:05:40.429 --> 01:05:44.274]  But the bottom line is when people are talking about internet censorship, they're worried about pornography.
[01:05:44.594 --> 01:05:46.296]  That's the context in Australia.
[01:05:46.316 --> 01:05:51.983]  They're thinking about, oh, well, you know... Although, I mean, they're going to start taxing the web here in the name of pornography and everything else on the web.
[01:05:52.323 --> 01:05:53.284]  That's how they do it as well.
[01:05:53.304 --> 01:05:55.127]  We're going to come back, take more of your phone calls.
[01:05:55.507 --> 01:05:58.190]  Stay with us as we continue with the Dango Lingo!
[01:05:59.705 --> 01:06:02.969]  Silver is mankind's oldest natural antibiotic.
[01:06:03.149 --> 01:06:07.234]  This very special mineral has been used for centuries by most cultures throughout the world.
[01:06:07.414 --> 01:06:15.363]  Utopia, Texas is home to a small but mighty supplement company called Utopia Silver, who offers colloidal products produced in distilled water
