[00:00:06.152 --> 00:00:11.395]  Set off all ceramic filter systems and ship all orders over $50 free of charge.
[01:53:54.844 --> 01:53:55.985]  Plants, breathe it!
[01:53:56.566 --> 01:53:58.148]  Animals and plants, animals and plants.
[01:53:58.428 --> 01:54:00.010]  It's the carbon cycle.
[01:54:02.673 --> 01:54:10.922]  Google the carbon cycle and then click Google Images and look at the basic university or high school biology overlays and look at the life cycle and realize what they've done.
[01:54:11.983 --> 01:54:12.904]  It's a tax on breathing.
[01:54:15.327 --> 01:54:20.150]  And Nancy Pelosi said in speeches, it will chronicle and tax everything you do and track everything you do.
[01:54:20.430 --> 01:54:25.693]  Your national ID card with the world sales tax, when you scan it, will track and trace everything you buy, sell and do.
[01:54:25.953 --> 01:54:28.095]  This is official policy!
[01:54:30.116 --> 01:54:43.944]  They've openly got City Year and Year Up and all these ads on TV with people in blue and grey uniforms that say, environmental police with these buck-toothed, zit-faced teenagers who have no future, no jobs,
[01:54:44.782 --> 01:54:49.864]  Red and black uniforms for City Year, marching and doing military drills on TV!
[01:54:50.124 --> 01:54:51.845]  They're running with taxpayer money!
[01:54:52.285 --> 01:55:00.888]  Have you noticed the economy's dead now, and the only billboards you see are click it or tick it, and ads of state police pulling people over and searching their cars?
[01:55:01.428 --> 01:55:04.009]  Training you, you're a slave, you're bad, the cops are watching you.
[01:55:04.189 --> 01:55:05.350]  Have you noticed all the billboards?
[01:55:05.390 --> 01:55:08.491]  I mean, it's like, it was half of, now it's like 80% driving to work today.
[01:55:09.491 --> 01:55:10.572]  It's all government ads.
[01:55:10.592 --> 01:55:11.692]  See, there's nothing left.
[01:55:12.421 --> 01:55:21.011]  There's only the few big top corporate fortune 50 who own this fortune 500 and they get all the government contracts and all the major school
[01:55:22.219 --> 01:55:28.161]  Tuitions and scholarships are all about law enforcement, police, spying, data mining.
[01:55:28.421 --> 01:55:33.183]  San Antonio just took the giant former Sony plant, turned it into a huge NSA base.
[01:55:33.423 --> 01:55:37.164]  They admittedly admit the NSA spying on everybody's internet from there.
[01:55:37.584 --> 01:55:40.745]  And the local newspaper tried to go down there, the San Antonio Current.
[01:55:40.765 --> 01:55:41.985]  It's like the Austin Chronicle.
[01:55:42.386 --> 01:55:46.307]  And the feds came off base and arrested them and took their film.
[01:55:46.907 --> 01:55:47.988]  That isn't about security.
[01:55:48.028 --> 01:55:51.431]  It's about letting you, the milk cow, know that you're cowed.
[01:55:51.471 --> 01:55:52.271]  What's a pimp do?
[01:55:52.511 --> 01:55:53.772]  A pimp beats his bitches.
[01:55:54.213 --> 01:55:58.316]  To let them know that they're slaves and that he's gonna take 110% of their money.
[01:56:00.617 --> 01:56:01.438]  And the cops are there.
[01:56:01.458 --> 01:56:02.079]  They've been told.
[01:56:02.159 --> 01:56:02.679]  Taser them.
[01:56:02.719 --> 01:56:03.059]  Beat them.
[01:56:03.099 --> 01:56:04.140]  Let them know you're the boss.
[01:56:04.200 --> 01:56:05.201]  Be rude to the scum.
[01:56:05.261 --> 01:56:08.143]  Let them know that we own these women.
[01:56:09.024 --> 01:56:15.809]  We're a stable of crack whores with cigarette burns all over us and the feds just slap us around and say, shut up!
[01:56:16.875 --> 01:56:18.656]  Shut up and do what I say, whore!
[01:56:19.217 --> 01:56:20.358]  And we say, yes, yes.
[01:56:21.599 --> 01:56:24.941]  It's in the amnesty bill that all the crimes of the illegal aliens are waived.
[01:56:26.062 --> 01:56:30.185]  Local police all over the country, it's in the news, they admit if they arrest illegals, the judges let them go!
[01:56:31.306 --> 01:56:34.928]  Because they want them here to undermine and drop the wages of everybody else.
[01:56:34.948 --> 01:56:37.390]  When they're done with them, they'll be treated like slaves too, don't worry.
[01:56:39.111 --> 01:56:42.434]  This is a nation going into hardcore scientific slavery.
[01:56:43.248 --> 01:56:47.570]  And if you read about the pimp game, you'll understand how the New World Order operates.
[01:56:47.650 --> 01:56:49.650]  Everything is how a pimp runs a whore.
[01:56:50.311 --> 01:56:52.812]  Everything they do is how a pimp breaks a whore.
[01:56:52.952 --> 01:56:54.052]  In fact, do we have Under My Thumb?
[01:56:54.072 --> 01:56:55.653]  Can we go out with Rolling Stone, Under My Thumb?
[01:56:55.673 --> 01:56:56.933]  Or no, we'll go out with Deep Purple.
[01:56:57.353 --> 01:56:57.974]  I doubt we have it.
[01:56:58.294 --> 01:57:00.494]  I want to play that because, you know, the change has come.
[01:57:00.515 --> 01:57:02.515]  You know, she doesn't look me in the eyes.
[01:57:03.236 --> 01:57:04.136]  She's under my thumb.
[01:57:04.156 --> 01:57:06.557]  Well, I'm not under your thumb and I'm not your whore.
[01:57:06.857 --> 01:57:09.638]  I'm not going to sit here while you have your way with me, New World Order.
[01:57:12.182 --> 01:57:13.263]  If you can't get it, it doesn't matter.
[01:57:13.383 --> 01:57:14.284]  Take us out with Deep Purple.
[01:57:14.944 --> 01:57:16.105]  Again, it's all happening.
[01:57:16.125 --> 01:57:17.826]  They're moving with everything now.
[01:57:18.426 --> 01:57:19.707]  The New Bank of the World.
[01:57:19.747 --> 01:57:30.195]  The biggest one is the Federal Reserve is a regional bank of the New Bank of the World announced in the news that will be over all industry, all banking, anything to do with finance, anything to do that affects the economy.
[01:57:30.475 --> 01:57:34.718]  It says the Fed is above it and no agency of government can oversee them or even question them.
[01:57:35.419 --> 01:57:39.822]  And Bernanke was before Congress this week and said, Congress has no authority over money.
[01:57:40.122 --> 01:57:48.107]  When Article 1, Section 8 says only Congress is, that's why they level the money, that's why they create the laws and levy the taxes.
[01:57:49.208 --> 01:57:51.469]  These people are incredible.
[01:57:52.470 --> 01:57:53.491]  They're out of control.
[01:57:55.132 --> 01:57:56.413]  And they've got to be resisted.
[01:57:56.793 --> 01:58:02.957]  We've got to stand up against the New World Order and say, I'm not your whore, I'm not your slave.
[01:58:05.211 --> 01:58:07.992]  There is no law that you've got to take these injections.
[01:58:08.293 --> 01:58:12.495]  There's no law you've got to drink sodium fluoride that's known to brain damage people.
[01:58:12.875 --> 01:58:14.936]  Get fired up, get angry, great job crew.
[01:58:14.956 --> 01:58:18.618]  We'll see you online at InfoWars.com and PrisonPlanet.tv.
[01:58:18.898 --> 01:58:21.519]  This is the fall of the Republic, the rise of the New World Order.
[01:58:21.879 --> 01:58:23.620]  We've got to bring down the New World Order!
[01:58:24.406 --> 01:58:28.389]  Hi, this is Ted Anderson introducing a new way to listen to GCN on your cell phone.
[01:58:28.489 --> 01:58:34.094]  If you own a smartphone like Blackberry, iPhone, or Arnold G1, there's a free application called Flycast.
[01:58:34.474 --> 01:58:40.299]  Simply download, install, and within minutes you'll be listening to your favorite GCN shows from the convenience of your phone.
[01:58:40.559 --> 01:58:45.764]  Go to GCNlive.com, download the Flycast application, and begin listening in a whole new way.
[01:58:45.904 --> 01:58:48.426]  The place to go to is GCNlive.com.
[01:58:48.526 --> 01:58:52.029]  Again, that's GCNlive.com, application, Flycast.
[01:58:53.425 --> 01:58:54.506]  Hi, this is Ted Anderson.
[01:58:54.666 --> 01:58:59.069]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[01:58:59.249 --> 01:59:04.953]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[01:59:05.053 --> 01:59:08.455]  Gold has outperformed paper investments, yet no word about IRAs.
[01:59:08.695 --> 01:59:11.297]  If you would like to have gold for your retirement, call 800-686-2237.
[01:59:11.417 --> 01:59:16.320]  Don't get left behind by rising inflation and low returns.
[01:59:16.460 --> 01:59:16.761]  Call 800-686-2237.
[01:59:16.781 --> 01:59:18.122]  Secure your future and call 1-800-686-2237.
[01:59:23.825 --> 01:59:25.786]  It's a new year full of uncertainties.
[01:59:26.327 --> 01:59:28.388]  People are being laid off in record numbers.
[01:59:28.668 --> 01:59:32.630]  The price of food continues to rise, and the economy continues to falter.
[01:59:32.890 --> 01:59:34.831]  You know that you need to prepare.
[01:59:35.191 --> 01:59:38.673]  And maybe you've been putting it off, but the time to act is now.
[01:59:38.993 --> 01:59:41.615]  That's why you need to visit Organicacy.com.
[01:59:42.595 --> 01:59:54.672]  At OrganicaSeed.com, you'll find one of the largest online selections of heirloom seeds, survival seed packs, as well as the giant vegetable seed collections that can feed you and your family for years.
[01:59:54.993 --> 02:00:00.060]  Imagine growing your very own fresh vegetables, wheatgrass, fruits, herbs, rice.
