[00:00:52.809 --> 00:00:53.669]  Look at this article.
[00:48:24.250 --> 00:48:35.139]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[00:48:37.418 --> 00:48:38.678]  It's not about left or right.
[00:48:39.078 --> 00:48:40.499]  It's about a one world government.
[00:48:40.939 --> 00:48:47.281]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:48:47.861 --> 00:48:55.643]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:48:56.123 --> 00:48:57.263]  The Obama Deception.
[00:48:57.684 --> 00:48:58.884]  The people strike back.
[00:49:01.954 --> 00:49:03.916]  Are you wondering about your retirement portfolio?
[00:49:04.297 --> 00:49:10.283]  Are you confident that the financial advisor is experienced enough to combat climbing interest rates, taxes, and inflation?
[00:49:10.543 --> 00:49:14.467]  Stop guessing and go to the expert, Robert Chapman of The International Forecaster.
[00:49:14.688 --> 00:49:21.515]  When you subscribe to The International Forecaster, you get Robert Chapman's 45 years of experience and concise investment recommendations.
[00:49:21.835 --> 00:49:27.377]  Who needs sugar-coated excuses when you can get the cold hard facts and proven investment leads you can't get anywhere else?
[00:49:27.737 --> 00:49:35.099]  For a free introductory copy to Robert Chapman's International Forecaster, subscribe now at TheInternationalForecaster.com or call 877-479-8178.
[00:49:38.644 --> 00:49:39.725]  Experience the Difference.
[00:50:00.148 --> 00:50:02.349]  This is Alex Jones for American Tax Settlement.
[00:50:02.509 --> 00:50:11.632]  We have received news that the IRS is currently accepting reduced settlements on back taxes, and millions of consumers may be eligible for this reduction to save thousands of dollars.
[00:50:12.012 --> 00:50:19.855]  If any of you out there owe $10,000 or more in back taxes to the IRS, we have created an open phone line with American Tax Settlement.
[00:50:20.015 --> 00:50:25.958]  For all Alex Jones listeners to see if you qualify for a settlement with the IRS to save thousands, the number to call is 1-800.
[00:50:27.359 --> 00:50:28.200]  506-5904.
[00:50:29.401 --> 00:50:34.087]  Millions of taxpayers now may be eligible for this settlement to save thousands of dollars.
[00:50:34.467 --> 00:50:39.113]  Don't risk the IRS coming after you and garnishing your wages or seizing your property.
[00:50:39.353 --> 00:50:43.919]  American Tax Settlement specializes in negotiating with the IRS on your behalf.
[00:50:44.179 --> 00:50:48.020]  Keeping the IRS off your back and saving consumers millions of dollars.
[00:50:48.400 --> 00:50:52.761]  If you owe $10,000 or more in taxes to the IRS, the number to call is 1-800-506-5904.
[00:50:52.881 --> 00:50:53.262]  That's 1-800-506-5904.
[00:50:53.462 --> 00:50:53.922]  Call today.
[00:50:54.002 --> 00:50:55.262]  TomWoods.com is the website.
[00:51:07.102 --> 00:51:10.028]  He is a New York Times bestselling author of multiple books.
[00:51:10.829 --> 00:51:16.780]  Meltdown, a free market look at why the stock market collapsed, the economy tanked, and government bailouts will make things worse.
[00:51:16.820 --> 00:51:17.822]  Okay, I'm going to try to sit back.
[00:51:19.019 --> 00:51:21.120]  One of the fellows at the Von Mies Institute with Ron Paul.
[00:51:21.140 --> 00:51:30.362]  I want to sit back and let you break it down from your perspective, but I just want to throw out, what do you think of this hoax of Newsweek and others saying that we're all socialists now and that this is socialism?
[00:51:30.842 --> 00:51:35.423]  Socialism I think is bad enough, but supposedly some of the stolen money goes to the poor.
[00:51:36.003 --> 00:51:42.005]  This is offshore corporations looting us and sanguinating us and sucking us dry.
[00:51:43.686 --> 00:51:46.228]  I mean, this is not socialism we're seeing.
[00:51:46.268 --> 00:51:50.991]  Isn't this just highway robbery or piracy that's going on, sir?
[00:51:51.211 --> 00:51:54.954]  Yeah, I mean, it seems to me that I wouldn't even want to dignify it with a word.
[00:51:55.014 --> 00:51:59.657]  I mean, other than looting or whatever, there's no economic philosophy behind it.
[00:52:00.998 --> 00:52:07.380]  Whatever economic rationale they try to put forth for it, it's just a cover for polluting the population in broad daylight.
[00:52:07.400 --> 00:52:16.542]  And they must really get a good laugh out of how easy it is, how they're getting away with it, and how they've got the media in their pockets that just echoes all the rationales.
[00:52:16.962 --> 00:52:26.785]  Like, for instance, we hear things like systemic risk, that, oh, you know, we've got to bail out these bankers because, you know, heaven knows if one of these institutions failed, then the others would fail, and then we'd all be
[00:52:27.185 --> 00:52:40.128]  Reduced to crawling around eating worms, but in fact, gosh, there was an article two or three years ago in something called the Journal of Financial Economics that went through all these arguments and concluded that this whole systemic risk thing is totally overblown.
[00:52:40.168 --> 00:52:42.969]  That the actual systemic risk is about zero.
[00:52:43.009 --> 00:52:49.270]  This is basically just a convenient pretext for politicians when they're shoveling money to their friends.
[00:52:49.770 --> 00:52:52.851]  They can cover it by saying, oh, no, no, no, I'm just acting for the common good.
[00:52:52.911 --> 00:52:54.912]  I'm acting for you people to maintain the system.
[00:52:55.292 --> 00:52:55.832]  Oh, come on!
[00:52:56.761 --> 00:53:03.286]  Meanwhile, the 10-year notes going up, mortgage rates are going up in reality.
[00:53:03.326 --> 00:53:04.907]  They can cut rates down to zero.
[00:53:05.007 --> 00:53:06.168]  Reality's setting in.
[00:53:07.028 --> 00:53:12.372]  They're saying, other economists, I don't know what your views are, saying we're at 18, 19% real employment.
[00:53:12.893 --> 00:53:14.634]  I mean, how long can this charade go on?
[00:53:15.785 --> 00:53:18.449]  Well, I'm surprised it's gone on as long as it has, but you're right.
[00:53:18.489 --> 00:53:26.039]  I mean, I think your unemployment statistics are far more accurate than the phony baloney ones cooked up by the government that they've been manipulating for years.
[00:53:26.460 --> 00:53:32.328]  If you really compare our situation with the 1970s and you compute the unemployment statistics the way they did,
[00:53:32.989 --> 00:53:51.091]  We're already at or above 20% because one of the things they did, I'm sure you already know this, is in the 80s and 90s they got rid of the discouraged worker, which means if you've been looking for a job and you're looking and looking and you just figure this is totally hopeless and you just stop, you figure it's not even worth bothering, they don't count you as being unemployed.
[00:53:51.542 --> 00:53:58.747]  So the millions of people that moved in with mommy and daddy, or parents that moved in with their kids, or homeless people, they just don't count us.
[00:53:58.927 --> 00:53:59.808]  No, they don't count them.
[00:53:59.848 --> 00:54:09.996]  So in other words, when you're hearing that the official statistic has it at 9.4% unemployment, you can believe the reality is at least double that.
[00:54:10.016 --> 00:54:12.377]  And it doesn't factor in all the part-time workers.
[00:54:12.718 --> 00:54:16.981]  And so it is essential for us to get where this comes from.
[00:54:17.081 --> 00:54:18.622]  Why does this happen to us?
[00:54:19.122 --> 00:54:25.024]  Because, of course, we're being told that, well, it just goes to show that when your overlords aren't running everything, this is what happens.
[00:54:25.144 --> 00:54:27.065]  And you stupid rubes didn't listen to us.
[00:54:27.425 --> 00:54:29.986]  That whole thing is becoming the conventional wisdom.
[00:54:30.166 --> 00:54:30.686]  Exactly!
[00:54:30.726 --> 00:54:33.147]  They're saying you need bigger overlords.
[00:54:33.227 --> 00:54:36.088]  That will fix it when it's the very overlords that did it!
[00:54:36.468 --> 00:54:46.119]  And it was so funny when the German Chancellor Merkel said, you know, it's like when they occasionally say something sensible, they have to immediately follow it up with something disastrous.
[00:54:46.500 --> 00:54:50.284]  So she said, you know, gee, you know, the central banks have really done a rotten job.
[00:54:50.324 --> 00:54:51.265]  Hey, great so far.
[00:54:51.285 --> 00:54:56.131]  And then she goes on to say, therefore, we need to have a giant coordination of all the central banks.
[00:54:56.591 --> 00:54:56.871]  No!
[00:54:56.891 --> 00:54:59.412]  That's the exact opposite direction we want to go in.
[00:54:59.652 --> 00:55:01.652]  We should be wanting to shut these things down.
[00:55:02.653 --> 00:55:15.036]  It is they, and this is what Austrian theory teaches, it's what Hayek won the Nobel Prize for, it is they who get the economy hopped up on these unsustainable booms that then ruin people's lives when the bust comes.
[00:55:15.356 --> 00:55:24.524]  But during the boom, we're all told that, hey, this prosperity is going to go on forever, everybody should get into the stock market, and everybody starts thinking that, you know, you can get rich quick through all this.
[00:55:24.584 --> 00:55:27.446]  And meanwhile, you wind up getting wiped out.
[00:55:27.767 --> 00:55:31.270]  And it's about time Americans realized this is not the free market looting you.
[00:55:31.290 --> 00:55:35.333]  It is Alan Greenspan and Ben Bernanke and his friends.
[00:55:35.453 --> 00:55:38.556]  And, you know, when Alan Greenspan said earlier this year, he said, you know,
[00:55:39.237 --> 00:55:42.248]  I guess there's a flaw in the free market that I hadn't noticed before.
[00:55:42.629 --> 00:55:43.553]  Yeah, you know what, Alan?
[00:55:43.573 --> 00:55:45.279]  We have met the flaw, and it is you.
[00:55:46.345 --> 00:55:48.067]  Well, exactly, and he knows what he's doing.
[00:55:48.087 --> 00:55:49.508]  It's problem, reaction, solution.
[00:55:49.548 --> 00:55:50.670]  They create the crisis.
[00:55:51.110 --> 00:55:52.291]  Now everybody's freaking out.
[00:55:52.552 --> 00:56:08.588]  The public's ignorant about economics, so they're believing the guys in suits, and Bernanke says he'll fix it with accelerating the old model, a new bank of the world that we'll pay our carbon taxes to, and they're going to jack up world taxes and not let there be these
[00:56:09.630 --> 00:56:21.788]  These cash sinks, these tax avoidance countries, and the bankers, they're openly announcing a bank of the world, world government, run by the same parasites.
[00:56:23.959 --> 00:56:25.259]  Yes, long segment coming up.
[00:56:25.279 --> 00:56:27.220]  We kind of have our brakes all stacked up together there.
[00:56:27.640 --> 00:56:29.481]  Amazing information, amazing book.
[00:56:29.701 --> 00:56:30.801]  TomWoods.com.
[00:56:31.142 --> 00:56:32.082]  Find out more.
[00:56:32.922 --> 00:56:36.343]  And you can simply get his book in all your great bookstores everywhere.
[00:56:36.423 --> 00:56:42.005]  Meltdown, a free market look at why the stock market collapsed, the economy tanked, government bailouts will make things worse.
[00:56:42.325 --> 00:56:42.826]  And they are!
[00:56:43.766 --> 00:56:46.207]  And how worse we'll discuss on the other side.
[00:56:46.607 --> 00:56:47.547]  They're going for broke.
[00:56:47.627 --> 00:56:48.148]  Stay with us.
[00:56:48.188 --> 00:56:48.828]  InfoWars.com.
[00:56:51.027 --> 00:56:53.994]  We're on the march, the empire's on the run.
[00:56:54.014 --> 00:56:57.643]  Alex Jones and the GCN Radio Network.
[00:57:00.768 --> 00:57:06.071]  What can you do to keep you and your family safe from the resistant new strains of deadly bacteria and viruses?
[00:57:06.611 --> 00:57:14.995]  Check out supernaturalsilver.com today, or visit the link on infowars.com to find out more about this incredible new silver compound.
[00:57:15.195 --> 00:57:21.979]  The new silver solution is a natural antibiotic that is clinically tested to kill viruses, germs, bacteria, and yeast safely.
[00:57:22.319 --> 00:57:24.320]  This new technology has proven itself.
[00:57:24.500 --> 00:57:27.802]  To be a formidable weapon against bio threats of today and tomorrow.
[00:57:28.062 --> 00:57:34.025]  The new silver solution gel has been shown to disinfect topically and keep the area sanitized for up to four hours.
[00:57:34.365 --> 00:57:40.629]  The new silver solution is a highly effective potent nanoparticle solution that is lethal to bacteria, yeast and viruses.
[00:57:41.029 --> 00:57:45.411]  Go to SupernaturalSilver.com and see the amazing line of products they have available.
[00:57:45.671 --> 00:57:48.653]  Check out the patented new silver solution today.
[00:57:49.033 --> 00:57:52.315]  Click on the link and check out the uses for New Silver Solution.
[00:57:52.715 --> 00:57:57.398]  Order this extra line of defense today by going to SupernaturalSilver.com.
[00:57:57.538 --> 00:57:59.699]  That's SupernaturalSilver.com today.
[00:58:00.279 --> 00:58:05.822]  This is Alex Jones, and I want to tell you again about a company that has supported us in the truth movement for years.
[00:58:06.122 --> 00:58:07.303]  Inner Health Botanicals.
[00:58:07.443 --> 00:58:11.425]  This company produces the highest quality superfood around, called Inner Food.
[00:58:11.705 --> 00:58:13.266]  My wife just loves the stuff.
[00:58:13.566 --> 00:58:18.509]  And now, the health ranger, Mike Adams, has awarded Inner Food his Editor's Choice Award.
[00:58:18.789 --> 00:58:19.849]  Or best superfood of 2009.
[00:58:20.609 --> 00:58:23.550]  Inner food is loaded with 20 great organic ingredients.
[00:58:23.870 --> 00:58:25.350]  No fillers, no sweeteners.
[00:58:25.610 --> 00:58:28.391]  It would be impossible to blend this up for a better price.
[00:58:28.611 --> 00:58:30.071]  And their formula really works.
[00:58:30.331 --> 00:58:32.872]  This is the real thing for the great health you need.
[00:58:33.152 --> 00:58:34.412]  Try the NutriCafe.
[00:58:34.632 --> 00:58:39.033]  Their great organic coffee infused with polysaccharides that boosts the immune system.
[00:58:39.393 --> 00:58:41.593]  A truly healthy coffee that tastes great.
[00:58:41.813 --> 00:58:44.094]  And take it from me folks, it really does taste great.
[00:58:44.274 --> 00:58:46.014]  Don't forget to try their other great products.
[00:58:46.374 --> 00:58:51.839]  Go to www.enerfood.com.
[00:58:52.059 --> 00:58:56.523]  That's www.enerfood.com.
[00:58:56.723 --> 00:58:59.626]  Or just click on their banner on infowars.com for special pricing.
[00:59:00.404 --> 00:59:05.868]  Rounded by harmful indoor air that can easily deliver many harmful toxins straight into our bodies.
[00:59:06.128 --> 00:59:06.969]  Take a deep breath.
[00:59:07.909 --> 00:59:14.194]  Can you actually feel the airborne influenza, viruses, mold, bacteria, and dangerous ozone entering your lungs?
[00:59:14.414 --> 00:59:15.474]  Have a glass of water.
[00:59:15.975 --> 00:59:21.319]  Can you taste the harmful chlorine, fluoride, lead, pharmaceutical drugs, and numerous other chemicals?
[00:59:21.639 --> 00:59:22.039]  Of course you
[00:59:24.326 --> 00:59:24.986]  We're good to go.
[00:59:47.858 --> 00:59:48.179]  I think so.
[01:00:16.311 --> 01:00:20.852]  Coming up next, our open phones and suspects turn table on NYPD with video.
[01:00:21.272 --> 01:00:25.313]  They had hidden cameras as the police tried to plant drugs on them.
[01:00:26.253 --> 01:00:28.873]  You see, we're using Big Brother's tools against Big Brother.
[01:00:29.414 --> 01:00:33.294]  We're going to document everything we're talking about as this rotten criminal government is exposed.
[01:00:33.634 --> 01:00:40.836]  Going back to our guest here in one moment, I want to tell you about one of our new sponsors first here, ladies and gentlemen, and that's Front Sight.
[01:00:41.696 --> 01:00:49.000]  The website is FRONTSITE, like a gun site, FRONTSITE.COM, F-R-O-N-T-S-I-G-H-T dot com.
[01:00:49.500 --> 01:00:50.741]  Listen, it's very simple.
[01:00:51.681 --> 01:00:58.865]  This is the number one private firearms training system in the country.
[01:00:59.741 --> 01:01:02.922]  And they have systems you can get from a distance, or you can go there and take the training.
[01:01:03.422 --> 01:01:05.923]  And everybody I knew ten years ago was taking this.
[01:01:06.203 --> 01:01:07.044]  Police I know.
[01:01:07.064 --> 01:01:09.545]  I used to do shooting competition.
[01:01:09.565 --> 01:01:12.286]  I didn't get into it deep, but I did some of it.
[01:01:12.306 --> 01:01:17.147]  The point is, they were all on the front site, and this is better than the law enforcement military training.
[01:01:17.167 --> 01:01:26.311]  In fact, they send the police and people there to get Dr. Ignatius Piazza's training, the founder of Frontside Firearms Training Institute.
