[00:00:07.177 --> 00:00:12.481]  He aligns himself with the truth and it's time for you to choose a side.
[01:31:54.226 --> 01:31:56.487]  You are funding the Information War in 2018.
[01:31:58.220 --> 01:32:01.705]  InfoWars Live is bringing you a breakthrough in modern medicine.
[01:32:01.705 --> 01:32:13.222]  We have found an extraordinary new natural way to help alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways, eye comfort, and respiratory health, and normal breathing.
[01:32:13.222 --> 01:32:14.123]  This is Pollen Block.
[01:32:15.124 --> 01:32:27.770]  In the 1960s, researchers in France noticed that people who ate certain quail eggs from specific farms experienced less seasonal distress symptoms like runny nose, itchy watery eyes, and excessive mucus production.
[01:32:27.770 --> 01:32:32.092]  They began studying the effects in published trials.
[01:32:32.092 --> 01:32:36.114]  Now we are introducing the fruit of the research, a fast-acting chewable tablet
[01:32:36.574 --> 01:32:46.656]  Just chew two tablets at the first sign of seasonal distress and Fast-Acting Pollen Block starts working in about 15 minutes to help alleviate seasonal distress.
[01:32:46.656 --> 01:32:49.797]  Enjoy the air you breathe naturally with Fast-Acting Pollen Block.
[01:32:49.797 --> 01:32:53.898]  Available now at Infowarslife.com or by calling toll free.
[01:32:53.898 --> 01:32:55.658]  888-253-3139 You're listening to The Alex Jones Show.
[01:33:23.409 --> 01:33:31.974]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:33:31.974 --> 01:33:33.034]  Welcome back.
[01:33:33.034 --> 01:33:39.037]  If you would like to call in, you may do so in the last segment of the second hour today.
[01:33:39.037 --> 01:33:42.239]  I'll be taking your calls on any subject you like.
[01:33:42.239 --> 01:33:47.942]  Call me to compliment my hair, insult my accent, ask for political guidance, or maybe
[01:33:48.817 --> 01:33:51.458]  You're going on a date, and you want to know what to say to the girl.
[01:33:51.458 --> 01:33:56.321]  Of course, you can call us and talk about any of the substantive and serious issues of the day, too.
[01:33:56.321 --> 01:33:58.222]  And the number, in case you don't know it by now, is 877-789-2539.
[01:33:58.222 --> 01:33:58.422]  That's 877-789-2539.
[01:33:58.422 --> 01:34:06.386]  If you'd like to call in, and in 10 or 15 minutes or so, after the next break, we will take your calls to round out the hour on any subject you like.
[01:34:06.386 --> 01:34:09.147]  Next hour, Alex Jones is back in studio in his own show.
[01:34:18.032 --> 01:34:19.453]  I don't know if I'll give him his seat back.
[01:34:19.453 --> 01:34:20.213]  I haven't decided yet.
[01:34:20.213 --> 01:34:21.693]  Maybe he'll be my guest.
[01:34:21.693 --> 01:34:24.154]  Alex Jones live in studio with me next.
[01:34:24.154 --> 01:34:30.957]  Now moving from the free speech crisis to one of the primary causes.
[01:34:32.284 --> 01:34:35.666]  of the clampdown on free speech, and that is identity politics.
[01:34:35.666 --> 01:34:46.813]  Adam Rippon, who appears to have been placed on the Olympian team solely for not only being gay, but also being, well, very gay.
[01:34:46.813 --> 01:34:53.298]  We're not, apparently, in the absence of any talent, but the presence of a flamboyant personality.
[01:34:53.298 --> 01:34:56.240]  He's been feted by the media to discuss
[01:34:57.521 --> 01:35:05.387]  Slipping standards and unusual choices as a result of the cancer of identity politics is another homosexual.
[01:35:05.387 --> 01:35:07.188]  Chadwick Moore joins us.
[01:35:07.188 --> 01:35:11.131]  He is a journalist and media personality.
[01:35:11.131 --> 01:35:15.934]  Probably you will recognize him from Tucker Carlson's show where he's a regular commentator on social issues.
[01:35:17.455 --> 01:35:24.384]  Anytime they want somebody on to make sense of the nonsense about LGBTQ whatever.
[01:35:24.384 --> 01:35:30.211]  Chadwick is a former writer for Out Magazine and editsdangerous.com among other things.
[01:35:30.211 --> 01:35:31.112]  Chadwick, welcome to the show.
[01:35:31.112 --> 01:35:31.413]  How are you?
[01:35:32.786 --> 01:35:34.208]  I'm great, I'm great.
[01:35:34.208 --> 01:35:38.833]  It's warm and sunny here in New York, so go Global Warming.
[01:35:38.833 --> 01:35:40.255]  It's wonderful.
[01:35:40.255 --> 01:35:42.197]  Adam Rippon.
[01:35:42.197 --> 01:35:50.506]  Now I said the other day I wanted to create a new TV show called Straight Eye, because Netflix has just brought back Queer Eye, which seems to me is quite outdated now.
[01:35:50.506 --> 01:35:53.790]  You know, I think we all know what gay people think straight guys should do.
[01:35:54.270 --> 01:35:57.232]  But there are a lot of gay people who could do with butching up.
[01:35:57.232 --> 01:36:01.874]  Now you're towards the butcher end of homosexuals.
[01:36:01.874 --> 01:36:03.375]  Adam Rippon, however, is not.
[01:36:03.375 --> 01:36:14.940]  Now he, what is he, he came 10th, didn't qualify for the American team, but he was sent out to PyeongChang anyway and has been given endless media coverage because of his...
[01:36:16.776 --> 01:36:22.183]  Well, you only have to see him in action to know why the media loves him so much.
[01:36:22.183 --> 01:36:23.104]  What is going on here?
[01:36:23.104 --> 01:36:29.992]  Why is the media giving lavish praise and excessive coverage to somebody who isn't that good an athlete?
[01:36:29.992 --> 01:36:30.893]  What is happening?
[01:36:30.893 --> 01:36:34.117]  Why the Adam Rippon extravaganza on NBC?
[01:36:35.492 --> 01:36:46.842]  Well, you know who's not thrilled about Adam Rippon, and that's Johnny Weir, because he's kind of gunning for his token homosexual news commentator spot.
[01:36:46.842 --> 01:36:51.106]  You have Adam Rippon coming out, he's saying these ridiculous things about the Vice President.
[01:36:51.106 --> 01:36:54.069]  With people like this, I like to play a game called Stupid or Sinister.
[01:36:54.629 --> 01:37:00.736]  So, is it that he's just stupid and he doesn't really understand that culture has moved beyond where he is?
[01:37:00.736 --> 01:37:08.484]  Is he stupid and he doesn't understand that the reason why he's upset about Pence is because of something that had nothing to do with gay people that happened 18 years ago?
[01:37:09.945 --> 01:37:15.390]  Or is he more malevolent when he virtue signals, you know, like a Hillary Clinton or something?
[01:37:15.390 --> 01:37:19.153]  And I think with him, the answer we have is he's maybe neither.
[01:37:19.153 --> 01:37:23.256]  I think he skews towards the stupid, but he is an opportunist.
[01:37:23.256 --> 01:37:29.421]  And just today on CNBC, he was sort of asked about sponsorships and what he wants coming out of the Olympics.
[01:37:29.421 --> 01:37:30.662]  And he basically said, I want money.
[01:37:30.662 --> 01:37:31.482]  I love money.
[01:37:34.415 --> 01:37:35.816]  We love people who like money.
[01:37:35.816 --> 01:37:49.828]  The problem here is you're basing it on this narrative of gay oppression in America and this narrative of I'm here and I'm queer, get used to it at the Olympics when nobody cares.
[01:37:49.828 --> 01:37:50.769]  It's about 20 years old.
[01:37:50.769 --> 01:37:52.010]  Yeah, nobody cares about us anymore.
[01:37:52.010 --> 01:37:52.691]  Yeah, nobody cares.
[01:37:54.452 --> 01:37:57.895]  I've been very, very gay, very publicly.
[01:37:57.895 --> 01:38:05.801]  I've had my face on the side of a bus with the word, and I'm allowed to say this so you're not allowed to get upset, listeners, with faggot on the side of a bus.
[01:38:05.801 --> 01:38:13.887]  You know, in huge letters, getting off at truck stops in Tennessee, in a dress, and people have said, have looked me up and down and given me a little sort of like,
[01:38:14.744 --> 01:38:15.545]  There, there.
[01:38:15.545 --> 01:38:16.506]  Calm it down.
[01:38:16.506 --> 01:38:24.234]  And then come up to me and said, I don't know about all this lifestyle stuff, but I think what you're doing is brave, so you carry on.
[01:38:24.234 --> 01:38:31.481]  The worst that Americans will do is say they'll pray for you, which you could say was a bit patronising, but that's nothing.
[01:38:32.862 --> 01:38:39.444]  Compared to the bile and vitriol that you received, for instance, from coastal liberals because you started expressing the wrong opinions.
[01:38:39.444 --> 01:38:51.169]  When you came out as conservative, famously in the New York Post, it was a far worse experience for you, I would wager, than any gay person has had coming out in America in the last ten years.
[01:38:53.066 --> 01:39:00.292]  What mystifies me about this is, I mean, if he wants to make money, then he should really just be a better skater, shouldn't he?
[01:39:00.292 --> 01:39:03.716]  Because he's not a particularly good one.
[01:39:03.716 --> 01:39:11.182]  He's got the faggy flounces off, but he doesn't seem to be able to get the high marks necessary to reach the top of his game.
[01:39:11.182 --> 01:39:12.483]  We've seen this before, haven't we?
[01:39:12.483 --> 01:39:18.469]  With people who don't succeed at the highest levels in their chosen sport or profession.
[01:39:18.930 --> 01:39:23.087]  And who see social activism and identity politics as a route to easy fame and riches.
[01:39:23.087 --> 01:39:23.730]  It's a pattern, isn't it?
[01:39:25.618 --> 01:39:27.039]  Yeah, completely.
[01:39:27.039 --> 01:39:30.881]  And I'm sure if we could, in a minute, name 20 people who've done this.
[01:39:30.881 --> 01:39:32.642]  And this goes for Hollywood, too.
[01:39:32.642 --> 01:39:35.763]  Look at all the actors who are so subpar.
[01:39:35.763 --> 01:39:43.388]  I'm thinking of one of them that you maybe got into a little scuffle with on Twitter, who then goes into the social justice angle because they have nothing else.
[01:39:43.388 --> 01:39:51.752]  And then, you know, if it works, then they get movies, they get roles, simply because they have the right politics and they're good at expressing those politics.
[01:39:51.752 --> 01:39:53.113]  Oh, look at his punchable little face.
[01:39:54.815 --> 01:39:55.836]  Do you know what?
[01:39:55.836 --> 01:39:56.897]  Do you know what?
[01:39:56.897 --> 01:40:07.191]  This guy with those over- I mean, just the over-groomed, trimmed, waxed, tweezed, plucked, campy, fagginess of it all.
[01:40:07.191 --> 01:40:08.733]  He makes me want to gay bash.
[01:40:09.674 --> 01:40:11.435]  Like, I'm looking... I'm sorry!
[01:40:11.435 --> 01:40:13.996]  I'm looking at Adam Rippon.
[01:40:13.996 --> 01:40:17.377]  He just makes me want to go out and punch gay people.
[01:40:17.377 --> 01:40:19.398]  Because this is what we have on television.
[01:40:19.398 --> 01:40:21.978]  This is what people think that gay people are.
[01:40:21.978 --> 01:40:22.519]  Well, you know what?
[01:40:22.519 --> 01:40:23.859]  Guess what, Liberals?
[01:40:23.859 --> 01:40:24.439]  Newsflash.
[01:40:24.439 --> 01:40:25.960]  Some gay people are really crap.
[01:40:27.801 --> 01:40:34.606]  Some of us are not all these beautiful magical elves that you can use to beat Republicans with.
[01:40:34.606 --> 01:40:51.278]  Some of us are Republicans and many of us do not subscribe to this awful, you know, like you see love and hip-hop and there's like, you know, these like sassy black women who always have like a wax-tweezed-and-plucked Hispanic gay friend who's just sitting in the wings and kind of loving the drama.
