[00:00:00.069 --> 00:00:00.850]  I understand.
[01:00:33.608 --> 01:00:37.030]  Soonest it would happen would maybe be tomorrow, or this might take all weekend.
[01:00:39.530 --> 01:00:42.151]  I don't see how they can go with Scalise at this point though.
[01:00:42.711 --> 01:00:48.734]  When you nominate him and then it fails, and then you have public polls where Steve Scalise can't even get 10% support.
[01:00:51.064 --> 01:00:55.489]  So, uh, I don't see where the Republicans go outside of Jim Jordan at this point.
[01:00:56.350 --> 01:00:57.811]  But why the resistance to Jim Jordan?
[01:00:57.831 --> 01:00:58.452]  That's the question.
[01:00:59.052 --> 01:00:59.633]  My goodness.
[01:01:00.374 --> 01:01:01.415]  You see it on the screen here.
[01:01:03.735 --> 01:01:09.120]  These are Hamas terrorists engaged in a shootout in the streets of Israel, putting innocent people's lives at risk.
[01:01:09.200 --> 01:01:10.041]  Oh, oh, no.
[01:01:10.381 --> 01:01:11.382]  Oh, I'm sorry, correction.
[01:01:12.063 --> 01:01:15.586]  No, actually, that's in Hidalgo County, Texas, at the southern border.
[01:01:16.227 --> 01:01:20.450]  A shootout happening between illegal immigrants, putting innocent people's lives at risk.
[01:01:20.771 --> 01:01:23.894]  But hey, that's only in your own country.
[01:01:23.934 --> 01:01:25.435]  That's only in your own backyard.
[01:01:25.495 --> 01:01:27.357]  You don't want to think or talk about that.
[01:01:27.697 --> 01:01:33.681]  The 15 million illegal immigrants and all the crime and all the devastation and all the death that they bring.
[01:01:34.101 --> 01:01:37.763]  No, you need to be distracted by something else happening on the other side of the planet, don't you see?
[01:01:38.704 --> 01:01:40.425]  You see, anybody can play these mind games.
[01:01:40.965 --> 01:01:42.846]  You see, anybody can engage in propaganda.
[01:01:44.207 --> 01:01:52.973]  I could very easily sit here and say, I could show videos all day long and then do the bait-and-switch and you could draw the emotional response just like we've seen on the Internet.
[01:01:53.717 --> 01:02:03.664]  People sharing videos from 2019, 2017, Kids in Cages from 2017, all fake news, and they say, look, look, see, we gotta support Israel, and then it's a totally different video.
[01:02:04.184 --> 01:02:06.566]  We could all do that, I could do it intentionally, do the bait and switch!
[01:02:09.128 --> 01:02:14.792]  And it's not to deceive you, it's to make the point that that's how war propaganda works, that's how people use your emotions against you.
[01:02:17.834 --> 01:02:31.849]   Now, Again, imagine, imagine, I just, how else, how else can you possibly... How do you explain this?
[01:02:33.630 --> 01:02:34.731]  Just two weeks ago...
[01:02:36.707 --> 01:02:50.078]  Just two weeks ago, when the ouster of Kevin McCarthy was going down, and the standoff between Gaetz and McCarthy was going down, and eventually Matt Gaetz won the battle for the heart and soul of the Republican Party, it was the biggest story in the country for a whole week.
[01:02:50.238 --> 01:02:52.059]  It was really a big story all around the world.
[01:02:52.440 --> 01:02:56.343]  But now we're right back there, trying to figure out who the next House Speaker is.
[01:02:56.703 --> 01:03:02.448]  The internal struggle for the Republican Speaker of the House is back on, and it's barely a blip on the radar!
[01:03:03.368 --> 01:03:03.969]  Why is that?
[01:03:07.463 --> 01:03:08.623]  I won't even answer that question.
[01:03:08.744 --> 01:03:09.664]  I'll just ask it to you.
[01:03:10.584 --> 01:03:24.089]  How is it that what would be the biggest story in the United States of America, dealing with domestic issues, dealing with all policies, foreign and domestic, the Speaker of the House, biggest story in the country, now all of a sudden is barely a blip on the radar?
[01:03:24.290 --> 01:03:26.230]  Now all of a sudden nobody's even talking about it.
[01:03:26.350 --> 01:03:27.051]  Why is that?
[01:03:27.751 --> 01:03:28.811]  Is it not important anymore?
[01:03:28.851 --> 01:03:30.192]  Is the Speaker not important anymore?
[01:03:32.173 --> 01:03:32.833]  Why is that?
[01:03:34.253 --> 01:03:35.354]  Well, we're monitoring it here.
[01:03:36.624 --> 01:03:39.826]  At this point, I don't know how they even have a vote on this tomorrow.
[01:03:41.166 --> 01:03:43.047]  Unless they want to rally behind Jim Jordan.
[01:03:44.228 --> 01:03:47.270]  He doesn't seem to enthuse to be the Speaker of the House for whatever reason.
[01:03:49.251 --> 01:03:57.035]  Maybe that's because he's afraid it'll interfere with his duties as the Chair of the Judiciary Committee.
[01:04:01.530 --> 01:04:03.992]  But he seems kind of neutral on the issue.
[01:04:04.672 --> 01:04:07.134]  The public support is definitely behind Jim Jordan.
[01:04:07.154 --> 01:04:10.756]  100% behind Jim Jordan at this point, I would say.
[01:04:10.796 --> 01:04:22.424]  I mean, when public polls are showing Jim Jordan at 94% and Scalise at 6%, I mean, that tells you the story of where the public is at as far as the Republican voter.
[01:04:22.544 --> 01:04:23.705]  And that means something now.
[01:04:24.806 --> 01:04:26.147]  And that was thanks to Matt Gaetz.
[01:04:27.813 --> 01:04:33.177]  Thanks to Matt Gaetz, what the Republican voter wants out of the Republican Party now matters more than ever.
[01:04:35.559 --> 01:04:41.104]  And you know, isn't it funny?
[01:04:43.086 --> 01:04:56.497]  Isn't it funny that the same people that were anti-Matt Gaetz are no longer talking about the House Speaker race and telling you that Israel is the most important issue on the planet right now?
[01:04:57.341 --> 01:04:58.161]  Isn't that interesting?
[01:04:58.982 --> 01:05:00.302]  Hey, I just observe and report.
[01:05:01.903 --> 01:05:04.304]  I'm just observing and reporting, and I notice now.
[01:05:04.945 --> 01:05:06.425]  It didn't even hit me until just now.
[01:05:07.486 --> 01:05:15.870]  The same individuals, the same voices that were pro-McCarthy and anti-Gates are now only talking about Israel 24-7.
[01:05:17.851 --> 01:05:19.432]  Isn't that interesting?
[01:05:21.533 --> 01:05:23.974]  Whose interest did they really have in mind the whole time?
[01:05:25.066 --> 01:05:30.849]  They claim to be Republicans, they claim to be conservatives, but do they care about what the Republican voter has to say or thinks?
[01:05:31.429 --> 01:05:34.651]  Do they care about actual conservative values or what they mean to you?
[01:05:34.671 --> 01:05:36.172]  Hmm.
[01:05:37.032 --> 01:05:37.673]  It would appear not.
[01:05:41.635 --> 01:05:43.176]  So we're going to continue to monitor this.
[01:05:44.076 --> 01:05:55.533]   And, you know, if we had real leadership in the Republican Party, I mean, at this point, Mitch McConnell, I mean, how do you even classify or characterize Mitch McConnell at this point?
[01:05:57.034 --> 01:05:59.534]  A rotted husk?
[01:06:00.415 --> 01:06:01.375]  A walking corpse?
[01:06:03.476 --> 01:06:03.936]  Politically.
[01:06:04.536 --> 01:06:07.937]  Even though, I think physically we see there's problems there too, obviously.
[01:06:10.202 --> 01:06:12.424]  But okay, where's the leadership from Mitch McConnell?
[01:06:12.864 --> 01:06:13.625]  Doesn't exist.
[01:06:14.245 --> 01:06:17.488]  Where's the leadership from Ronna Romney McDaniel?
[01:06:17.808 --> 01:06:18.548]  Doesn't exist.
[01:06:19.149 --> 01:06:24.133]  If there was real Republican leadership, hey, I'm all for struggling it out for Speaker of the House.
[01:06:24.733 --> 01:06:25.474]  I'm all for that.
[01:06:25.654 --> 01:06:27.095]  I think that's healthy, quite frankly.
[01:06:27.355 --> 01:06:28.776]  This is long overdue stuff.
[01:06:30.958 --> 01:06:36.923]  This only strengthens the resolve of Republicans, and this only strengthens the core values of Republicans in the House.
[01:06:38.243 --> 01:06:40.924]  And now, more than ever, they have to respond to the Republican voter.
[01:06:41.264 --> 01:06:42.884]  But really, it's like this.
[01:06:43.884 --> 01:06:49.866]  If there was any leadership at all in the Republican Party, they would be coalescing around Donald Trump.
[01:06:51.226 --> 01:06:53.886]  Now, you might not like Donald Trump, and you might disagree with that.
[01:06:53.966 --> 01:06:54.486]  That's fine.
[01:06:54.807 --> 01:06:57.247]  But see, I'm talking about real leadership.
[01:06:57.387 --> 01:07:01.968]  I'm talking about building a team and building a depth chart for success to win.
[01:07:02.708 --> 01:07:05.209]  So you would absolutely be coalescing around Donald Trump.
[01:07:07.469 --> 01:07:09.634]  That's not to say you go all in on Donald Trump.
[01:07:09.674 --> 01:07:10.235]  It's very simple.
[01:07:10.496 --> 01:07:17.691]  You say, look, I mean, guys, roll the B-roll of the line outside the Trump event in Florida yesterday.
[01:07:19.966 --> 01:07:21.207]  Or it might have been, it might be today.
[01:07:21.247 --> 01:07:21.947]  I can't even keep up.
[01:07:21.967 --> 01:07:23.669]  Trump is still campaigning every day.
[01:07:24.029 --> 01:07:25.910]  And every event he has, it's the same thing.
[01:07:26.651 --> 01:07:30.353]  There's miles long lines wrapping around the venue.
[01:07:30.613 --> 01:07:35.016]  There is not a single politician other than Donald Trump that can do this.
[01:07:35.557 --> 01:07:36.077]  None!
[01:07:36.297 --> 01:07:37.798]  There is none!
[01:07:37.818 --> 01:07:40.340]  Do you understand that?
[01:07:41.894 --> 01:07:42.895]  Love Donald Trump.
[01:07:42.935 --> 01:07:43.716]  Hate Donald Trump.
[01:07:44.456 --> 01:07:45.577]  You're going to vote for Donald Trump.
[01:07:45.597 --> 01:07:46.638]  You're not going to vote for Donald Trump.
[01:07:46.778 --> 01:07:48.239]  Just recognize the facts here.
[01:07:48.619 --> 01:08:08.135]  There is not a single politician, there is not a single member of the Republican Party that can do what Donald Trump has done and that can get tens of thousands of people consistently at a rally every night showing up pre-dawn, lining up for miles, waiting for hours to get to an event.
[01:08:08.515 --> 01:08:10.377]  You rally behind that.
[01:08:10.757 --> 01:08:12.458]  You coalesce behind that.
[01:08:14.500 --> 01:08:15.701]  And then you build your debt chart.
[01:08:16.341 --> 01:08:17.522]  And then you build your game plan.
[01:08:17.562 --> 01:08:20.804]  And you say, hey, we're coalescing around Donald Trump.
[01:08:21.565 --> 01:08:29.991]  However, we realize that nothing in politics is concrete and that Donald Trump is being attacked by the deep state and who knows what could happen to him.
[01:08:30.091 --> 01:08:44.141]   So we are coalescing behind Donald Trump, but In case the worst happens, we do have a backup plan and we will continue to run the primary process and we will continue to have debates and we will see who's on the depth chart.
[01:08:44.321 --> 01:08:45.462]  Is it going to be number two?
[01:08:45.542 --> 01:08:46.863]  Is it going to be DeSantis?
[01:08:46.903 --> 01:08:47.984]  Is it going to be Ramaswamy?
[01:08:48.004 --> 01:08:48.785]  Is it going to be whoever?
[01:08:49.986 --> 01:08:52.949]  And see, that's what leadership does.
[01:08:53.930 --> 01:08:59.094]  But Mitch McConnell is, for all intents and purposes, not even there.
[01:09:00.140 --> 01:09:04.601]  I think mentally and physically, Mitch McConnell is running on 0% battery.
[01:09:04.882 --> 01:09:06.262]  You're getting the low battery warning.
[01:09:07.022 --> 01:09:09.683]  And then Romney McDaniel is literally out to lunch.
[01:09:09.723 --> 01:09:16.465]  I mean, she's flying around on private jets, she's having fancy lunches, fancy dinners, schmoozing, boozing, and so she's not helping anything at all.
[01:09:17.045 --> 01:09:19.886]  That's what real leadership inside the Republican Party would be doing.
[01:09:20.146 --> 01:09:25.688]  But because we have no real leadership, there's this mad dash to figure out what they're going to do for Speaker of the House.
[01:09:26.088 --> 01:09:27.649]  It's obvious that people want Jim Jordan.
[01:09:29.670 --> 01:09:31.591]  Now, I don't know why Jim Jordan doesn't want that role.
[01:09:31.631 --> 01:09:33.332]  I feel like he could take it right now if he wanted it.
[01:09:33.773 --> 01:09:36.854]  We're going to continue to monitor this as it develops throughout the day.
[01:09:37.355 --> 01:09:40.276]  You know, I would just say this.
[01:09:41.697 --> 01:09:47.440]  I really see these last couple months, and it's not really properly felt.
[01:09:48.281 --> 01:09:52.403]  It's not really properly covered or understood.
[01:09:52.943 --> 01:10:02.121]   But folks, we have truly had the biggest political shift in energy Since 2016 when Donald Trump was elected.
