[00:00:00.249 --> 00:00:01.410]  Z for defeat.
[00:54:20.141 --> 00:54:21.022]  has those systems.
[00:54:21.362 --> 00:54:26.424]  The point is, it's called mutually assured destruction or MAD for a reason.
[00:54:27.265 --> 00:54:30.506]  Because anyone that would violate the MAD doctrine is insane.
[00:54:31.547 --> 00:54:33.688]  And you know, I'm on the side of not having a nuclear war.
[00:54:34.468 --> 00:54:36.189]  Especially when Russia's not starting a fight with us.
[00:54:36.469 --> 00:54:42.472]  And especially after we just heard for years that everything happening in this country is run by Russia when that was all a giant lie.
[00:54:42.472 --> 00:54:44.472]  the globalists are the outside evil force.
[00:54:44.472 --> 00:54:46.472]  [Music]
[00:54:46.472 --> 00:54:53.472]  [Sound Effects]
[00:54:53.472 --> 00:54:58.472]   Alright, he's an incredible investigative journalist, and we were going to have him in here at 1 o'clock,
[00:54:58.472 --> 00:55:00.472]   but I'm going to get him in early so we have more time with him.
[00:55:00.735 --> 00:55:06.958]  Coming up in about 25 minutes, the bottom of the hour, Anthony Rubin of muckraker.com.
[00:55:07.659 --> 00:55:13.962]  And man, the footage he's got embedded in Central America and Southern North America, Mexico, is insane.
[00:55:14.542 --> 00:55:17.944]  And that just ties into all the rest of the open border news we've got.
[00:55:18.504 --> 00:55:22.826]  We're going to be covering it in great detail here today.
[00:55:24.028 --> 00:55:25.671]  But we have W.E.F.
[00:55:25.711 --> 00:55:27.754]  meetings in January and new W.E.F.
[00:55:27.794 --> 00:55:30.959]  meetings going on now and COPE for COP 28.
[00:55:32.725 --> 00:55:39.467]  Where they say imminent cyber attacks, MAGA's gonna work with Russia to take out the power during the election.
[00:55:39.527 --> 00:55:40.607]  Why the hell would we do that?
[00:55:40.647 --> 00:55:41.348]  We're way in the lead.
[00:55:41.948 --> 00:55:46.589]  As if Trump supporters, the average conservative person's out doing this.
[00:55:47.069 --> 00:55:51.751]  They're desperate and Biden's threatening nuclear war and troops in Ukraine, which are already happening.
[00:55:52.131 --> 00:55:59.985]   But officially, if we don't give them unlimited money to keep fighting the Russians, Remember, Kennedy kept us from going to war with the Russians.
[00:56:00.045 --> 00:56:01.386]  This is insane.
[00:56:02.147 --> 00:56:08.552]  And the weapons that are around now versus the 1960s are hundreds of times worse.
[00:56:08.632 --> 00:56:10.013]  I mean, it's just...
[00:56:11.067 --> 00:56:19.894]  Even for me, knowing how crazy the New World Order is, the globalists are, it is hard to sit here and look at this news and realize that we're actually living in this.
[00:56:19.954 --> 00:56:20.935]  But they want power.
[00:56:21.356 --> 00:56:22.677]  They've got bunkers we don't.
[00:56:23.417 --> 00:56:26.120]  Big enough crisis knocks out the power, knocks out communications.
[00:56:26.420 --> 00:56:30.964]  Well, that'll defeat our political movement to take the country back and establish peace and justice and freedom.
[00:56:31.804 --> 00:56:35.848]  Not some utopia, but we'll certainly not try to be evil on purpose.
[00:56:37.614 --> 00:56:39.875]  So we are at a very important inflection point.
[00:56:40.235 --> 00:56:43.295]  Let me give you an example here, because I've got a bunch of these clips I want to get to right now.
[00:56:45.196 --> 00:56:50.677]  Obama produced a dystopian movie for Tells Nightmare Future after a cyber attack collapsed the civilization.
[00:56:51.557 --> 00:56:54.038]  The name of the show is Leaving the World Behind.
[00:56:54.058 --> 00:57:02.720]  And I'll play you the trailer, and it's a series, or I guess they're sort of making it into a series, but they've dropped the first movie.
[00:57:03.762 --> 00:57:07.522]   where Obama sits there and makes the money off of it while he lives at sea level and
[00:57:07.522 --> 00:57:12.242]   tells us, you know, a decade ago that it would be flooded by now. It's all lies.
[00:57:12.242 --> 00:57:18.802]   But here's a short clip where, well, during the collapse, the one group you can't trust is the
[00:57:18.802 --> 00:57:24.882]   white people. So again, this is the CIA, the establishment trying to create total division.
[00:57:24.882 --> 00:57:31.682]   Here it is. I'm asking for you to remember that if the world falls apart, trust should not be
[00:57:31.682 --> 00:57:35.162]  He dulled out easily to anyone, especially white people.
[00:57:35.162 --> 00:57:45.161]  [BLANK_AUDIO]
[00:57:36.109 --> 00:57:38.109]  Even mom would agree with me on that.
[00:57:38.109 --> 00:57:43.109]  I want to play a clip of Dom Lucret again.
[00:57:43.109 --> 00:57:47.109]   He was on this yesterday where he points this out in a moment.
[00:57:47.109 --> 00:57:49.109]  But play that clip one more time.
[00:57:49.971 --> 00:57:50.351]  Play that.
[00:57:50.531 --> 00:57:51.671]  This is what it's filled with.
[00:57:52.632 --> 00:57:55.372]  Oh, society's collapsing, don't trust the white people.
[00:57:56.393 --> 00:58:04.035]  Imagine if they said, society's collapsing, don't trust the black people, or don't trust the Jews, or don't trust the Muslims.
[00:58:06.575 --> 00:58:08.076]  This is insane, ladies and gentlemen.
[00:58:08.096 --> 00:58:10.617]  This is the establishment doing this to divide us.
[00:58:10.677 --> 00:58:12.477]  It's so illegal.
[00:58:12.537 --> 00:58:14.057]  It's so deceptive.
[00:58:14.097 --> 00:58:15.378]  It's so criminal.
[00:58:15.398 --> 00:58:15.878]  Here it is again.
[00:58:16.903 --> 00:58:25.248]  I'm asking for you to remember that if the world falls apart, trust should not be doled out easily to anyone, especially white people.
[00:58:26.448 --> 00:58:27.829]  Even mom would agree with me on that.
[00:58:28.570 --> 00:58:30.391]  Especially the white people.
[00:58:32.072 --> 00:58:37.915]  That's the mouth of BlackRock and the New World Order, the people running the lithium slave mines in Africa.
[00:58:38.555 --> 00:58:42.778]  I mean, that's so white people watch that and start hating black people.
[00:58:46.337 --> 00:58:46.858]  And it's working.
[00:58:51.362 --> 00:58:53.945]  Before I get to the cyber attack stuff, I'll play the air statement.
[00:58:55.767 --> 00:58:57.769]  Here's Dom breaking it down.
[00:58:59.810 --> 00:59:04.413]  Everything that Democrats are doing to white Americans, they tested on the black community first.
[00:59:05.314 --> 00:59:07.695]  They destroyed our economy with riots and fire.
[00:59:08.356 --> 00:59:11.237]  They destroyed our birth control rates with policy.
[00:59:11.618 --> 00:59:14.580]  They destroyed our monuments under the skies of political correctness.
[00:59:14.960 --> 00:59:18.182]  They influenced our use to embrace homosexuality through music.
[00:59:18.822 --> 00:59:20.884]  They influenced our use to rebel through music.
[00:59:21.164 --> 00:59:23.646]  They refused to give us representation in Hollywood.
[00:59:24.127 --> 00:59:25.568]  They told us we weren't victims.
[00:59:25.988 --> 00:59:27.429]  They forced vaccines on us.
[00:59:28.110 --> 00:59:30.452]  And they called us conspiracy theorists when we said no.
[00:59:31.593 --> 00:59:36.397]  What's even worse, they changed our nationality through the Census Bureau more than four times.
[00:59:37.558 --> 00:59:42.222]  They assassinated our real leaders and left us with controlled opposition, such as Al Sharpton.
[00:59:43.102 --> 00:59:46.245]  They changed the color of our historical figures and ignored our outcry.
[00:59:47.176 --> 00:59:50.639]  They told the entire nation that we were a problem because we were black.
[00:59:51.179 --> 00:59:52.540]  Same thing they're doing to whites today.
[00:59:53.440 --> 00:59:54.721]  Yes, it's a cold hard truth.
[00:59:55.302 --> 01:00:00.225]  The Democrats mastered the ability to control a race and now they are doing the same thing to white Americans.
[01:00:01.346 --> 01:00:02.847]  This is where it truly gets worse.
[01:00:04.188 --> 01:00:06.810]  Every black is aware that this happened to us.
[01:00:08.147 --> 01:00:15.550]  Most of us will embrace the new propaganda and white Americans will view it as ignorant and racist the same way we did to white Americans in the past.
[01:00:16.070 --> 01:00:26.654]  So when Netflix replaced every white actor with a black one, the black community will view it as finally being represented and not notice that every white person was taken out.
[01:00:27.620 --> 01:00:33.841]  White America will notice the replacement and will rightfully speak out, but black Americans will only see the outcry.
[01:00:34.181 --> 01:00:36.862]  They will think that white Americans don't want them to have anything.
[01:00:37.262 --> 01:00:39.962]  We are living in the most powerful psyop of all time.
[01:00:39.982 --> 01:00:44.763]  The only reason that history repeats is because they remove it.
[01:00:45.703 --> 01:00:54.084]  I'm asking for you to remember that if the world falls apart, trust should not be doled out easily to anyone, especially white people.
[01:00:55.285 --> 01:00:56.805]  Even mom would agree with me on that.
[01:00:59.778 --> 01:01:02.222]  I mean, it's so obvious, it's so ridiculous.
[01:01:03.344 --> 01:01:05.187]  Hollywood is the enemy of the people.
[01:01:06.880 --> 01:01:11.802]  I don't care if your neighbors are black or white or whatever color they are, you better be friends with them and have a plan when this stuff starts collapsing.
[01:01:12.202 --> 01:01:12.522]  Oh no!
[01:01:13.082 --> 01:01:15.923]  When the power goes off, don't trust the white people.
[01:01:16.063 --> 01:01:17.264]  What the hell?
[01:01:17.864 --> 01:01:26.447]  And the white people are going to see that, and it's going to mean they're not going to help you, and you're not going to help them, so we can't help each other, see?
[01:01:26.847 --> 01:01:34.270]  When they shut all the power off, which they're saying they're getting ready to do, they don't want us to dress each other and work together.
[01:01:34.730 --> 01:01:36.131]  They want race riots during it.
[01:01:38.655 --> 01:01:40.597]  An angrier world that Klaus Schwab talked about.
[01:01:41.377 --> 01:01:42.498]  This is so transparent.
[01:01:42.919 --> 01:01:44.400]  This isn't even 2 plus 2 equals 4.
[01:01:44.440 --> 01:01:48.343]  This is just, look at the number 1 and say it's 1, or the number 10 and say it's 10.
[01:01:48.463 --> 01:01:50.425]  I mean, look at the blue sky, it's a blue sky.
[01:01:50.445 --> 01:01:56.410]  I mean, this is, this is so ridiculous.
[01:01:57.931 --> 01:02:00.153]  And the globalists are like, well you're dumb, that's why you deserve to die.
[01:02:00.433 --> 01:02:01.835]  Watch the public's about to follow this.
[01:02:02.830 --> 01:02:05.873]  I've had the globalists try to recruit me many times in their off-record meetings.
[01:02:05.893 --> 01:02:07.814]  They're like, you know, the public's really dumb.
[01:02:07.854 --> 01:02:08.355]  You can't say it.
[01:02:08.395 --> 01:02:09.135]  Just go ahead and join us.
[01:02:10.376 --> 01:02:12.878]  But I'm not betting against humanity.
[01:02:16.461 --> 01:02:22.286]  Yeah, extremist attacks on US power grids are increasing and election season are usually a popular time for them, experts say.
[01:02:22.706 --> 01:02:25.188]  So we're going to win the election as Team Humanity.
[01:02:25.629 --> 01:02:27.230]  They say we're going to blow up the power grid.
[01:02:30.473 --> 01:02:31.754]  Or shut it off with a cyber attack.
[01:02:35.464 --> 01:02:39.567]  Obama produced film sparks controversy over cautioning against whites.
[01:02:41.988 --> 01:02:46.772]  Imagine if you tuned into a Netflix show and they said, if stuff collapses, don't trust the blacks.
[01:02:46.852 --> 01:02:48.293]  I'd be like, what the hell?
[01:02:48.733 --> 01:02:52.115]  You're going to just lump all black people together like they're bad because what color they are?
[01:02:52.135 --> 01:02:52.275]  What?
[01:02:52.776 --> 01:02:53.336]  What is this?
[01:02:53.396 --> 01:02:54.457]  It's like Hitler stuff.
[01:02:55.898 --> 01:02:58.179]  Oh, but it's white people, so it's OK.
[01:02:58.199 --> 01:03:00.421]  You know, I saw a clip here.
[01:03:04.563 --> 01:03:14.151]  Dr. Phil, and again, he's pro-Israel, I'm not anti-Israel, but he does this whole really powerful six minute video, but he says, they're saying kill all the Jews at Harvard.
[01:03:15.392 --> 01:03:21.497]  Imagine, you know, if they said kill the blacks or kill, but he never says kill the whites, because see, that's okay.
[01:03:22.158 --> 01:03:25.921]  And that's blowback from the left, teaching that all whites are bad.
[01:03:25.961 --> 01:03:27.903]  Well, I mean, what did the leftist Jews think was going to happen?
