[00:00:00.409 --> 00:00:05.912]  The Doomsday Clock was established in the 1950s to warn of the danger of nuclear war.
[01:12:47.308 --> 01:12:54.093]  What you would not be expected to know, and the public should not be expected to know, because they think of mechanical ventilation as life-saving.
[01:12:54.393 --> 01:13:00.058]  Well sure, it is, if you've come in with a road traffic accident or if you're having to have open chest surgery.
[01:13:00.498 --> 01:13:09.385]   But I'll tell you what, in my 30 years experience, We never ventilated someone of 80 with other diseases because they had flu.
[01:13:09.685 --> 01:13:10.226]  Why not?
[01:13:10.906 --> 01:13:11.827]  Really important this one.
[01:13:12.408 --> 01:13:17.392]  Influenza-like illnesses, including COVID, are not obstructive airway diseases.
[01:13:17.432 --> 01:13:18.613]  They don't obstruct your airway.
[01:13:18.933 --> 01:13:20.715]  If you're breathless, you need oxygen.
[01:13:21.756 --> 01:13:28.703]  But you definitely don't want to be sedated, intubated and ventilated because that on its own is incredibly aggressive to an elderly person.
[01:13:29.044 --> 01:13:35.871]  And then they whacked IV remdesivir, midazolam and morphine and they did it at higher doses than usual.
[01:13:36.091 --> 01:13:36.812]  It's not hidden.
[01:13:36.832 --> 01:13:39.755]  It was globally standardized.
[01:13:40.376 --> 01:13:43.795]   Even the UN had meetings that said we're told what to do by Big Pharma.
[01:13:43.795 --> 01:13:49.635]   So Big Pharma got together in these confabs, decided the policy, did the drills beforehand,
[01:13:49.635 --> 01:13:53.496]   suppressed therapeutics, suppressed speech, suppressed the truth, and then rolled something
[01:13:53.496 --> 01:13:55.876]  out as you said that's premeditated murder.
[01:13:55.876 --> 01:13:57.876]   You- I'm afraid to.
[01:13:57.876 --> 01:13:59.956]  Yeah, there's no question, there was no question about it.
[01:14:00.003 --> 01:14:03.983]  And you might say, well, or people might say, well, surely the doctors would know this is not right.
[01:14:04.384 --> 01:14:12.685]  No, only a small percentage of people like ER people or people who are skilled in acute medicine would understand what I just said.
[01:14:12.845 --> 01:14:16.406]  That mechanical ventilation in the right place is life-saving and a miracle.
[01:14:16.726 --> 01:14:18.387]  For everybody else, stay away from it.
[01:14:18.887 --> 01:14:22.548]  And giving it to elderly people without obstructed airways.
[01:14:22.588 --> 01:14:24.088]  They just have flu, like illness.
[01:14:24.668 --> 01:14:28.150]  So you should give them oxygen and calm them down.
[01:14:28.190 --> 01:14:31.092]  Doctor, the time we have, and I can have it back for 10 hours, we were so gracious to join us.
[01:14:32.052 --> 01:14:33.033]  We've got a few minutes to break.
[01:14:34.314 --> 01:14:36.915]  Just 35,000 foot view, and I want you to say it in your own words.
[01:14:36.935 --> 01:14:46.220]  You were on a show about a month ago, we played it a lot, and you said, look, I didn't really believe in God or any of this, but looking at this, it makes you know there's organized evil.
[01:14:46.240 --> 01:14:49.122]  Can you, in your own words, elaborate on that and restate that?
[01:14:50.313 --> 01:14:51.554]  Yes, I certainly can.
[01:14:51.714 --> 01:14:52.974]  I've looked very hard.
[01:14:53.775 --> 01:14:56.176]  People always ask me, why are they doing it?
[01:14:56.716 --> 01:15:03.499]  And they claim there's a necessity to reduce the population because the world is overpopulated.
[01:15:03.859 --> 01:15:04.739]  It's not true.
[01:15:05.159 --> 01:15:11.162]  If you look at the density of people on the planet and the rate of growth now is almost here, it's almost flattened out.
[01:15:12.102 --> 01:15:16.004]  People like Musk have said the biggest problem in 50 years is a falling population.
[01:15:16.304 --> 01:15:17.244]  So rule that one out.
[01:15:17.464 --> 01:15:18.705]  We're not overpopulated.
[01:15:19.025 --> 01:15:22.086]  We're also not running out of so-called fossil fuels.
[01:15:22.106 --> 01:15:23.547]  There's loads of coal and oil.
[01:15:24.007 --> 01:15:26.888]  And the climate, we are not destroying the climate.
[01:15:27.308 --> 01:15:30.509]  They've had 50 years worth of lies on that front.
[01:15:30.869 --> 01:15:39.352]   So I've ruled out The things I would like there to be a reason, and I get to the conclusion that they're doing it because, one, because they can.
[01:15:39.372 --> 01:15:41.673]  I think they've been planning it for decades.
[01:15:42.073 --> 01:15:46.014]  And secondly, I think they believe it's their, I don't know, birthright.
[01:15:46.474 --> 01:15:47.935]  But I do believe it's diabolical.
[01:15:48.675 --> 01:15:49.756]  It's not science-based.
[01:15:49.816 --> 01:15:52.977]  These people, they want control, and they're quite happy to.
[01:15:53.077 --> 01:15:56.918]  I think they're going to kill 90% of the population if we don't stop them.
[01:15:57.838 --> 01:15:58.779]  But here's the point.
[01:15:58.919 --> 01:16:04.161]   One of the ways they'll do it The WHO, I think, is a horrible organisation.
[01:16:04.201 --> 01:16:05.862]  It's not really anything to do with health.
[01:16:06.422 --> 01:16:31.872]   They are trying at the moment, folks, to get all the countries of the world to sign updated international health regulations, whereby in the events of public health emergency of international concern, then Tedros, the head of the WHO, I'm not kidding you here, will have legal autonomy, legal power To set health policy in your country, in the US, in Europe, in the UK.
[01:16:32.572 --> 01:16:36.014]  And they're close to doing it, the international health regulations.
[01:16:36.254 --> 01:16:45.760]  But I should point out to you that even if you trusted the WHO, it's mad to centralize power when you're facing a new challenge.
[01:16:45.960 --> 01:16:49.082]   How have humans solved New challenges?
[01:16:49.462 --> 01:16:53.244]  The answer is they've done lots of different experiments.
[01:16:53.264 --> 01:16:53.985]  You're totally right.
[01:16:54.025 --> 01:16:54.365]  Stay there.
[01:16:54.425 --> 01:16:55.766]  Final segment under Michael Yeadon.
[01:16:55.886 --> 01:16:56.346]  Amazing.
[01:16:56.606 --> 01:16:57.527]  It's a long segment.
[01:16:57.567 --> 01:16:58.968]  I'm going to try to just shut up and give you the floor.
[01:16:59.028 --> 01:16:59.688]  So much to cover.
[01:17:00.008 --> 01:17:01.409]  Everybody needs to share this interview.
[01:17:01.429 --> 01:17:01.909]  We'll be right back.
[01:17:03.750 --> 01:17:04.011]  All right.
[01:17:04.071 --> 01:17:05.712]  Final segment with Dr. Michael Yeadon.
[01:17:05.732 --> 01:17:11.415]  We could listen to him for 10 hours and I want to really ask him in the next month, whenever he can, to come back and do a commercial free broadcast.
[01:17:12.389 --> 01:17:14.450]  Because those podcasts get millions and millions of views.
[01:17:14.490 --> 01:17:16.091]  We've got to get him on Joe Rogan as well.
[01:17:16.111 --> 01:17:17.452]  His studio is right down the street.
[01:17:18.252 --> 01:17:23.916]  We've got Dr. Peter McCullough coming in here in studio next segment to talk about the vindication and everything that's come out.
[01:17:23.936 --> 01:17:25.357]  And it's not about a victory lap.
[01:17:25.397 --> 01:17:28.518]  It's about these experts weren't lying to you and they went through hell.
[01:17:28.859 --> 01:17:29.639]  He's been sued.
[01:17:30.079 --> 01:17:30.780]  He's been attacked.
[01:17:31.260 --> 01:17:32.221]  Everybody's been attacked.
[01:17:34.005 --> 01:17:36.187]  I've been viciously attacked, but it's okay.
[01:17:36.207 --> 01:17:37.348]  We can stare it on air.
[01:17:38.349 --> 01:17:42.393]  If you just support us, and if you just go to Infowarsstore.com and get the great products we have.
[01:17:42.473 --> 01:17:44.095]  This has been sold out for over two and a half years.
[01:17:44.736 --> 01:17:45.576]  We have the new formula.
[01:17:45.596 --> 01:17:46.357]  It's even stronger.
[01:17:46.517 --> 01:17:49.780]  It's got the concentrated turmeric.
[01:17:49.820 --> 01:17:52.143]  It's got the concentrated chicken broth.
[01:17:52.203 --> 01:17:54.986]  It's got the chaga mushroom, the bee pollen, everything that's so good for your immune system.
[01:17:56.249 --> 01:17:58.110]  Ultimate Bone Broth, the best out there.
[01:17:58.150 --> 01:18:00.630]  You're not going to find anything better.
[01:18:00.650 --> 01:18:01.111]  Back in stock.
[01:18:01.131 --> 01:18:01.311]  25% off.
[01:18:01.411 --> 01:18:02.551]  Infowarstore.com.
[01:18:02.971 --> 01:18:05.372]  And I just went off what the scientists and experts said that's good for your blood.
[01:18:05.392 --> 01:18:12.634]  Nitric Boost is already the number one best-selling product that we were able to private label that has compounds that really make your blood a lot healthier and cleaner and better.
[01:18:12.954 --> 01:18:16.095]  This is what a lot of doctors on the show have been recommending just with all the stuff going on.
[01:18:16.775 --> 01:18:18.856]  It's available at Infowarstore.com.
[01:18:18.896 --> 01:18:20.497]  And we have full-spectrum CBD.
[01:18:20.557 --> 01:18:21.137]  No THC.
[01:18:21.857 --> 01:18:25.118]  Full-spectrum, high-end CBD for about half the price you get it in stores.
[01:18:25.778 --> 01:18:26.599]  Private label by us.
[01:18:26.619 --> 01:18:30.720]  Already top-selling brand in the country at InfoWarsTore.com.
[01:18:30.760 --> 01:18:32.060]  And that's how we fight through this.
[01:18:32.160 --> 01:18:33.601]  By the grace of God, stay on air.
[01:18:33.921 --> 01:18:39.263]  So please go to InfoWarsTore.com so we can continue to have these incredible guests on and fight through this together.
[01:18:39.323 --> 01:18:40.223]  But this is a war.
[01:18:40.643 --> 01:18:45.765]  So Dr. Yeadon, please continue in the 10 minutes we have left with other key points you want to add.
[01:18:46.845 --> 01:18:52.650]  I think the vindication is important because it shows you were right and others were right so we can now prosecute and go after the folks that did this.
[01:18:53.070 --> 01:19:00.675]  Nuremberg 2, criminal investigations in Japan, Europe, Florida, I mean all over the place these things are starting.
[01:19:00.695 --> 01:19:01.236]  Please continue.
[01:19:02.253 --> 01:19:03.034]  Yeah, certainly.
[01:19:03.094 --> 01:19:10.378]  So, like I said, they lied to us from the beginning and the right number of times that you're a public health official so lie is zero.
[01:19:10.398 --> 01:19:14.741]  As soon as you realise they are lying, why would you believe anything else that they say?
[01:19:15.762 --> 01:19:26.368]   So, and then the main theme about the so-called vaccines is That even if the narrative was accurate, which it's not, they would not work.
[01:19:26.608 --> 01:19:29.509]  They're not life-saving, just as flu vaccines are not life-saving.
[01:19:29.849 --> 01:19:39.553]  And in particular, these messenger RNA creations, when they're expressed in various tissues of your body, cause your body to attack that tissue.
[01:19:39.893 --> 01:19:41.294]  And it will happen automatically.
[01:19:41.554 --> 01:19:43.935]  It's not an accidental side effect.
[01:19:44.435 --> 01:19:45.976]  It's built into the mechanism.
[01:19:46.036 --> 01:19:50.237]  So I describe these as toxic by design.
[01:19:50.737 --> 01:19:53.118]  And that's why I know it's deliberate and malign.
[01:19:53.418 --> 01:19:54.938]  I would say it's immunology 101.
