[00:00:00.169 --> 00:00:07.411]  Elon Musk's brain computer company Neuralink receives FDA approval to launch human clinical trial.
[01:11:39.279 --> 01:11:44.743]  So they degenerate the culture so that you just accept an immoral society.
[01:11:47.245 --> 01:12:02.707]   Then, they propagandize And weaponize their abuses aimed at children, and they have the shield of protection that if you dare criticize what they're doing, you'll be called a bigot.
[01:12:03.989 --> 01:12:07.413]  So now you're just like, confused, like, wait, what?
[01:12:07.473 --> 01:12:08.255]  What just happened here?
[01:12:10.336 --> 01:12:14.200]  Children having sex change surgeries without their parents' permission?
[01:12:14.600 --> 01:12:18.724]  Yes, this is the culture that the left wing has been building towards.
[01:12:19.185 --> 01:12:23.269]  This is the cultural phenomenon that was always going to be at the bottom of this barrel.
[01:12:24.530 --> 01:12:25.351]  You're now here.
[01:12:27.099 --> 01:12:45.065]  The American left believes they have the right to access your children, and the American left will argue that it is the right thing to do to take a child from their parents, perform a sex change, permanently scarring surgery on them without their parents' permission.
[01:12:46.185 --> 01:12:50.326]  Any other circumstance, any other situation, that's criminal, everybody involved would go to jail.
[01:12:50.726 --> 01:12:56.108]  But when you have the shield of LGBTQ plus pride, that's how they get away with it.
[01:12:58.573 --> 01:13:06.080]  And, you know, I'm not... How should I say this?
[01:13:06.361 --> 01:13:10.725]  I'm perfectly okay with criticism, just as much as I'm perfectly okay with giving out criticism.
[01:13:11.906 --> 01:13:13.828]  So, I'd put it like this.
[01:13:14.649 --> 01:13:17.051]  Do you think they're getting away with this in Muslim countries?
[01:13:19.273 --> 01:13:19.433]  No.
[01:13:21.135 --> 01:13:21.696]  No, they're not.
[01:13:22.947 --> 01:13:30.291]  Hell, they're not even getting away with this in Russia, which is probably more Christian now than the United States of America.
[01:13:32.272 --> 01:13:34.713]  I don't think they do this in Israel, do they?
[01:13:34.833 --> 01:13:37.155]  Do they do the genital mutilation in Israel?
[01:13:37.955 --> 01:13:38.776]  I haven't heard about that.
[01:13:39.656 --> 01:13:40.216]  Maybe they do.
[01:13:43.318 --> 01:13:46.720]  But I'm just going to say this, and I think it's a fair criticism, folks.
[01:13:48.841 --> 01:14:04.332]   They, the American left, the anti- God, American left, does not give a lick about what Christians think, and they have no fear of any backlash from Christians in America at all.
[01:14:05.652 --> 01:14:08.613]  They're not going to pull this off in Muslim countries, I'll tell you that!
[01:14:10.796 --> 01:14:20.763]  But they'll do it right in front of your face here, and so far the Christian conservative movement is really just barely responding to this.
[01:14:20.983 --> 01:14:23.105]  And it's not even really being driven from the church.
[01:14:24.606 --> 01:14:35.073]  Now this could change, but I'm just saying, I'm just saying, who's going to stand up to this?
[01:14:35.153 --> 01:14:36.554]  Who's going to stand up for the children?
[01:14:37.972 --> 01:14:39.713]  Are we going to allow this to continue?
[01:14:39.893 --> 01:14:41.715]  How can it be possible?
[01:14:42.775 --> 01:14:58.926]  How can it be possible that you would have children being taken out of classrooms by teachers and delivered to doctors to have permanent sex change surgeries and that be okay without any pushback?
[01:15:00.127 --> 01:15:02.809]  How in the hell could that even be possible?
[01:15:02.889 --> 01:15:10.861]   Well, you're here now And there has not been a front organized and activated to stop it.
[01:15:10.941 --> 01:15:13.482]  So of course it's going to continue.
[01:15:15.402 --> 01:15:17.142]  So we shall see.
[01:15:18.383 --> 01:15:28.465]  But... I'm just saying, because I've had people reach out and say, you know, you've been awfully critical of Christians in America lately.
[01:15:29.265 --> 01:15:32.525]  Well... Okay.
[01:15:33.806 --> 01:15:47.298]   I'm critical of The fact that I have to go to the Capitol building and it's me and maybe five other people pushing back against this trans kid stuff in Texas and I don't see any Christian leaders.
[01:15:48.519 --> 01:15:49.679]  I don't see any pastors.
[01:15:49.719 --> 01:15:51.560]  I don't see any leaders of congregations.
[01:15:52.600 --> 01:15:56.241]  Whether they're local here in Austin or from Dallas or from Houston or from anywhere.
[01:15:58.550 --> 01:16:13.561]  So I'm sorry if I'm trying to light a fire under the Christian movement in the United States of America, and if you're listening to this and you're a Christian, and that maybe startles you a little bit, well, maybe then that's because there's some truth to what I'm saying.
[01:16:14.601 --> 01:16:17.223]  I don't think this stuff goes on in Muslim countries.
[01:16:18.845 --> 01:16:30.057]   I don't think Islamic leaders would have any tolerance For children being taken out of the classroom and having sex change surgeries.
[01:16:30.317 --> 01:16:30.958]  Could be wrong.
[01:16:31.578 --> 01:16:36.300]  I'm not hearing about that in Muslim, so-called Muslim countries.
[01:16:36.500 --> 01:16:37.961]  But maybe we're not a Christian country anymore.
[01:16:39.602 --> 01:16:40.322]  Maybe that's what it is.
[01:16:40.802 --> 01:16:45.785]  Pride celebration organizers grapple with new Florida laws on drag transgender rights.
[01:16:45.825 --> 01:16:47.646]  Yeah, oh, we can't have nude activity?
[01:16:47.686 --> 01:16:50.587]  We can't have lewd activity directed towards children so they don't know what to do?
[01:16:53.348 --> 01:16:54.249]  It's just ludicrous.
[01:16:54.269 --> 01:16:54.769]  Alright.
[01:16:56.537 --> 01:17:03.018]  Oh, and Target is more offended at you boycotting them because they target children with sexual propaganda.
[01:17:03.278 --> 01:17:08.339]  They're more upset with that than BLM and Antifa burning their stores to the ground.
[01:17:09.019 --> 01:17:09.959]  That's pretty funny.
[01:17:10.879 --> 01:17:17.861]  So the Pride parades, the leaders, the organizers in Florida don't know what to do because Ron DeSantis signed a law.
[01:17:18.321 --> 01:17:21.981]  You can't do nude or lewd activity at your parades anymore.
[01:17:22.041 --> 01:17:23.982]  So now they're like, well, I don't know what we're going to do then.
[01:17:24.002 --> 01:17:25.482]  That tells you everything.
[01:17:26.673 --> 01:17:27.194]  So does this.
[01:17:28.155 --> 01:17:34.502]  AP called out for claim that Target staff were subject to violent confrontations over trans-slash-pride products.
[01:17:35.282 --> 01:17:35.443]  Oh!
[01:17:36.103 --> 01:17:47.896]  Now we did this satirical segment about an hour ago here on the Jones Show that we showed all the images and videos from the BLM Antifa riots from the summer of 2020.
[01:17:50.185 --> 01:17:55.647]  Which were responsible for 175 targets being shut down.
[01:17:56.248 --> 01:18:01.250]  How many targets have had to close because of anti-Pride for Kid protests?
[01:18:02.725 --> 01:18:06.046]  Well, that number is a big fat zero.
[01:18:06.426 --> 01:18:08.587]  That is a big fat zero.
[01:18:08.607 --> 01:18:08.587]  175.
[01:18:08.667 --> 01:18:14.549]  So, how many targets were closed because of left-wing protests?
[01:18:14.569 --> 01:18:14.549]  175.
[01:18:15.109 --> 01:18:18.410]  How many targets were closed because of right-wing protests?
[01:18:18.730 --> 01:18:19.191]  Zero.
[01:18:19.931 --> 01:18:25.053]  Which side of the aisle is target scolding and attacking today?
[01:18:25.313 --> 01:18:27.753]  The side responsible for zero store closures.
[01:18:30.754 --> 01:18:32.055]  Violent confrontations.
[01:18:34.122 --> 01:18:36.244]  Oh, but see, what's the logic here?
[01:18:36.284 --> 01:18:38.185]  That you existing is violent.
[01:18:39.666 --> 01:18:45.631]  Now look, I... This might be a controversial take, and that's perfectly fine.
[01:18:45.671 --> 01:18:47.992]  We're not stranger to those.
[01:18:49.453 --> 01:18:59.521]  I said earlier this week that in the past, when I saw activities like this at the Targets, I did not endorse it and I did not cover it because I did not agree with it.
[01:19:01.320 --> 01:19:07.262]  And so I always thought it was standoffish and inappropriate and aggressive.
[01:19:07.422 --> 01:19:08.343]  And that's coming from me.
[01:19:10.163 --> 01:19:18.826]  But we've reached the point now where again, I'm not going to endorse it, but I am going to cover it and I am going to say, you know what?
[01:19:19.347 --> 01:19:19.527]  No.
[01:19:20.727 --> 01:19:24.409]  You're not going to guilt trip conservatives.
[01:19:25.009 --> 01:19:26.809]  You're not going to guilt trip Christians.
[01:19:26.829 --> 01:19:40.075]   You're not going to guilt trip Individuals that have a problem with Pride for Kids because you don't like that now individuals are going to your Target stores and filming the Pride section for kids.
[01:19:40.475 --> 01:19:44.458]  No, you're not going to guilt trip us and make us feel bad like we're the bad guys here.
[01:19:45.078 --> 01:19:45.539]  We're not.
[01:19:45.719 --> 01:19:52.423]  We're not the ones that burned and looted Targets for an entire summer in 2020 that led to 175 store closures.
[01:19:53.424 --> 01:19:54.305]  So yeah, you know what?
[01:19:55.085 --> 01:19:57.507]  At this point, I will turn my head the other way.
[01:19:59.164 --> 01:20:00.385]  I'm not going to be involved in it.
[01:20:00.605 --> 01:20:02.626]  I'm not going to be smashing any pride displays.
[01:20:02.686 --> 01:20:06.649]  I'm not going to be engaging in any violent, criminal, or aggressive activity at Target.
[01:20:07.610 --> 01:20:08.150]  I went there.
[01:20:08.230 --> 01:20:08.730]  I filmed it.
[01:20:08.770 --> 01:20:09.631]  I shot my report.
[01:20:09.671 --> 01:20:12.633]  We even had a little bit of a conversation with the workers there.
[01:20:12.693 --> 01:20:13.854]  Fully amicable and friendly.
[01:20:15.103 --> 01:20:17.944]  So that's going to be my style of dealing with this.
[01:20:18.304 --> 01:20:19.024]  But no, you know what?
[01:20:19.204 --> 01:20:25.106]  I think I'm more inclined to show you people that might be getting a little more aggressive and maybe smashing a sign and saying, hey, this is going on too.
[01:20:25.426 --> 01:20:48.669]   Not saying I endorse it to each his own, but if you think you're going to guilt trip us into not responding to your pride section for kids, And you think you're going to try to silence us by not calling you out when you did nothing to stop the American left from burning your stores to the ground, looting your stores into closing?
[01:20:49.530 --> 01:20:50.010]  No.
[01:20:50.831 --> 01:20:51.992]  No, I'm sorry.
[01:20:52.192 --> 01:20:52.573]  I'm not.
[01:20:52.933 --> 01:20:56.036]  I'm not going to be taking the bait on that.
[01:20:58.652 --> 01:21:02.513]  So again, I'm not suggesting you do anything aggressive or violent.
[01:21:02.713 --> 01:21:07.134]  I'm not suggesting you go into Target and rip signs up or take clothes down or any of that stuff.
[01:21:07.554 --> 01:21:10.874]  Not suggesting that activity, I'm not endorsing that activity.
[01:21:11.554 --> 01:21:13.315]  I used to not even cover that activity.
[01:21:13.595 --> 01:21:14.915]  But I am going to cover it now.
[01:21:17.235 --> 01:21:19.576]  And I am going to point out the irony that, you know what?
[01:21:20.336 --> 01:21:42.294]   While I might not think it's a good idea to go into the Target Pride for Kids section and smash up the sign, I'm not going to sit here and say that that's a problem when the American left with Black Lives Matter and Antifa were so violent that they had to shut down 175 targets in response.
