[00:00:00.403 --> 00:00:02.709]  Genesis Communications Radio Network
[01:03:04.925 --> 01:03:13.833]  I'm talking about microbial life, proof of it, but they're trying to prep people for it, so they're releasing these photos of a normal-looking atmosphere on Mars.
[01:03:14.847 --> 01:03:25.754]  I want to give a shout out to WorldNetDaily and Jerome Corsi and WND.com has put out another story about Obama's missing year at Columbia now being found.
[01:03:26.175 --> 01:03:26.935]  This is a great article.
[01:03:26.955 --> 01:03:35.941]  I'm not going to go into all the details here, but I just want to say WorldNetDaily and Joseph Farah have done some really amazing reporting on even the birth certificate.
[01:03:36.262 --> 01:03:39.144]  Was that WorldNetDaily or was that Newsmax?
[01:03:40.069 --> 01:03:42.730]  Anyway, I think that's World Night Daily on the birth certificate.
[01:03:42.970 --> 01:03:45.151]  And Jerome, Jerome Corsi, of course, has done amazing research.
[01:03:45.192 --> 01:03:50.914]  But if you look at the social security number and the birth certificate issues, it's WND, I'm sure.
[01:03:51.635 --> 01:03:54.616]  Those are powerful pieces of investigative journalism.
[01:03:54.636 --> 01:03:59.899]  Just want to give a shout out to anybody out there who's investigating the truth and actually backing it up with evidence.
[01:03:59.919 --> 01:04:04.541]  You know, there's a lot of people on the Internet that are just saying whatever, you know, all kinds of weird
[01:04:05.021 --> 01:04:05.582]  We're good to go.
[01:04:29.640 --> 01:04:35.346]  Anybody can spout words, and there are a lot of really great liars out there, including, you know, in Washington, D.C.
[01:04:35.406 --> 01:04:37.248]  Very, very effective liars.
[01:04:37.288 --> 01:04:42.373]  I mean, just look back at the past presidents and current president, and you have some really good liars.
[01:04:42.793 --> 01:04:43.855]  Look for the evidence.
[01:04:44.495 --> 01:04:45.596]  What is documented?
[01:04:45.736 --> 01:04:46.657]  What can be proven?
[01:04:47.338 --> 01:05:02.050]  We're going to have a lot of evidence coming up right now after this coming break with John Rappaport about Merck and the drug manufacturers, vaccine companies, and some of the ways that they are trying to hoodwink us all and our governments at the same time.
[01:05:02.371 --> 01:05:04.232]  All that straight ahead on the Alex Jones Show.
[01:05:04.272 --> 01:05:04.873]  Stay with us.
[01:05:10.675 --> 01:05:18.342]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[01:05:18.782 --> 01:05:22.405]  Alex and his staff have used these pure soap products for years.
[01:05:22.845 --> 01:05:29.671]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[01:05:30.152 --> 01:05:32.974]  See them on the web at 5starsoap.com.
[01:05:33.174 --> 01:05:37.678]  Or call 800-340-7091 for a free catalog.
[01:05:38.018 --> 01:05:43.682]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[01:05:43.963 --> 01:05:49.067]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[01:05:49.367 --> 01:05:50.988]  This is an amazing deal.
[01:05:51.348 --> 01:05:55.972]  You can save thousands of dollars and you will love the way real soap makes you feel.
[01:05:56.592 --> 01:05:59.735]  See them on the web at 5starsoap.com or call
[01:06:00.375 --> 01:06:04.217]  800-340-7091 for a free catalog.
[01:06:08.419 --> 01:06:09.680]  Hi, this is Alex Jones.
[01:06:09.720 --> 01:06:15.063]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[01:06:15.303 --> 01:06:19.925]  Did you know that in a real meltdown, non-hybrid seeds could become more valuable than silver or gold?
[01:06:20.325 --> 01:06:20.705]  It's true.
[01:06:20.786 --> 01:06:23.387]  Seeds have outperformed even gold and silver before in this country.
[01:06:23.607 --> 01:06:25.348]  And it's possible that could even happen again.
[01:06:25.888 --> 01:06:30.591]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[01:06:31.112 --> 01:06:33.033]  They call it a Survival Seed Bank.
[01:06:33.413 --> 01:06:38.036]  And it can produce an endless supply of nutrient-dense food for you and your family.
[01:06:38.216 --> 01:06:39.117]  And here's the best part.
[01:06:39.337 --> 01:06:42.119]  These seeds have not been genetically modified in any way.
[01:06:42.399 --> 01:06:45.721]  And you actually get enough seeds to plant a full acre crisis garden.
[01:06:46.042 --> 01:06:48.863]  So visit them today at survivalseedbank.com.
[01:06:49.224 --> 01:06:51.105]  That's survivalseedbank.com.
[01:06:51.445 --> 01:06:52.366]  Or give them a call at 877-327-0365.
[01:06:56.008 --> 01:06:57.029]  That's 877-327-0365.
[01:07:00.231 --> 01:07:04.753]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[01:07:05.073 --> 01:07:07.535]  This is Alex Jones for SurvivalSeedBank.com.
[01:07:08.995 --> 01:07:23.444]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[01:07:24.454 --> 01:07:28.176]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
[01:07:29.157 --> 01:07:41.145]  Not only does the Silver Lungs System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[01:07:41.905 --> 01:07:49.170]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[01:07:49.850 --> 01:07:59.456]  Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.SilverLungs.com to learn more about how the Silver Lungs System works.
[01:08:00.236 --> 01:08:03.499]  As well, we are always ready to answer any questions you may have.
[01:08:04.159 --> 01:08:07.361]  That's www.SilverLungs.com.
[01:08:10.743 --> 01:08:16.306]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[01:08:30.247 --> 01:08:30.395]  Yeah.
[01:08:41.837 --> 01:08:45.579]  Alright, welcome back to the second hour of the Alex Jones Show.
[01:08:45.619 --> 01:08:47.119]  This is Monday, July 9th, 2012.
[01:08:48.280 --> 01:08:51.601]  Mike Adams, the health ranger, sitting in for Alex today.
[01:08:51.701 --> 01:08:53.662]  Thank you for continuing with us here.
[01:08:54.162 --> 01:08:56.483]  We've got a very powerful segment coming up here right now.
[01:08:56.963 --> 01:09:02.846]  John Rappaport from NoMoreFakeNews.com joins us, but let me give a quick introduction of what we are talking about.
[01:09:03.951 --> 01:09:11.317]  We've got GlaxoSmithKline pleading guilty to criminal fraud and now paying a $3 billion fine.
[01:09:11.357 --> 01:09:12.498]  Yeah, with a B.
[01:09:13.098 --> 01:09:16.501]  $3 billion fine to settle the criminal and civil charges.
[01:09:17.082 --> 01:09:33.395]  We've got two whistleblowers from Merck, two virologists who went public with a false claims act claiming that Merck had spiked the results of falsified test data to fabricate a vaccine efficacy rate of 95% in order to keep selling it to the United States government.
[01:09:34.431 --> 01:09:55.168]  We've got evidence coming out, a lawsuit also filed against Merck that says that they engage in a decade-long scheme to falsify and misrepresent the true efficacy of its vaccine, that it tried to conceal the evidence, that it threatened its virologists with going to jail if they spoke out and went to the FDA.
[01:09:55.688 --> 01:09:59.992]  The allegations here are just absolutely huge.
[01:10:00.572 --> 01:10:04.176]  And then we've got Pfizer being sued by retailers over its anti-competitive scheme.
[01:10:04.697 --> 01:10:18.472]  They say that the company has conspired to keep generic versions of cholesterol drugs off the market so that Pfizer can keep selling its nearly 10 billion dollars a year worth of Lipitor without any competition.
[01:10:19.493 --> 01:10:20.795]  So all of this is going to be now
[01:10:24.005 --> 01:10:28.150]  Discussed by none other than John Rappaport, one of my favorite guests.
[01:10:28.650 --> 01:10:29.511]  He knows his stuff.
[01:10:29.531 --> 01:10:31.433]  He joins us now by Skype video.
[01:10:31.533 --> 01:10:32.875]  John, welcome to the show.
[01:10:32.895 --> 01:10:34.176]  Hi, Mike.
[01:10:34.577 --> 01:10:35.418]  Great to be here.
[01:10:35.438 --> 01:10:39.122]  Yeah, let's get into the chemical warfare section of the show.
[01:10:40.066 --> 01:10:41.687]  Let's get right into it, man.
[01:10:42.528 --> 01:10:53.775]  Let's start with the fact that, number one, you and I and Alex and others who have been talking about this, we are completely vindicated at this point because we've talked about the criminality of Big Pharma, and now here it is.
[01:10:54.555 --> 01:11:01.339]  It's a matter of public record now, a $3 billion fine for criminal activities that the company has pleaded guilty to.
[01:11:03.140 --> 01:11:05.041]  Yes, it is vindication.
[01:11:05.602 --> 01:11:08.263]  And for all those people who have been saying that
[01:11:10.063 --> 01:11:21.032]  You know, we're just a bunch of kooks, and we don't know what we're talking about, and we don't have the facts, and we're just anti-something or other, I don't even know what it is.
[01:11:22.313 --> 01:11:25.255]  They're wrong and we're right, and that's the way it is.
[01:11:25.935 --> 01:11:26.736]  They have been lying.
[01:11:29.119 --> 01:11:33.502]  Media have been supporting these drug companies on and on and on and on and on.
[01:11:34.663 --> 01:11:40.327]  They don't see the continuing conspiracy of criminal activity on the part of Big Pharma.
[01:11:40.387 --> 01:11:41.388]  They don't want to see it.
[01:11:42.469 --> 01:11:44.050]  But it's been there for a long time.
[01:11:45.091 --> 01:11:52.196]  I've been in touch with mainstream reporters for years, trying to convince them to cover this one aspect or another.
[01:11:53.152 --> 01:11:57.155]  And they just shut it out because they know that they won't be able to.
[01:11:57.215 --> 01:11:58.216]  They're not allowed to.
[01:11:58.376 --> 01:12:04.662]  Well, they know where their salaries come from, where media gets its money is largely from the pharmaceutical companies.
[01:12:05.162 --> 01:12:06.203]  But look at this, John.
[01:12:06.343 --> 01:12:13.229]  Even when the False Claims Act came out, that the two whistleblowers from Merck went to the government and said,
[01:12:13.889 --> 01:12:21.596]  The government is being defrauded of hundreds of millions of dollars with a false vaccine, a mumps vaccine that doesn't even work at the claimed rate.
[01:12:22.277 --> 01:12:25.059]  The government said, we don't want to investigate.
[01:12:25.079 --> 01:12:27.381]  They just said, forget it.
[01:12:27.942 --> 01:12:29.643]  Let the company keep doing business that way.
[01:12:29.683 --> 01:12:31.305]  I mean, the government doesn't even care.
[01:12:31.365 --> 01:12:37.050]  We are talking about a deep, deep collusion between government, media and pharma.
[01:12:37.110 --> 01:12:37.891]  What are your thoughts, John?
[01:12:39.241 --> 01:12:40.362]  Well, that's what it is, Mike.
[01:12:40.982 --> 01:12:43.644]  It's been going on for decades.
[01:12:44.184 --> 01:12:45.905]  Decades and decades and decades.
[01:12:46.586 --> 01:12:51.529]  And they're so far in bed together that they can't get out or separate themselves from each other.
[01:12:52.110 --> 01:12:58.154]  Occasionally a scandal erupts, or three of them that we're looking at here, and so they pay a fine.
[01:12:58.794 --> 01:13:00.035]  But nobody goes to jail.
[01:13:00.115 --> 01:13:01.196]  Nobody's really punished.
[01:13:01.796 --> 01:13:08.941]  And let me indicate, as far as GlaxoSmithKline is concerned, you know, they have to pay $3 billion now for
