[00:00:00.714 --> 00:00:04.537]  You got it, brother.
[01:52:56.207 --> 01:52:58.748]  Oh, forget your 200 million guns Americans have.
[01:52:58.748 --> 01:52:59.848]  You'll never defeat an army.
[01:52:59.848 --> 01:53:01.449]  You'll never defeat the high-tech.
[01:53:01.449 --> 01:53:02.309]  Really?
[01:53:02.309 --> 01:53:12.813]  Like the little North Vietnamese with their AK-47s who didn't want to be occupied by the French, the Americans, the Chinese, the Communists, anybody.
[01:53:12.813 --> 01:53:14.213]  Before they became Communists.
[01:53:14.213 --> 01:53:19.235]  Ho Chi Minh wanted to be pro-America, but the West didn't want that, because he wouldn't sell them all the opium at low prices.
[01:53:20.205 --> 01:53:26.150]  The point is, this is all done to make you feel helpless.
[01:53:26.150 --> 01:53:29.953]  To make you think you don't have power.
[01:53:29.953 --> 01:53:35.337]  And there's nothing better when facing tyrants, who are the real cowards, to stop being afraid.
[01:53:35.337 --> 01:53:36.898]  To live on the edge a little bit.
[01:53:36.898 --> 01:53:38.980]  You live on the edge when you drive down the highway with your kids.
[01:53:38.980 --> 01:53:42.543]  Why not live on the edge for freedom?
[01:53:42.543 --> 01:53:48.508]  And then finally, of all these definitions, one that's very important is cognitive dissonance.
[01:53:50.077 --> 01:53:58.700]  The state of having inconsistent thoughts, beliefs, or attitudes as related to behavioral decisions and attitude change.
[01:53:58.700 --> 01:54:05.242]  You know, I could sit here and go, hey, you know, Al Qaeda was created by the Western intelligence agencies and the hijackers were trained at U.S.
[01:54:05.242 --> 01:54:05.902]  bases.
[01:54:05.902 --> 01:54:08.823]  Let me show you admitted congressional reports.
[01:54:08.823 --> 01:54:10.284]  I don't believe that is too crazy.
[01:54:10.284 --> 01:54:12.865]  Okay, but you know they're using Al Qaeda to overthrow Libya and Syria.
[01:54:13.405 --> 01:54:15.267]  Yeah, I heard him admit that, but that's okay.
[01:54:15.267 --> 01:54:18.570]  Hey, you know the TSA, those machines are giving people cancer.
[01:54:18.570 --> 01:54:19.370]  Here's John Hopkins.
[01:54:19.370 --> 01:54:20.291]  I don't want to see that.
[01:54:20.291 --> 01:54:25.696]  You know, reaching down your wife's pants or grabbing your daughter's genitals, that's not keeping you safe.
[01:54:25.696 --> 01:54:26.297]  Oh, whatever.
[01:54:26.297 --> 01:54:27.318]  You just need to get with the program.
[01:54:27.318 --> 01:54:28.459]  They're trying to keep us safe.
[01:54:28.459 --> 01:54:33.343]  Well, you know, the TSA has been caught in all these crimes because a lot of pervs want that job.
[01:54:33.343 --> 01:54:34.524]  Oh, whatever.
[01:54:34.524 --> 01:54:37.487]  You're not going to change it anyways, complainer.
[01:54:37.487 --> 01:54:37.707]  Really?
[01:54:37.707 --> 01:54:39.729]  Well, our founding fathers were complainers then.
[01:54:41.445 --> 01:54:53.795]  You have a lard butt existence because our forebears were like rattlesnakes that didn't put up with anything and would kill you in a New York second if you mess with them.
[01:54:53.795 --> 01:55:08.867]  The only reason 4% of the world's population had half the wealth, it's almost been sucked away now, was because our ancestors would get in a fight with you in about three seconds and the biggest empire in the world said, let's just get out of there, they're not going to give up.
[01:55:09.227 --> 01:55:12.208]  Even though we lost almost every battle, we kept fighting.
[01:55:12.208 --> 01:55:13.649]  Resistance is victory.
[01:55:13.649 --> 01:55:14.129]  Okay?
[01:55:14.129 --> 01:55:23.113]  That's why in Brzezinski's new book, who created Al-Qaeda, the former National Security Advisor, he says, used to we could control people with propaganda, it's better just to kill them.
[01:55:23.113 --> 01:55:26.054]  And Dick Cheney said, you're right, let's release bioweapons.
[01:55:26.054 --> 01:55:28.175]  September 20th, 2000.
[01:55:28.175 --> 01:55:29.776]  Rebuilding America's Defense is PENAC.
[01:55:29.776 --> 01:55:29.996]  Read it.
[01:55:31.425 --> 01:55:32.185]  You think I'm joking?
[01:55:32.185 --> 01:55:33.346]  You just heard that media.
[01:55:33.346 --> 01:55:34.747]  Look it up, okay?
[01:55:34.747 --> 01:55:43.111]  See, the day they release the superhuman mousepox that kills 98% of people come in contact, your little game is over.
[01:55:43.111 --> 01:55:48.494]  We either get control of the globalist national security state or there is no future, okay?
[01:55:48.494 --> 01:55:54.498]  You think the president being foreign-born and being a manufactured cutout is bad?
[01:55:54.498 --> 01:55:58.380]  That's nothing compared to the reality of the crazy people running this planet, okay?
[01:55:59.807 --> 01:56:03.330]  To all the minions and all the servants of the system.
[01:56:03.330 --> 01:56:07.072]  I watched police set people up for beer making equipment in their apartment.
[01:56:07.072 --> 01:56:10.095]  And the media went in and looked at the labels, it was beer making equipment.
[01:56:10.095 --> 01:56:11.456]  They're still going to charge them with terrorism.
[01:56:12.406 --> 01:56:19.632]  I've seen my listeners on helicopter footage from the police pulled over with jumper cables for an InfoWars sticker and they say they're bombs and put them in jail.
[01:56:19.632 --> 01:56:23.135]  Look, sir, bombs, and it's jumper cables on the news.
[01:56:23.135 --> 01:56:24.016]  Cops!
[01:56:24.016 --> 01:56:27.259]  When you're living in a place that does that, you're not safe.
[01:56:27.259 --> 01:56:32.103]  They put you in peer pressure, if you do bad things you get elevated.
[01:56:32.103 --> 01:56:35.767]  That's how the psychology of tyranny works.
[01:56:35.767 --> 01:56:38.329]  None of us have a future if we don't pull back from this, okay?
[01:56:39.690 --> 01:56:45.031]  Because I've studied history, I've looked at the globalists, I've looked at what they're into and what they're pushing.
[01:56:45.031 --> 01:57:04.016]  I mean, take the normalcy bias of the fact that, I read this earlier in the last hour, where they've got a London Independent article where the Satanists are getting Chinese murdered babies the government lets them sell and the others out of Asia are selling them to rich Westerners that want to eat roasted dead baby.
[01:57:04.847 --> 01:57:07.109]  I mean, I've known about this forever.
[01:57:07.109 --> 01:57:13.854]  Folks, CNN reported five years ago that 3,000 plus kids were missing in Florida that the CPS had taken.
[01:57:13.854 --> 01:57:18.137]  And when it turned out that they were being sold overseas, the story just ended.
[01:57:18.137 --> 01:57:21.580]  Folks, they dug up some of the kids in foreign countries.
[01:57:21.580 --> 01:57:27.244]  I mean, they're taking little kids, they're putting them on planes, and they're chopping their heads off after they rape them for a couple weeks.
[01:57:27.244 --> 01:57:32.928]  You can read the article, Britain arrested in Thailand after being found with six roasted babies.
[01:57:32.928 --> 01:57:33.869]  That's London Independent.
[01:57:34.808 --> 01:57:40.995]  I mean, again, reality is beyond anything you can imagine.
[01:57:40.995 --> 01:57:44.359]  When you give in to evil, it takes over.
[01:57:44.359 --> 01:57:45.260]  God bless you all.
[01:57:45.260 --> 01:57:48.763]  We've got incredible videos at InfoWars.com in the lower right-hand corner.
[01:57:48.763 --> 01:57:49.865]  Check out my new gun show there.
