[00:00:00.049 --> 00:00:00.650]  We've got it!
[01:53:45.830 --> 01:53:48.231]  Let's take action and defend the Republic.
[01:53:49.092 --> 01:53:53.454]  And when you're told something, if it's immoral, unconstitutional, don't follow that order.
[01:53:54.015 --> 01:53:56.676]  Because not following orders is what it's all about.
[01:53:57.797 --> 01:54:00.539]  You know, the Nazis tried to say just following orders and they got hung.
[01:54:02.827 --> 01:54:06.788]  Look at how they treat the military, taking their pension funds, taking their death benefits.
[01:54:06.928 --> 01:54:07.969]  England just did the same thing.
[01:54:08.469 --> 01:54:12.530]  Don't... Military doesn't have to take the smallpox and anthrax shots.
[01:54:12.810 --> 01:54:16.951]  And the military always rebels because it kills people when they do it, and then the system has to back off.
[01:54:17.392 --> 01:54:19.772]  We can say no together now.
[01:54:20.433 --> 01:54:22.253]  It's time to start saying no.
[01:54:23.133 --> 01:54:24.834]  It's time to start saying no.
[01:54:27.975 --> 01:54:31.056]  Here's the problem that I've had top genetic engineers on, you've heard them.
[01:54:32.085 --> 01:54:35.206]  In the 90s, they would change the longleaf potato.
[01:54:35.226 --> 01:54:37.326]  There was one top scientist I had on from England about it.
[01:54:37.746 --> 01:54:38.607]  And they would feed it to the rats.
[01:54:38.667 --> 01:54:40.547]  It was sterilizing them and causing problems.
[01:54:41.107 --> 01:54:42.188]  And they said, go ahead and approve it.
[01:54:42.208 --> 01:54:43.868]  We want to reduce population anyways.
[01:54:46.289 --> 01:54:56.171]  But what they found is, is that the longleaf potato, after they did that test, then five, six, seven generations randomly would just start producing poison in it.
[01:54:58.407 --> 01:55:03.090]  Because they can change a gene or even stack six or seven genes, traits.
[01:55:03.450 --> 01:55:05.651]  Some of them have like 50 plus genes stacked in them.
[01:55:05.972 --> 01:55:11.515]  But then randomly, you change one thing and you can make it do what you want, but then randomly it spins out of control.
[01:55:12.676 --> 01:55:14.217]  And then does a whole bunch of other stuff.
[01:55:16.058 --> 01:55:17.619]  People are like, oh, well, you're not a genetic engineer.
[01:55:17.639 --> 01:55:17.919]  Oh, really?
[01:55:17.939 --> 01:55:19.400]  I've only interviewed probably 50 of them.
[01:55:19.680 --> 01:55:21.241]  Go read the papers yourself.
[01:55:21.441 --> 01:55:23.282]  Go read the scientific papers.
[01:55:24.082 --> 01:55:24.763]  Go find out.
[01:55:26.581 --> 01:55:29.883]  You know, scientists for decades said, oh, 96% of the DNA is junk.
[01:55:30.124 --> 01:55:30.764]  Now they've reversed.
[01:55:30.824 --> 01:55:31.585]  Oh, it's not junk.
[01:55:31.885 --> 01:55:32.345]  Sorry.
[01:55:32.545 --> 01:55:36.688]  Uh, we, yeah, you change that little... Let's go ahead and go to this clip.
[01:55:36.708 --> 01:55:39.731]  This is what's happening outside Austin, Texas, where I'm broadcasting from right now.
[01:55:39.771 --> 01:55:40.131]  Here it is.
[01:55:40.471 --> 01:55:40.571]  Hi.
[01:55:40.651 --> 01:55:45.795]  Dr. Gary Warner, a vet who specializes in cattle, conducted the 15 autopsies.
[01:55:46.255 --> 01:55:55.142]  Tests revealed the Tifton 85 grass, which has been here for years, has suddenly started producing cyanide gas, poisoning Abel's cattle.
[01:55:55.302 --> 01:56:06.367]  Coming off the drought that we had the last two years and kind of semi-in one here again, we're concerned that it was a combination of events that may have led us to this.
[01:56:06.427 --> 01:56:16.111]  But until scientists can determine exactly why this tried and true grass suddenly began producing cyanide, Jerry is keeping his livestock far away.
[01:56:16.131 --> 01:56:18.072]  The grasshoppers are enjoying it now.
[01:56:19.938 --> 01:56:20.198]  All right.
[01:56:20.218 --> 01:56:22.040]  Now what is even more worrisome is... That's good.
[01:56:22.240 --> 01:56:23.601]  And again, we're going out there tomorrow.
[01:56:23.641 --> 01:56:25.582]  He's also... We talked to some of the other farmers.
[01:56:25.602 --> 01:56:28.204]  They're feeding him GMO alfalfa, so that could be involved.
[01:56:28.465 --> 01:56:29.786]  You don't know how this stuff's crossing.
[01:56:30.286 --> 01:56:34.389]  But it turns out I had... I actually looked up the scientists we had on for Mingling.
[01:56:34.409 --> 01:56:36.131]  I can't pronounce names like Pakistani.
[01:56:36.851 --> 01:56:37.352]  But the point is...
[01:56:38.362 --> 01:56:43.506]  I looked up what he said like five years ago on the show, and he was talking about toxins being developed, and I didn't know what he was talking about.
[01:56:43.786 --> 01:56:44.466]  I went and looked it up.
[01:56:44.727 --> 01:56:51.131]  It turns out this is routine, even with hybridization, because they'll just suddenly start producing cyanide.
[01:56:53.593 --> 01:57:00.198]  Folks, most of the corn, it's like 87% of the corn in the U.S., is Bt, meaning
[01:57:02.329 --> 01:57:03.730]  Well, there's a whole bunch of different types of it.
[01:57:04.131 --> 01:57:08.294]  But the point is, is that it produces its own pesticide in the corn.
[01:57:09.095 --> 01:57:10.797]  And then bugs who eat it die.
[01:57:11.874 --> 01:57:13.435]  And then they say, but it's okay for you to eat it.
[01:57:13.455 --> 01:57:21.139]  And then I saw that article in Washington Post a few months ago, where they said, well, Monsanto's angry because farmers aren't planting refuge crops for the bugs.
[01:57:21.699 --> 01:57:22.319]  I didn't know that.
[01:57:22.359 --> 01:57:27.642]  They have to plant crops separately just for the bugs to eat, because they don't want all the bugs on earth to die.
[01:57:28.262 --> 01:57:31.764]  So it's like, you got to plant refuge corn for these bugs, because it'll kill them.
[01:57:31.944 --> 01:57:33.345]  But go ahead and feed it to humans.
[01:57:34.386 --> 01:57:36.547]  Here, let's feed some cyanide grass to our kids.
[01:57:36.587 --> 01:57:38.548]  Everybody knows cyanide's good for you.
[01:57:39.704 --> 01:57:42.666]  Folks, we better wake up and say no to tyranny or it's over for everybody.
[01:57:42.866 --> 01:57:43.947]  The elite have gone crazy.
[01:57:43.987 --> 01:57:45.628]  See you back live tomorrow, 11 a.m.
[01:57:45.648 --> 01:57:46.048]  Central.
[01:57:46.308 --> 01:57:49.510]  Infowars.com to see the tank report and more.
[01:57:49.530 --> 01:57:50.090]  It's all up there.
[01:57:52.212 --> 01:57:56.454]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[01:57:56.774 --> 01:57:59.616]  Number one, new climate legislation could easily double
