[00:00:00.049 --> 00:00:01.309]  That's the law required.
[01:05:03.291 --> 01:05:06.652]  My gosh, I can't even allow the promotion on my show of that.
[01:05:07.233 --> 01:05:14.416]  You know, of, of, oh, here they are for free at this place, you know, or, or here they are for, it's just, sometimes it becomes mind-boggling.
[01:05:14.676 --> 01:05:17.097]  I get emails like, why do you got advertisers on your website?
[01:05:17.117 --> 01:05:18.137]  You shouldn't even do that!
[01:05:19.358 --> 01:05:24.060]  Uh, we wouldn't be here, ladies and gentlemen, unless somebody wants to give us a big endowment.
[01:05:24.780 --> 01:05:27.121]  Tell you what, big enough endowment, I'll stop selling everything.
[01:05:27.181 --> 01:05:28.241]  I will give it out for free.
[01:05:28.542 --> 01:05:29.162]  We'll be right back.
[01:05:33.510 --> 01:05:38.953]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[01:05:39.333 --> 01:05:46.917]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[01:05:47.682 --> 01:05:54.728]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[01:05:55.128 --> 01:06:06.537]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[01:06:06.877 --> 01:06:10.400]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[01:06:10.840 --> 01:06:12.742]  It's an anthology of government crimes.
[01:06:13.102 --> 01:06:16.945]  Terror Storm is a film that everyone who wants to be truly informed must see.
[01:06:17.532 --> 01:06:24.866]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[01:06:30.299 --> 01:06:31.080]  Terrorism!
[01:06:31.220 --> 01:06:31.980]  Terrorism!
[01:06:32.081 --> 01:06:38.125]  Chemical attacks, dirty bombs, fallout, biological attack, anthrax, and to top it all off, duct tape and plastic!
[01:06:38.406 --> 01:06:39.987]  Alarming words for our time!
[01:06:40.247 --> 01:06:42.709]  But how do you protect your family during such a crisis?
[01:06:43.109 --> 01:06:57.681]  The video sheltering in place surviving acts of terrorism from biological, chemical, and radioactive fallout was developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health, communicable diseases, and has worked as a nuclear specialist for the U.S.
[01:06:57.721 --> 01:06:58.021]  government.
[01:06:58.202 --> 01:06:59.943]  Anyone can follow the simple instructions.
[01:07:00.183 --> 01:07:06.287]  Yes, it's presented by a housewife as they walk you step-by-step through the process of preparing your home as a shelter.
[01:07:06.427 --> 01:07:10.931]  If you're not the type who waits until it's too late, then you need the video, Sheltering in Place.
[01:07:11.171 --> 01:07:16.534]  Get the critical information you need now for only $29 plus shipping by calling New Millennium at 888-803-4438.
[01:07:16.674 --> 01:07:17.895]  And tell them Alex Jones sent you.
[01:07:17.955 --> 01:07:18.216]  That's 888-803-4438.
[01:07:18.236 --> 01:07:20.237]  Or order on the web at murkywater.com.
[01:07:29.947 --> 01:07:34.231]  Are you fed up with all the side effects of chemicals in your shampoos and detergents?
[01:07:34.471 --> 01:07:39.315]  Even fragrances can signal some 4,000 separate ingredients, most of which are synthetic.
[01:07:39.555 --> 01:07:40.896]  Hi folks, Alex Jones here.
[01:07:41.076 --> 01:07:44.539]  Why not go back to basics and be safe with Calbin Pure Soaps?
[01:07:44.679 --> 01:07:49.844]  They're all natural and you'll save some 85% the money you're spending for your cleaning products now.
[01:07:50.104 --> 01:07:55.889]  Marty Schachter founded Calbin's soap company in 1947 and provided products for health institutions.
[01:07:56.189 --> 01:07:58.651]  Now, Calvin Soaps are available to you and me.
[01:07:58.711 --> 01:08:01.033]  Triple concentrated for all your cleaning needs.
[01:08:01.233 --> 01:08:03.374]  From bathing and laundry to dishes, hair and more.
[01:08:03.675 --> 01:08:04.655]  No harsh chemicals.
[01:08:04.875 --> 01:08:05.816]  No animal testing.
[01:08:06.056 --> 01:08:07.377]  I use them and love them.
[01:08:07.397 --> 01:08:08.998]  Knowing they're all natural and safe.
[01:08:09.279 --> 01:08:10.379]  And I save big time.
[01:08:10.700 --> 01:08:11.921]  Call Calvin Pure Soap at 1-800-340-7091.
[01:08:11.941 --> 01:08:12.161]  That's 1-800-340-7091.
[01:08:12.181 --> 01:08:13.782]  Or log on to 5starsoap.com now for a free catalog.
[01:08:22.188 --> 01:08:24.451]  Again, that number, 1-800-340-7091 or 5starsoap.com for all your cleaning needs.
[01:08:35.265 --> 01:08:39.447]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:08:40.107 --> 01:08:40.927]  You want answers?
[01:08:41.688 --> 01:08:42.688]  Well, so does he.
[01:08:43.248 --> 01:08:46.910]  He's Alex Jones on the GCN Radio Network.
[01:08:47.430 --> 01:08:51.551]  And now, live from Austin, Texas, Alex Jones.
[01:09:13.475 --> 01:09:14.736]  Welcome, ladies and gentlemen.
[01:09:14.796 --> 01:09:15.196]  Welcome.
[01:09:15.236 --> 01:09:16.377]  Thank you for joining us.
[01:09:16.737 --> 01:09:21.119]  We're now about 8 minutes and 45 seconds into this second hour.
[01:09:21.159 --> 01:09:26.242]  We will have open phones throughout this hour, into the next hour, and I have a huge stack of important news I'll be covering.
[01:09:27.083 --> 01:09:32.186]  I guess about three weeks ago, I learned that Mr. Franchi here on the Genesis Network
[01:09:33.033 --> 01:09:34.175]  I think so.
[01:09:45.880 --> 01:09:51.925]  And I don't watch a lot of television, but I had once or twice actually seen the television show because it's very popular.
[01:09:52.385 --> 01:09:56.528]  One of the most popular on cable, on FX, Rescue Me.
[01:09:56.868 --> 01:09:57.889]  The star of Rescue Me.
[01:09:58.329 --> 01:10:00.291]  And he plays the fireman Franco on the program.
[01:10:01.031 --> 01:10:04.594]  And he's had a lot of other roles, of course, in television and movies.
[01:10:04.794 --> 01:10:07.456]  But the point is, he has the courage to go public on 9-11.
[01:10:09.077 --> 01:10:14.441]  You know, frankly, Kurt Vonnegut didn't
[01:10:16.770 --> 01:10:26.674]  It was never clear if Kurt Vonnegut wanted his views on 9-11 to be public, so I didn't make his full views that have been relayed to me and through him to me on 9-11.
[01:10:27.074 --> 01:10:30.356]  As we put a story out yesterday about was Kurt Vonnegut a 9-11 truther?
[01:10:30.816 --> 01:10:34.397]  The headline probably should have been, Kurt Vonnegut was a 9-11 skeptic.
[01:10:35.618 --> 01:10:40.500]  I found out that he'd seen my films by one of his business partners, his associate.
[01:10:40.880 --> 01:10:42.080]  Then I got in contact with him.
[01:10:42.120 --> 01:10:44.041]  I sent him more of my films per request.
[01:10:44.913 --> 01:10:57.349]  And Kurt Vonnegut then sent me a signed, you know, one of his lithograph paintings of the open birdcage, you know, the freedom of the mind, I guess, or freedom of the soul is what it symbolizes, he said, or just, you know, freedom.
[01:10:58.138 --> 01:10:59.498]  And, uh, you know, hand-signed.
[01:11:00.579 --> 01:11:05.820]  I just felt like, you know, the guy died two days ago, it was public yesterday, and that's important historically.
[01:11:06.000 --> 01:11:12.622]  I mean, he said the only difference between Bush, this is an exact quote, the only difference between Bush and Hitler is that Hitler was elected.
[01:11:13.142 --> 01:11:20.184]  And he was elected the President, and then he became President and Chancellor, abolished those offices for the office of the Führer.
[01:11:20.784 --> 01:11:23.105]  When von Hindenburg died, he became the Chancellor as well.
[01:11:24.386 --> 01:11:36.079]  So, yes, bottom line, Kurt Vonnegut, another, you know, just an icon, was investigating 9-11 and I can tell you knew that it certainly wasn't what we were told.
[01:11:36.740 --> 01:11:39.924]  But I'm going to leave it at that because some of that stuff that was relayed to me was private.
[01:11:42.541 --> 01:11:45.063]  We deserve to know that, so I'm going to leave it at that.
[01:11:45.223 --> 01:11:47.826]  There were a few skeptics on the message board going, what are you doing?
[01:11:47.846 --> 01:11:48.866]  What are you posting this for?
[01:11:49.387 --> 01:11:56.753]  You know, so you claim he sent you this letter, and he sent you this little picture, a hand sign.
[01:11:57.033 --> 01:11:57.754]  Oh, I bet.
[01:11:58.555 --> 01:12:04.740]  Well, folks, I mean, it's really true that James Brolin's gone public on 9-11, and Rosie O'Donnell and Charlie Sheen.
[01:12:05.783 --> 01:12:11.790]  And frankly, if I told you the people that I know personally that know about 9-11, it even dwarfs those huge celebrities.
[01:12:12.171 --> 01:12:23.424]  Of the top five biggest people in Hollywood, I personally talked to three of the biggest, okay, who've known for years it's an inside job, but they're not going to go public, and I'm not going to blow their cover.
[01:12:23.444 --> 01:12:24.425]  But I'm going to shut up about that.
[01:12:25.969 --> 01:12:31.813]  Daniel Sanjata has incredible courage, and he joins us now via cell phone.
[01:12:32.314 --> 01:12:33.835]  Are you in Chicago or Los Angeles?
[01:12:34.275 --> 01:12:36.056]  I'm actually in New York City right now.
[01:12:36.597 --> 01:12:37.637]  You're in New York right now.
[01:12:37.697 --> 01:12:40.699]  Well, thanks for listening for three minutes while I babble.
[01:12:40.739 --> 01:12:53.008]  Tell us a little bit about yourself, about your TV show, why you like playing a fireman, some of the easy stuff up front, and then how you woke up to 9-11, and what you think happened, and what the repercussions have been of going public.
[01:12:53.604 --> 01:12:53.884]  Sure.
[01:12:53.904 --> 01:12:58.367]  Well, there really haven't been too many repercussions at this point, Alex.
[01:12:58.427 --> 01:13:08.934]  I think I'm a small enough fish in the pond that my coming out publicly about 9-11 being an inside job has not created any tremendous seismic disturbances.
[01:13:11.776 --> 01:13:17.740]  I did want to say, though, I think it really is getting to a point where it's... I don't know the quote exactly.
[01:13:17.760 --> 01:13:26.947]  I've heard you say it many, many times, though, that, you know, and I'm hoping that you can repeat it for my benefit, maybe for the benefit of your audience members who might also not remember it.
[01:13:26.967 --> 01:13:30.549]  It's something about when a patriot first speaks out.
[01:13:30.589 --> 01:13:32.170]  It's something that's dangerous.
[01:13:32.230 --> 01:13:32.891]  Sure, sure.
[01:13:32.931 --> 01:13:33.711]  It's Mark Twain.
[01:13:33.751 --> 01:13:37.294]  I usually flummox it myself, but I mean, the full quote is,
[01:13:38.562 --> 01:13:48.099]  A patriot in the beginning is a scarce man, hated and feared and scorned, but in time when his cause succeeds, the timid join him because then it costs nothing to be a patriot.
[01:13:48.320 --> 01:13:48.941]  That was Mark Twain.
[01:13:49.602 --> 01:13:50.583]  Amen, amen to that.
[01:13:51.203 --> 01:14:05.615]  I think it really is getting to the point where it's, I wouldn't say it's getting to the point where it maybe costs nothing to be a patriot, but it certainly seems like it's getting to that very critical tipping point where speaking out about 9-11 truth is something that's becoming almost popular to do.
[01:14:06.136 --> 01:14:13.582]  And I don't know what exactly it is, you know, it's almost like I'm watching this huge dam that seems like it should have broken about three, four months ago.
[01:14:14.422 --> 01:14:33.779]  And maybe when loose change hits theaters this summer, maybe if we can finally get a very public platform for people like Professor Steven Jones, yourself, other people who have come out publicly rosy, Charlie, to actually talk about these issues, maybe then the dam will completely break and it'll become
[01:14:34.259 --> 01:14:34.960]  I'm a small fish in the pond.
[01:14:52.497 --> 01:15:05.084]  The important in any way is because I happen to be representing, me and the other guys on the show, we're representing these heroes, these men and women who died that day and risked their lives daily doing a job that most of us do not have the courage to do.
[01:15:06.305 --> 01:15:14.490]  And my moral conscience just wouldn't let me, would not let me remain silent considering the grave importance of this particular issue.
[01:15:15.249 --> 01:15:17.950]  Well, I wouldn't call you a small fish, but I would say this.
[01:15:18.390 --> 01:15:21.752]  I mean, I'm a nobody, but we're all a somebody at the same time.
[01:15:22.472 --> 01:15:33.197]  And it is courage for a school teacher that goes public, or a professor, or a police officer, or a fighter pilot, or somebody with one of the most highly rated TV shows on cable.
