[00:00:00.009 --> 00:00:01.789]  Thank you for listening to GCA.
[01:25:18.701 --> 01:25:22.284]  So I'm just going to literally turn my mic off and step back.
[01:25:22.304 --> 01:25:24.726]  We're going to skip this next break for the internet.
[01:25:24.966 --> 01:25:26.087]  Everybody else will be right back.
[01:25:26.828 --> 01:25:27.968]  And just, you've got the floor.
[01:25:28.029 --> 01:25:28.449]  Run with it.
[01:25:29.898 --> 01:25:37.724]  Well, first of all, in terms of where we're going with this, we need to get a blank sheet of paper.
[01:25:38.385 --> 01:25:45.410]  I'm not talking as some guru who's on a mountain and telling you how to do it.
[01:25:45.890 --> 01:25:49.093]  I'm telling you what's happened to me over the last 20 years.
[01:25:50.134 --> 01:25:59.421]  It's a simple thing, Alex, but my goodness me is it powerful in how it pans out and plays out and changes in your life and everything.
[01:26:00.261 --> 01:26:25.775]  Once you look in the mirror and you identify what you are looking at with the vehicle that's allowing you to experience this frequency range we call the world, and you move your sense of identity to, I am infinite consciousness, I am all that is, has been and ever will be, not that time exists outside of this reality, it's another figment of our manipulated imagination.
[01:26:26.415 --> 01:26:26.856]  I don't
[01:26:42.273 --> 01:26:42.934]  I don't know.
[01:27:02.270 --> 01:27:03.371]  That's attraction.
[01:27:03.391 --> 01:27:13.380]  I was in a half-wake state waking up the other day, and going around my head was this statement, Love is not what you are in.
[01:27:13.640 --> 01:27:14.541]  I'm in love with you.
[01:27:14.921 --> 01:27:16.203]  Love is what you are.
[01:27:16.303 --> 01:27:24.009]  And at that level, that level of love, the true definition of love, not attraction, but love for all, love for self, it has
[01:27:25.422 --> 01:27:27.323]  No, I don't think so.
[01:27:44.054 --> 01:27:45.474]  Freedom doesn't do consequences.
[01:27:45.514 --> 01:27:46.695]  Love doesn't do consequences.
[01:27:46.775 --> 01:27:48.215]  It does what it believes to be right.
[01:27:48.615 --> 01:28:09.601]  And I tell you what, when you get to this level of consciousness, Alex, something that would change this world overnight because of all that would come from it, if people started making decisions not based on what is right for me in the circumstances before me, and that turns out often not to be right for you anyway, but what is right
[01:28:10.561 --> 01:28:13.302]  End of story in the circumstances that I face.
[01:28:13.782 --> 01:28:14.622]  What is right?
[01:28:14.862 --> 01:28:15.682]  What is just?
[01:28:16.002 --> 01:28:16.922]  What is fair?
[01:28:18.063 --> 01:28:21.483]  What do I need to do to pursue that version of what is right?
[01:28:21.783 --> 01:28:29.525]  And if we did that, there'd be no hunger, there'd be no conflict, there'd be no child abuse, there'd be no environmental abuse, there'd be none of this stuff.
[01:28:29.725 --> 01:28:37.787]  We'd be in a completely different level of consciousness, and therefore we'd be in a completely different level of experiences of this world.
[01:28:38.127 --> 01:28:39.407]  As Albert Einstein said,
[01:28:39.867 --> 01:28:44.931]  You cannot solve problems with the same level of consciousness that created them.
[01:28:45.352 --> 01:29:00.124]  And because we've got caught in body consciousness and not the high soul consciousness, if you like, that we really are, therefore we bring a political party in with a certain level of consciousness and we replace it with another with the same level of consciousness.
[01:29:00.484 --> 01:29:08.991]  We interact with the world with the same level of consciousness and then we wonder why the world never changes for the better because the same level of consciousness
[01:29:09.671 --> 01:29:09.892]  Thank you.
[01:29:24.788 --> 01:29:29.792]  Because illusions only control you when you think they're real, and that's the key to this conspiracy.
[01:29:30.092 --> 01:29:37.757]  It's been persuading people that this illusion that we're interacting with, and we can have great fun and joy with, is actually real.
[01:29:37.897 --> 01:29:44.661]  And once you buy that one, you're in body consciousness, and you're in the slammer.
[01:29:45.122 --> 01:29:51.886]  And we're at a time now with this awakening when we can open the door and transform this world.
[01:29:57.488 --> 01:30:01.470]  David, I don't want to turn this into a massive extravaganza.
[01:30:01.950 --> 01:30:04.331]  No, I tell you, you want to go into the dark stuff, I'll tell you about that.
[01:30:04.511 --> 01:30:14.374]  Well, well, well, the thing is, well, I mean, I know that you've got a lot of things to do, but I would love, and I promise you we would end it then and also give you a break later.
[01:30:14.835 --> 01:30:17.255]  What if we did 20 minutes into the next hour?
[01:30:18.176 --> 01:30:19.176]  The show normally ends in 30.
[01:30:20.136 --> 01:30:21.037]  We're on the march.
[01:30:21.537 --> 01:30:23.138]  The Empire's on the run.
[01:30:24.058 --> 01:30:26.739]  Alex Jones and the GCN Radio Network.
[01:30:30.735 --> 01:30:42.462]  Now that the election is over and the shock is beginning to wear off, Ready Reserve foods in an effort to get as many Americans prepared for the promised changes of the new administration and to help you and your family survive the global economic crash.
[01:30:43.062 --> 01:30:45.604]  Ready Reserve is offering the pre-inauguration special.
[01:30:46.204 --> 01:30:52.968]  Between now and January 20th, 2009, all food units U1 through U7 are being offered at wholesale prices.
[01:30:53.448 --> 01:30:54.989]  That's a 33% savings.
[01:30:55.289 --> 01:30:58.591]  A year's supply of meals starts as low as 73 cents per meal.
[01:30:59.011 --> 01:31:08.216]  Ready Reserve Food offers only the highest quality dehydrated food, packed in double enameled cans in an inert nitrogen atmosphere, allowing a 15 plus year shelf life.
[01:31:08.916 --> 01:31:09.196]  I think so.
[01:31:29.731 --> 01:31:36.134]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[01:31:36.495 --> 01:31:38.476]  The enemy struck America on September 11th.
[01:31:39.136 --> 01:31:40.176]  But who is the enemy?
[01:31:40.677 --> 01:31:41.237]  Bin Laden.
[01:31:41.477 --> 01:31:42.418]  This is his ammo.
[01:31:42.438 --> 01:31:43.838]  We have to look to the Middle East.
[01:31:43.858 --> 01:31:45.299]  We have to look to Osama Bin Laden.
[01:31:45.840 --> 01:31:52.586]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[01:31:52.986 --> 01:31:53.447]  Some U.S.
[01:31:53.487 --> 01:31:59.212]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[01:31:59.833 --> 01:32:03.276]  I'm aware that some Israeli citizens have been detained.
[01:32:03.516 --> 01:32:13.580]  Bin Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[01:32:13.600 --> 01:32:14.561]  Fabled enemies.
[01:32:15.021 --> 01:32:22.304]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[01:32:22.784 --> 01:32:26.186]  Either you are with us or you are with the terrorists.
[01:32:29.935 --> 01:32:31.797]  Heart disease is on the rise.
[01:32:31.957 --> 01:32:38.643]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[01:32:38.903 --> 01:32:47.070]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[01:32:47.291 --> 01:32:53.016]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[01:32:53.436 --> 01:32:54.977]  My blood pressure has normalized.
[01:32:55.037 --> 01:32:57.178]  My diabetes has totally improved.
[01:32:57.278 --> 01:32:59.679]  Everyone is telling me now how much healthier I look.
[01:32:59.739 --> 01:33:01.580]  And I'm telling everyone how much healthier I feel.
[01:33:01.741 --> 01:33:03.842]  I recommend Heart and Body Extract to everyone.
[01:33:03.962 --> 01:33:11.726]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[01:33:11.906 --> 01:33:14.248]  Order your two-month supply today by calling 866-295-5305.
[01:33:14.368 --> 01:33:14.568]  That's 866-295-5305.
[01:33:14.588 --> 01:33:16.610]  Or order online at HBextract.com.
[01:33:16.650 --> 01:33:18.332]  Heart and Body Extract, 866-295-5305.
[01:33:18.532 --> 01:33:19.332]  Or HBextract.com.
[01:33:29.896 --> 01:33:35.760]  I think I'm going to go ahead and myself, David can't stay with us, but I'm going to go into overdrive at InfoWars.com for 20 minutes.
[01:33:35.780 --> 01:33:37.802]  You good to do that, Paul?
[01:33:38.262 --> 01:33:41.625]  Because I want to cover what's happening with the markets after David leaves us.
[01:33:42.886 --> 01:33:45.828]  But I do want to take some time out and take some calls before the show ends as well.
[01:33:47.443 --> 01:33:58.848]  David, during the break, when we were still talking for the internet audience on PrisonPlanet.tv, we were discussing, you know, I was saying, well, the elite are like a cancer, though.
[01:33:58.888 --> 01:33:59.788]  They understand this.
[01:33:59.828 --> 01:34:06.932]  They've decided to be dark and evil and to shudder the souls of humanity because it makes them more easily manageable.
[01:34:08.232 --> 01:34:10.613]  Well, they are locked into such a depth of their own body consciousness that
[01:34:34.466 --> 01:34:43.671]  That's why, and there's other connections to that, but they're so locked into that level of reality that that's why they're so good at manipulating it.
[01:34:44.391 --> 01:34:58.318]  They're almost like soulless beings who have lost such contact with these higher levels of awareness that basically, if you look at the way they operate, they operate through intellect.
[01:34:58.838 --> 01:35:00.459]  They are very, very clever.
[01:35:00.899 --> 01:35:06.101]  But they have absolutely no wisdom, and cleverness without wisdom is the most destructive force on earth.
[01:35:06.561 --> 01:35:14.483]  So they're coming from an intellectual level, which is a body consciousness level, because the intellect thinks and works things out.
[01:35:14.563 --> 01:35:17.044]  It's not that high a knowing that we've talked about.
[01:35:17.424 --> 01:35:25.787]  And they're so stuck in it that they have lost touch with a key self-balancing mechanism, which is empathy.
[01:35:26.187 --> 01:35:27.829]  They have no empathy.
[01:35:28.430 --> 01:35:34.117]  And because they have no empathy, they have no emotional consequences for what they do to people.
[01:35:34.157 --> 01:35:39.464]  So 3,000 people on 9-11, hundreds and hundreds of thousands of dead and maimed civilians in Iraq.
[01:35:40.146 --> 01:35:43.289]  We couldn't do that because we have empathy.
[01:35:43.569 --> 01:35:48.373]  We have this emotional feeling for the consequences for others of our actions.
[01:35:48.674 --> 01:35:50.756]  When you don't have them, there are no limits.
[01:35:50.816 --> 01:35:52.177]  And that's why they act like they do.
[01:35:52.217 --> 01:36:02.046]  And it's why I've been saying for years, if you see what they would do on the basis of what you would do, then you've lost the plot because they're not the same because of what I've been talking about.
[01:36:02.466 --> 01:36:03.007]  And they are.
[01:36:03.067 --> 01:36:04.388]  I mean, I know I've had lots of
[01:36:05.294 --> 01:36:05.915]  I don't know.
[01:36:18.121 --> 01:36:31.311]  Just outside of visible light, you know, as I said right at the start of this chat today, I'm sitting here in California and all the television and radio stations broadcasting in California are sharing the same space that I'm sharing.
