[00:00:00.009 --> 00:00:01.070]  Okay, ladies and gentlemen.
[01:13:08.630 --> 01:13:10.571]  It's just so over the top.
[01:13:10.851 --> 01:13:20.434]  Well, I think it's because we recognize that humanity and love for humanity aren't just contained within the borders of the United States.
[01:13:21.634 --> 01:13:26.296]  People in Iraq and Afghanistan and wherever, they deserve and they want security.
[01:13:27.069 --> 01:13:30.711]  And peace and prosperity as much as Americans want for their children.
[01:13:31.452 --> 01:13:36.454]  And so that somehow makes us anti-American because we're pro-humanity.
[01:13:36.915 --> 01:13:51.183]  But the real true values of this country are the values that we are fighting for to not disappear, not be forgotten, not be shoved down the memory hole of this neo-con ruling elite.
[01:13:51.423 --> 01:13:54.084]  And as long as we're alive, that's not going to happen.
[01:13:54.145 --> 01:13:55.585]  But they're trying to shut us up.
[01:13:55.605 --> 01:13:56.666]  They're trying to keep us out.
[01:13:57.122 --> 01:14:16.650]  And we appreciate your show and other shows that are independent from the mainstream because you know the mainstream media and the corporate media here are really trying to shut us out, to not allow us to present our vision because our vision is so alternative to what they want.
[01:14:16.830 --> 01:14:24.032]  Exactly, that brings me to another issue and I want to plug the campaign and the different ways folks can get involved but the inventor of the internet
[01:14:25.493 --> 01:14:39.562]  Over in England and others are calling for basically restricting it, certifying websites, internet to governments, the newspapers are imploding, TV ratings are plunging, alternative media is surging.
[01:14:40.423 --> 01:14:44.666]  And the mainstream has been discredited and they're angry at us, the alternative.
[01:14:45.886 --> 01:14:53.311]  They discredited themselves and so they're not just trying to shut you out of mainstream television and print, they're also trying to shut down and restrict the web.
[01:14:53.331 --> 01:14:54.072]  Can you speak to that?
[01:14:54.574 --> 01:15:09.665]  And that's really common in other countries because I travel extensively and you have to register websites and you have to know that if you're on the internet that there are some sites that they're going to block.
[01:15:10.866 --> 01:15:13.328]  But they're overt about it.
[01:15:13.868 --> 01:15:19.713]  In the United States, we know that we're being spied on via the internet, but at least they're covert about it.
[01:15:23.336 --> 01:15:31.520]  We've gone to the lengths to take away our non-biased news on the television.
[01:15:31.900 --> 01:15:33.941]  They've gone to great lengths to do that.
[01:15:34.021 --> 01:15:35.902]  There's no more fairness doctrine.
[01:15:35.942 --> 01:15:52.191]  Nancy Pelosi can be on all the shows everywhere, you know, promoting her book or promoting her corporate malignant vision for America, but we can't demand equal time, and that's just something
[01:15:52.864 --> 01:15:56.005]  That they've been working on very hard for the past few decades.
[01:15:56.265 --> 01:16:04.008]  But then that's the other problem is the Fairness Doctrine, and I would be for it if they're going to have Nancy Pelosi on, you're a real candidate against her, you should be on those shows.
[01:16:04.348 --> 01:16:11.931]  But the point is they would then use that to shut me down and say, well, since Pelosi doesn't want to come on your show, you just can't talk bad about Pelosi.
[01:16:12.292 --> 01:16:17.954]  You know, kind of like the quote campaign finance reform that just doubled the amount corporations can give but restrict citizens.
[01:16:17.974 --> 01:16:18.574]  But you're right.
[01:16:18.994 --> 01:16:20.935]  They are just giving her lavish coverage.
[01:16:21.515 --> 01:16:23.357]  And really trying to shut you down.
[01:16:23.377 --> 01:16:26.239]  But your campaign is exploding and is surging.
[01:16:26.299 --> 01:16:26.980]  Tell us about that.
[01:16:27.180 --> 01:16:31.143]  Well, that's why it's so important for people to support us financially.
[01:16:31.243 --> 01:16:39.310]  If you can't come out to San Francisco to help, we are of course having an influx of people from all over the country here coming to help us.
[01:16:39.370 --> 01:16:42.873]  Just like Camp Casey, people came from everywhere to help.
[01:16:42.933 --> 01:16:45.735]  Except for San Francisco is much nicer than Crawford, Texas.
[01:16:45.815 --> 01:16:47.977]  So, you know, I invite everybody to come out.
[01:16:48.499 --> 01:16:57.381]  But if you can support us financially, anything, $5, $10, $25, up to the maximum donation of $2,300, that helps us get our message out.
[01:16:57.881 --> 01:17:09.863]  All we need to be able to do is buy airtime on TV, buy airtime on the radio, get billboards, get my face up on buses, spread our message to San Francisco.
[01:17:09.883 --> 01:17:11.224]  That way, in a certain way.
[01:17:11.264 --> 01:17:12.464]  Stay there, stay there.
[01:17:13.044 --> 01:17:13.584]  We've got a break.
[01:17:13.604 --> 01:17:14.964]  We're going to come back and we'll talk about that.
[01:17:15.785 --> 01:17:17.365]  That way, we'll do what?
[01:17:19.246 --> 01:17:25.607]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[01:17:25.987 --> 01:17:27.967]  The enemy struck America on September 11th.
[01:17:28.628 --> 01:17:29.648]  But who is the enemy?
[01:17:30.168 --> 01:17:30.708]  Bin Laden.
[01:17:30.968 --> 01:17:31.928]  This is his ammo.
[01:17:31.948 --> 01:17:33.268]  We have to look to the Middle East.
[01:17:33.328 --> 01:17:34.969]  We have to look to Osama Bin Laden.
[01:17:35.329 --> 01:17:42.090]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[01:17:42.490 --> 01:17:42.910]  Some U.S.
[01:17:42.950 --> 01:17:48.611]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[01:17:49.311 --> 01:17:52.813]  I'm aware that some Israeli citizens have been detained.
[01:17:53.193 --> 01:17:55.615]  Either you are with us, or you are with the terrorists.
[01:18:19.617 --> 01:18:21.139]  Jim Newcomer from Midas Resources.
[01:18:21.359 --> 01:18:22.741]  September 16, 2008.
[01:18:23.021 --> 01:18:24.003]  Gold open this morning at $784.40.
[01:18:24.223 --> 01:18:28.929]  One ounce gold coins can be purchased for $808.25, $404.12 for half ounce, and $202.06 for quarter ounce.
[01:18:28.989 --> 01:18:29.429]  That's $808.25, $404.12, and $202.06.
[01:18:37.635 --> 01:18:42.941]  70% of China's 1 trillion reserves are in dollar, now purchasing 250,000 barrels of oil per day from Iran in euro.
[01:18:43.041 --> 01:18:46.445]  Japanese refiners buy 550,000 barrels, switching dollar to yen.
[01:18:46.505 --> 01:18:47.386]  Bad news for U.S.
[01:18:47.426 --> 01:18:47.847]  currency.
[01:18:48.067 --> 01:18:50.089]  China and Japan hold large positions in dollar.
[01:18:50.230 --> 01:18:51.571]  Trading equals permanent loss.
[01:18:51.811 --> 01:18:53.734]  Dollars fall into 65% of euro.
[01:18:53.874 --> 01:18:54.855]  Erosion accelerates.
[01:18:55.015 --> 01:18:55.776]  We're good to go.
[01:19:19.111 --> 01:19:20.792]  Lead from solder and copper pipes.
[01:19:20.972 --> 01:19:22.052]  Mercury from fish.
[01:19:22.152 --> 01:19:22.913]  Dental fillings.
[01:19:23.073 --> 01:19:23.653]  Vaccines.
[01:19:23.833 --> 01:19:24.713]  Arsenic in the water.
[01:19:24.834 --> 01:19:28.695]  These heavy metal toxins are difficult or even impossible to avoid.
[01:19:28.835 --> 01:19:32.617]  Even trace amounts of these heavy metals over time can impact your health.
[01:19:32.817 --> 01:19:39.940]  Many health problems have been suggested as being related to this heavy metal exposure, including memory loss, high blood pressure, depression, mood swings,
[01:19:40.120 --> 01:19:44.181]  Speech disorders, neuropathy, autoimmune diseases, chronic fatigue, and more.
[01:19:44.362 --> 01:19:50.384]  Unfortunately, traditional detoxifying isn't able to clear the body of these harmful and potentially deadly toxins.
[01:19:50.524 --> 01:19:52.985]  That's why there's Pura Clear from Ripple Creek.
[01:19:53.105 --> 01:20:02.568]  Pura Clear contains a proprietary blend of ingredients, including a cilantro extract and alpha-lipoic acid, among other ingredients formulated specifically to promote body cleansing.
[01:20:02.688 --> 01:20:11.355]  Puriclear also has ingredients selected to promote improved circulation to enhance activity so that heavy metals may be more effectively captured and removed from the body.
[01:20:11.495 --> 01:20:18.700]  Order Puriclear now by calling Ripple Creek at 203-331-0363 or go to RippleCreek.com.
[01:20:19.821 --> 01:20:20.281]  Attention.
[01:20:20.602 --> 01:20:23.284]  This is an extremely urgent self-reliant news bulletin.
[01:20:23.644 --> 01:20:30.089]  If you have ever wanted to produce your own cheaper-than-dirt survival food, this is going to be the most important message you will ever hear.
[01:20:30.729 --> 01:20:31.350]  Curious why?
[01:20:32.193 --> 01:20:42.183]  This network has just learned of a new video course that reveals the secrets of how to safely prepare and store all types of survival foods in an event of social unrest and food shortages here in the U.S.
[01:20:42.643 --> 01:20:45.026]  Grain shortages and hunger are spreading across the globe.
[01:20:45.386 --> 01:20:47.468]  Will troops guard the food supplies in the U.S.
[01:20:47.508 --> 01:20:47.969]  this fall?
[01:20:48.489 --> 01:20:48.990]  Don't wait!
[01:20:49.410 --> 01:20:53.014]  Learn the food shortage skills that can keep you and your family alive in a crisis.
[01:20:53.354 --> 01:20:55.736]  Get the details at FoodShortageUSA.com.
[01:20:56.677 --> 01:20:58.838]  That's FoodShortageUSA.com.
[01:20:59.378 --> 01:21:03.700]  Or you can call toll-free 877-327-0365.
[01:21:04.100 --> 01:21:05.400]  Don't wait for empty shelves.
[01:21:05.881 --> 01:21:09.162]  Go to FoodShortageUSA.com while you still have time.
[01:21:09.742 --> 01:21:12.623]  www.FoodShortageUSA.com.
[01:21:12.963 --> 01:21:15.784]  Or toll-free at 877-327-0365.
[01:21:15.804 --> 01:21:18.285]  Act now.
[01:21:19.286 --> 01:21:21.487]  He's the T-Rex of political talk.
[01:21:22.047 --> 01:21:24.828]  Alex Jones on the GCN Radio Network.
[01:21:26.829 --> 01:21:29.531]  Okay, Cindy, you got cut off by that last break.
[01:21:29.551 --> 01:21:30.372]  You were making a point.
[01:21:31.033 --> 01:21:41.421]  Well, I just think that our campaign is going to make up in ground forces and in energy and enthusiasm.
[01:21:41.841 --> 01:21:43.663]  We have people knocking on doors.
[01:21:43.743 --> 01:21:47.666]  We have zone captains figuring out how to blanket their zone.
[01:21:47.746 --> 01:21:53.751]  And, you know, studies have shown people just need to see somebody's name three times and they're more likely to vote for them.
[01:21:53.791 --> 01:21:55.713]  Well, you know, the people of San Francisco know me.
[01:21:56.266 --> 01:21:57.347]  Know what I stand for.
[01:21:57.467 --> 01:22:01.589]  Know that I, you know, am honest and that I do have courage to lead.
[01:22:01.649 --> 01:22:04.251]  I do have courage to tell unpleasant truth.
[01:22:04.931 --> 01:22:08.073]  But just because something's unpleasant doesn't mean it's not true.
[01:22:08.153 --> 01:22:12.095]  And if we don't confront these issues, we're not going to be able to solve them.
[01:22:12.295 --> 01:22:14.656]  And to ask people to sacrifice?
[01:22:14.897 --> 01:22:19.339]  You know, people in America haven't been asked to sacrifice since World War II.
[01:22:19.639 --> 01:22:24.422]  And we're, you know, we're a nation, and this is a district that's filled with
[01:22:25.051 --> 01:22:27.333]  Well, Cindy, I've got an idea.
[01:22:27.353 --> 01:22:32.056]  If you guys are commissioned to say a Zogby poll, but don't let them add their questions.
[01:22:32.136 --> 01:22:33.257]  I've done polls before.
[01:22:46.065 --> 01:23:00.437]  Make it fair and just have it say Nancy Pelosi basically said she wants to continue the war and Cindy Sheehan says that she wants to end the war and have a few questions like that.
[01:23:01.218 --> 01:23:03.800]  And then pull, say, 2,000 San Franciscans.
[01:23:04.360 --> 01:23:05.521]  I think you're going to win that.
[01:23:05.981 --> 01:23:12.365]  And then you can use that to get a lot of media attention and show people that you can win.
[01:23:12.445 --> 01:23:15.947]  Actually, Alex, that's what we're working for right now.
[01:23:16.347 --> 01:23:21.811]  And we actually have to have about $20,000 to do that.
[01:23:22.391 --> 01:23:23.932]  So we're fundraising right now.
[01:23:23.972 --> 01:23:24.392]  Who told you it was $20,000?
[01:23:24.472 --> 01:23:25.093]  Our political consultants.
[01:23:32.162 --> 01:23:34.424]  Well, I've done a few polls.
