[00:00:00.129 --> 00:00:02.651]  This is the GCN Radio Network, home to hard-hitting talk radio.
[01:54:47.907 --> 01:54:51.048]  And by the way, folks, we're kicking their hind end, exposing the New World Order.
[01:54:51.088 --> 01:54:53.368]  Right now, that's what they're moving to try to regulate and shut down the web.
[01:54:53.648 --> 01:54:54.688]  That's all happening right now.
[01:54:54.708 --> 01:54:58.249]  We've got stories up on InfoWars.com and PrisonPlanet.com about that.
[01:54:58.569 --> 01:55:00.450]  Jim in Austin, Texas.
[01:55:00.910 --> 01:55:01.530]  You're on the air.
[01:55:01.570 --> 01:55:01.990]  Go ahead.
[01:55:02.930 --> 01:55:03.470]  Hey, Alex.
[01:55:04.150 --> 01:55:04.430]  Hello.
[01:55:04.810 --> 01:55:05.891]  Thanks for taking my call.
[01:55:05.951 --> 01:55:07.531]  Anyway, I've got a little information.
[01:55:07.551 --> 01:55:16.873]  I have a friend that's a cop, and he just picked up a fully automatic AK-74U in preparation for martial law.
[01:55:17.904 --> 01:55:19.166]  This was a couple of weeks ago.
[01:55:19.846 --> 01:55:23.811]  And yesterday, I'm sitting in a barbershop, and the guy's got a, uh, what is it?
[01:55:23.911 --> 01:55:26.114]  A new army training manual.
[01:55:26.775 --> 01:55:29.017]  Or the actual army handbook, sitting there.
[01:55:29.037 --> 01:55:32.561]  Yeah, they give all, everyone in the army now gets riot control training.
[01:55:33.142 --> 01:55:33.683]  Right, right.
[01:55:35.320 --> 01:55:46.253]  One of the little stories in there was that in Florida, they're going to set up a faction of infantry brigade.
[01:55:50.412 --> 01:55:52.032]  You know, evidently from this article.
[01:55:52.052 --> 01:55:52.653]  Well, right after I heard
[01:56:13.752 --> 01:56:33.188]  about the uh... certain congressman or yeah uh... you know being told that he interviewed me i was on so i call well this is this is before that that this is the the friday of the bailout when they passed the bailout i'd call lloyd dog itself is because i was watching very closely and um... this guy denied it
[01:56:33.985 --> 01:56:35.146]  I mean... Well, let me go back.
[01:56:35.186 --> 01:56:37.648]  While I was on C-SPAN, we interviewed the two different congressmen on it.
[01:56:38.068 --> 01:56:41.491]  Specifically, your friend who's a cop says we've been told we're getting ready for martial law.
[01:56:41.951 --> 01:56:57.943]  Well, yeah, but not only that, but last summer, and it wasn't up on the APD website or anything like that, I overheard, I was in an army surplus store and saw a guy turning in, like a, you know, essentially a bunch of camping gear for tactical equipment.
[01:56:58.573 --> 01:57:02.435]  And I shoot and go to rifle ranges and stuff like that, so I know what I'm looking at.
[01:57:02.475 --> 01:57:03.075]  Web gear, yeah.
[01:57:03.355 --> 01:57:03.615]  Yeah.
[01:57:03.755 --> 01:57:08.557]  Well, anyway, you know, everything, simply everything short of a ghillie suit.
[01:57:09.097 --> 01:57:15.960]  Well, anyway, he's telling the guy behind the counter how they're about to go ahead and start training.
[01:57:16.640 --> 01:57:17.841]  Well, they did this covertly.
[01:57:18.755 --> 01:57:25.361]  Well wait, I sent Trey and Weldon out to, they were given just masses of the police SWAT training.
[01:57:25.761 --> 01:57:26.982]  So listen, listen, it's simple.
[01:57:27.022 --> 01:57:30.485]  The bankers, it happened in Rome, it happened in Europe, it happens all the time.
[01:57:31.867 --> 01:57:33.268]  It's happening in terrible countries right now.
[01:57:33.308 --> 01:57:34.209]  They take over.
[01:57:34.489 --> 01:57:35.210]  That's tyranny.
[01:57:35.250 --> 01:57:40.474]  The military and the police are used so the bankers can take over the entire society.
[01:57:40.754 --> 01:57:44.498]  But they won't be able to get away with it if you're aware of what they're doing.
[01:57:45.058 --> 01:57:48.061]  And the police and military, a lot of them I've talked to, they don't like it.
[01:57:48.381 --> 01:57:49.382]  They don't want to be part of it.
[01:57:49.782 --> 01:57:55.167]  But again, the TV shows are telling you, and I know, I didn't see this one, but I've seen others, evil constitutionalists.
[01:57:55.547 --> 01:57:56.908]  People that talk about freedom.
[01:57:57.189 --> 01:57:58.089]  They've got nukes.
[01:57:58.149 --> 01:57:59.130]  They're going to nuke you.
[01:58:00.191 --> 01:58:01.973]  I mean, how obvious does it have to get?
[01:58:02.513 --> 01:58:05.316]  Ladies and gentlemen, they're going to devalue your dollar down to nothing.
[01:58:06.096 --> 01:58:10.121]  They are going to bring you into total slavery unless you get up and you say no.
[01:58:10.561 --> 01:58:16.027]  We'll see you on the web at InfoWars.com for the weekday show and of course back next Sunday.
[01:58:16.427 --> 01:58:17.849]  Get out there and stand up for liberty.
[01:58:18.169 --> 01:58:18.930]  Get off the bench.
[01:58:19.030 --> 01:58:19.731]  Get in the game.
[01:58:19.891 --> 01:58:20.992]  Defend the Republic!
[01:58:21.212 --> 01:58:22.232]  Hi, this is Ted Anderson.
[01:58:22.252 --> 01:58:24.073]  Did you miss your favorite shows on GCN today?
[01:58:24.413 --> 01:58:32.035]  Thanks to the continued support of our listeners, subscribers, and sponsors, we are proud to bring the GCN audience a new and exciting way to listen called On Demand.
[01:58:32.435 --> 01:58:38.097]  Available on GCNlive.com, On Demand plays each show continuously until the next time the show goes live.
[01:58:38.457 --> 01:58:39.317]  It's simple to use.
[01:58:39.577 --> 01:58:43.738]  Just go to GCNlive.com, click on the On Demand button, and find your favorite shows.
[01:58:44.278 --> 01:58:45.179]  Don't get discouraged.
[01:58:45.259 --> 01:58:46.499]  Get On Demand, free!
[01:58:46.939 --> 01:58:49.780]  Thanks again to the listeners at GCNlive.com.
[01:58:51.818 --> 01:58:54.279]  Are your Federal Reserve notes looking for a safe haven?
[01:58:54.759 --> 01:58:56.660]  Mine found it in precious metals.
[01:58:57.360 --> 01:59:00.541]  Not paper promises, but actual gold in my possession.
[01:59:01.202 --> 01:59:07.644]  It is liquid, it is private, it owes no one, it cannot go bankrupt, and it maintains its purchasing power.
[01:59:08.444 --> 01:59:10.645]  Find your answer at Midas Resources.
[01:59:11.025 --> 01:59:11.465]  That's 1-800-686-2237.
[01:59:11.545 --> 01:59:12.726]  The answer is at 1-800-686-2237.
[01:59:21.738 --> 01:59:25.119]  Are you sick and tired of spending your hard-earned money to fill your gas tank?
[01:59:25.439 --> 01:59:26.800]  Then do something about it!
[01:59:27.120 --> 01:59:30.621]  Fuel Saver's Fuel Conditioner lets you drive further on each gallon of fuel.
[01:59:30.901 --> 01:59:32.582]  Completely safe for all engines.
[01:59:32.702 --> 01:59:38.964]  Just add a small squeeze of product to your tank each time you fill up to improve your fuel economy 10 to 20 percent or more.
[01:59:39.104 --> 01:59:40.304]  Saving you 35 to 80 cents on every gallon.
[01:59:42.185 --> 01:59:42.466]  I think so.
