[00:00:00.049 --> 00:00:01.229]  Welcome ladies and gentlemen, welcome.
[01:08:13.192 --> 01:08:25.402]  There's a commercial here for a local cable company that's going to do a showing of The Dark Knight this week, and it comes from Buenos Aires, Argentina, and it's a Sony channel.
[01:08:26.462 --> 01:08:29.705]  And they show vignettes, quick stills of the movie, etc.
[01:08:30.165 --> 01:08:32.827]  And one of the stills is Obama Joker.
[01:08:34.489 --> 01:08:34.829]  Really?
[01:08:35.592 --> 01:08:36.312]  Yeah, really.
[01:08:36.332 --> 01:08:39.574]  I looked at it several times to make sure.
[01:08:39.634 --> 01:08:40.514]  It definitely is.
[01:08:41.094 --> 01:08:43.515]  It comes on for like a half a second, but it's there.
[01:08:45.036 --> 01:08:46.336]  It's really bizarre.
[01:08:46.817 --> 01:08:49.638]  Well, that Obama joker is now extremely iconic.
[01:08:50.338 --> 01:08:51.959]  Well, let me tell you, down here it is.
[01:08:52.059 --> 01:08:56.701]  Especially, you should know, in the national university community, UNAM.
[01:08:58.722 --> 01:09:04.444]  That is the center of the activity here.
[01:09:07.335 --> 01:09:10.796]  With posters and they screen your films too.
[01:09:11.897 --> 01:09:14.398]  So in Mexico City they're showing my documentaries?
[01:09:14.978 --> 01:09:16.558]  Oh yeah, at the University.
[01:09:16.658 --> 01:09:19.619]  It's free showing, so nobody's making money on it.
[01:09:19.639 --> 01:09:20.520]  That's good, I'm glad.
[01:09:20.620 --> 01:09:26.842]  No, no, I want the real cult following, you know, among the poli sci kids, you know, politics kids and all of that.
[01:09:27.642 --> 01:09:35.485]  Another bullet, as far as Boy Scouts, somebody relayed to me that they're asking kids
[01:09:36.129 --> 01:09:40.452]  Very discreetly if they've seen firearms in the houses of their parents.
[01:09:40.772 --> 01:09:42.354]  You know, I forgot that part.
[01:09:42.494 --> 01:09:44.055]  That's going on here in the U.S.
[01:09:44.115 --> 01:09:44.755]  as well.
[01:09:45.216 --> 01:09:49.559]  They're asking Boy Scouts and Girl Scouts, the schools, the pediatricians ask.
[01:09:50.039 --> 01:09:54.322]  And this father calls in and says, what's wrong with Homeland Security working with my Girl Scout?
[01:09:54.703 --> 01:09:56.003]  He just doesn't understand.
[01:09:56.023 --> 01:09:57.685]  Not whatsoever.
[01:09:57.765 --> 01:09:59.106]  It's history.
[01:09:59.206 --> 01:09:59.586]  History.
[01:09:59.646 --> 01:10:00.727]  Read about the Hitler Youth.
[01:10:00.747 --> 01:10:02.648]  You understand what's happening there.
[01:10:02.688 --> 01:10:03.489]  It's very clear.
[01:10:03.737 --> 01:10:08.099]  So you're saying in Mexico, though, they've got the Boy Scouts and stuff spying on people?
[01:10:08.679 --> 01:10:09.339]  Absolutely.
[01:10:09.419 --> 01:10:13.100]  And here, you know, things are a little bit softer here, less of an edge.
[01:10:13.721 --> 01:10:15.341]  And it's just a discreet question.
[01:10:15.461 --> 01:10:18.002]  One kid told his dad, and that's it.
[01:10:18.022 --> 01:10:19.003]  They yanked him out of there.
[01:10:19.043 --> 01:10:20.643]  I mean, people do know what that is.
[01:10:20.683 --> 01:10:22.484]  People are very sensitive to that kind of stuff.
[01:10:22.644 --> 01:10:27.586]  Yeah, I will say that in Latin America, where I've traveled quite a bit, people know not to trust the government.
[01:10:28.226 --> 01:10:30.707]  I mean, Americans are just so gullible.
[01:10:31.542 --> 01:10:32.563]  Yeah.
[01:10:32.683 --> 01:10:34.925]  And we used to be some of the most untrusting of government.
[01:10:35.265 --> 01:10:38.448]  Now we just, we're starting to lose that trust, thank God.
[01:10:39.248 --> 01:10:44.533]  But at the same time, I mean, you know, the government wanting anything from your kids is bad.
[01:10:45.834 --> 01:10:46.414]  Absolutely.
[01:10:46.634 --> 01:10:47.075]  Absolutely.
[01:10:47.115 --> 01:10:47.835]  Because it's a tool.
[01:10:48.356 --> 01:10:48.936]  That's all it is.
[01:10:48.976 --> 01:10:50.958]  But people are very on edge about that here.
[01:10:51.098 --> 01:10:52.599]  Another thing is Charlie Sheen.
[01:10:53.020 --> 01:10:56.342]  He's very big down here and people are all behind him on this.
[01:10:56.402 --> 01:10:59.365]  Not only the expats like me, but everybody.
[01:10:59.958 --> 01:11:02.641]  Well, because of his Mexican ancestry, you know.
[01:11:02.741 --> 01:11:05.884]  Yeah, he's got a Spanish estimus.
[01:11:06.084 --> 01:11:07.786]  So, what are they saying?
[01:11:07.806 --> 01:11:10.068]  I mean, you're hearing him talk about Shane and 9-11?
[01:11:10.729 --> 01:11:11.990]  Absolutely, that's it.
[01:11:12.030 --> 01:11:15.794]  But that was believed, that position was taken here from day one.
[01:11:16.294 --> 01:11:18.196]  Literally, because I was here from day one.
[01:11:19.031 --> 01:11:21.412]  And, um, official stories, none of it.
[01:11:21.492 --> 01:11:29.614]  It's endemic in the blood and the very nature of the people here to immediately question anything that's a government statement.
[01:11:29.654 --> 01:11:30.114]  Immediately.
[01:11:32.815 --> 01:11:34.135]  It's part of life here.
[01:11:34.595 --> 01:11:36.135]  Well, Steve, I'm glad I went to you.
[01:11:36.416 --> 01:11:39.116]  He's calling in from time to time with reports from Mexico City.
[01:11:39.456 --> 01:11:40.337]  That was a great call.
[01:11:42.228 --> 01:11:43.609]  And others, your calls are coming up.
[01:11:43.689 --> 01:11:44.710]  And Charlie Sheen live.
[01:11:44.750 --> 01:11:45.910]  And boy, is he fired up!
[01:11:46.551 --> 01:11:48.052]  Look out, ladies and gentlemen!
[01:11:48.592 --> 01:11:49.913]  Because here comes the Tiger.
[01:11:49.993 --> 01:11:51.114]  He is fired up!
[01:11:52.434 --> 01:11:53.555]  Stay with us, ladies and gentlemen.
[01:11:53.575 --> 01:11:54.936]  We'll be right back after this quick break.
[01:11:59.600 --> 01:12:08.606]  If you or your parents are 62 years of age or older and a homeowner, RMApply.com has a message that is vitally important for you and your family.
[01:12:08.827 --> 01:12:14.050]  Did you know that you may be eligible for up to $625,000 in HECUM benefits?
[01:12:14.390 --> 01:12:19.354]  Visit RMApply.com and apply for free to see how much you are entitled to.
[01:12:19.734 --> 01:12:23.637]  Right now, people just like you are taking advantage of their benefits.
[01:12:23.977 --> 01:12:33.765]  And using the money to pay off debt, purchase precious metals, stock up on storable foods, and support this show's sponsors, you may be entitled to hundreds of thousands of dollars.
[01:12:34.125 --> 01:12:35.927]  It's your money, and you're entitled to it.
[01:12:36.267 --> 01:12:39.109]  Apply for free at rmapply.com.
[01:12:39.530 --> 01:12:42.272]  That's the letter R, the letter M. Apply
[01:12:44.455 --> 01:12:44.955]  I think so.
[01:13:10.947 --> 01:13:11.287]  We're good to go.
[01:13:37.619 --> 01:13:43.507]  Get the facts and Paul Midas resources toll free at 888-292-2709.
[01:13:43.807 --> 01:13:46.450]  That's 888-292-2709.
[01:13:46.691 --> 01:13:52.058]  And remember, if you read the Midas Report, you'll receive a free Walking Liberty Silver Half Dollar.
[01:13:59.369 --> 01:14:05.754]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[01:14:06.134 --> 01:14:08.096]  The enemy struck America on September 11th.
[01:14:08.776 --> 01:14:09.797]  But who is the enemy?
[01:14:10.337 --> 01:14:10.838]  Bin Laden.
[01:14:11.138 --> 01:14:12.159]  This is his ammo.
[01:14:12.179 --> 01:14:13.420]  We have to look to the Middle East.
[01:14:13.460 --> 01:14:15.161]  We have to look to Osama Bin Laden.
[01:14:15.501 --> 01:14:22.247]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[01:14:22.647 --> 01:14:23.087]  Some U.S.
[01:14:23.127 --> 01:14:28.752]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[01:14:29.452 --> 01:14:32.955]  I'm aware that some Israeli citizens have been detained.
[01:14:32.975 --> 01:14:35.757]  Either you are with us, or you are with the terrorists.
[01:14:59.170 --> 01:15:00.672]  Alex Jones here with a question.
[01:15:00.852 --> 01:15:02.314]  What does humidity mean to you?
[01:15:02.614 --> 01:15:04.836]  Most people think of hot and sticky summer days.
[01:15:05.297 --> 01:15:10.042]  But many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[01:15:10.423 --> 01:15:13.266]  That's why I'd like you to visit acolablue.com.
[01:15:13.626 --> 01:15:17.090]  Acolablue is a state-of-the-art atmospheric water generator.
[01:15:17.515 --> 01:15:29.501]  Producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system, which produces great tasting water at an unbeatable price.
[01:15:30.062 --> 01:15:32.063]  Finally, drinking water that you control.
[01:15:32.383 --> 01:15:33.383]  I use one every day.
[01:15:33.804 --> 01:15:36.245]  Say goodbye to expensive water delivery services.
[01:15:36.505 --> 01:15:37.546]  I hear the train a-comin'
[01:16:05.993 --> 01:16:09.376]  We got Charlie Sheen coming up live in the next segment.
[01:16:28.032 --> 01:16:33.154]  Oh look, Rockefeller and company CEO dies from apparent suicide.
[01:16:33.735 --> 01:16:40.257]  James McDonald, prominent advisor to the wealthy families and chief executive of the investment management group Rockefeller & Co.
[01:16:40.277 --> 01:16:44.539]  died of a single gunshot wound to the head on Sunday, local authorities said.
[01:16:44.559 --> 01:16:47.961]  A lot of people commit suicide that work for the Rockefellers.
[01:16:49.001 --> 01:16:52.823]  Don't you do anything wrong or you die.
[01:16:54.338 --> 01:16:55.698]  Be sure and take your vaccines.
[01:16:55.718 --> 01:16:57.159]  They're the ones that pioneered all that.
[01:16:57.639 --> 01:16:59.179]  Making sure you and your family take it.
[01:17:00.980 --> 01:17:03.380]  Let's talk to Annalisa in San Fran.
[01:17:03.420 --> 01:17:04.641]  You're on the air.
[01:17:04.721 --> 01:17:05.081]  Welcome.
[01:17:06.061 --> 01:17:06.661]  Hi Alex.
[01:17:07.661 --> 01:17:10.422]  I'm calling you about Senate Bill 1649.
[01:17:10.762 --> 01:17:11.943]  Have you heard of this bill yet?
[01:17:12.023 --> 01:17:13.683]  It was introduced September 8th.
[01:17:15.323 --> 01:17:16.384]  Refresh my memory.
[01:17:17.684 --> 01:17:18.184]  I'm sorry?
[01:17:19.465 --> 01:17:21.045]  Refresh my memory.
[01:17:21.454 --> 01:17:27.355]  Okay, okay, this is the Weapons of Mass Destruction Prevention and Preparedness Act of 2009.
[01:17:28.915 --> 01:17:31.176]  Oh, that's got some anti-gun provisions in it.
[01:17:32.176 --> 01:17:40.297]  Yeah, and it also enlists the postmaster to deliver medical countermeasure kits to the American public.
[01:17:42.718 --> 01:17:45.798]  I did see an article about that, but I'd forgotten to cover it.
[01:17:45.838 --> 01:17:46.658]  Tell us more about it.
[01:17:47.359 --> 01:17:48.959]  Well, it's pretty creepy.
[01:17:50.012 --> 01:17:56.774]  It also signs us up, the Americans, to pay for other countries' security measures for their weapons of mass destruction.
[01:17:57.554 --> 01:18:04.415]  And throughout the bill, it pretty much references that appropriations will be made as necessary, so it's another blank check.
[01:18:05.515 --> 01:18:12.397]  And, you know, just like the energy bill, we're going to be paying for other countries' energy
[01:18:13.004 --> 01:18:14.625]  Conservation measures as well.
[01:18:15.045 --> 01:18:17.506]  We're signed up in the last 200 pages of that one.
[01:18:17.586 --> 01:18:21.288]  No, it's all about destroying the economy for vertical integration.
[01:18:21.768 --> 01:18:24.110]  China, India and others have to make no cuts.
[01:18:24.190 --> 01:18:28.912]  We have to make cuts on carbon dioxide that isn't carbon.
[01:18:28.952 --> 01:18:31.413]  It's a gas and is what plants breathe.
[01:18:32.014 --> 01:18:35.615]  And they've got some of the public convinced that it's a deadly nerve gas that kills you.
[01:18:36.156 --> 01:18:38.197]  They've now listed it as a toxic waste.
[01:18:39.187 --> 01:18:42.609]  Next they'll list dihydrogen monoxide or water.
[01:18:43.230 --> 01:18:46.732]  You can go to the average person and say, should we ban dihydrogen monoxide?
[01:18:47.192 --> 01:18:48.233]  And they will say yes.
[01:18:49.693 --> 01:18:52.775]  They don't know that dihydrogen monoxide is water.
[01:18:53.256 --> 01:18:57.158]  The average person, if you say let's ban sodium chloride, they'll say ban it.
[01:18:57.218 --> 01:18:58.179]  They'll sign a petition.
[01:18:58.579 --> 01:19:00.240]  Sodium chloride is table salt.
[01:19:01.761 --> 01:19:07.104]  And there's no end to how much people love to be conned and raped.
[01:19:11.035 --> 01:19:11.815]  You're right about that.
[01:19:11.835 --> 01:19:16.518]  I was just calling to bring it to your attention because I hadn't heard you talk about it.
