[00:00:00.309 --> 00:00:04.473]  ["The Star-Spangled Banner"]
[01:50:54.805 --> 01:50:56.566]  Garden in a Can is ready when you are.
[01:50:56.827 --> 01:50:59.109]  Plant them now or store them for when you really need them.
[01:50:59.570 --> 01:51:08.589]  There are 16 large hermetically sealed non-hybrid open pollinated packets of seeds along with detailed planting instructions sealed in a can for ultimate long-term protection.
[01:51:09.238 --> 01:51:10.258]  Garden in a Can.
[01:51:10.658 --> 01:51:11.519]  It's that simple.
[01:51:11.859 --> 01:51:13.739]  Fresh, healthy, easy.
[01:51:14.259 --> 01:51:18.221]  Only $69.95 for over a half acre of safe fresh vegetables.
[01:51:18.601 --> 01:51:19.521]  Ready when you are.
[01:51:20.181 --> 01:51:23.802]  Stop procrastinating and start preparing with Garden in a Can.
[01:51:24.262 --> 01:51:27.343]  For more details visit GardenInACan.com today.
[01:51:27.743 --> 01:51:30.244]  That's GardenInACan.com or call 866-598-7396.
[01:51:30.264 --> 01:51:30.304]  866-598-7396.
[01:51:38.255 --> 01:51:43.516]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[01:51:44.279 --> 01:51:49.621]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[01:51:50.161 --> 01:51:56.364]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[01:51:56.664 --> 01:51:58.485]  Well, Obama's already fudging.
[01:51:58.645 --> 01:52:01.026]  He's fudged since day one of this election.
[01:52:01.106 --> 01:52:11.990]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[01:52:14.278 --> 01:52:15.559]  It's not about left or right.
[01:52:15.939 --> 01:52:17.340]  It's about a one world government.
[01:52:17.800 --> 01:52:24.164]  This film documents who Obama works for, the lies he is told, and his real agenda.
[01:52:24.725 --> 01:52:32.490]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[01:52:32.970 --> 01:52:34.131]  The Obama Deception.
[01:52:34.551 --> 01:52:35.732]  The people strike back.
[01:52:37.355 --> 01:52:40.197]  Did you know that you can be tracked and traced when you're online?
[01:52:40.457 --> 01:52:48.344]  With identity theft and cybercrimes on the rise, your passwords, your identity, and even your physical location can be revealed to complete strangers.
[01:52:48.584 --> 01:52:52.267]  Would you like to surf the internet anonymously and not have to worry about these threats?
[01:52:52.527 --> 01:52:55.529]  Well, now you can by visiting patriotinternet.com.
[01:52:55.689 --> 01:53:00.213]  For about $2 per month, patriotinternet.com will conceal your IP address and your
[01:53:02.968 --> 01:53:03.288]  We're good.
[01:53:24.022 --> 01:53:24.462]  We're good.
[01:53:47.383 --> 01:53:53.966]  You know what, since Gary Franchi's here, we're just going to have him in studio for an hour tomorrow with William Lewis riding shotguns.
[01:53:55.147 --> 01:53:57.268]  An hour with me babbling and stuff isn't enough time.
[01:53:57.308 --> 01:54:02.150]  So, MHL, Eric, Chris, Brian, John, others, call back tomorrow and you'll go to the head of the line.
[01:54:02.170 --> 01:54:04.031]  We'll keep this list here and you'll go to the head of the line.
[01:54:04.051 --> 01:54:11.615]  Because I've got a few sponsors here at the end, plus some closing comments from these guys that I wanted to be able to tell everybody about.
[01:54:12.606 --> 01:54:14.068]  One of them is Ecoloblue.
[01:54:14.528 --> 01:54:15.489]  Ecoloblue.com.
[01:54:15.650 --> 01:54:18.313]  E-C-O-L-O-B-L-U-E.com.
[01:54:18.853 --> 01:54:23.338]  Ecoloblue, ladies and gentlemen, is the name in atmospheric water generation.
[01:54:24.628 --> 01:54:38.479]  And it grabs the water out of the air, out of the atmosphere, and puts it through seven filters, including reverse osmosis, a carbon filter, and a UV antifungal antibacterial light, and four other filters we don't have time to tell you about.
[01:54:38.860 --> 01:54:42.903]  Find out more at acolablue.com, E-C-O-L-O-B-L-U-E dot com.
[01:54:43.243 --> 01:54:44.785]  acolablue.com or 800-691-6043, 800-691-6043.
[01:54:50.109 --> 01:54:51.431]  Just an amazing system.
[01:54:51.971 --> 01:54:59.901]  The water passes through an activated carbon filter, the silver impregnated carbon filter, then a reverse osmosis system, then a tase and odor removal filter stored in an illuminated tank.
[01:55:00.622 --> 01:55:02.785]  Just a great system at ColaBlue.com.
[01:55:03.923 --> 01:55:10.990]  And last but not least today, Max the Little Orange Gorilla up at InfoWars.com.
[01:55:11.010 --> 01:55:16.675]  You'll want to link through to Max, our friend, because it's a free service, absolutely free.
[01:55:16.695 --> 01:55:19.357]  You can find a realtor in your area.
[01:55:20.238 --> 01:55:28.686]  You can enter in your address or a house you're looking at address and see what realtors on their inside computers, basically it's the same service, what they're seeing, the real value in the market.
[01:55:29.366 --> 01:55:30.727]  I didn't get to this today.
[01:55:52.907 --> 01:56:01.476]  I really screwed up, and it's a big report that the guys have up on PrisonPlanet.com and InfoWars.com.
[01:56:02.017 --> 01:56:03.178]  Sucker and suck-a-tache.
[01:56:03.459 --> 01:56:06.522]  We called the professor this morning, but he knew who we were and didn't want to come on.
[01:56:07.183 --> 01:56:11.467]  Rutgers professor warns geoengineering could create disastrous global famine.
[01:56:12.318 --> 01:56:19.600]  Now, they're already geoengineering and they say, oh, we've been doing tests, but if we go widespread with this, it could cause all sorts of disasters.
[01:56:19.640 --> 01:56:20.180]  Well, of course.
[01:56:20.480 --> 01:56:33.083]  They claim they want to spray these barium salts and lemon dioxide to cool the earth, but all the climatologists we've talked to that say they knew they were doing this years ago because they're climatologists, the plane, I mean, that's a real photo of a plane flying in spring.
[01:56:33.503 --> 01:56:35.344]  The artist just added skulls in the background.
[01:56:35.364 --> 01:56:39.685]  I think it's a more powerful photo without the skulls, but regardless, it makes the point.
[01:56:42.438 --> 01:56:43.558]  Here's the Wall Street Journal.
[01:56:43.618 --> 01:56:45.179]  It's time to cool the planet.
[01:56:45.579 --> 01:56:49.020]  Cutting greenhouse gases is no longer enough to deal with global warming.
[01:56:49.840 --> 01:56:50.400]  And it goes on.
[01:56:50.440 --> 01:56:52.541]  He argues that we also have something more direct.
[01:56:52.601 --> 01:56:54.742]  And they go into how they've got a terraform.
[01:56:54.982 --> 01:56:56.642]  Folks, we've exposed they're doing this now.
[01:56:56.682 --> 01:56:58.783]  They just admit they're doing it, but to save us.
[01:56:59.403 --> 01:57:05.685]  So I'll cover that first thing tomorrow on the show, and you guys will be back here with us again tomorrow for another visit.
[01:57:05.725 --> 01:57:07.766]  But anything else you'd like to say, William Lewis?
[01:57:08.306 --> 01:57:18.192]  No, we're just thrilled to be here, happy to have you inviting us back, and we're gonna put you in this FEMA documentary, and I think we're going to wake up some people, so that's the whole point.
[01:57:18.991 --> 01:57:19.671]  Absolutely.
[01:57:19.711 --> 01:57:22.032]  And again, I apologize for not getting to more of the calls this hour.
[01:57:22.112 --> 01:57:23.313]  I will do that tomorrow.
[01:57:23.633 --> 01:57:31.116]  Jason Bermas is back live tonight, 9 to midnight, at Infowars.com, PrisonPlanet.tv, and of course, on the Genesis Network.
[01:57:31.496 --> 01:57:33.077]  I'll be back tomorrow, Lord willing.
[01:57:33.537 --> 01:57:34.357]  It's always Lord willing.
[01:57:34.377 --> 01:57:35.358]  I could die in a car wreck today.
[01:57:35.398 --> 01:57:35.918]  So could you.
[01:57:35.978 --> 01:57:38.439]  So think about what's important in life and don't sweat the small stuff.
[01:57:38.919 --> 01:57:39.699]  I'll be back tomorrow, 11 a.m.
[01:57:39.719 --> 01:57:39.959]  to 3 p.m.
[01:57:41.520 --> 01:57:42.301]  Central Standard Time.
[01:57:42.321 --> 01:57:46.524]  To all the sponsors, to all the affiliates, to all you, the great listeners, spreadin' the word.
[01:57:46.925 --> 01:57:48.746]  We are having a big effect against this tyranny.
[01:57:48.786 --> 01:57:54.731]  We have a chance to beat it if we stand up and get together and say no and point out tyranny for what it is.
[01:57:55.152 --> 01:58:04.660]  And big reports coming up on InfoWars.com and PrisonPlanet.com, dealing with a fellow reserve to be given sweeping new powers to run every industry, to control every facet of America.
[01:58:05.020 --> 01:58:09.203]  That ties into continuity of government, the executive orders, the FEMA camps, everything else.
[01:58:09.884 --> 01:58:13.028]  And that ties into this film, Life on the Edge of a Bubble.
[01:58:13.449 --> 01:58:14.850]  Get it at InfoWars.com.
[01:58:15.010 --> 01:58:15.671]  Great job, crew.
[01:58:15.691 --> 01:58:16.312]  God bless you all.
[01:58:19.876 --> 01:58:21.278]  You are listening to GCN.
[01:58:21.318 --> 01:58:24.542]  Visit GCNlive.com today.
[01:58:28.407 --> 01:58:33.392]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[01:58:33.612 --> 01:58:37.415]  Number one, new climate legislation could easily double or triple your electric bill.
[01:58:37.635 --> 01:58:43.240]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[01:58:43.541 --> 01:58:48.405]  It's true, total government control of electricity in the name of smart grid technology is coming.
[01:58:48.605 --> 01:58:49.126]  Number three,
[01:58:49.506 --> 01:58:54.968]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[01:58:55.808 --> 01:58:58.469]  The hurricane and dangerous summer storm season is here again.
[01:58:58.709 --> 01:59:02.110]  Every year, thousands of families lose their power from weather-related outages.
[01:59:03.230 --> 01:59:06.831]  A solar power generator provides powerful backup insurance and peace of mind.
[01:59:07.071 --> 01:59:12.575]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[01:59:12.816 --> 01:59:17.379]  You can get more information at www.mysolarbackup.com.
[01:59:17.499 --> 01:59:19.060]  That's mysolarbackup.com.
[01:59:19.281 --> 01:59:21.622]  Remember, the government doesn't own the sun yet.
[01:59:21.863 --> 01:59:24.505]  So go to mysolarbackup.com or call toll-free 877-327-0365.
