[00:00:00.141 --> 00:00:00.588]  I'm scumming.
[01:24:23.283 --> 01:24:37.827]  Startover is uninterrupted, but absolutely, you know, they go from, we're not spying on you without warrants, to, oh, it's only for Al Qaeda, to, yeah, we're listening and reading everything, and federal courts and Congress say they can do it, and now they're going to put body scanners on the streets of America.
[01:24:38.347 --> 01:24:42.328]  Literally, living in America is going to be like living in an airport, they admit.
[01:24:42.348 --> 01:24:42.908]  Right.
[01:24:42.948 --> 01:24:44.629]  I mean, this is a hellish system.
[01:24:45.009 --> 01:24:45.289]  It is.
[01:24:45.309 --> 01:24:48.771]  I can't even stand to go to the airport and I fly a lot.
[01:24:48.851 --> 01:24:53.214]  It's so oppressive.
[01:24:53.274 --> 01:25:02.019]  It's police state oppression and people just blindly follow it like sheeple going, it's keeping us safe, it's keeping us safe, it's keeping us safe.
[01:25:02.339 --> 01:25:04.940]  But it's keeping us safe at what expense?
[01:25:06.041 --> 01:25:07.642]  At expense to our liberties.
[01:25:07.662 --> 01:25:10.784]  Plus we know there's a history of some of this terror being staged.
[01:25:11.491 --> 01:25:11.751]  Right.
[01:25:11.851 --> 01:25:14.094]  Well, you know, and it's a long history.
[01:25:14.454 --> 01:25:15.976]  It didn't just start on 9-11.
[01:25:16.436 --> 01:25:24.404]  You know, it's a long history in our government of exploiting or causing tragedies or lying about tragedies, like the Gulf of Tonkin, you know.
[01:25:24.425 --> 01:25:26.367]  The government doesn't lie, Cindy.
[01:25:27.448 --> 01:25:28.549]  That, you know what?
[01:25:28.569 --> 01:25:28.929]  What?
[01:25:28.969 --> 01:25:30.491]  That's about all the government does.
[01:25:30.691 --> 01:25:32.432]  I've never heard something that preposterous.
[01:25:32.492 --> 01:25:33.372]  They live.
[01:25:33.492 --> 01:25:35.553]  We're going to come back in 70 seconds, Cindy.
[01:25:35.573 --> 01:25:35.853]  Stay there.
[01:25:35.873 --> 01:25:42.317]  We're going to start the final hour of the show, the official show, but internet only at Infowars.com and PrisonPlanet.tv.
[01:25:42.657 --> 01:25:48.159]  I'm going to do a fifth hour today, so stay with us.
[01:25:48.199 --> 01:25:49.560]  Thank you for listening to GCN.
[01:25:49.600 --> 01:25:54.723]  Visit GCNlive.com today.
[01:25:57.540 --> 01:26:02.841]  What can you do to keep you and your family safe from the resistant new strains of deadly bacteria and viruses?
[01:26:03.381 --> 01:26:11.763]  Check out SupernaturalSilver.com today, or visit the link on Infowars.com to find out more about this incredible new silver compound.
[01:26:11.963 --> 01:26:18.725]  The new silver solution is a natural antibiotic that is clinically tested to kill viruses, germs, bacteria, and yeast safely.
[01:26:19.085 --> 01:26:24.590]  This new technology has proven itself to be a formidable weapon against bio threats of today and tomorrow.
[01:26:24.850 --> 01:26:30.815]  The new silver solution gel has been shown to disinfect topically and keep the area sanitized for up to four hours.
[01:26:31.155 --> 01:26:37.421]  The new silver solution is a highly effective potent nanoparticle solution that is lethal to bacteria, yeast, and viruses.
[01:26:37.801 --> 01:26:42.205]  Go to SupernaturalSilver.com and see the amazing line of products they have available.
[01:26:42.465 --> 01:26:45.428]  Check out the patented new silver solution today.
[01:26:45.828 --> 01:26:49.110]  Click on the link and check out the uses for New Silver Solution.
[01:26:49.510 --> 01:26:54.173]  Order this extra line of defense today by going to SupernaturalSilver.com.
[01:26:54.313 --> 01:26:56.434]  That's SupernaturalSilver.com today!
[01:27:19.199 --> 01:27:21.322]  Cindy Duchesne is in studio with us.
[01:27:21.342 --> 01:27:29.052]  Before we forget, and time runs out in the next 30 minutes and we're taking calls, Cindy, tell folks about your book tour, your website, what you're doing.
[01:27:30.153 --> 01:27:33.458]  I wrote an internet booklet called Myth America, 10 Greatest Myths.
[01:27:33.978 --> 01:27:46.670]  It's about removing ourselves from the systems, the robber class systems of the military, the banking and the government to create our own healthy systems.
[01:27:47.071 --> 01:27:50.194]  And I exploit ten myths in my book.
[01:27:50.614 --> 01:27:53.196]  I expose ten myths in my book and I try to
[01:27:54.998 --> 01:27:59.561]  You know, try to convince people that they are dismissed.
[01:27:59.581 --> 01:28:03.984]  For example, that America is the greatest nation in the universe.
[01:28:04.544 --> 01:28:06.726]  For example, elections matter.
[01:28:06.806 --> 01:28:09.568]  The Federal Reserve System cares about us.
[01:28:10.088 --> 01:28:12.530]  That it's noble to die in robber class wars.
[01:28:14.591 --> 01:28:18.113]  That 9-11 was caused by 19 Muslims with box cutters.
[01:28:18.593 --> 01:28:29.680]  So you expose these myths and then you try to overcome them so people can stop trusting and believing everything that the system tells us.
[01:28:29.740 --> 01:28:32.962]  The system is inherently wrong.
[01:28:33.382 --> 01:28:36.464]  And I don't know if we can reform this system.
[01:28:36.484 --> 01:28:38.945]  I don't think the system can be reformed.
[01:28:39.025 --> 01:28:43.448]  I think we need an entire new system that is independent from the robber class.
[01:28:44.268 --> 01:28:48.491]  And I say that we are operating on a class divide in this country.
[01:28:48.891 --> 01:28:50.632]  It's robber class and robbed class.
[01:28:51.032 --> 01:28:54.454]  And there is no distinction between Democrat and Republican.
[01:28:54.474 --> 01:28:56.975]  There is no distinctions in the robber class.
[01:28:57.315 --> 01:29:03.479]  They only work together to steal our wealth, steal our children, and oppress us.
[01:29:04.139 --> 01:29:12.266]  And here in the robbed class, we're all fighting about Democrat, Republican, Black, White, Jew, Christian, Muslim.
[01:29:12.566 --> 01:29:17.070]  We're all divided and we're fighting each other while they're stealing everything we own.
[01:29:17.410 --> 01:29:26.258]  You know, I've read a lot of old declassified French and British intelligence communiques and higher level battle plans that's just now been declassified the last 50 years from 200, 300 years ago.
[01:29:27.779 --> 01:29:27.879]  Right.
[01:29:27.899 --> 01:29:28.039]  Right.
[01:29:28.440 --> 01:29:28.600]  Right.
[01:29:48.895 --> 01:29:53.318]  And can only get jobs backing up this parasitic corrupt system.
[01:29:53.358 --> 01:30:05.465]  And now they're fully converting what was left of what was our free society into where all the major college grads and the grants and the tuition, the scholarships are for homeland security and spying.
[01:30:05.766 --> 01:30:06.866]  And so you won't have a choice.
[01:30:06.886 --> 01:30:12.610]  They're making a whole world where the whole country in the world is a giant prison and they call it that.
[01:30:13.050 --> 01:30:14.471]  Hence, PrisonPlanet.com.
[01:30:15.151 --> 01:30:19.654]  And then the technocrats, those families, they own the very grids that control everybody.
[01:30:20.074 --> 01:30:23.355]  And they're shutting down the farms and ranches with animal ID, premises ID.
[01:30:23.796 --> 01:30:26.037]  I mean, it is hellish how fast they're racing.
[01:30:26.277 --> 01:30:28.058]  They call it the scientific dictatorship.
[01:30:28.078 --> 01:30:29.979]  They say, other dictatorships got overthrown.
[01:30:30.019 --> 01:30:41.805]  This is going to be scientifically done to head the portable humans off at every pass, cornering our own species, institutionalizing predator activity in a scientific mode against the people.
[01:30:42.085 --> 01:30:48.610]  Well, and that's the whole premise of my book, is that not to challenge the system in a full frontal attack.
[01:30:48.991 --> 01:31:08.286]  It's to very subversively undermine the system by removing ourselves from it, to create voluntary cooperatives where we share and grow food together, share resources together, remove ourselves from the banking system, remove ourselves from the credit system, remove ourselves from the military-industrial complex.
[01:31:08.326 --> 01:31:09.107]  And we've got to do it quick!
[01:31:09.707 --> 01:31:11.468]  That's why I published it online.
[01:31:11.748 --> 01:31:13.248]  That's why I didn't go through a publisher.
[01:31:13.568 --> 01:31:16.489]  So it can get into as many people's hands as possible.
[01:31:16.949 --> 01:31:22.311]  And to create communities in cooperation with each other to remove ourselves from their systems.
[01:31:22.371 --> 01:31:23.191]  And it won't matter.
[01:31:23.351 --> 01:31:24.412]  And they will be assaulted.
[01:31:24.432 --> 01:31:26.933]  The outside enemy will find excuses to get in.
[01:31:26.953 --> 01:31:34.855]  That's why they assault anything that tries to, you know, humans get their backs together and try to defend themselves like cows do when wolves come.
[01:31:34.915 --> 01:31:35.915]  Cows will get in a circle.
[01:31:35.935 --> 01:31:36.256]  Right.
[01:31:36.456 --> 01:31:37.736]  And try to protect the calves.
[01:31:37.756 --> 01:31:42.998]  That's why they're trying to keep us divided, so we can't get together and figure out what they're doing to us.
[01:31:43.678 --> 01:31:45.559]  And like you said, it's divide and conquer.
[01:31:45.899 --> 01:31:48.961]  It's what we've been doing throughout history and occupations.
[01:31:49.061 --> 01:31:52.682]  It's what we're currently doing in Iraq and Afghanistan and Pakistan.
[01:31:53.002 --> 01:31:57.684]  Do you think Pakistan is an existential threat to the United States?
[01:31:57.804 --> 01:31:57.964]  No.
[01:31:58.024 --> 01:32:01.446]  What they're doing is further destabilizing that government.
[01:32:01.466 --> 01:32:01.906]  I agree.
[01:32:01.946 --> 01:32:02.306]  Stay there.
[01:32:02.326 --> 01:32:06.428]  Globalist controlled forces on record are there trying to destabilize Pakistan.
[01:32:07.288 --> 01:32:15.937]  Many human illnesses can be attributed to the fact that soil in the United States no longer provides plants with the mineral elements which are essential to human nourishment.
[01:32:16.358 --> 01:32:21.063]  Studies have shown that a majority of Americans are seriously deficient in basic minerals.
[01:32:21.523 --> 01:32:24.086]  Deficiency in any one or more important minerals.
[01:32:24.506 --> 01:32:26.127]  Actually results in disease.
[01:32:26.567 --> 01:32:35.329]  Go to AmericanSuperfoods.com today and see the wide range of foods available that were designed to help your mind and body work the way they were intended to.
[01:32:35.629 --> 01:32:41.951]  You can also visit the AmericanSuperfoods.com link on InfoWars.com to see some of the amazing products available.
[01:32:42.272 --> 01:32:43.252]  Colloidal Gold!
[01:32:43.792 --> 01:32:44.753]  We're good to go.
[01:33:07.088 --> 01:33:12.653]  This is Alex Jones, and I want to tell you again about a company that has supported us in the truth movement for years.
[01:33:12.953 --> 01:33:14.114]  Inner Health Botanicals.
[01:33:14.254 --> 01:33:18.217]  This company produces the highest quality superfood around, called InnerFood.
[01:33:18.537 --> 01:33:20.099]  My wife just loves the stuff.
[01:33:20.399 --> 01:33:26.684]  And now, the health ranger Mike Adams has awarded InnerFood his Editor's Choice Award for Best Superfood of 2009.
[01:33:27.825 --> 01:33:30.386]  Inner Food is loaded with 20 great organic ingredients.
[01:33:30.706 --> 01:33:32.187]  No fillers, no sweeteners.
[01:33:32.427 --> 01:33:35.208]  It would be impossible to blend this up for a better price.
[01:33:35.448 --> 01:33:36.889]  And their formula really works.
[01:33:37.149 --> 01:33:39.710]  This is the real thing for the great health you need.
[01:33:39.970 --> 01:33:41.231]  Try the NutriCafe.
[01:33:41.471 --> 01:33:45.813]  Their great organic coffee infused with polysaccharides that boosts the immune system.
[01:33:46.233 --> 01:33:48.434]  A truly healthy coffee that tastes great.
[01:33:48.654 --> 01:33:50.915]  And take it from me folks, it really does taste great.
[01:33:51.115 --> 01:33:52.856]  Don't forget to try their other great products.
[01:33:53.196 --> 01:33:54.316]  Go to www.
[01:34:07.343 --> 01:34:16.447]  Did you know that it's a documented fact 80% of all Americans and 85% of people around the world suffer from internal parasites and parasitic infection?
[01:34:16.607 --> 01:34:24.631]  You may be one of millions of people suffering from one of dozens of debilitating chronic diseases from these parasites and your doctor would never know it.
[01:34:25.111 --> 01:34:29.273]  First, clinically detected parasites account for only 1% of all cases.
[01:34:29.353 --> 01:34:31.974]  Don't continue to suffer from pain due to misdiagnosis.
[01:34:32.114 --> 01:34:43.418]  Now you can fight internal parasites, heavy metal poisoning, and high cholesterol naturally and safely by mixing fossilized phytoplankton powder, also known as FPP, with your favorite beverage once a day.
[01:34:43.678 --> 01:34:49.880]  FPP is used around the world, has numerous uses, and is now available to you from Freshwater Organics.
[01:34:50.121 --> 01:34:53.842]  FPP strengthens skin, hair, and bones, lowers cholesterol, and isn't
[01:34:54.042 --> 01:34:57.864]  Excellent source of natural plant-based silica with 14 trace minerals.
