[00:00:06.149 --> 00:00:11.693]  ...set off all ceramic filter systems and ship all orders over $50 free of charge.
[01:55:05.390 --> 01:55:09.491]  I mean, it was half of them, now it's like 80% driving to work today.
[01:55:09.491 --> 01:55:10.592]  It's all government ads.
[01:55:10.592 --> 01:55:11.692]  See, there's nothing left.
[01:55:12.421 --> 01:55:21.011]  There's only the few big top corporate fortune 50 who own this fortune 500 and they get all the government contracts and all the major school
[01:55:22.236 --> 01:55:28.419]  Tuitions and scholarships are all about law enforcement, police, spying, data mining.
[01:55:28.419 --> 01:55:33.421]  San Antonio just took the giant former Sony plant, turned it into a huge NSA base.
[01:55:33.421 --> 01:55:37.583]  They admittedly admit the NSA spying on everybody's internet from there.
[01:55:37.583 --> 01:55:40.784]  And the local newspaper tried to go down there, the San Antonio Current.
[01:55:40.784 --> 01:55:42.385]  It's like the Austin Chronicle.
[01:55:42.385 --> 01:55:46.307]  And the feds came off base and arrested them and took their film.
[01:55:46.907 --> 01:55:48.027]  That isn't about security.
[01:55:48.027 --> 01:55:51.468]  It's about letting you, the milk cow, know that you're cowed.
[01:55:51.468 --> 01:55:52.508]  What's a pimp do?
[01:55:52.508 --> 01:55:54.208]  A pimp beats his bitches.
[01:55:54.208 --> 01:56:00.609]  To let them know that they're slaves and that he's gonna take 110% of their money.
[01:56:00.609 --> 01:56:01.450]  And the cops are there.
[01:56:01.450 --> 01:56:02.150]  They've been told.
[01:56:02.150 --> 01:56:02.710]  Taser them.
[01:56:02.710 --> 01:56:03.090]  Beat them.
[01:56:03.090 --> 01:56:04.190]  Let them know you're the boss.
[01:56:04.190 --> 01:56:05.250]  Be rude to the scum.
[01:56:05.250 --> 01:56:09.011]  Let them know that we own these women.
[01:56:09.011 --> 01:56:15.792]  We're a stable of crack whores with cigarette burns all over us and the feds just slap us around and say, shut up!
[01:56:16.875 --> 01:56:19.237]  Shut up and do what I say, whore!
[01:56:19.237 --> 01:56:21.599]  And we say, yes, yes.
[01:56:21.599 --> 01:56:26.063]  It's in the amnesty bill that all the crimes of the illegal aliens are waived.
[01:56:26.063 --> 01:56:31.307]  Local police all over the country, it's in the news, they admit if they arrest illegals, the judges let them go.
[01:56:31.307 --> 01:56:34.951]  Because they want them here to undermine and drop the wages of everybody else.
[01:56:34.951 --> 01:56:39.114]  When they're done with them, they'll be treated like slaves too, don't worry.
[01:56:39.114 --> 01:56:42.417]  This is a nation going into hardcore scientific slavery.
[01:56:43.263 --> 01:56:47.646]  And if you read about the pimp game, you'll understand how the New World Order operates.
[01:56:47.646 --> 01:56:50.327]  Everything is how a pimp runs a whore.
[01:56:50.327 --> 01:56:52.948]  Everything they do is how a pimp breaks a whore.
[01:56:52.948 --> 01:56:54.069]  In fact, do we have Under My Thumb?
[01:56:54.069 --> 01:56:55.710]  Can we go out with Rolling Stone, Under My Thumb?
[01:56:55.710 --> 01:56:57.351]  No, we'll go out with Deep Purple.
[01:56:57.351 --> 01:56:58.312]  I doubt we have it.
[01:56:58.312 --> 01:57:00.513]  I want to play that because, you know, the change has come.
[01:57:00.513 --> 01:57:03.234]  You know, she doesn't look me in the eyes.
[01:57:03.234 --> 01:57:04.155]  She's under my thumb.
[01:57:04.155 --> 01:57:06.876]  Well, I'm not under your thumb and I'm not your whore.
[01:57:06.876 --> 01:57:09.638]  I'm not going to sit here while you have your way with me, New World Order.
[01:57:12.199 --> 01:57:13.380]  If you can't get it, it doesn't matter.
[01:57:13.380 --> 01:57:14.961]  Take us out with Deep Purple.
[01:57:14.961 --> 01:57:16.122]  Again, it's all happening.
[01:57:16.122 --> 01:57:18.424]  They're moving with everything now.
[01:57:18.424 --> 01:57:30.494]  The New Bank of the World, the biggest one, is the Federal Reserve, is a regional bank of the New Bank of the World, announced in the news that will be over all industry, all banking, anything to do with finance, anything to do that affects the economy.
[01:57:30.494 --> 01:57:34.718]  It says the Fed is above it and no agency of government can oversee them or even question them.
[01:57:35.419 --> 01:57:40.122]  And Bernanke was before Congress this week and said, Congress has no authority over money.
[01:57:40.122 --> 01:57:49.206]  When Article 1, Section 8 says only Congress is, that's why they level the money, that's why they create the laws and levy the taxes.
[01:57:49.206 --> 01:57:52.468]  These people are incredible.
[01:57:52.468 --> 01:57:55.130]  They're out of control.
[01:57:55.130 --> 01:57:56.791]  And they've got to be resisted.
[01:57:56.791 --> 01:58:02.974]  We've got to stand up against the New World Order and say, I'm not your whore, I'm not your slave.
[01:58:05.211 --> 01:58:08.293]  There is no law that you've got to take these injections.
[01:58:08.293 --> 01:58:12.875]  There's no law you've got to drink sodium fluoride that's known to brain damage people.
[01:58:12.875 --> 01:58:14.956]  Get fired up, get angry, great job crew.
[01:58:14.956 --> 01:58:18.898]  We'll see you online at InfoWars.com and PrisonPlanet.tv.
[01:58:18.898 --> 01:58:21.879]  This is the fall of the Republic, the rise of the New World Order.
[01:58:21.879 --> 01:58:23.620]  We've got to bring down the New World Order!
[01:58:24.386 --> 01:58:28.489]  Hi, this is Ted Anderson introducing a new way to listen to GCN on your cell phone.
[01:58:28.489 --> 01:58:34.474]  If you own a smartphone like Blackberry, iPhone, or Arnold G1, there's a free application called Flycast.
[01:58:34.474 --> 01:58:40.559]  Simply download, install, and within minutes you'll be listening to your favorite GCN shows from the convenience of your phone.
[01:58:40.559 --> 01:58:45.904]  Go to GCNlive.com, download the Flycast application, and begin listening in a whole new way.
[01:58:45.904 --> 01:58:48.526]  The place to go to is GCNlive.com.
[01:58:48.526 --> 01:58:52.029]  Again, that's GCNlive.com, application, Flycast.
[01:58:53.425 --> 01:58:54.666]  Hi, this is Ted Anderson.
[01:58:54.666 --> 01:58:59.249]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[01:58:59.249 --> 01:59:05.053]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[01:59:05.053 --> 01:59:08.695]  Gold has outperformed paper investments, yet no word about IRAs.
[01:59:08.695 --> 01:59:11.417]  If you would like to have gold for your retirement, call 800-686-2237.
[01:59:11.417 --> 01:59:16.460]  Don't get left behind by rising inflation and low returns.
[01:59:16.460 --> 01:59:16.721]  Call 800-686-2237.
[01:59:16.721 --> 01:59:18.122]  Secure your future and call 1-800-686-2237.
[01:59:23.825 --> 01:59:26.326]  It's a new year full of uncertainties.
[01:59:26.326 --> 01:59:28.667]  People are being laid off in record numbers.
[01:59:28.667 --> 01:59:32.889]  The price of food continues to rise, and the economy continues to falter.
[01:59:32.889 --> 01:59:35.189]  You know that you need to prepare.
[01:59:35.189 --> 01:59:38.991]  And maybe you've been putting it off, but the time to act is now.
[01:59:38.991 --> 01:59:42.052]  That's why you need to visit OrganicaSeed.com.
[01:59:42.592 --> 01:59:54.992]  At OrganicaSeed.com, you'll find one of the largest online selections of heirloom seeds, survival seed packs, as well as the giant vegetable seed collections that can feed you and your family for years.
[01:59:54.992 --> 02:00:00.060]  Imagine growing your very own fresh vegetables, wheatgrass, fruits, herbs, rice...
