[00:00:00.000 --> 00:00:06.960]  The World Health Organization pandemic treaty is still not approved.
[01:11:45.369 --> 01:11:54.729]  They developed this mRNA technology and they're using it to inoculate you, guarantee revenues, guarantee that you're sick and unhealthy forever so they can make money off of you time and time and time again.
[01:11:56.369 --> 01:11:57.310]  They want you sick.
[01:11:57.529 --> 01:11:58.609]  They want you stupid.
[01:11:58.890 --> 01:11:59.970]  They want you broke.
[01:12:00.189 --> 01:12:01.310]  And they want you afraid.
[01:12:03.010 --> 01:12:08.789]  Because the weaker you are, the more malleable you become.
[01:12:10.369 --> 01:12:13.069]  And governments love a malleable populace.
[01:12:14.170 --> 01:12:20.289]  They love a population that can come out and say, there are three haircuts that you're allowed to have.
[01:12:20.369 --> 01:12:21.250]  You guys have to look this up.
[01:12:21.369 --> 01:12:22.729]  It's been a long time since I've seen a report on this.
[01:12:23.050 --> 01:12:25.630]  Aren't there three approved haircuts in North Korea?
[01:12:26.899 --> 01:12:28.279]  You can pick one of any of the three.
[01:12:32.840 --> 01:12:36.140]  They want to control every aspect of your life.
[01:12:36.340 --> 01:12:38.899]  And here's report after report going years back.
[01:12:39.239 --> 01:12:40.500]  Alex has been talking about this for years.
[01:12:41.340 --> 01:12:43.819]  How veterinary vaccines affect human health.
[01:12:45.779 --> 01:12:48.899]  Vaccines against diseases transmitted from animals to humans.
[01:12:49.180 --> 01:12:50.920]  A one health paradigm.
[01:12:51.239 --> 01:12:53.239]  This is another NIH study.
[01:12:54.619 --> 01:12:55.279]  Highlights here.
[01:12:55.420 --> 01:13:00.520]  Three frameworks for development and use of vaccines for control of zoonosis are provided.
[01:13:00.739 --> 01:13:03.899]  Framework 1 vaccines target dead-end human and livestock hosts.
[01:13:04.199 --> 01:13:09.079]  Framework 2 vaccines target infections of domesticated animals as a means of preventing spread to humans.
[01:13:09.359 --> 01:13:12.600]  Framework 3 vaccines target wild animal reservoirs.
[01:13:13.640 --> 01:13:15.920]  And then, collaboration of animal and human health disciplines.
[01:13:16.020 --> 01:13:18.260]  One Health may accelerate new approaches to disease control.
[01:13:18.920 --> 01:13:19.920]  They've done the research.
[01:13:20.060 --> 01:13:22.100]  I mean, they always document exactly what they're doing.
[01:13:22.880 --> 01:13:25.880]  Vaccinating poultry against avian flu is contributing to spread.
[01:13:26.380 --> 01:13:28.079]  That's one thing that Brett Weinstein said.
[01:13:28.079 --> 01:13:31.060]  It was in one of his podcast episodes with Joe Rogan, I believe.
[01:13:31.119 --> 01:13:34.260]  He's a famous virologist, very credible, very reputable, very brilliant.
[01:13:34.500 --> 01:13:36.359]  He said, you're not supposed to vaccinate.
[01:13:36.860 --> 01:13:47.960]  During a pandemic, in the midst of a pandemic, because if you vaccinate in the midst of a pandemic, it creates leaky viruses, which become immune to the vaccines.
[01:13:48.020 --> 01:13:53.880]  And we saw this happen as soon as they came out with the mRNA vaccines during 2020, and people started to get vaccinated during 2021 especially.
[01:13:55.390 --> 01:14:00.529]  We saw that there were new strands, constantly new strands, new strand after new strand after new strand of this vaccine.
[01:14:00.529 --> 01:14:01.270]  It was pivoting.
[01:14:01.350 --> 01:14:02.409]  It was adapting.
[01:14:02.510 --> 01:14:03.710]  It was mutating.
[01:14:03.890 --> 01:14:08.729]  It was evolving to resist all of the mRNA vaccines, the spike proteins that were targeted.
[01:14:08.970 --> 01:14:11.409]  And that's why they didn't work after like a month.
[01:14:13.550 --> 01:14:30.189]  And so when you're vaccinating this poultry, after you've done gain-of-function research on the bird flu to ensure that it can be transmittable through mallard ducts, You're making something that is hyper-viral.
[01:14:30.850 --> 01:14:33.949]  So it virtually infects every animal on the continent.
[01:14:35.710 --> 01:14:38.010]  You can't quarantine against the vaccine, you see.
[01:14:39.050 --> 01:14:48.149]  And then by using the mRNA technology, they can ensure that not only are they vaccinating these animals, but whoever eats the animals then becomes vaccinated.
[01:14:48.270 --> 01:14:52.750]  I mean, if you can get the COVID-19 virus...
[01:14:56.380 --> 01:14:57.319]  From a bat!
[01:14:57.939 --> 01:14:59.000]  Which is not what happened.
[01:14:59.199 --> 01:15:02.819]  But if you can get it from a bat, then you can get a vaccine from a bat.
[01:15:04.920 --> 01:15:11.000]  If you can get HIV in Africa from eating bushmeat, then you can get a vaccine from eating bushmeat.
[01:15:11.880 --> 01:15:16.460]  If you can get sick from a chicken, then you can get vaccinated from a chicken.
[01:15:16.460 --> 01:15:17.380]  Do you understand, folks?
[01:15:21.050 --> 01:15:23.170]  The vaccines are the pandemic.
[01:15:23.489 --> 01:15:25.930]  The vaccines are the public health crisis.
[01:15:26.189 --> 01:15:27.810]  The vaccines are the assault.
[01:15:31.550 --> 01:15:34.590]  This chicken vaccine makes its virus more dangerous.
[01:15:34.789 --> 01:15:38.909]  This is from 2015. We got more here.
[01:15:39.210 --> 01:15:39.989]  Thomas did a great job.
[01:15:42.189 --> 01:15:48.090]  A side effect of the Merrick's disease MD vaccine for chickens is that it can make the disease spread faster and longer than normal.
[01:15:48.210 --> 01:15:52.449]  This is because the vaccine is leaky, meaning it doesn't stop the diseases from replicating or spreading to other chickens.
[01:15:54.750 --> 01:15:57.010]  More reports on Merrick's disease in chickens.
[01:15:58.229 --> 01:16:00.529]  Why do broiler chickens receive vaccinations?
[01:16:01.470 --> 01:16:03.409]  Should we vaccinate against bird flu?
[01:16:03.689 --> 01:16:14.829]  22. This is Reuters.
[01:16:17.449 --> 01:16:18.850]  Okay.
[01:16:21.430 --> 01:16:25.750]  The U.S. considers vaccinating chickens as bird flu kills millions of them.
[01:16:26.010 --> 01:16:43.270]  This is it right here, March 6, 2023, after they committed arson and intentionally burned down enough poultry farms to result in the death of 1.5 million chickens over the course of the last four years compared to only 500,000 chickens the four years prior under the Trump administration.
[01:16:43.310 --> 01:16:56.449]  They are creating an artificial shortage to justify the mass inoculation So they can plant this mRNA technology in the food supply so when you eat it you get vaccinated.
[01:16:57.869 --> 01:17:06.289]  I know many of us over the course of the last several years have taken great comfort in the fact that we have been aware of the negative health effects of this COVID-19 mRNA technology.
[01:17:08.250 --> 01:17:10.930]  We take pride in the fact that we are saying no to boosters.
[01:17:11.069 --> 01:17:15.789]  We are saying no to these vaccines because we understand that they cause things like myocarditis.
[01:17:15.949 --> 01:17:18.329]  That they cause things like aneurysms.
[01:17:20.880 --> 01:17:31.380]  We understand that they cause things like paralysis, death, countless other injuries that have affected millions upon millions and killed many others.
[01:17:31.720 --> 01:17:41.239]  We understand that the vaccines reduce our immune system's efficacy in dealing with other viruses that it's exposed to because our immune system is trained to only respond to specific spike proteins.
[01:17:43.760 --> 01:17:46.060]  And we've been saying, thank God we watched Infowars.
[01:17:46.199 --> 01:17:47.300]  Thank God we listened to Infowars.
[01:17:47.399 --> 01:17:49.260]  Thank God we listened to Alex Jones.
[01:17:49.420 --> 01:17:52.399]  Thank God we listened to Robert Malone and Peter McCullough and others.
[01:17:53.260 --> 01:17:57.979]  Because we were not tricked into inoculating ourselves with the death jab.
[01:17:59.159 --> 01:18:04.979]  But now we have quickly arrived at a place where it doesn't matter whether or not you know not to choose the vaccine.
[01:18:07.449 --> 01:18:10.609]  If you can't eat without getting vaccinated.
[01:18:11.350 --> 01:18:12.470]  Okay, you won't get the shot?
[01:18:12.649 --> 01:18:13.510]  Well, are you going to have dinner?
[01:18:15.489 --> 01:18:16.649]  Oh, you don't want to get inoculated?
[01:18:16.750 --> 01:18:17.390]  You're not going to get your booster?
[01:18:17.649 --> 01:18:19.689]  Well, are you going to make a chicken casserole for Thanksgiving?
[01:18:23.649 --> 01:18:25.069]  This is wild, folks.
[01:18:25.829 --> 01:18:27.130]  This is wild.
[01:18:28.689 --> 01:18:44.159]  And I can't emphasize enough that the problem isn't just That against your will, our government can infect and inject your body with experimental medications and vaccines.
[01:18:44.920 --> 01:18:55.560]  But it's because this infrastructure opens up a whole new road for what the government can do to our bodies, our lives.
[01:18:56.180 --> 01:19:10.899]  I mean, John Locke and his second treaties of government made an incredibly compelling, articulate, strong, solid argument For private property rights, beginning with our body.
[01:19:11.380 --> 01:19:13.779]  I say our body, my body, my rights all the time.
[01:19:14.840 --> 01:19:21.039]  Arguing that if we are created by God, then our lives and our bodies are our own private property.
[01:19:21.239 --> 01:19:23.359]  And our will is our own private property.
[01:19:23.520 --> 01:19:27.960]  No one else, no government, no entity has a right to our bodies, to our lives, to our wills.
[01:19:29.340 --> 01:19:33.640]  Because it was given to us by God and his authority transcends the authority of any man.
[01:19:35.510 --> 01:19:44.689]  And by extension, anything we choose to do with our lives, our time, our minds, our will, and our bodies is also our private property.
[01:19:45.649 --> 01:19:48.270]  So if I work and make money, it becomes my private property.
[01:19:48.350 --> 01:19:50.170]  If I build a house, it becomes my private property.
[01:19:51.770 --> 01:20:03.409]  And that is the foundational argument, the philosophical and theological justification for capitalism itself that led to the greatest progress of any civilization throughout history.
[01:20:04.329 --> 01:20:15.350]  These notions of our private property rights, but now there's a mechanism in place where the government can hack into your body through the food that you eat.
[01:20:17.930 --> 01:20:19.430]  And let's look at the history of this.
[01:20:19.510 --> 01:20:30.569]  I mean, we know that Bill Gates is responsible for the death of thousands, if not millions of people in Africa with his experimental vaccines and the mosquito stuff that he's doing and the poison on the mosquito nets that people were using to fish for food.
[01:20:30.670 --> 01:20:32.430]  And then they were eating the food and then they were getting poisoned.
[01:20:32.729 --> 01:20:35.189]  We know that the Bill Gates's were happy with killing tons of people.
[01:20:35.329 --> 01:20:37.890]  We know that the Tuskegee experiments were devastating.
[01:20:37.909 --> 01:20:41.390]  We know that the polio vaccines in large caused polio.
[01:20:41.489 --> 01:20:45.289]  My dad was vaccinated for polio, then got polio from the polio vaccine when he was a kid.
[01:20:45.409 --> 01:20:47.390]  He was born in 49. Thank God he's okay.
[01:20:49.489 --> 01:20:58.229]  We know because of MKUltra, despite the fact that they burned the documents, we know that through MKUltra, they don't care about your health rights, your health issues.
[01:20:59.010 --> 01:21:08.189]  We know that they were happy to unwittingly drug you with LSD so they could watch you have sex and study your behavior.
[01:21:08.489 --> 01:21:09.989]  That's what they did with MKUltra.
[01:21:11.590 --> 01:21:19.340]  We know that they engineered Ted Kaczynski through MKUltra Ultimately resulting in terrorist acts.
[01:21:19.500 --> 01:21:20.060]  And there were others too.
[01:21:20.199 --> 01:21:21.899]  I think Lee Harvey Oswald falls into that category.
[01:21:22.159 --> 01:21:24.359]  Charles Manson truly falls into that category.
[01:21:24.539 --> 01:21:25.600]  I mean, there's a meme going around.
[01:21:25.760 --> 01:21:27.319]  What do all four of these people have in common?
[01:21:27.340 --> 01:21:28.399]  And it's one psychologist.
[01:21:29.289 --> 01:21:32.369]  These are all famous murderers, terrorists in the United States.
