# Transcription model: nvidia/parakeet-tdt-0.6b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: e88e4929dc3fcfc98d92524c7c7cd4d1
[00:00:07.759 --> 00:00:08.240]  Christmas.
[01:17:52.640 --> 01:17:59.120]  But because this monumental catastrophe happened when I was 18 years old, I blame the Republicans.
[01:17:59.360 --> 01:18:02.080]  So I became a Democrat, quote unquote.
[01:18:02.320 --> 01:18:09.600]  And my stepfather actually has a documentary that he did with Ted Gunderson that is unreleased.
[01:18:09.840 --> 01:18:21.840]  And I've been pressuring him to put it out, but he was the janitor at the North Tower on the day on 9-11 who publicly went on CNN on that day and said a bomb went off in the basement.
[01:18:22.160 --> 01:18:27.680]  And he's been traveling the world telling his story because he wasn't allowed to tell that story here.
[01:18:27.920 --> 01:18:31.040]  And he ended up suing the entire Bush administration.
[01:18:31.280 --> 01:18:37.280]  So I've always known that there have been issues and I've always watched these problems happening.
[01:18:37.520 --> 01:18:41.680]  And now that I'm older, I see it's not, it's not Republicans, it's both sides.
[01:18:41.840 --> 01:18:45.840]  I didn't know what the Uniparty was until Donald Trump made that a thing.
[01:18:46.160 --> 01:18:52.080]  And so over the last several weeks, I've heard people like General Flynn talking about color revolutions.
[01:18:52.240 --> 01:18:54.720]  And that's when I said, oh my God, there's a word for this.
[01:18:55.040 --> 01:19:07.760]  So I wanted to put it out to get it all together, make it easy for people to understand because the public knows there's something wrong and they're just trying to figure out what it is because we lived through all of this pain.
[01:19:07.920 --> 01:19:11.200]  We're watching the ridiculousness and everything get crazier.
[01:19:11.520 --> 01:19:20.400]  And so if we now, knowing what it is, look back into history and see that it's repeating itself, we can potentially stop it before it continues.
[01:19:20.880 --> 01:19:21.280]  Absolutely.
[01:19:21.360 --> 01:19:24.640]  But listen, if you let me talk to your stepdad, I love Ted Gunnerson.
[01:19:24.720 --> 01:19:25.440]  We were good close friends.
[01:19:25.840 --> 01:19:27.840]  He was on the show, totally tough.
[01:19:28.160 --> 01:19:30.880]  Oh, I'm here in the hospital, just got a sheep's bladder, blah, blah, blah.
[01:19:31.040 --> 01:19:32.080]  He's like dead a week later.
[01:19:32.560 --> 01:19:37.440]  The last interview I did with him, like whenever it was eight, nine years ago, he ran around like a wild man, exposing everything.
[01:19:37.600 --> 01:19:39.840]  Oklahoma City, 9-11, the pedophile rings, everything.
[01:19:40.160 --> 01:19:42.240]  He's got a documentary with your stepdad.
[01:19:42.560 --> 01:19:44.800]  Even if it's not finished, you send it to us.
[01:19:45.040 --> 01:19:45.920]  We'll add stuff to it.
[01:19:46.000 --> 01:19:48.560]  We'll put it out for free or, you know, whatever.
[01:19:48.720 --> 01:19:50.000]  But yeah, that needs to get out.
[01:19:50.160 --> 01:19:53.280]  Unknown material, but Ted Gunnerson and then your stepfather.
[01:19:53.360 --> 01:19:54.000]  That's amazing.
[01:19:54.320 --> 01:19:55.360]  And I remember, what's his name?
[01:19:56.400 --> 01:19:56.960]  The janitor.
[01:19:57.200 --> 01:19:58.160]  William Rodriguez.
[01:19:58.720 --> 01:19:59.440]  Say his name?
[01:19:59.760 --> 01:20:00.960]  William Rodriguez.
[01:20:01.120 --> 01:20:01.680]  I know him well.
[01:20:01.840 --> 01:20:02.720]  Willie Rodriguez.
[01:20:03.280 --> 01:20:05.520]  He's been on the show like 30 times.
[01:20:05.840 --> 01:20:06.560]  He raised me.
[01:20:06.800 --> 01:20:12.560]  He literally looks like and talks like, what's the old 50s sitcom?
[01:20:12.720 --> 01:20:13.600]  I love Lucy.
[01:20:14.160 --> 01:20:17.360]  Yes, he actually was, he played him in a play.
[01:20:17.920 --> 01:20:18.160]  I knew that.
[01:20:18.240 --> 01:20:19.200]  He looks just like him.
[01:20:19.520 --> 01:20:20.880]  Ricky Ricardo.
[01:20:21.200 --> 01:20:21.680]  Yes.
[01:20:22.000 --> 01:20:22.560]  Oh, my God.
[01:20:22.640 --> 01:20:23.440]  We got to get Willie.
[01:20:23.520 --> 01:20:25.040]  I remember Willie Rodriguez working on that.
[01:20:25.280 --> 01:20:27.520]  See, I'm just, you know, you've been doing this 30-something years.
[01:20:27.600 --> 01:20:28.640]  It's all just a big blur.
[01:20:28.960 --> 01:20:30.240]  What a small world.
[01:20:30.800 --> 01:20:31.600]  Willie Rodriguez.
[01:20:32.400 --> 01:20:33.600]  I was like, wait, there's a janitor.
[01:20:34.720 --> 01:20:35.440]  And then, yeah.
[01:20:35.760 --> 01:20:36.240]  Wow.
[01:20:36.880 --> 01:20:38.240]  And it wasn't just Willie Rodriguez.
[01:20:38.320 --> 01:20:40.240]  We have the cops and firemen saying the same thing.
[01:20:40.880 --> 01:20:41.600]  Exactly right.
[01:20:41.920 --> 01:20:42.880]  And that's the problem.
[01:20:43.040 --> 01:20:45.440]  And people think that we're crazy when we tell the truth.
[01:20:45.840 --> 01:20:50.640]  Well, then I had to do an emergency management on about how they had bombs in Building 7.
[01:20:50.880 --> 01:20:52.320]  They killed him a week later.
[01:20:52.960 --> 01:20:53.440]  Correct.
[01:20:53.680 --> 01:20:57.040]  And he told me about the art students and he knew about it.
[01:20:57.360 --> 01:20:58.960]  He had people that had spoken with them.
[01:20:59.120 --> 01:20:59.680]  It's insane.
[01:20:59.920 --> 01:21:02.320]  The Israelis are just correct.
[01:21:03.280 --> 01:21:03.840]  Correct.
[01:21:04.080 --> 01:21:08.240]  That had taken over the floors for construction and art projects right where the planes hit.
[01:21:08.880 --> 01:21:09.280]  Exactly.
[01:21:09.600 --> 01:21:16.000]  And there's photos of top Israeli demolition experts, famous bombers in the building, which they posted.
[01:21:16.080 --> 01:21:16.640]  Yeah, here it is.
[01:21:17.120 --> 01:21:18.640]  Very nice folks here.
[01:21:19.920 --> 01:21:21.920]  I wonder what all those boxes are.
[01:21:24.480 --> 01:21:25.920]  You can't make it up.
[01:21:26.240 --> 01:21:28.720]  The arrogance is really astounding.
[01:21:31.600 --> 01:21:32.320]  So where's Willie?
[01:21:32.800 --> 01:21:37.040]  So you got to get Willie Rodriguez back on the show.
[01:21:37.360 --> 01:21:37.920]  Absolutely.
[01:21:38.000 --> 01:21:38.640]  I would love to.
[01:21:38.800 --> 01:21:41.440]  I've been pressuring him to put this documentary out.
[01:21:42.160 --> 01:21:44.560]  Apparently, there's a lot of interesting things in there.
[01:21:44.800 --> 01:21:49.360]  Things that I would love this new FBI or new government to put out.
[01:21:49.680 --> 01:21:52.640]  But, you know, apparently we have to be the ones to do that.
[01:21:52.880 --> 01:21:54.800]  So let's see if we can get him there.
[01:21:55.120 --> 01:21:55.360]  Wow.
[01:21:55.440 --> 01:21:56.240]  What a small world.
[01:21:56.320 --> 01:21:58.960]  Well, you got to come on next week or something with Willie Rodriguez.
[01:21:59.280 --> 01:21:59.760]  You got it.
[01:21:59.920 --> 01:22:00.560]  I would love to.
[01:22:00.800 --> 01:22:00.960]  Wow.
[01:22:01.280 --> 01:22:03.600]  I probably interviewed him like 30 times.
[01:22:03.920 --> 01:22:04.560]  It's incredible.
[01:22:04.880 --> 01:22:06.560]  At dinner with him in New York a few times.
[01:22:06.720 --> 01:22:07.920]  He's a character.
[01:22:08.240 --> 01:22:08.640]  He is.
[01:22:08.880 --> 01:22:10.480]  I guess you know him better than I do.
[01:22:11.680 --> 01:22:12.400]  Oh my God.
[01:22:12.560 --> 01:22:14.800]  Literally, Ricky Ricardo, folks.
[01:22:15.040 --> 01:22:16.880]  Guys, we pull up William Rodriguez, 9-11.
[01:22:16.960 --> 01:22:17.360]  Just type it in.
[01:22:17.440 --> 01:22:18.240]  You'll see what I'm talking about.
[01:22:18.560 --> 01:22:18.800]  All right.
[01:22:19.520 --> 01:22:23.200]  Let's stop right there and restart because we're having a love festival Willie Rod Reagan's what a great patriot.
[01:22:26.000 --> 01:22:31.520]  Let's get into more on the color revolution and the fact that it just keeps rolling and rolling.
[01:22:31.840 --> 01:22:39.840]  Are you heartened to see the Deputy Chief of Staff and others saying it's color revolution, specifically saying the elements of the CIA know it's the CIA, they're praying a false flag?
[01:22:40.160 --> 01:22:42.560]  Because exposing it is what takes their power away.
[01:22:42.800 --> 01:22:44.320]  We have to get ahead of this.
[01:22:44.960 --> 01:22:46.320]  But we also need action.
[01:22:46.880 --> 01:22:50.960]  I want to know why the CIA has not been disbanded at this point.
[01:22:51.280 --> 01:23:02.000]  And maybe I'm being extra impatient, but you know, I'm not seeing anything in regards to change within this administration.
[01:23:02.320 --> 01:23:05.280]  And, you know, I think the public feels the same way.
[01:23:05.600 --> 01:23:07.360]  We haven't exposed anything about it.
[01:23:07.520 --> 01:23:15.280]  All of it is coming from independent journalists and it needs to come from our government so that they can restore actual trust and transparency.
[01:23:15.440 --> 01:23:20.080]  We can't say we're the most transparent administration when we're not actually doing it.
[01:23:22.640 --> 01:23:25.040]  And you expose Soros as well.
[01:23:25.360 --> 01:23:28.720]  We got a short video I'm going to play here where you expose Soros.
[01:23:28.800 --> 01:23:29.520]  Let's do clip three.
[01:23:29.760 --> 01:23:30.560]  George Soros.
[01:23:30.640 --> 01:23:31.680]  Here's one of your reports on him.
[01:23:31.920 --> 01:23:37.120]  Got another one coming up, Titanic America, TikTok censorship, and more with our special guest.
[01:23:37.200 --> 01:23:39.440]  But here's George Soros in her report.
[01:23:39.760 --> 01:23:54.640]  I think I found the real reason George Soros is still allowed to operate freely inside the United States while he's been kicked out or heavily restricted in Russia, Hungary, Turkey, Pakistan, Poland, the Philippines, and a half dozen other countries.
[01:23:54.960 --> 01:23:57.760]  The answer is simple, and it's hiding in plain sight.
[01:23:58.080 --> 01:24:05.760]  George Soros has probably been one of the CIA's most valuable private assets for over 40 years.
[01:24:06.080 --> 01:24:12.800]  He's the civilian deniable billion-dollar funding arm of American regime change operations worldwide.
[01:24:13.120 --> 01:24:21.040]  That's why no attorney general, no Congress, and no president has ever seriously moved to shut him down here.
[01:24:21.360 --> 01:24:24.640]  He's not just allowed in America, he's protected.
[01:24:24.960 --> 01:24:28.560]  This is why both George and Alex are so arrogant.
[01:24:28.880 --> 01:24:33.360]  If you've seen my video on color revolutions, you already know the script.
[01:24:33.680 --> 01:24:43.520]  Soros bankrolled this prototype in Serbia in 2000, refined it in Georgia in 2003, Ukraine in 2004, and the Arab Spring in 2011.
[01:24:43.840 --> 01:24:50.000]  The same USAID, NED, and Open Society Foundation's logos appear in every single one.
[01:24:50.320 --> 01:24:53.840]  The Arab Spring was a trial run for Europe's migrant crisis.
[01:24:54.160 --> 01:24:58.960]  In 2011, the CIA and Soros turned that playbook on Libya and Syria.
[01:24:59.280 --> 01:25:06.000]  Gaddafi warned the West in March of 2011 that if you take him out, millions would flood Europe from Africa.
[01:25:06.320 --> 01:25:13.040]  Eight months later, he was dead, and Libya was chaos, and the migrant waves began exactly as he had predicted.
[01:25:13.360 --> 01:25:24.880]  By 2015-2016, battle-hardened jihadists and economic migrants were streaming across the Mediterranean with iPhones, prepaid cards, and Twitter guides written in Arabic.
[01:25:25.120 --> 01:25:29.680]  The same social media mobilization tactics used in Kyiv and Tahir Square.
[01:25:29.920 --> 01:25:32.560]  Wayne Madsen called it straight in 2015.
[01:25:32.800 --> 01:25:39.200]  This was a deliberate Soros CIA social engineering operation to fracture Europe from within.
[01:25:39.520 --> 01:25:41.360]  Same playbook, new target.
[01:25:41.680 --> 01:25:44.720]  And now we have America, 2020 to present.
[01:25:45.040 --> 01:25:47.120]  Remember the 2020 summer riots?
[01:25:47.360 --> 01:25:53.520]  Soros Open Societies Foundations gave at least $33 million to the groups that organized and sustained them.
[01:25:53.840 --> 01:25:55.680]  How about the southern border caravans?
[01:25:55.840 --> 01:26:00.080]  Soros-backed NGOs provided the lawyers, the maps, and the logistics.
[01:26:00.400 --> 01:26:03.360]  How about defund the police and DAs in every major city?
[01:26:03.600 --> 01:26:05.280]  Soros money elected them.
[01:26:05.520 --> 01:26:08.320]  They're running the color revolution playbook on us now.
[01:26:08.640 --> 01:26:12.880]  Only this time, the target isn't Belgrade or Damascus, it's you.
[01:26:13.200 --> 01:26:14.960]  And this is why JFK was right.
[01:26:15.120 --> 01:26:24.000]  After the Bay of Pigs betrayal, President Kennedy reportedly told aides he wanted to splinter the CIA into a thousand pieces and scatter it into the winds.
[01:26:24.240 --> 01:26:25.520]  He never got the chance.
[01:26:25.840 --> 01:26:29.680]  62 years later, we're living in the world the CIA built.
