[00:00:01.320 --> 00:00:03.700]  Other networks lie to you about what's happening now.
[01:24:23.800 --> 01:24:27.720]  They're limited editions, exclusively available at thealexshowstore.com right now.
[01:24:27.720 --> 01:24:28.720]  Get yours while you still can.
[01:24:28.819 --> 01:24:39.560]  Well, there's a lot of heroes in the UK that have been battling the pedophile rings since it became big news in the sixties.
[01:24:39.569 --> 01:24:40.130]  But...
[01:24:40.000 --> 01:24:55.319]  The former member of parliament, Andrew Bridgen, has been the most focused and effective at exposing these networks, raising public awareness, and getting a lot of these people put in prison.
[01:24:56.420 --> 01:25:04.859]  And they can try to escape prison, but in the court of public opinion, they've been completely convicted.
[01:25:04.859 --> 01:25:06.119]  And I want to be 100% clear.
[01:25:06.600 --> 01:25:12.739]  We are not singling out the UK, though, from the research, it looks like it's about as bad as it gets.
[01:25:12.979 --> 01:25:20.260]  The UN's been caught constantly, and for decades it was in the news, but in the last 10 years, barely, running giant child kidnapping rings.
[01:25:21.119 --> 01:25:29.239]  DynCorp, Halliburton was involved, the UN massively, on and on and on in all these conflict zones on record.
[01:25:30.460 --> 01:25:41.090]  But when you go to Google and type in UN sex crimes, UN sex slavery, children, You'll see thousands of articles, but when you click news, nothing.
[01:25:41.609 --> 01:25:46.430]  And about 10 years ago, it just went away, though it's worse than ever.
[01:25:47.630 --> 01:26:00.170]  So he specifically, in this big podcast that went megaviral, talked about, and he started to get to it earlier, about children being brought out from Ukraine, flown in, being used up, and then organs harvested.
[01:26:00.689 --> 01:26:03.329]  And there's been big reports out of...
[01:26:04.580 --> 01:26:09.760]  Gaza and out of Ukraine and confirming that that stuff's going on.
[01:26:10.239 --> 01:26:14.220]  So there's the people that make money off the sex labor and the organs and there's the ones they're selling them to.
[01:26:15.340 --> 01:26:17.479]  But it's a rite of passage to enter the cult.
[01:26:17.619 --> 01:26:20.600]  Just like other gangs, you gotta kill somebody or they gotta have dirt on you.
[01:26:21.100 --> 01:26:23.819]  MS-13 likes to torture children and satanic rituals.
[01:26:24.319 --> 01:26:25.680]  That's one of their rites of passage.
[01:26:25.859 --> 01:26:28.699]  This is something that's gone on for thousands of years.
[01:26:28.739 --> 01:26:29.380]  You study history.
[01:26:29.500 --> 01:26:32.520]  Different societies, when they started declining, it would come out, had...
[01:26:32.560 --> 01:26:36.140]  Pedophile sex cults at the top that were also doing stuff like this.
[01:26:36.279 --> 01:26:37.340]  Look at the decline of Rome.
[01:26:38.060 --> 01:26:39.100]  So history repeats.
[01:26:39.779 --> 01:26:43.600]  Now, he's with us about 20 minutes to the next hour that another massive guest is coming on.
[01:26:45.000 --> 01:26:49.800]  You don't want to miss Pastor Brandon Biggs with what he's talking about in the inauguration.
[01:26:49.960 --> 01:26:52.460]  But, Andrew, you've got to come back again soon.
[01:26:52.460 --> 01:26:54.560]  We've got to do a commercial-free podcast show as well.
[01:26:55.260 --> 01:26:57.739]  You talk three hours, I know, and not even scratch the surface.
[01:26:59.720 --> 01:27:06.279]  I have to raise this now, and then we'll get into the UK and Europe and the children being flown in, because people want that to be elaborated on.
[01:27:06.819 --> 01:27:21.220]  But when we look at Mayorkas and Kamala Harris and Biden and a quadrupling of kids coming in under them, Trump shut it down, but a quadrupling under even what Biden's predecessor, Obama, did.
[01:27:22.460 --> 01:27:27.819]  Obama, 12 years ago, says, oh, anybody that's a kid or has a kid, you just get an automatic amnesty.
[01:27:28.039 --> 01:27:32.859]  And then we had people smuggling kids in over and over again using the same kid as a get-out-of-jail-free card.
[01:27:33.640 --> 01:27:34.680]  Trump shuts it down.
[01:27:34.979 --> 01:27:39.779]  It accelerates under Biden to almost four times what it was at its peak under Obama.
[01:27:40.880 --> 01:27:54.239]  I've interviewed the whistleblowers that have been in Congress that were on the planes with up to three-month-old babies, that young, no formula, no diapers, flying all over the country and just in parking lots, just giving them to people, in many cases, with no paperwork.
[01:27:55.340 --> 01:28:01.420]  And then some of the paperwork was gotten, and investigators went out, and they would knock on the door, and the guy would go, yeah, I had that little two-year-old girl.
[01:28:01.479 --> 01:28:03.100]  She was here two days, three months ago.
[01:28:03.199 --> 01:28:03.420]  I don't know.
[01:28:03.460 --> 01:28:04.260]  I gave her to somebody.
[01:28:04.460 --> 01:28:05.859]  Get the hell out of here, and they slammed the door.
[01:28:06.020 --> 01:28:06.920]  We played those videos.
[01:28:07.819 --> 01:28:11.000]  And then Majorca said a month ago, he said, that's none of my responsibility.
[01:28:11.039 --> 01:28:12.920]  I just bring them in and don't worry about where they go.
[01:28:13.539 --> 01:28:18.880]  He said that on national TV. And even the New York Times admitted a lot of them are in sex slavery.
[01:28:19.020 --> 01:28:19.560]  Some end up dead.
[01:28:19.579 --> 01:28:20.760]  A lot are in slave labor.
[01:28:21.380 --> 01:28:30.319]  The Border Patrol says the number's closer to a million underage people, most of them below the age of 10. We've caught it on video at an industrial scale at the Texas border.
[01:28:30.619 --> 01:28:34.939]  The same woman every hour brings another baby, almost no paperwork, fake name, you name it.
[01:28:35.020 --> 01:28:38.739]  Hans says, this is my baby, gives it to an NGO, and the baby disappears.
[01:28:39.260 --> 01:28:40.359]  Yeah, this woman.
[01:28:40.560 --> 01:28:44.460]  I mean, we went down there four times a few years ago and caught her over and over again.
[01:28:44.920 --> 01:28:49.140]  Turned out she was part of one of those Satan gangs, literally has the Satanic tattoo of the Grim Reaper.
[01:28:49.340 --> 01:28:50.520]  They started threatening us.
[01:28:50.779 --> 01:28:51.640]  They were a little surprised.
[01:28:51.760 --> 01:28:53.100]  We said, hey, dude, we got guns too.
[01:28:53.520 --> 01:28:56.819]  But that's the level this is, okay?
[01:28:57.680 --> 01:28:59.800]  So, I know I've got to guess.
[01:28:59.899 --> 01:29:00.399]  I need to shut up.
[01:29:00.479 --> 01:29:02.479]  The point is, it's a bottomless pit.
[01:29:03.079 --> 01:29:08.680]  And so, from afar, can you spend a few minutes on what you see here and the similarities?
[01:29:08.920 --> 01:29:17.199]  And now Tom Homan, the incoming borders are, says he has been greenlit to not just prosecute the NGOs and non-profits, but the UN and the...
[01:29:17.470 --> 01:29:22.109]  Biden officials that greenlit this, that has got to scare the bad guys.
[01:29:23.670 --> 01:29:27.250]  Yes, but I mean, we've got a long history of this in America as well.
[01:29:27.390 --> 01:29:52.159]  We've got all the evidence that came out about what was going on with the Clinton Foundation and Haiti and people being caught there trying to traffic children into the U.S. Whether it's regarding child trafficking, child abuse, The whole world, the whole developed world seems to be once again, Alex, in lockstep.
[01:29:52.359 --> 01:30:02.359]  We're in lockstep about the so-called pandemic, the COVID-19 pandemic and the mandates, the masking and the vaccines.
[01:30:02.619 --> 01:30:16.260]  The whole world, it would appear, is in lockstep over the new religion of net zero, the false idol of net zero, which is going to make us all poorer, colder and less free.
[01:30:17.409 --> 01:30:24.010]  And it's exactly the same with the organized crime of pedophilia and child trafficking.
[01:30:24.170 --> 01:30:33.970]  It's worldwide, and it would appear that none of the media around the world want to talk about it, and I would suggest that's because it runs to the very top.
[01:30:35.590 --> 01:30:36.109]  Absolutely.
[01:30:37.529 --> 01:30:42.710]  You started to talk about Ukraine, kids being flown in from other areas of the UK, disappeared.
[01:30:42.729 --> 01:30:49.079]  You've talked to the witnesses, you brought it to MI6. Elaborate on what you said on the viral interview last week, please, sir.
[01:30:50.819 --> 01:30:58.399]  Yeah, I had a source came to me with all this evidence that they had put out to all the agencies and the police.
[01:30:58.659 --> 01:31:02.960]  They had recorded all their conversations with those agencies.
[01:31:03.720 --> 01:31:12.920]  It was interesting that MI5 assured the source that it was passed to the National Crime Agency in London and that they'd got a name.
[01:31:13.289 --> 01:31:20.890]  A couple of weeks later, the source contacted the National Crime Agency and they said they had no one working there of that name.
[01:31:20.989 --> 01:31:22.930]  They'd never seen the file.
[01:31:23.029 --> 01:31:35.350]  But as I said to you, the source themselves were checked out on social media by a representative of the company that they'd named in the evidence only a few days before.
[01:31:35.350 --> 01:31:36.829]  And that isn't a coincidence.
[01:31:36.829 --> 01:31:52.029]  So it would clearly indicate to me that someone at the National Crime Agency, or MI5, It had actually tipped off the bad guys, and they were moving against the source, which is why I can't possibly name them.
[01:31:52.550 --> 01:32:09.189]  This is high stakes, huge amounts of money, and there's no way that you're smuggling this number of children into any country without the government or security services, intelligence services, knowing about it.
[01:32:09.630 --> 01:32:19.590]  And my experience of trying to inform senior politicians was exactly the same as the source had found with the police, MI5, and National Crime Agency.
[01:32:19.869 --> 01:32:21.949]  Nobody wants to talk about child trafficking.
[01:32:21.949 --> 01:32:23.770]  Nobody wants to talk about pedophilia.
[01:32:24.630 --> 01:32:33.050]  And they don't want to talk about the 325,000 admitted children that the feds had and were ordered to hand over to NGOs, in many cases with no paperwork.
[01:32:34.359 --> 01:32:35.600]  It's the exact same story.
[01:32:35.760 --> 01:32:38.880]  Can you elaborate on this more and repeat what you said?
[01:32:39.560 --> 01:32:43.180]  The children are coming into the UK through various ways.
[01:32:43.359 --> 01:32:48.159]  Some are coming into small airports which don't have a perimeter fence.
[01:32:48.600 --> 01:32:53.140]  Some are coming in actually with false paperwork.
[01:32:53.399 --> 01:33:11.100]  I believe the false identities are being created in Moldova from Ukraine and they're coming in with false IDs on normal Passenger aircraft and some are coming in in bulk into Scotland and coming into the UK that way.
[01:33:12.979 --> 01:33:30.159]  This is an industrial scale child trafficking to feed the worst people in our society, paedophiles, and there's no way that it can be done without the knowledge of people in very, very high positions of power.
[01:33:30.649 --> 01:33:38.409]  And all I'll say is that whenever I try to raise these issues and get action against it, all you get is pushback.
[01:33:38.630 --> 01:33:43.770]  Go back to the police, the people who ignored you to start with when you handed over the evidence.
