# Transcription model: large-v3-turbo
[00:00:05.099 --> 00:00:06.759]  You're now entering.
[00:58:41.019 --> 00:58:43.019]  So it's a very volatile time.
[00:58:43.579 --> 00:58:51.719]  But Trump is going with, we have the money, we have the major market, we have the industry that's coming back, we have the best military still.
[00:58:52.539 --> 00:58:53.960]  We wouldn't have had it much longer.
[00:58:54.518 --> 00:59:01.397]  We were to be folded into the whole globalist system and not raise the third world, but lower us closer to their standard.
[00:59:03.187 --> 00:59:03.578]  So,
[00:59:07.139 --> 00:59:09.460]  Trump is basically ending NATO now.
[00:59:10.119 --> 00:59:14.000]  And they set up, right before he got elected four months ago, the Northern Group.
[00:59:14.440 --> 00:59:23.639]  All these NATO members, led by the UK and France, saying, well, even if the US pulls out, we're going to reconstitute.
[00:59:23.760 --> 00:59:27.500]  But when it came time to do it, they're not doing it.
[00:59:27.699 --> 00:59:30.539]  Because they don't have the money or the resources.
[00:59:30.539 --> 00:59:31.820]  Because they were also running the...
[00:59:32.289 --> 00:59:39.030]  Policy of vertical integration, shutting down their economy, shutting off energy, shutting off fertilizer, taking farmland to get more control.
[00:59:39.190 --> 00:59:46.110]  They're so predatory that they don't even want a big, powerful economy that they skim off of like a boss hog.
[00:59:47.550 --> 00:59:58.130]  They are so great reset neo-feudalism, and they want to collapse the whole world economy to consolidate it because they have central banks and unlimited fiat money.
[00:59:58.840 --> 01:00:02.960]  But if the world rejects their political operations and controls, it's over.
[01:00:03.119 --> 01:00:05.920]  And now we're well into the rejection.
[01:00:05.920 --> 01:00:15.960]  If you look at the numbers, it's parabolic of leftist and globalist transhumanist parties collapsing and populist parties exploding.
[01:00:16.519 --> 01:00:18.900]  So I told you months ago NATO's dead.
[01:00:19.179 --> 01:00:21.280]  Now they're officially saying it's dead.
[01:00:21.739 --> 01:00:25.619]  It'll still have the name and they'll still be bureaucrats and still get a bunch of money and steal it.
[01:00:26.380 --> 01:00:31.460]  But they said in France and Germany and the UK in the last couple of years, oh, our new economy will be a 20-year war with Russia.
[01:00:31.960 --> 01:00:33.460]  We're going to keep encircling Russia.
[01:00:33.579 --> 01:00:36.059]  And finally, we'll collapse Russia and break it in five parts.
[01:00:36.199 --> 01:00:39.440]  And that's how we'll prop up our debt is taking control of it.
[01:00:39.679 --> 01:00:48.880]  They've already gobbled up most of the other countries around Russia, replacing the old Soviet Union tyranny with the new EU tyranny that's even more aggressive than the Soviets.
[01:00:50.659 --> 01:00:55.460]  So, European support for Ukraine in complete disarray.
[01:00:56.840 --> 01:01:00.219]  Kala's plan dead in its tracks among competing initiatives.
[01:01:01.519 --> 01:01:02.719]  They're a bunch of crooks.
[01:01:03.659 --> 01:01:08.840]  European leaders start drafting a five- to ten-year plan to replace U.S. in NATO.
[01:01:09.280 --> 01:01:13.940]  Well, I mean, if they don't get the money now and the war ends, that's it.
[01:01:15.260 --> 01:01:24.119]  And if they kick all the Soros operatives out of Hungary and Romania and Poland everywhere, it's game over for them politically, staging their coups and all the rest of it.
[01:01:24.820 --> 01:01:28.440]  France unveils major nuclear expansion by 2035.
[01:01:29.860 --> 01:01:31.099]  What does that do?
[01:01:31.360 --> 01:01:32.460]  Russia doesn't want a nuclear war.
[01:01:32.559 --> 01:01:33.460]  They already have nukes there.
[01:01:33.940 --> 01:01:35.300]  They already have nukes in Europe.
[01:01:36.559 --> 01:01:37.960]  Russia has all the land they want.
[01:01:38.039 --> 01:01:39.320]  They just don't want missiles around their border.
[01:01:41.599 --> 01:01:44.559]  And then we've got international organizations are beyond reform.
[01:01:44.659 --> 01:01:45.099]  Abolish them.
[01:01:45.420 --> 01:01:46.519]  That's an article on Infowars.
[01:01:46.579 --> 01:01:47.980]  They're not beyond reform.
[01:01:48.139 --> 01:01:49.079]  They were set up.
[01:01:49.199 --> 01:01:50.280]  The EU is tyrannical.
[01:01:51.079 --> 01:01:52.000]  NATO is set up.
[01:01:52.090 --> 01:01:53.030]  The EU was set up.
[01:01:53.110 --> 01:01:55.530]  That was a Hitler project that the EU then relaunched.
[01:01:56.230 --> 01:02:00.369]  So, you know, we see these headlines about, oh, they're too corrupt, they're too far gone.
[01:02:00.710 --> 01:02:05.010]  The UN was set up by the Rothschilds and Rockefellers as a project for global government and destabilization.
[01:02:05.610 --> 01:02:08.429]  Israel was set up by the same group to do all of this.
[01:02:08.510 --> 01:02:09.550]  And I'm not attacking Israel.
[01:02:09.570 --> 01:02:10.550]  That's just a fact, folks.
[01:02:11.570 --> 01:02:18.150]  So, deep state traders, security experts warn fired federal workers might go to work for hostile governments.
[01:02:18.289 --> 01:02:20.010]  That's what the CIA said a month ago.
[01:02:20.429 --> 01:02:21.469]  Keep giving us our money.
[01:02:21.570 --> 01:02:22.630]  Don't cut off USAID.
[01:02:22.769 --> 01:02:24.510]  Or we'll sell stuff to the Chinese.
[01:02:24.789 --> 01:02:26.650]  They're just openly holding a gun to our head.
[01:02:29.429 --> 01:02:32.070]  Was Romania a test run for the Polish election?
[01:02:32.210 --> 01:02:32.909]  Well, you bet it was.
[01:02:32.909 --> 01:02:35.949]  They said we'll cancel German elections and we don't like the outcomes.
[01:02:36.349 --> 01:02:40.710]  But then the main Conservative Party acted just like AFD, so they barely beat them.
[01:02:40.829 --> 01:02:45.889]  But the number one and number two slots went to populist, closed the borders, get out of the EU movements.
[01:02:46.860 --> 01:02:50.539]  And then, of course, the mainline conservatives don't mean it, but that puts more pressure.
[01:02:50.639 --> 01:02:52.440]  The point is, we're gaining ground.
[01:02:52.659 --> 01:02:58.559]  But the unelected EU bureaucracy, the commission, said, oh, we'll just null and void that.
[01:02:58.679 --> 01:02:59.380]  That's in the charter.
[01:03:00.019 --> 01:03:02.780]  But then that forces it out in the open that it's a tyranny.
[01:03:04.360 --> 01:03:07.400]  So this is a big, big, big deal.
[01:03:07.619 --> 01:03:21.210]  But separate from the U.S. destroying the old order is the fact that domestically, Moving to gut the IRS, moving to get rid of the income tax, abolishing the Department of Education.
[01:03:21.949 --> 01:03:26.329]  Trump got rid of 15 more agencies in the last week that he's able to constitutionally.
[01:03:26.869 --> 01:03:27.829]  This is amazing.
[01:03:28.449 --> 01:03:29.530]  This is fundamental.
[01:03:29.530 --> 01:03:30.550]  This is real.
[01:03:31.130 --> 01:03:34.389]  And they're firing all the DEI projects in the government.
[01:03:35.030 --> 01:03:36.170]  They're shutting them down.
[01:03:36.530 --> 01:03:38.130]  I've got examples of that coming up.
[01:03:38.489 --> 01:03:42.710]  And it turns out, again, those are the offices of personnel and management.
[01:03:43.609 --> 01:03:45.449]  They don't just set up DEI offices.
[01:03:45.690 --> 01:03:50.829]  They set them up and then have them take over HR, human resources.
[01:03:51.030 --> 01:03:51.630]  That's what they see us as.
[01:03:52.250 --> 01:04:00.530]  And so by doing that, they take out the political functionaries, the political commissariat, the political officers that are there.
[01:04:00.989 --> 01:04:10.329]  So a problem we've got, I've got, I think a lot of you have it, not all of you, but I know I talked to a lot of people, is that Trump's doing so much good and we're having so many victories.
[01:04:11.349 --> 01:04:14.210]  That I can't even remember or keep track of them, and this is all I do.
[01:04:15.449 --> 01:04:33.150]  So, moving to end this war, cutting off the funding of Ukraine, cutting off their intelligence, abolishing the funding for the Department of Education and sending it back to the states and saying what's left of it will be used to organize that, that's how he can do it constitutionally with things that were created by Congress.
[01:04:33.469 --> 01:04:39.230]  He can put the pressure on the Federal Reserve to do what he says, or it'll be abolished, and it should be abolished.
[01:04:40.489 --> 01:04:45.269]  It was created by Congress, so the pressure has to be put on Congress to do that.
[01:04:45.409 --> 01:04:54.170]  And now Trump's pushing that, and Lutnick is pushing that, and Stephen Miller is pushing that, and his Treasury Secretary, Bassett, is pushing that.
[01:04:54.309 --> 01:04:55.670]  This is very exciting.
[01:04:56.449 --> 01:05:01.630]  This isn't just one lone voice in Congress, Ron Paul, who did a great job building the awakening.
[01:05:02.510 --> 01:05:07.269]  This broadcast, here, Griffin, all of you, building the understanding of that.
[01:05:08.789 --> 01:05:10.409]  This is just amazing.
[01:05:11.329 --> 01:05:16.889]  So I wanted to play a clip of Trump in his signing ceremony, abolishing the funding for the Department of Education.
[01:05:17.530 --> 01:05:21.610]  This was just four days ago, so that we don't take it for granted, including myself.
[01:05:21.610 --> 01:05:22.469]  I want to see it again.
[01:05:22.530 --> 01:05:22.960]  And here it is.
[01:05:22.970 --> 01:06:59.350]  Thank you.
[01:06:59.360 --> 01:07:04.159]  McMahon. Remember they were like, McMahon isn't qualified to be in the Department of Education.
[01:07:04.420 --> 01:07:05.380]  Oh, really, successful businesswoman?
[01:07:05.860 --> 01:07:08.739]  Trump goes, all he's got to do is qualify to follow my orders of dismantling.
[01:07:09.039 --> 01:07:10.179]  Oh, he'll never do that?
[01:07:10.320 --> 01:07:11.000]  Well, he did it.
[01:07:12.940 --> 01:07:14.179]  Just three days ago.
[01:07:14.380 --> 01:07:14.840]  Two days ago.
[01:07:17.300 --> 01:07:17.920]  All right.
[01:07:18.039 --> 01:07:19.639]  And the press conference goes on from there.
[01:07:21.019 --> 01:07:23.079]  So that's a really big deal.
[01:07:24.800 --> 01:07:25.800]  It's a huge deal.
[01:07:25.960 --> 01:07:27.039]  And remember a few weeks ago?
[01:07:27.880 --> 01:07:33.440]  Maine Governor Janet Mills said, I'll see you in court and all that when Trump says, I'll cut all the federal funding.
[01:07:35.039 --> 01:07:42.480]  Under Title V, if you keep putting men and women's sports or men and women's bathrooms, and then she said, okay.
[01:07:42.699 --> 01:07:45.539]  Well, she capitulated Friday and said, okay, she'll follow that.
[01:07:45.840 --> 01:07:47.139]  Because it's the Constitution.
[01:07:47.260 --> 01:07:50.900]  It's his power that you elected him to execute.
[01:07:51.699 --> 01:07:54.480]  So let's do a flashback of Maine Governor.
[01:07:55.128 --> 01:07:58.038]  talking back and boy this didn't age well did it i
[01:08:01.077 --> 01:08:16.088]  the main here the governor of maine are you uh not going to comply with it i'm complying with the state and federal law well i'm we are the federal law well you better do it you better do it because you're not going to get any federal funding at all if you don't and by the
[01:08:16.127 --> 01:08:20.359]  way your population even though it's somewhat liberal although i did very well there
[01:08:20.470 --> 01:08:23.850]  Your population doesn't want men playing in women's sports.
