# Transcription model: nvidia/parakeet-tdt-0.6b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: a23bf4b0a482f14c0e2864bd70b6756b
[00:00:03.040 --> 00:00:04.240]  It's Sunday night.
[00:59:20.880 --> 00:59:27.920]  The King of England on the throne of the unelected European Union Commission.
[00:59:30.480 --> 00:59:32.320]  And he was in Germany when World War II started.
[00:59:32.480 --> 00:59:34.320]  The King of England was German.
[00:59:36.880 --> 00:59:42.240]  And he had to run to Spain when the war started and wasn't even in the UK for most of the war.
[00:59:42.880 --> 00:59:44.400]  Now, that's buried in the history books.
[00:59:44.480 --> 00:59:47.600]  They always make it about, oh, he married an American woman, so he had to advocate and step down.
[00:59:47.760 --> 00:59:48.240]  No, no, look.
[00:59:48.320 --> 00:59:50.000]  Type in Edward VIII photos of Hitler.
[00:59:50.080 --> 00:59:51.440]  Edward VIII, EU plan.
[00:59:51.600 --> 00:59:53.840]  Edward VIII to be put as the head of the EU.
[00:59:55.440 --> 01:00:07.600]  So the West beats the Nazis, but then they have rat line operation, Operation Paperclip, bring 30 plus thousand of them in because they had intel on the Soviets and all these other connections and all these hidden trillions.
[01:00:08.880 --> 01:00:16.640]  And the EU gets together and says, hey, how about we just go ahead and relaunch this son of a bitch?
[01:00:19.120 --> 01:00:24.720]  So the Treaty of London in 47 sets up a steel collective.
[01:00:25.520 --> 01:00:26.320]  And bear with me here.
[01:00:26.400 --> 01:00:27.840]  This is a brief, quick snapshot history.
[01:00:27.920 --> 01:00:28.800]  You can look all this up.
[01:00:29.120 --> 01:00:30.160]  Semi film in game.
[01:00:30.400 --> 01:00:30.800]  Endgame.
[01:00:30.880 --> 01:00:32.880]  You know, there's the King of England with Hitler.
[01:00:36.960 --> 01:00:42.960]  And so their own documents are public.
[01:00:43.040 --> 01:00:44.560]  They said, we don't want them to know we're going to take him over.
[01:00:44.640 --> 01:00:50.480]  We'll do it over decades, having governments and politicians we pay off sign over their sovereignty.
[01:00:51.760 --> 01:00:53.760]  There's the King of England with Hitler right there.
[01:00:55.280 --> 01:00:55.760]  Yep.
[01:00:56.080 --> 01:00:57.360]  Started World War II.
[01:00:58.880 --> 01:01:03.040]  So, by the way, this is an elaborate double-cross plan.
[01:01:03.120 --> 01:01:04.560]  It's all been declassified.
[01:01:04.880 --> 01:01:12.400]  Churchill was with another group, he himself royal, but not on the same German line.
[01:01:14.000 --> 01:01:17.760]  He writes about it in the three-book series, The History of English Speaking Peoples.
[01:01:18.720 --> 01:01:27.520]  They made Nebrask Chamberlain and Edward VIII think that they were going to do a deal once Hitler attacked Russia.
[01:01:27.680 --> 01:01:28.480]  That was part of the deal.
[01:01:28.800 --> 01:01:36.800]  They'd act like England was in a battle with them, but then they would double-cross, flip over to the German side, and the Allies would go take over the Soviet Union.
[01:01:40.000 --> 01:01:44.880]  And that's why Albert Speer talked about this at Nuremberg.
[01:01:45.840 --> 01:01:49.120]  He was the only guy that didn't get sentenced to death.
[01:01:50.320 --> 01:02:04.800]  And then you had Rudolf Hess, who was the deputy Fuhrer, in the middle of all this, flies over in his own airplane, jumps out over the main palace with the treaty, and they locked him up in the Tower of London until his death.
[01:02:07.680 --> 01:02:09.040]  And he said, we have a deal.
[01:02:09.120 --> 01:02:09.920]  This was a setup.
[01:02:10.000 --> 01:02:11.920]  No, you got triple-crossed.
[01:02:14.160 --> 01:02:20.000]  That's why Hitler at the Battle of Dunkirk actually wouldn't let the troops drive the British into the sea and kill them all.
[01:02:20.320 --> 01:02:28.400]  They just let Heron Goering use them with the Luftwaffe's target practice when they, you know, all fled across in civilian boats and stuff across the channel.
[01:02:28.480 --> 01:02:29.280]  Remember that?
[01:02:30.480 --> 01:02:33.600]  And that's because Hitler had this deal and thought it was all kabuki theater.
[01:02:33.680 --> 01:02:34.960]  This is all declassified.
[01:02:35.920 --> 01:02:37.440]  Now, I didn't mean to spend five minutes on that.
[01:02:37.520 --> 01:02:39.280]  It's just very interesting history.
[01:02:40.240 --> 01:02:48.080]  So when Elon Musk comes out and says the EU is unelected, the EU is a tyranny.
[01:02:48.400 --> 01:02:50.560]  The EU is arresting everybody for their speech.
[01:02:50.880 --> 01:02:54.160]  They have a ceremonial parliament, but it's only advisory.
[01:02:54.240 --> 01:02:55.760]  It has no power.
[01:02:56.400 --> 01:03:03.360]  And now, under EU rules, they're banning AFD and other parties that are nationalists and populists from winning.
[01:03:04.960 --> 01:03:06.400]  They're taking them off the ballot.
[01:03:06.640 --> 01:03:17.760]  They've killed 30 plus just the last six months of people in the lead in elections because it's a facade of freedom, a facade of voting.
[01:03:18.720 --> 01:03:29.760]  And the EU is bringing its regulations and rules in for internet IDs and citizenship control and saying, just like Harris Starmer has, we're going to arrest Americans for their speech.
[01:03:30.960 --> 01:03:34.640]  We're going to have UN police come over and grab you and take you there.
[01:03:34.880 --> 01:03:39.920]  Remember the police chief in the UK, National Police Chief, saying, we're going to arrest you for your speech.
[01:03:42.800 --> 01:03:48.480]  And so it's hiding in plain view that the European Union is a dictatorship.
[01:03:48.560 --> 01:03:55.520]  So they have the 47 Treaty of London and the 56 Treaty of Rome.
[01:03:55.680 --> 01:03:56.480]  And I've read the whole treaty.
[01:03:56.560 --> 01:03:58.000]  It's like 400 pages long.
[01:03:58.320 --> 01:04:09.360]  That really established the government with the 10 first states, but they kept it covert year after year, getting more power signed over over trade, over military, over control.
[01:04:09.680 --> 01:04:20.800]  That's why Musk has been reposting on X, maybe pull it up, images that say this is Europe, and it shows a shot of Europe and the countries, and it says this is the EU, and it's a blank page.
[01:04:23.360 --> 01:04:31.360]  The sovereignty lies with the people of those nations and those cultures, not with the unelected EU.
[01:04:31.600 --> 01:04:33.280]  So they were censoring Trump.
[01:04:33.360 --> 01:04:35.040]  They were funding NGOs attacking Trump.
[01:04:35.360 --> 01:04:37.920]  Elon went to war with them, stood up to them.
[01:04:38.240 --> 01:04:42.320]  The EU was saying, don't let Trump back on X. Soros took billions of dollars advertising.
[01:04:42.560 --> 01:04:43.120]  All that happened.
[01:04:43.200 --> 01:04:45.680]  And now the EU is fined him $140 plus million dollars.
[01:04:45.840 --> 01:04:48.080]  They say billion-dollar fines are coming next.
[01:04:48.960 --> 01:04:51.280]  And Musk came out Friday and said, I defended you, Trump.
[01:04:51.360 --> 01:05:01.600]  Now I need you to stand up for our sovereignty, not just for me, but for all Americans of this unelected tyranny.
[01:05:02.240 --> 01:05:03.040]  And you can look it up.
[01:05:03.200 --> 01:05:05.440]  It is 100% unelected.
[01:05:05.760 --> 01:05:16.160]  And under its rules, you'd say a Muslim runs over people with a truck, even though he did, just happened again in France, kills a bunch of people, 10 people yesterday?
[01:05:17.760 --> 01:05:18.880]  You go to jail.
[01:05:19.200 --> 01:05:23.040]  You point out a Muslim rapes some five-year-old girl, you go to jail in Ireland.
[01:05:24.320 --> 01:05:26.320]  Use the wrong pronouns, life in prison.
[01:05:26.640 --> 01:05:27.600]  Ireland.
[01:05:30.080 --> 01:05:33.280]  There's a fake clip just came out where she's at a speech where they arrest a guy.
[01:05:33.600 --> 01:05:35.280]  And she says, in Russia, you don't have free speech.
[01:05:35.440 --> 01:05:38.240]  She goes now and arrests him and they take the guy away for asking questions.
[01:05:39.200 --> 01:05:40.880]  That's Ursula Vanderlayden.
[01:05:41.200 --> 01:05:42.400]  Unelected.
[01:05:43.280 --> 01:05:46.880]  Got paid hundreds of millions of dollars to run the COVID fraud herself.
[01:05:47.040 --> 01:05:54.080]  She's a criminal, but she's unelected because they set it up as a dictatorship.
[01:05:54.400 --> 01:05:55.360]  It's not Nazi.
[01:05:55.519 --> 01:05:56.519]  It's a Nazi plan.
[01:06:03.688 --> 01:06:09.329]  And so you have these globalist criminals in the nation states transferring their power into the unelected EU.
[01:06:09.760 --> 01:06:10.960]  And now it's been complete.
[01:06:11.200 --> 01:06:20.560]  And all you got to do is call out the elephant in the room.
[01:06:22.160 --> 01:06:27.920]  That's all you got to do because it's indefensible.
[01:06:29.200 --> 01:06:31.440]  Now, you judge a tree by its fruits.
[01:06:32.400 --> 01:06:37.280]  Musk took on Soros, the ADL, the EU, the UK.
[01:06:37.520 --> 01:06:44.160]  He is pumping massive amounts of money into the UK for free speech at Tommy Robinson rallies.
[01:06:44.400 --> 01:06:45.760]  I mean, it's just fabulous.
[01:06:45.840 --> 01:06:46.560]  It's heroic.
[01:06:46.720 --> 01:06:48.000]  It's amazing.
[01:06:48.320 --> 01:06:49.200]  He could join them.
[01:06:49.280 --> 01:06:50.160]  He could work with them.
[01:06:50.480 --> 01:06:51.920]  But they want to depopulate people.
[01:06:52.080 --> 01:06:53.360]  They want transgenderism.
[01:06:53.440 --> 01:06:54.480]  They're anti-human.
[01:06:54.720 --> 01:06:56.000]  And he isn't for that.
[01:06:56.160 --> 01:06:59.200]  He wants technology to empower humanity in his words, in his actions.
[01:06:59.440 --> 01:07:01.520]  They want it to enslave us.
[01:07:04.559 --> 01:07:12.078]  Moscow's nuclear demands EU be dismantled after Brussels hits X with a $140 million censorship fine and escalating war on free speech.
[01:07:18.460 --> 01:07:20.418]  Musk calls for abolition of the EU.
[01:07:20.640 --> 01:07:21.120]  Absolutely.
[01:07:21.200 --> 01:07:22.480]  He's been doing that.
[01:07:22.800 --> 01:07:23.760]  It's a tyranny.
[01:07:24.000 --> 01:07:25.920]  It's the new Soviet Union.
[01:07:29.360 --> 01:07:31.760]  Top liberal globalist member of EU parliament.
[01:07:32.000 --> 01:07:33.680]  Trump administration is the enemy of Europe.
[01:07:33.920 --> 01:07:36.720]  We must stop behaving as if it's a friend.
[01:07:37.040 --> 01:07:39.120]  They're saying we're the enemy with the dictator.
[01:07:39.200 --> 01:07:42.000]  She's just a ceremonial representative.
[01:07:42.400 --> 01:07:43.360]  We'll see the club.
[01:07:43.920 --> 01:07:53.440]  EU channeled 500 million euros to CIA-link NGOs to promote mass migration regime change and to target Trump, Musk, and others, including me.
[01:07:54.000 --> 01:07:56.320]  We got NATO documents five, six years ago.
[01:07:56.640 --> 01:07:58.960]  They said, hey, we're not stopping with Alex Jones.
[01:07:59.040 --> 01:08:00.000]  We're going to get everybody.
[01:08:00.640 --> 01:08:05.200]  They list me in these things, just like Crossfire Hurricane, just like Arctic Frost.
[01:08:05.440 --> 01:08:06.640]  I'm all over it.
[01:08:07.840 --> 01:08:09.280]  You know, it's not like some nebulous thing.
[01:08:09.440 --> 01:08:11.920]  Oh, I heard there's an assassination team after me.
[01:08:12.160 --> 01:08:12.720]  You better believe me.
[01:08:12.880 --> 01:08:14.560]  I'm not saying that's not going on, McCannis Owens.
[01:08:14.720 --> 01:08:16.320]  With me, it's like, here's all the proof.
[01:08:16.480 --> 01:08:17.840]  Here's the CIA FBI.
[01:08:18.160 --> 01:08:18.400]  Whatever.
[01:08:18.480 --> 01:08:19.120]  It's just Alex.
[01:08:19.200 --> 01:08:19.600]  You can handle it.
[01:08:19.680 --> 01:08:20.400]  You're a big boy.
[01:08:20.720 --> 01:08:23.600]  My point is, it's the proof of how they're criminal.
[01:08:25.200 --> 01:08:26.000]  And look at all this.
[01:08:26.239 --> 01:08:28.979]  Pastor Derek Reimer, another Christian arrested.
[01:08:36.309 --> 01:08:37.429]  That's in Canada.
[01:08:38.800 --> 01:08:44.240]  Enoch Burke, Irish school teacher, jailed following a stance against transgender ideology for life.
[01:08:45.120 --> 01:08:47.360]  We got Joe Rogan talking about it all.
[01:08:50.160 --> 01:08:53.360]  You can't make this up.
[01:08:55.280 --> 01:09:03.440]  And so we have this incredible, pure tyranny, and we have to recognize it and understand what it is.
[01:09:04.720 --> 01:09:05.840]  So I had a bunch of these clips.
[01:09:05.920 --> 01:09:16.838]  Let's start getting to them with so many of these.
[01:09:19.600 --> 01:09:22.080]  Let's go to Musk explaining the litmus test.
[01:09:23.040 --> 01:09:24.640]  And then we'll start going to these other clips.
[01:09:24.960 --> 01:09:26.480]  Clip 55, here it is.
[01:09:30.240 --> 01:09:42.560]  Yes, I think as a general rule, you can tell which side is the good side and which side is the bad side by which side wishes to restrict freedom of speech.
[01:09:42.880 --> 01:09:50.960]  The side that is restricting freedom of speech, you know, that would have been sort of the Hitler, Stalin, Mussolinis of the world.
[01:09:51.280 --> 01:09:55.440]  They had very strong censorship, very strong restrictions on speech.
[01:09:56.560 --> 01:10:00.080]  That's one of the signs that they are the bad guys.
[01:10:01.040 --> 01:10:11.120]  And so, in fact, a restriction on speech and large government is fundamentally fascist, obviously.
[01:10:12.080 --> 01:10:24.880]  So ironically, in pushing for censorship, it makes it very clear that the left is the side that is against freedom.
[01:10:26.320 --> 01:10:33.440]  And freedom of speech is simply one of many freedoms that we should have as a civil society.
[01:10:34.400 --> 01:10:38.880]  Because ideas should win on the strength of their arguments.
[01:10:39.600 --> 01:10:43.440]  They should not win because they are suppressed.
[01:10:44.960 --> 01:10:47.360]  And why does the First Amendment come first?
[01:10:48.000 --> 01:10:49.680]  Even ahead of self-defense.
[01:10:50.000 --> 01:10:52.560]  Because it's the thing that organizes people.
