# Transcription model: nvidia/parakeet-tdt-0.6b-v2, and large-v3-turbo
[00:00:04.320 --> 00:00:10.160]  It's Saturday, August 2nd, 2025.
[01:52:05.120 --> 01:52:05.680]  Is that a good thing?
[01:52:05.920 --> 01:52:06.160]  Yes.
[01:52:06.400 --> 01:52:16.560]  What do we do 30 years from now, 60 years from now, to make sure this doesn't get in the hands of somebody who is evil that uses it to destroy a society or a great country?
[01:52:16.800 --> 01:52:18.720]  That's the part I am more concerned about.
[01:52:19.040 --> 01:52:20.480]  But your thoughts, what do you think about it?
[01:52:20.560 --> 01:52:22.640]  You just got a bunch of different commentary here.
[01:52:22.960 --> 01:52:27.200]  If you have any thoughts on this, join our circle, the PBD Entrepreneur Circle on Manette.
[01:52:27.280 --> 01:52:29.840]  Go to the QR code riot here, download.
[01:52:30.000 --> 01:52:31.040]  It's five bucks a month.
[01:52:31.280 --> 01:52:32.720]  Download the information here.
[01:52:32.800 --> 01:52:35.440]  And it's a community of all the people that follow the content here.
[01:52:35.760 --> 01:52:38.960]  And everyone there exchanges ideas and thoughts with each other.
[01:52:39.280 --> 01:52:41.600]  Comment your thoughts about this in a Minex Circle.
[01:52:41.680 --> 01:52:42.560]  I cannot wait to hear from you.
[01:52:42.880 --> 01:52:44.000]  We got Value out of this video.
[01:52:44.080 --> 01:52:46.560]  I did a video a few months back on the China surveillance thing.
[01:52:46.640 --> 01:52:50.320]  If you've never seen it, it shows you what they're doing that could end up happening here.
[01:52:50.560 --> 01:52:51.520]  Click here to watch the video.
[01:52:51.600 --> 01:52:52.160]  Take care, everybody.
[01:52:52.240 --> 01:52:52.560]  Bye-bye.
[01:52:52.640 --> 01:52:53.360]  Bye-bye.
[01:52:58.160 --> 01:53:10.960]  There have been a lot of incredible smoking gun developments in the last year of the Democratic Party and the Justice Department trying to shut down InfoWars.
[01:53:12.880 --> 01:53:23.520]  But now, in early July, 2025, we have got information that puts all the pieces together.
[01:53:24.160 --> 01:53:33.040]  Ladies and gentlemen, most of you know that they had show trials in Connecticut and Texas with selected judges, Democrat Party operatives.
[01:53:33.680 --> 01:53:39.840]  Soros installed in the case of Texas, where they found me guilty and that HBO produced show trials.
[01:53:40.160 --> 01:53:46.800]  Most of you know that Bloomberg and The Onion claimed that they bought us last November and we were shut down and it was a hoax and wasn't true.
[01:53:46.960 --> 01:53:48.000]  Remember all that?
[01:53:48.880 --> 01:54:01.920]  And the fact that these foundations connected to the Democratic Party with the Sandy Hook families raised hundreds of millions of dollars off my name, claiming I was victimizing them and attacking them and coming after them.
[01:54:02.000 --> 01:54:03.120]  And I never did any such thing.
[01:54:03.440 --> 01:54:16.400]  And of course, we had an undercover video, a CIA FBI operative, Gavin Oblebis, a few years ago, caught admitting that, well, we investigated Jones for a decade at the DOJ and he didn't do anything wrong.
[01:54:16.640 --> 01:54:21.360]  So we went to Connecticut and we set up these lawsuits against him.
[01:54:21.520 --> 01:54:22.640]  That was two years ago.
[01:54:22.960 --> 01:54:41.920]  And then William Aldenberg, the head counsel in Connecticut of the FBI, got up on the stand during the show trial and said that he went and instituted the lawsuits and organized it all with Koskoff and Koskoff and the families who were running the foundations that were raising the hundreds of millions of dollars off my name.
[01:54:42.240 --> 01:54:43.440]  We've already detailed all of that.
[01:54:43.520 --> 01:54:45.360]  We put the graphs here on screen.
[01:54:46.000 --> 01:55:05.280]  But now researching this in the last few weeks, we have discovered that in October of 2022, the DOJ paid two grants to one of the Sandy Hook foundations with the main plaintiffs against me that totaled exactly $1.7 million.
[01:55:06.240 --> 01:55:20.480]  And then a month later, Koskoff and Koskoff, the law Democrat Party law firm coming after me, put in their bill for $1.7 million for the past few years before that.
[01:55:20.800 --> 01:55:21.760]  Incredible.
[01:55:22.320 --> 01:55:23.360]  What do you call that?
[01:55:23.440 --> 01:55:30.160]  It's a big enough scandal to have the DOJ giving grants to the very groups and individuals suing me.
[01:55:30.480 --> 01:55:38.160]  But now we have them give them the grant, and a month later, they put in their bill that is the exact same amount.
[01:55:38.320 --> 01:55:40.080]  They have a name for that.
[01:55:40.400 --> 01:55:43.760]  It's called Looks Like Money Laundering.
[01:55:44.080 --> 01:55:46.160]  Maybe it's just a coincidence.
[01:55:47.040 --> 01:55:51.360]  Maybe you can go play golf 18 holes in a hole in one, all 18 holes.
[01:55:51.440 --> 01:55:52.000]  I'm sure.
[01:55:52.320 --> 01:55:53.120]  That's easy, right?
[01:55:53.200 --> 01:55:54.720]  Even Tiger Woods does it routinely.
[01:55:54.880 --> 01:55:56.000]  No, nobody's ever done it.
[01:55:56.320 --> 01:56:00.160]  Nobody's ever hit two holes in ones in a row, not much less 18.
[01:56:00.400 --> 01:56:02.960]  So we're already suing these people.
[01:56:03.920 --> 01:56:05.120]  We got more coming.
[01:56:05.440 --> 01:56:08.480]  The DOJ is investigating themselves.
[01:56:09.040 --> 01:56:11.440]  And this is smoking gun.
[01:56:11.760 --> 01:56:28.640]  But I've been asked by my lawyers, who are great people, not to reveal even more damning information we have from a bunch of sources, depositions, emails, insiders, whistleblowers.
[01:56:28.800 --> 01:56:29.520]  Oh, yeah.
[01:56:30.720 --> 01:56:36.000]  And more that will be presented within the next two to three weeks.
[01:56:36.320 --> 01:56:39.760]  So they filed a bunch of new stuff against me and my family to do a smokescreen.
[01:56:40.160 --> 01:56:41.120]  We're not worried about that.
[01:56:41.440 --> 01:56:46.960]  The fact that we persevered when they came and turned off the internet and said the Onion and Bloomberg own this.
[01:56:47.120 --> 01:56:48.560]  And we said, no, you don't.
[01:56:48.880 --> 01:56:49.840]  And of course they didn't.
[01:56:49.920 --> 01:56:51.520]  And the judge federally shot that down.
[01:56:51.840 --> 01:57:00.720]  The fact that they tried other times to just sit in armed security in May of last year and say the building was shut without a court order.
[01:57:00.800 --> 01:57:01.360]  I refused to leave.
[01:57:01.520 --> 01:57:02.160]  Remember that?
[01:57:02.480 --> 01:57:04.160]  There's been so many other things that have happened.
[01:57:04.240 --> 01:57:26.400]  We've told it in past reports, but imagine, not only do they send money directly to the people suing me to their foundations, a month after they get it, the law firm suing me with the very same people that run the foundations bills the exact amount the DOJ paid them.
[01:57:27.360 --> 01:57:42.240]  And it's Chris Maddie, the former DOJ prosecutor who specializes in targeting Republicans, put the Republican governor of Connecticut in jail for what appears to be politically motivated lawfare reasons, is right there at the center of this.
[01:57:42.880 --> 01:57:51.440]  So they have weaponized the system against me because I've been standing in the way of what the globalists have wanted to do to you.
[01:57:51.760 --> 01:57:56.960]  If you really want to support what we're doing, go to defendalxjones.com.
[01:57:57.280 --> 01:58:08.400]  And all of that goes to my legal defense and my family's legal defense, where they're suing my parents again as a desperate attempt to terrorize me with terroristic lawfare into giving up.
[01:58:08.640 --> 01:58:10.080]  And that's not going to happen.
[01:58:10.400 --> 01:58:11.760]  So please support me now.
[01:58:11.840 --> 01:58:15.600]  I want to thank those that have at defendalxjones.com.
[01:58:15.840 --> 01:58:16.880]  I'll never back down.
[01:58:17.040 --> 01:58:18.000]  I'll never sell out.
[01:58:18.160 --> 01:58:20.160]  I'll never give in, but I could give out.
[01:58:20.480 --> 01:58:23.040]  My strength is only how much strength you give us.
[01:58:23.360 --> 01:58:29.280]  And the oxygen that fills the bloodstream of this resistance is the funding and your word of mouth and your prayer.
[01:58:29.600 --> 01:58:31.120]  So any of those three is great.
[01:58:31.440 --> 01:58:32.320]  The prayer is amazing.
[01:58:32.400 --> 01:58:33.680]  The word of mouth is key.
[01:58:34.000 --> 01:58:39.120]  But the financial support is really needed right now at defendalexjones.com.
[01:58:39.440 --> 01:58:43.200]  History's happening and freedom is winning.
[01:58:43.520 --> 01:58:47.840]  And not just here in America, but all the world, populists are winning elections.
[01:58:48.160 --> 01:58:51.520]  And then the EU cancels them or arrests the winner.
[01:58:52.240 --> 01:58:54.400]  Same thing in Brazil, but we just keep fighting.
[01:58:54.720 --> 01:59:00.960]  And every time they arrest the political opposition of their tyranny, it only awakens more of the people.
[01:59:01.280 --> 01:59:04.400]  So yeah, we're going to get opposition taken on tyrants.
[01:59:04.720 --> 01:59:11.280]  But as long as we understand that it's the long game and perseverance, as our forebears did back in 1776, we will win.
[01:59:11.600 --> 01:59:13.920]  This is a marathon, not a sprint.
[01:59:15.520 --> 01:59:25.040]  So it's key that you share this report so people know the truth of what's happened because this methodology, this formula they use against me is designed for everybody else, as they've admitted.
[01:59:25.360 --> 01:59:30.160]  And it's key that you financially support us as well at thealxjonstore.com.
[01:59:30.480 --> 01:59:47.040]  But regardless of what you do, understand that the reason we're starting to win is because people have woken up and gotten off the bench and started supporting culturally and politically and economically individuals and groups that align with your values and our shared values of liberty and freedom.
[01:59:47.280 --> 01:59:48.960]  This is an American rebirth.
[01:59:49.120 --> 01:59:51.200]  This is 1776 worldwide.
[01:59:51.520 --> 02:00:00.240]  And I'm really quite honored that the tyrants have come after me so viciously because it's the proof that we've been over the target.
[02:00:00.480 --> 02:00:02.880]  You don't get flack unless you're over the target.
[02:00:03.120 --> 02:00:07.840]  So I humbly and respectfully thank you for all of your past support.
[02:00:08.000 --> 02:00:08.880]  You know who you are.
[02:00:09.200 --> 02:00:13.760]  And I want to encourage those that have supported to support again because my fight is your fight.
[02:00:13.920 --> 02:00:14.480]  That's obvious.
[02:00:14.800 --> 02:00:27.200]  And I want to encourage those that have sat on the bench, maybe shared an article or video, but, you know, never pray for the broadcaster, never actually gone and bought a product to ask yourself, are you standing up for your own future when you do that?
[02:00:28.080 --> 02:00:29.760]  And obviously the answer is yes.
[02:00:30.080 --> 02:00:31.360]  Well, then why aren't you?
[02:00:31.680 --> 02:00:33.680]  Please respectfully take action now.
[02:00:34.000 --> 02:00:35.600]  I fired the batch signal.
[02:00:35.920 --> 02:00:37.680]  The ball is in your court.
[02:00:38.000 --> 02:00:39.440]  You are the Paul Revere's.
[02:00:39.680 --> 02:00:41.760]  You are 1776 2.0.
[02:00:42.359 --> 02:00:45.019]  and everything is now in your hands.
[02:00:45.389 --> 02:00:53.189]  This is a major alert for the AlexJonesStore.com.
[02:00:53.200 --> 02:00:55.840]  I'm cutting this on the afternoon of July 30th, 2025.
[02:00:56.000 --> 02:01:01.520]  That means you've got seven days to get the biggest deals ever if you're a VIP.
[02:01:01.600 --> 02:01:02.560]  It's $30 a month.
[02:01:02.640 --> 02:01:06.240]  You get $40 for the store, special deals, special offers, special savings.
[02:01:06.560 --> 02:01:10.720]  And you don't just get one bottle of the supplements like methylene blue, get one free.
[02:01:11.040 --> 02:01:19.280]  You also can buy one of our amazing Richardson hats with Patriot logos and messages on it or either t-shirts or other apparel and get one absolutely free.
[02:01:19.520 --> 02:01:21.120]  I mean, this is an incredible deal.
[02:01:21.360 --> 02:01:30.640]  Now, this is a fundraiser shirt, but with this, we mark it up limited edition InfoWars fundraiser shirt, black on black, murdered out, limited edition.
[02:01:30.720 --> 02:01:32.400]  We're only putting this shirt out for a few months.
[02:01:32.720 --> 02:01:37.280]  Get your limited edition murdered out historic InfoWars shirt and know you fought on the tip of the spear.
[02:01:37.360 --> 02:01:39.200]  It's an adventure to wear this shirt in public.
[02:01:39.520 --> 02:01:40.960]  Find it all right now.
