[00:00:00.069 --> 00:00:01.609]  Threat to America.
[01:04:40.387 --> 01:04:42.809]  Deliver us from evil of the oligarchy.
[01:04:43.430 --> 01:04:49.497]  Our Chavez who art in heaven, the earth and sea, and we delegates.
[01:04:51.639 --> 01:04:54.622]  This is on TV in Venezuela.
[01:04:55.143 --> 01:04:56.324]  This is Twilight Zone.
[01:04:56.744 --> 01:04:57.585]  This is in Reuters.
[01:04:58.066 --> 01:04:59.868]  This is what you stupid socialists like.
[01:05:01.928 --> 01:05:08.813]  I'm David Hall, founder of Diamond Gusset, where we are proud of our 100% grown and sewn American-made jeans.
[01:05:09.213 --> 01:05:16.517]  Whether you're out for dinner, working on the farm, or on the road, Diamond Gusset Jeans offers a full spectrum of style and sizes for any occasion.
[01:05:17.118 --> 01:05:21.621]  Our loyal customers enable us to continue sponsoring Liberty Media outlets.
[01:05:22.641 --> 01:05:27.427]  Use promo code FREEDOM to receive a 15% discount at gusset.com.
[01:05:27.987 --> 01:05:30.951]  In Liberty, David Hall, Diamond Gusset Jeans Company.
[01:05:31.111 --> 01:05:35.496]  Tell folks how you got introduced to super male, and then when super female came out, tell us what happened.
[01:05:35.776 --> 01:05:40.401]  After I saw such a huge positive change in my husband, I had to try it for myself.
[01:05:40.542 --> 01:05:41.523]  Talk about the effects.
[01:05:41.843 --> 01:05:43.324]  I feel great when I wake up in the morning.
[01:05:43.344 --> 01:05:44.984]  I have drive to go to the gym.
[01:05:45.264 --> 01:05:46.345]  I feel like I look better.
[01:05:46.385 --> 01:05:47.025]  I feel better.
[01:05:47.045 --> 01:05:48.145]  I feel sexier.
[01:05:48.165 --> 01:05:48.905]  I love it.
[01:05:49.146 --> 01:05:52.047]  Even if you don't believe in supplements, take the challenge.
[01:05:52.107 --> 01:05:54.847]  Get a bottle of Super Male, a bottle of Super Female.
[01:05:55.048 --> 01:05:56.088]  Check it out for yourself.
[01:05:56.128 --> 01:05:57.168]  Consult your physician.
[01:05:57.308 --> 01:05:59.509]  Visit InfoWarsLife.com today.
[01:05:59.689 --> 01:06:00.629]  This is life changing.
[01:06:00.890 --> 01:06:07.872]  From the water table, to our soils, to the atmosphere itself, our world is becoming more and more toxic each and every day.
[01:06:08.052 --> 01:06:10.213]  But it's not just the air outside that's toxic.
[01:06:10.393 --> 01:06:15.495]  Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[01:06:15.675 --> 01:06:20.698]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[01:06:20.858 --> 01:06:23.879]  There are more than 42 million smokers in the United States.
[01:06:24.179 --> 01:06:28.022]  Well over a thousand types of mold and mildew linked to numerous conditions.
[01:06:28.242 --> 01:06:32.485]  And don't forget the fact that six million Americans live with pets they're allergic to as well.
[01:06:32.565 --> 01:06:42.553]  When I began to research these statistics, it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape but that we can fight back against.
[01:06:42.793 --> 01:06:45.315]  Made with organic and wild cultivated herbs,
[01:06:45.515 --> 01:06:53.568]  And manufactured in the USA, the new InfoWars Life Lung Cleanse is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[01:06:53.708 --> 01:06:57.695]  Now available exclusively at InfoWarsLife.com or by calling toll free 888-253-3139.
[01:07:01.036 --> 01:07:06.984]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[01:07:07.184 --> 01:07:11.389]  Most people know that iodine deficiency has been a crisis around the world.
[01:07:11.750 --> 01:07:16.316]  Iodine is key to so many of the body's functions, especially the thyroid.
[01:07:16.716 --> 01:07:19.337]  I discovered a product being developed by Dr. Group.
[01:07:19.637 --> 01:07:24.819]  You now know it as Survival Shield True Nascent Iodine that your body can really absorb.
[01:07:25.080 --> 01:07:31.982]  Then, about a year ago, he said, listen, if you think this is powerful, I'm going to come out with rare earth, deep earth crystals.
[01:07:32.483 --> 01:07:36.244]  And the results that I personally have had have been life-changing.
[01:07:36.604 --> 01:07:41.406]  Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
[01:07:41.727 --> 01:07:42.567]  This is innovating.
[01:07:42.867 --> 01:07:50.152]  And the best part is, it helps fund InfoWars.com, the radio show, the TV show, the whole media operation promoting true libertarian ideas.
[01:07:50.172 --> 01:07:54.415]  For a limited time, experience the ancient power of Survival Shield X2.
[01:07:54.615 --> 01:08:00.139]  Take advantage of this unprecedented 30% off super detox special at InfoWarsLife.com.
[01:08:02.621 --> 01:08:07.685]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[01:08:08.045 --> 01:08:10.327]  Because there's a war on for your mind.
[01:08:24.692 --> 01:08:39.723]  Well, it's coming out that the latest person reportedly beheaded, the Sotloff video, was found by a group responsible for releasing the fake Osama Bin Laden video years ago, directly working for the Pentagon.
[01:08:41.304 --> 01:08:42.245]  Very interesting.
[01:08:42.765 --> 01:08:44.346]  And now a top U.S.
[01:08:44.466 --> 01:08:44.827]  general
[01:08:46.343 --> 01:08:54.646]  We played this last hour, has come out, General McInerney, and said, quote, we helped build ISIS, they have Stinger missiles.
[01:08:54.726 --> 01:08:58.427]  Now again, we've literally told you that thousands of times since it happened.
[01:08:58.768 --> 01:09:00.548]  That's now been proven accurate and admitted.
[01:09:00.908 --> 01:09:09.672]  They're now bracing for what they call imminent terror attacks on the southern border, specifically Fort Bliss in El Paso.
[01:09:11.152 --> 01:09:15.257]  Former Staff Sergeant Joe Biggs, who flew in last night to El Paso.
[01:09:15.938 --> 01:09:18.080]  Special reports filed at Infowars.com.
[01:09:18.120 --> 01:09:18.721]  Video reports.
[01:09:19.142 --> 01:09:23.827]  He'll be joining us with Inside Intel on is this a hyped up threat or is it real?
[01:09:24.388 --> 01:09:26.210]  Coming up at the bottom of the hour.
[01:09:26.270 --> 01:09:29.134]  But what are our borders doing wide open?
[01:09:30.609 --> 01:09:36.831]  They shot video weeks ago and again last night of the border fences open at night and people just walking back and forth.
[01:09:37.111 --> 01:09:44.634]  This is ridiculous because Joe Biggs got pulled out of line and groped and grabbed with the naked body scanners.
[01:09:45.635 --> 01:09:59.620]  He was talking about coming back from Afghanistan through Germany one time into the United States and he was in a wheelchair with shrapnel all over his body.
[01:10:01.454 --> 01:10:12.197]  And they had stuck him back in his uniform, and they were literally at Homeland Security for an hour questioning him, saying, why is there explosive residue on your uniform?
[01:10:12.237 --> 01:10:13.558]  And he said, are you kidding?
[01:10:13.578 --> 01:10:16.479]  Because he had a cast on his leg and his arm and stuff.
[01:10:17.319 --> 01:10:22.600]  And he said, this was all sutured up and closed up in Afghanistan, buddy.
[01:10:23.861 --> 01:10:25.581]  Of course there's explosive residue.
[01:10:25.941 --> 01:10:26.962]  They were so stupid.
[01:10:27.793 --> 01:10:31.596]  That they called in the police and FBI and people until they said, yeah, let him go.
[01:10:32.036 --> 01:10:33.297]  That's how screwed up this country is.
[01:10:33.317 --> 01:10:35.439]  You got a veteran with no criminal record.
[01:10:37.481 --> 01:10:41.003]  They could just search his name and there was like Rolling Stone and Esquire articles about him already.
[01:10:42.705 --> 01:10:43.605]  In his uniform.
[01:10:46.708 --> 01:10:49.630]  And they're saying, why is the residue of gunpowder explosives?
[01:10:50.891 --> 01:10:51.592]  They kept telling him.
[01:10:52.612 --> 01:10:53.693]  With a morphine drip.
[01:10:54.934 --> 01:10:55.755]  Being pushed through.
[01:10:57.742 --> 01:10:59.746]  I'm flying in from Rammstein.
[01:11:01.008 --> 01:11:02.772]  I'm flying in from the hospital.
[01:11:07.972 --> 01:11:28.816]  Rick Perry has been indicted for threatening to veto state funds to a state agency administered by the county because the district attorney was running around flailing and basically resisting police, had to have a spit mask put on her, pointing her finger at him, going, boom, boom, I'll get you, and then rolling around on the ground, kicking her feet in a tantrum and biting.
[01:11:30.577 --> 01:11:31.177]  On video.
[01:11:32.717 --> 01:11:35.738]  And he said, you can't run this state agency, and so they've indicted him.
[01:11:38.697 --> 01:11:45.962]  Dinesh D'Souza is facing 10 years in prison for giving political contributions that I think were legal.
[01:11:46.763 --> 01:11:48.004]  Other governors have been indicted.
[01:11:48.364 --> 01:11:55.309]  I'm just pointing out that veterans can't fly in America without being groped, but the border is wide open.
[01:11:57.871 --> 01:12:01.374]  And here it is today from CNS News.
[01:12:03.550 --> 01:12:06.931]  Judge sets hearings for illegal alien minors four years from now.
[01:12:07.531 --> 01:12:09.331]  Yeah, that's what the order is from Obama.
[01:12:09.371 --> 01:12:10.992]  Three to five years before there's a hearing.
[01:12:11.472 --> 01:12:12.752]  So the judge said four years.
[01:12:15.073 --> 01:12:28.656]  Seventeen-year-old Kristen stepped through the swinging wooden door, separating the crowded waiting area from the judge's bench, straightening his slightly too big dress shirt as he slid behind the defendant's desk.
[01:12:30.996 --> 01:12:41.525]  As his lawyer took the seat beside him, which is paid for by taxpayers, he sipped on the court-approved headphones so he could hear the Spanish-speaking translator, and his lawyer began to speak.
[01:12:44.288 --> 01:12:48.351]  And then they went on to basically say, okay, we'll talk to you again in four years.
[01:12:49.132 --> 01:12:50.533]  And the next person was brought forward.
[01:12:53.175 --> 01:12:53.996]  Immigration group.
[01:12:55.077 --> 01:12:57.159]  Surge will cost schools $761 million
[01:13:00.362 --> 01:13:02.243]  Just in the first year alone.
[01:13:04.744 --> 01:13:07.386]  But Boehner says Obama could get immigration reform next year.
[01:13:07.626 --> 01:13:08.866]  They already did it by fiat.
[01:13:09.106 --> 01:13:10.047]  So they're going, yeah.
[01:13:11.428 --> 01:13:12.388]  People are disappointed.
[01:13:12.448 --> 01:13:13.409]  Latinos are disappointed.
[01:13:13.829 --> 01:13:15.049]  We didn't get the amnesty.
[01:13:15.469 --> 01:13:16.110]  You already did.
[01:13:16.370 --> 01:13:20.251]  But again, as if people that are Hispanic should automatically want open borders.
[01:13:20.791 --> 01:13:25.133]  Just, oh, I want open borders to collapsing third world because I'm an American citizen.
[01:13:25.313 --> 01:13:26.453]  Because that's what you're supposed to do.
[01:13:26.934 --> 01:13:28.774]  And if you're a woman, you're supposed to vote for Hillary.
[01:13:29.114 --> 01:13:30.775]  And if you're black, you're supposed to vote for Obama.
[01:13:32.133 --> 01:13:34.796]  And I guess if you're from Texas, you're supposed to buy a Ford or a Chevy.
[01:13:35.216 --> 01:13:37.498]  I mean, it's just mindless.
[01:13:37.598 --> 01:13:38.779]  Oh, I like Obama.
[01:13:38.819 --> 01:13:39.020]  Yeah.
[01:13:39.420 --> 01:13:40.441]  He gave me free health care.
[01:13:40.641 --> 01:13:40.801]  Really?
[01:13:40.821 --> 01:13:41.602]  Did you get some free health care?
[01:13:41.862 --> 01:13:43.324]  Well, actually, my payroll tax went up.
[01:13:43.664 --> 01:13:44.105]  Oh, really?
[01:13:44.125 --> 01:13:46.267]  And they admit the death panels are real.
[01:13:46.287 --> 01:13:47.388]  Last week in the New York Times.
[01:13:57.079 --> 01:14:01.820]  Meanwhile, there are multiple reactors built right on fault lines in California with the big earthquake they had a few weeks ago.
[01:14:02.100 --> 01:14:03.540]  They're saying an 8.0 or bigger.
[01:14:03.820 --> 01:14:07.621]  University experts, seismologists, you name it, and federal experts, we went and interviewed them.
[01:14:08.621 --> 01:14:18.083]  They say, no, it'll go Chernobyl or Fukushima if there is an 8.0 or bigger on those fault lines, and it's the only part of the Ring of Fire that's not triggered yet.
[01:14:18.443 --> 01:14:21.264]  Southern California right up into Oregon.
[01:14:23.612 --> 01:14:28.094]  Why did they build the Devil's Canyon reactors?
[01:14:28.254 --> 01:14:28.694]  Two of them.
[01:14:29.034 --> 01:14:30.355]  Why not build them on top of Mount St.
[01:14:30.395 --> 01:14:30.675]  Helens?
[01:14:30.695 --> 01:14:32.896]  That's probably more stable than where they built them.
[01:14:35.697 --> 01:14:36.318]  You know Mount St.
[01:14:36.338 --> 01:14:36.618]  Helens?
[01:14:39.499 --> 01:14:42.120]  I was at a restaurant this weekend and the manager came by.
[01:14:42.140 --> 01:14:44.021]  He didn't know who I was.
[01:14:44.041 --> 01:14:47.683]  He was wearing a George Washington Crossing the Delaware tie.
[01:14:47.703 --> 01:14:49.544]  And I said, man I love your George Washington tie.
[01:14:49.564 --> 01:14:49.944]  And he said,
[01:14:51.172 --> 01:14:55.213]  You know, my grandson was over this weekend and he didn't know what it was.
[01:14:55.233 --> 01:14:57.754]  He didn't know who George Washington was.
[01:15:01.195 --> 01:15:02.495]  And what does that say about that guy?
[01:15:03.415 --> 01:15:10.177]  He probably sees his grandkids a couple times a year, and his children have not taught them who George Washington is.
[01:15:11.338 --> 01:15:13.538]  There's a reason there's no Hollywood movies about George Washington.
[01:15:14.219 --> 01:15:15.099]  Because it was so epic.
