[00:00:00.029 --> 00:00:00.629]  It's your family.
[01:06:41.756 --> 01:06:47.664]  The Murky Lights revolutionary transparent design takes the guesswork out of refilling because you can see the water level at all times.
[01:06:48.004 --> 01:06:54.210]  Get the Berkey Light, the standard of excellence for only $259 by calling New Millennium at 888-803-4438 and tell them Alex Jones sent you.
[01:06:54.270 --> 01:06:55.231]  That's toll free at 888-803-4438.
[01:06:55.251 --> 01:06:56.211]  Not yet available in Iowa.
[01:07:03.923 --> 01:07:04.943]  Attention Pet Owners!
[01:07:05.243 --> 01:07:08.705]  How would you like your dog or cat to behave instantly on command?
[01:07:09.045 --> 01:07:10.505]  Now you can with the Pet Trainer.
[01:07:10.765 --> 01:07:13.666]  So easy to use, it's like having a remote control for your pet.
[01:07:13.966 --> 01:07:15.447]  No electric zaps or shocks.
[01:07:15.787 --> 01:07:21.269]  This simple handheld device uses safe and effective ultrasonic sound that commands your pet's attention like magic.
[01:07:21.529 --> 01:07:22.209]  Here's how it works.
[01:07:22.569 --> 01:07:24.410]  Say your dog jumps on your best furniture.
[01:07:24.690 --> 01:07:26.411]  Just press the button to emit the sound.
[01:07:26.651 --> 01:07:29.133]  As he snaps to attention, give the command to get down.
[01:07:29.553 --> 01:07:32.615]  As soon as he obeys, praise him for the good behavior, and that's it.
[01:07:32.995 --> 01:07:36.377]  Veterinarian-endorsed, Pet Trainer is the humane way to train pets.
[01:07:36.677 --> 01:07:40.579]  Whether it's non-stop barking, chewing shoes, pestering houseguests, you name it.
[01:07:40.920 --> 01:07:45.042]  Plus, it's the animal-friendly way to deal with unwelcome strays or neighbor's dogs.
[01:07:45.362 --> 01:07:46.803]  He's the T-Rex of political talk.
[01:08:08.081 --> 01:08:10.984]  Alex Jones on the GCN Radio Network.
[01:08:11.024 --> 01:08:32.624]  I'm not trying to patronize the listeners, but I want you to realize that we're following the exact pattern of classical military dictatorship here in the United States.
[01:08:33.815 --> 01:08:48.387]  And I want Frank Morales, who's in the top five people I know who are experts on the infrastructure of this Orwellian control grid, to go over this from the start like he was talking to a group of high school seniors.
[01:08:49.708 --> 01:09:01.097]  I know a lot of you know more than I do about the globalists and the corruption, but I want this laid out so those out there that don't understand will understand, and for those of us that do have a grasp,
[01:09:02.121 --> 01:09:08.725]  We'll have better talking points to calmly go over this with the general public.
[01:09:09.126 --> 01:09:19.092]  So, Frank Morales, from your decades of study of this, and laying out what would happen and now it has happened, and what you think is going to happen after that,
[01:09:19.667 --> 01:09:21.689]  Well, the question of martial law and police state and so forth.
[01:09:43.507 --> 01:09:54.793]  Ultimately, it comes down, and I think, you know, it's easier for us to conceive of this, I think, more, you know, viscerally, which is control, social control.
[01:09:55.493 --> 01:10:06.799]  And the elite corporate Pentagon interlock that is directing this has its own needs and requirements.
[01:10:06.859 --> 01:10:09.561]  So, you know, but for the moment, those aside,
[01:10:10.171 --> 01:10:30.927]  So, I think a place that we look is that historically over the last three decades, and just escalating exponentially since 9-1-1, is a process where the government is daily expanding military operations into areas of local government and law enforcement that historically have been off limits.
[01:10:30.947 --> 01:10:32.488]  So that's the most general way to look at it.
[01:10:33.101 --> 01:10:42.372]  From the beginning, in terms of the situation we're in right now, the phrase, the militarization of the police, is not a mere metaphor.
[01:10:42.392 --> 01:10:50.841]  This is the process wherein the Pentagon, as the military entity, has, through legislative exceptions to posse comitatus,
[01:10:51.308 --> 01:11:08.014]  Through military transfers of technology from the Pentagon to local law enforcement, the creation of SWAT, etc., etc., the military, within its doctrinal sphere, which is relatively new, of so-called operations other than war, has created new missions for itself.
[01:11:08.594 --> 01:11:15.196]  Now, my position is that these new missions doesn't come out of thin air, that this is not simply the result of
[01:11:15.802 --> 01:11:19.263]  You know, Pentagon Joint Chiefs strategist sitting around deciding to do this.
[01:11:19.643 --> 01:11:22.423]  This is a need of the corporate elite with whom they're interlocked.
[01:11:22.923 --> 01:11:36.426]  And they've initiated a process of creating a police-ization within the military, a function of police-ization, which they're now specifically applying to the U.S.
[01:11:36.446 --> 01:11:40.847]  It's the setting up of the Northern Command, which is the domestic military command.
[01:11:41.716 --> 01:11:47.819]  Um, which is unprecedented, uh, whose job is and can tap on all the other commands.
[01:11:47.859 --> 01:11:51.480]  So it's kind of like, uh, you know, the motherload of commands in a sense.
[01:11:52.060 --> 01:11:58.223]  It's, uh, it's primary function, according to its own, uh, mission statement is to quote, assist law enforcement.
[01:11:58.883 --> 01:12:11.308]  Um, the Posse Comitatus Act, which is an 1878 statue, his, um, uh, forbids through criminal, um, prosecution, the, uh, enforcement of laws domestically by the Pentagon.
[01:12:11.732 --> 01:12:16.413]  So they, you know, they cover that with various, uh, well, we're, we're passively involved.
[01:12:16.453 --> 01:12:18.213]  We're passively involved at Waco.
[01:12:18.853 --> 01:12:22.494]  Um, we're passively involved in Seattle, et cetera, et cetera.
[01:12:23.114 --> 01:12:39.397]  So, you know, in terms of that kind of, uh, initial, um, understanding of what we're in, there's been a process of militarization of the police, um, the Pentagon's publication last year of a domestic operations manual at its center for law and military operations.
[01:12:40.077 --> 01:12:41.137]  Again, unprecedented.
[01:12:41.961 --> 01:12:50.364]  It would formally have been thought that the publication by the Pentagon of a domestic operations manual would have been an oxymoron, a kind of contradiction in terms.
[01:12:50.384 --> 01:12:54.765]  So what are they publishing an operations manual domestically for?
[01:12:55.205 --> 01:12:58.646]  So that gives you a sense of, but it's about social control.
[01:12:58.726 --> 01:13:08.589]  It's about preempting our ability to exercise our rights, the right of dissent, the right of redress to our grievances, the right to be heard.
[01:13:09.201 --> 01:13:16.523]  It's one thing to have free speech, it's another thing, yeah, well, we'll let you have free speech in this pen, or in the middle of the ocean.
[01:13:17.583 --> 01:13:23.165]  You know, we want the right to dissent, we want the right to be heard, to have our dissent have effect.
[01:13:24.185 --> 01:13:30.727]  So it's about social control, and one other more ominous... So there's a lot of stuff to look at.
[01:13:30.747 --> 01:13:33.427]  The weaponry, the so-called use of non-lethal weaponry.
[01:13:33.467 --> 01:13:35.588]  Again, the Council on Foreign Relations
[01:13:36.207 --> 01:13:45.316]  uh... back in nineteen ninety five and then again in nineteen ninety nine issued reports on non-lethal weapons and advocated strongly uh... for their youth
[01:13:47.349 --> 01:13:50.131]  You know, against civilian and non-combatant populations.
[01:13:50.351 --> 01:13:59.437]  This is, again, a corporate military interlock, a CFR, and so they began early on promoting the use of these weapons.
[01:13:59.857 --> 01:14:06.402]  And, Frank, the CFR also said in these documents, we're going to need terror attacks as the pretext to use this.
[01:14:06.662 --> 01:14:15.668]  Yeah, the notion that, you know, our government within this militarized context now, so if you just look at the context we're in as we move into 9-1-1,
[01:14:16.826 --> 01:14:23.532]  Within that context, has historically had no problem in creating provocateur action.
[01:14:24.172 --> 01:14:40.326]  Operation Northwood, documents are available, you can read the Joint Chiefs' own words, openly advocate creating a pretext in Cuba, including, you know, killing their own people, in order to create a pretext to invade Cuba.
[01:14:41.146 --> 01:14:45.090]  Now, you know, issues aside, as far as the politics of all that,
[01:14:45.649 --> 01:15:04.997]  But, I mean, the ability or the willingness of our government to kill its own people in order to, you know, help rationalize, justify, and sell its policies, in this case, you know, global plunder and social control, you know, globally, you know, that's happened before.
[01:15:05.457 --> 01:15:09.699]  But in terms of a more ominous development recently in terms of the CIA,
[01:15:11.215 --> 01:15:34.234]  Which is, of course, also part of this, and the infrastructure, again, of social control has those two components, which is intelligence, to get, you know, to find out, you know, who people, who you are, and that's this geospatial thing I was mentioning, geospatial intelligence agency, which wants to create a spatial data infrastructure, which will be created down to the house level.
[01:15:34.867 --> 01:15:35.468]  To your home.
[01:15:35.608 --> 01:15:36.609]  Intelligent vandalism.
[01:15:36.989 --> 01:15:45.276]  Let me just add, I interviewed people five years ago who were hired by companies to take digital photos of front, back, and top of all the homes in every city.
[01:15:45.496 --> 01:15:46.417]  They've already got that.
[01:15:46.477 --> 01:15:49.539]  I found that when they announce something, it's already been in place.
[01:15:49.840 --> 01:15:50.320]  Exactly.
[01:15:50.380 --> 01:15:52.062]  So, I mean, this is the process.
[01:15:52.522 --> 01:15:59.788]  And the most recent overt manifestation of this, because now I think, you know, in terms of that, you asked me to give a general picture.
[01:15:59.808 --> 01:16:02.030]  Well, let's give, this is the concluding part of it.
[01:16:02.478 --> 01:16:16.561]  Is that ultimately, you know, that it's going to require, you know, people on the streets who are, who are, who are interfering in, you know, pressuring, arresting, detaining citizenry.
[01:16:16.921 --> 01:16:19.061]  So, you know, it's going to come down to that level.
[01:16:19.501 --> 01:16:21.762]  And who are the experts in that?
[01:16:21.802 --> 01:16:28.583]  Well, you know, the CIA has a long history of covert operations, and that's like a pretty term.
[01:16:29.209 --> 01:16:40.113]  For torture, setting up death squads, assassinations, you know, creating dummy front organizations, etc, etc.
[01:16:40.994 --> 01:16:43.255]  Recently, let me just finish with this, Alex.
[01:16:43.295 --> 01:16:45.816]  This is important and people need to get on this now.
[01:16:48.137 --> 01:16:52.598]  Caroline Maloney in the House of Representatives just put forth a bill.
[01:16:53.159 --> 01:16:54.599]  It's called H.R.
[01:16:54.859 --> 01:16:56.860]  3439 in the House of Representatives.
[01:16:57.441 --> 01:17:04.084]  This bill would embed CIA agents in local police precincts around the country.
[01:17:05.065 --> 01:17:22.553]  Quoting from the bill, upon request of the head of state or local law enforcement agency, the Director of Central Intelligence may detail any employee within the Central Intelligence Agency to that state or local law enforcement agency on a non-reimbursable basis.
[01:17:22.653 --> 01:17:25.794]  This bill would amend the 1949 Charter of the CIA
[01:17:27.748 --> 01:17:28.088]  I don't
[01:17:44.899 --> 01:17:49.581]  Um, uh, uh, control of, uh, and, and worth of the, uh, citizenry.
[01:17:49.901 --> 01:17:51.802]  And Frank, we know that's already been going on.
[01:17:51.842 --> 01:18:08.969]  I would add a third point, not just intelligence and people on the ground, but also the Pentagon office of strategic information who said they plant news stories have been caught planning hundreds of fake letters from troops and the newspapers lies about, you know, domestic fear mongering, fake, fake attacks drills.
