[00:00:00.109 --> 00:00:00.930]  But here's the goal.
[01:00:31.528 --> 01:00:41.212]  Now, it's since come out that the Pentagon and Associated Press have gotten the documents that indeed it came out of Wuhan and the Chinese worked with the WHO to cover it up.
[01:00:41.272 --> 01:00:42.593]  That's broke a week ago.
[01:00:43.033 --> 01:00:45.754]  Now the discoverer of the HIV virus.
[01:00:46.601 --> 01:01:04.834]  Who won a Nobel Prize, is arguably the top virologist in the world, came out to the world a week ago and said, I've looked at it, we've scanned the virus at our laboratory, because they have those systems, and the Indians and others are damn right, it's 100% lab made.
[01:01:05.855 --> 01:01:10.739]  And then the US government trying to say, okay, it came out of Wuhan, but it was naturally occurring.
[01:01:11.159 --> 01:01:14.942]  No, only genetic engineering creates these.
[01:01:16.374 --> 01:01:21.998]  It's now my great pleasure to invite Lady Gaga.
[01:01:22.378 --> 01:01:29.823]  Dr. Tedros, I would like to thank the World Health Organization and the United Nations as well as Global Citizen.
[01:01:30.303 --> 01:01:35.967]  Thank you very much Dr. Tedros and Hugh Evans for all of your leadership in this fight against COVID-19.
[01:01:37.335 --> 01:01:53.266]  The Global Citizen Lady Gaga One World at Home concert to support the World Health Organization is the moment when Hollywood draws the line in the sand as blatantly as possible between the American people and Hollywood's globalist masters.
[01:01:53.546 --> 01:01:57.269]  Over 20 million Americans are fighting to file for unemployment.
[01:01:57.429 --> 01:02:02.872]  I dial the number and it's just like a busy beep, beep, beep, and then it just keeps beeping.
[01:02:03.332 --> 01:02:04.132]  That's all there is.
[01:02:04.533 --> 01:02:14.258]  Brianna Marshall of Milwaukee is a hairstylist and a mother and one of more than 76,000 Oregonians filing for unemployment benefits right now.
[01:02:14.878 --> 01:02:22.242]  And I have called, I can't even count anymore, just over and over, I mean probably three, four hundred times.
[01:02:22.967 --> 01:02:27.489]  Small businesses that have been around for decades are permanently closing.
[01:02:27.749 --> 01:02:34.312]  And the measly $1,200 check promised to all of us by the government hasn't reached as many as it should have.
[01:02:34.812 --> 01:02:38.734]  And we recognize that the average American household has an income of $4,000 a month.
[01:02:41.552 --> 01:02:43.293]  A $1,200 check isn't going to go very far.
[01:02:43.614 --> 01:03:05.454]  The Satanists in Los Angeles want all eyes on their million-dollar quarantines to support a foreign entity led by a Chinese-installed Director Tedros, who propagandized three cholera outbreaks in Ethiopia and has now directly caused the deaths of thousands of Americans due to touting Chinese disinformation.
[01:03:05.914 --> 01:03:07.254]  We know roughly the timeline.
[01:03:07.294 --> 01:03:09.855]  We know that China concealed it from the WHO.
[01:03:10.195 --> 01:03:17.957]  We know that the WHO aided, at worst, looked the other way, if they weren't actively aiding and abetting this.
[01:03:18.537 --> 01:03:28.080]  And we know that China locked down Wuhan and prevented, shut down domestic flights, especially flights to Beijing, but did not shut down international flights.
[01:03:28.780 --> 01:03:32.161]  So, at best for the Chinese government, there is negligence.
[01:03:32.541 --> 01:03:45.225]  At worst, it may be that this thing got out, infected a bunch of people, the Chinese government knew, the Communist Party knew that they had a real problem on their hands, and figured, hey, if it's going to infect China, why should we stop it from going around the world?
[01:03:45.266 --> 01:03:49.407]  Because we can't have China's position relative to the rest of the world be weakened.
[01:03:50.103 --> 01:03:56.346]  Global Citizen and the World Health Organization have received an incredible outpouring of support.
[01:03:56.366 --> 01:03:58.207]  Thank you World Health Organization.
[01:03:58.547 --> 01:04:02.670]  The United Nations urges us to think global and act locally to prevent future outbreaks.
[01:04:03.050 --> 01:04:07.032]  Here to tell us more is Secretary General of the UN, Antonio Guterres.
[01:04:07.532 --> 01:04:13.714]  Thank you for your support for the life-saving work of the World Health Organization and the other humanitarian agencies.
[01:04:13.894 --> 01:04:20.895]  Yes, liberal snowflakes, Orange Man Bad isn't going to send the largest donation per year to the World Health Organization.
[01:04:20.975 --> 01:04:24.736]  That can now be the dishonor of the Bill and Melinda Gates Foundation.
[01:04:24.816 --> 01:04:32.318]  There's a lot of vaccine candidates that we're backing, and I'm optimistic by late next year one of those will come out.
[01:04:33.098 --> 01:04:36.659]  And we need to make sure that gets out to everyone in the world.
[01:04:37.714 --> 01:04:40.716]  All right, I said I'd go to your phone calls, and I'm gonna go to them here in just a moment.
[01:04:41.196 --> 01:04:42.237]  Alex Jones here back live.
[01:04:42.257 --> 01:04:43.858]  A lot of really positive things happening.
[01:04:44.439 --> 01:04:48.001]  All over the country, there are big rallies to reopen the nation.
[01:04:48.921 --> 01:04:52.244]  And Facebook's trying to come in and bully people and say, you're not allowed to do that.
[01:04:52.264 --> 01:04:54.545]  We're gonna work with local government to suppress you.
[01:04:54.565 --> 01:04:59.709]  I believe Americans are just gonna get more angry about that and more vocal and more active.
[01:05:00.829 --> 01:05:02.591]  And so I've talked to my amazing crew.
[01:05:03.803 --> 01:05:12.094]  And I said, listen, I see us running all these promos and stuff about our event this Saturday at the Texas Capitol.
[01:05:12.134 --> 01:05:13.036]  That's wonderful.
[01:05:14.117 --> 01:05:18.603]  But we need to be promoting for people all over the country.
[01:05:18.904 --> 01:05:20.225]  This is a national show.
[01:05:21.573 --> 01:05:32.344]  We need to be promoting to people all over the country and creating a website so they can email us and so we can learn about their events and what they're going to do, whether it's 10 people or 100 people or 1,000 people.
[01:05:32.804 --> 01:05:36.287]  We want to know about that and we want you to send us emails.
[01:05:36.327 --> 01:05:37.729]  We have an email listed on the site.
[01:05:39.450 --> 01:05:45.276]  And to also sign up so we can email you back and communicate with you at timetoopen.com
[01:05:47.273 --> 01:05:49.554]  And can'tcloseamerica.com.
[01:05:49.754 --> 01:05:56.357]  And we're gonna be adding more videos, we're gonna be adding more articles, we're gonna be adding a lot of stuff to that site.
[01:05:56.497 --> 01:06:02.200]  And we're just gonna blast out folks and let them know when there's a big rally coming up in their area.
[01:06:02.620 --> 01:06:04.921]  Will this site save the world and turn America back on?
[01:06:05.021 --> 01:06:05.281]  No.
[01:06:05.761 --> 01:06:11.164]  But all of us together at other sites and other groups organizing and taking action will.
[01:06:11.824 --> 01:06:14.325]  So time to open.com and can'tcloseamerica.com.
[01:06:16.633 --> 01:06:21.215]  And you can see a video there where I lay all of this out on the site.
[01:06:22.896 --> 01:06:24.217]  Again, timetoopen.com.
[01:06:24.557 --> 01:06:26.418]  Leads to the same site, cantcloseamerica.com.
[01:06:26.438 --> 01:06:33.862]  And we're going to be adding a lot more to the site as it unfolds, but it's really important for you to
[01:06:35.401 --> 01:06:58.141]  Go in there and put in your email your name so we can communicate with you, and then send the URL, cantcloseamerica.com, to everyone you know and say, America is organizing, America is preparing, America is not going to be intimidated by Zuckerberg, so we have to have our own sites for us to organize, and we're creating a news feed in there that will have the different articles and videos and, you know, things as people demonstrate and people protest.
[01:06:58.501 --> 01:07:01.964]  They're feeding on the sites of a big closing house.
[01:07:02.825 --> 01:07:05.546]  Uh, there for everybody to go and organize.
[01:07:05.586 --> 01:07:08.126]  So, can'tcloseamerica.com.
[01:07:09.587 --> 01:07:16.288]  We launched so many major movements together with our activism, so I suggest people go there and then share the URL.
[01:07:16.388 --> 01:07:19.209]  It's time to open.com is an excellent URL.
[01:07:19.749 --> 01:07:24.611]  That's where we go with that, but it's better probably overall than can'tcloseamerica.com.
[01:07:24.651 --> 01:07:25.791]  America was never closed, but
[01:07:26.511 --> 01:07:30.034]  A lot of folks don't understand that, so we're going with time to open.com.
[01:07:30.094 --> 01:07:35.758]  Please share that URL, and it's not been censored yet, like the other sites that are trying to promote this.
[01:07:35.798 --> 01:07:36.999]  Well, they probably will censor it.
[01:07:37.019 --> 01:07:40.101]  We'll give it a new URL next week, but that's where we are in America.
[01:07:40.482 --> 01:07:48.808]  America is trying to organize just to get together, just to be able to communicate and say, this is a fraud.
[01:07:48.828 --> 01:07:49.909]  We're being shut down.
[01:07:49.969 --> 01:07:51.210]  Here's the big piece of intel.
[01:07:52.759 --> 01:07:59.665]  They had 5 million dead in their earliest Royal Commission grafts and Bill Gates grafts, then it was 2 million.
[01:07:59.945 --> 01:08:04.148]  They said if you give up all your freedom and shut everything down, you know, only a million die.
[01:08:04.268 --> 01:08:05.449]  And then, oh, only 200,000 die.
[01:08:05.729 --> 01:08:09.032]  And, oh, now it's only going to be maybe 60,000 that die.
[01:08:12.735 --> 01:08:16.838]  Well, Bill Gates wanted to be this genius months ago, and he said, oh, I think 80,000 die.
[01:08:17.199 --> 01:08:18.440]  Because they knew all along
[01:08:19.687 --> 01:08:28.975]  They can manipulate statistics out of the hospitals of who dies of cancer, who dies of a heart attack, who dies in a car wreck, and that they test positive for any coronavirus.
[01:08:29.015 --> 01:08:30.015]  They call it COVID-19.
[01:08:30.296 --> 01:08:30.956]  That's how they're doing it.
[01:08:30.976 --> 01:08:32.798]  But this is the big takeaway, and then I'll go to your calls.
[01:08:39.803 --> 01:08:43.887]  They told us we were going to shut down the country for two weeks to put the handcuffs on.
[01:08:46.380 --> 01:08:54.205]  Because we didn't want the hospitals with 2 million dying, 3 million dying, 4 million dying, 5 million dying, I mean.
[01:08:56.246 --> 01:08:58.888]  I need ventilators, said the governor of New York.
[01:08:59.988 --> 01:09:01.830]  I need hundreds of thousands will be dying.
[01:09:03.351 --> 01:09:06.993]  And then it was thousands and he looked like a fool because they were buying the hype.
[01:09:07.053 --> 01:09:11.316]  Now they go, oh it's 99% lower than we said because you all did what we told them.
[01:09:11.416 --> 01:09:11.596]  No!
[01:09:13.715 --> 01:09:15.857]  They hyped up how deadly the virus is.
[01:09:15.897 --> 01:09:16.717]  They're run down.
[01:09:16.797 --> 01:09:17.958]  They're poisoned in China.
[01:09:17.978 --> 01:09:18.999]  They breathe dirty air.
[01:09:20.240 --> 01:09:22.562]  It killed a higher number there and they tried to cover it up.
[01:09:23.302 --> 01:09:41.576]  So this is a giant power grab and we know it and we have to say no to the blue cities and states saying wear masks for the next six months and never turn the economy on because everything is going to go to hell and we're going to have a Great Depression that makes the previous ones look like a walk in the park and that's why I'm so urgent and why I'm so angry and why you
[01:09:43.328 --> 01:09:50.971]  Have to be leaders in your area, whether it's a small town, whether it's a big city, whether it's a middle-sized town, you've got to shoot video.
[01:09:51.912 --> 01:09:54.153]  Go out with your husband, your wife, your neighbors, your business.
[01:09:54.773 --> 01:10:01.016]  If it's 10 of you in front of the city council, and say, open our businesses, open them.
[01:10:01.576 --> 01:10:03.517]  Half the counties in Texas don't have one case.
[01:10:03.757 --> 01:10:04.637]  They're still locked down.
[01:10:06.358 --> 01:10:08.859]  Talk about running off the edge of a cliff when nothing's going on.
[01:10:08.959 --> 01:10:09.960]  This is crazy.
[01:10:10.922 --> 01:10:12.423]  I want to be absolutely clear.
[01:10:13.044 --> 01:10:15.766]  TimeToOpen.com is for the whole country and the whole world.
[01:10:16.006 --> 01:10:21.030]  We're adding a section about people demonstrating around the world who are being attacked by the police in Germany and things.
[01:10:21.230 --> 01:10:23.412]  We're coming out and saying, this needs to stop.
[01:10:24.413 --> 01:10:27.636]  This was done, they said, to stop the overwhelming of the hospitals.
[01:10:27.656 --> 01:10:28.496]  The hospitals are empty.
[01:10:28.516 --> 01:10:29.137]  That's now admitted.
[01:10:29.978 --> 01:10:31.359]  That was a conspiracy theory a month ago.
[01:10:31.419 --> 01:10:32.440]  People went out with their own cameras.
[01:10:32.920 --> 01:10:34.521]  There's Austin just this last Saturday.
