[00:00:00.029 --> 00:00:00.929]  We're in an emergency.
[01:02:54.884 --> 01:02:56.225]  So they go, this is not an oppressor.
[01:02:56.425 --> 01:02:56.625]  Right.
[01:02:57.266 --> 01:02:57.886]  He loves me.
[01:02:57.946 --> 01:02:59.247]  They want what's best for us.
[01:02:59.307 --> 01:03:00.748]  They said they care about us.
[01:03:00.768 --> 01:03:02.129]  He had to knock my teeth out.
[01:03:02.189 --> 01:03:02.810]  I deserved it.
[01:03:02.970 --> 01:03:04.251]  Yes, I had it coming.
[01:03:04.331 --> 01:03:05.092]  I was bad.
[01:03:05.632 --> 01:03:07.913]  Yeah, so I try to think for myself.
[01:03:08.374 --> 01:03:09.034]  And that's it.
[01:03:09.054 --> 01:03:12.417]  It's like everything is, we're living in the total opposite world.
[01:03:13.277 --> 01:03:16.800]  The peaceful protests that get violent where people are being stabbed in D.C.
[01:03:16.840 --> 01:03:19.021]  and elsewhere, looting, rioting, burning things down.
[01:03:19.341 --> 01:03:20.022]  That's peaceful.
[01:03:20.282 --> 01:03:21.483]  That's totally fine.
[01:03:22.303 --> 01:03:28.528]  But if anyone dares question the election or, you know, the things that are going on there at the polls,
[01:03:29.428 --> 01:03:35.252]  That you get shut down, you get silenced, and I mean it's driving people mad.
[01:03:35.312 --> 01:03:41.475]  It makes you feel like you are powerless at this point because they're just so dastardly and they'll stop at nothing.
[01:03:42.296 --> 01:03:46.879]  It almost makes you want to just retreat, give up, white flag, surrender, okay.
[01:03:47.679 --> 01:03:52.822]  But then you learn they don't just want the power, they want to put stuff in our bodies, they want to kill us, and they want to rape our kids.
[01:03:53.183 --> 01:04:05.931]  I mean, you tell stories about family in Houston, where at the hospitals, where you have some family that works there, the women, the lesbian women, bring in the adopted little boy they've got, and they want to chop his four-year-old balls off, and they're pissed because the hospital won't do it.
[01:04:05.951 --> 01:04:07.952]  I mean, and it's like a weird, like, we want his testicles.
[01:04:08.953 --> 01:04:10.514]  You said it made you physically sick.
[01:04:10.694 --> 01:04:13.696]  Right, well, it's like, it's an elective surgery, so we're not going to do it.
[01:04:14.016 --> 01:04:14.997]  Oh, well, how dare you?
[01:04:15.057 --> 01:04:16.257]  This is, you know, this is my
[01:04:18.148 --> 01:04:18.669]  I don't know.
[01:04:33.504 --> 01:04:34.045]  Humanity.
[01:04:34.445 --> 01:04:42.032]  And these women have so turned to Satan, they literally want the sacrament of mutilating their boy, and then they make it a victory.
[01:04:42.292 --> 01:04:43.113]  A female victory.
[01:04:43.133 --> 01:04:45.875]  That's not feminine to chop your son's balls off.
[01:04:46.095 --> 01:04:46.836]  That's satanic.
[01:04:46.996 --> 01:04:48.497]  No, it's... It's the opposite of feminine.
[01:04:48.858 --> 01:04:52.141]  Yeah, I mean, I don't understand... That's a cult!
[01:04:52.841 --> 01:04:55.364]  There's a cult of women that chop their son's balls off.
[01:04:55.804 --> 01:04:56.665]  And that's what they're doing.
[01:04:57.383 --> 01:05:04.308]  Yeah, or if I find out I'm pregnant with a boy, I'm getting an abortion, you know, I'm either having a girl or an abortion.
[01:05:04.328 --> 01:05:06.129]  Oh, that's a big feminist thing, kill your son.
[01:05:06.449 --> 01:05:19.478]  Right, and it's just, you know, I just, I'm not sure why, maybe that is part of the whole psychological thing of just having America submit and just turning us all into... It's liberal, cut your son's balls off.
[01:05:19.598 --> 01:05:22.940]  Yes, we don't need any strong men in our country, you know,
[01:05:23.260 --> 01:05:29.702]  But imagine an enemy that said to us, we're coming, we're taking over, we're going to force inject you with deadly stuff, and we're going to chop your son's balls off.
[01:05:30.223 --> 01:05:31.343]  We would go to war with that.
[01:05:31.763 --> 01:05:31.963]  Right.
[01:05:32.404 --> 01:05:39.186]  That's what Moses, and that's actually in the Egyptian stuff against Ramses, his dad had the firstborn Israelites killed.
[01:05:39.606 --> 01:05:39.966]  The boys.
[01:05:40.166 --> 01:05:40.367]  Right.
[01:05:40.427 --> 01:05:41.347]  So this is just a competition.
[01:05:41.567 --> 01:05:46.591]  So instead of just killing the boys, they can say trans is now dead, like, my son's a ghost, he slit his throat.
[01:05:47.071 --> 01:05:52.995]  And so instead of chopping the balls off, like, my son's trans, he's dead, he identifies as a dead person, so you shoot your kid in the head.
[01:05:53.035 --> 01:05:56.278]  I mean, they can't go that far yet, so it's like, we'll just get the huevos.
[01:05:56.678 --> 01:05:56.878]  Right.
[01:05:57.098 --> 01:06:11.082]  No, it's actually a sick trajectory that we're on, and I don't know if anyone else got massively creeped out when Joe Biden did his little speech last night, and he did that weird, creepy, puppet smile where only half of his face went up.
[01:06:11.462 --> 01:06:13.303]  Yeah, pull up Biden's speech last night, guys.
[01:06:13.343 --> 01:06:14.203]  Let's play that when we come back.
[01:06:14.483 --> 01:06:16.844]  Oh, and Leanne, you mentioned nuclear war and how Trump's against it.
[01:06:17.544 --> 01:06:23.106]  McBrain did that amazing video with you comparing the Barry Goldwater, the anti-Barry Goldwater ad from 68.
[01:06:24.306 --> 01:06:34.661]  With the one you did about nuclear war, if Hillary got in, we'll play that when we come back, and then we'll play the original anti-Barry Goldwater, LBJ nuclear ad with the little girl and the daisies.
[01:06:35.041 --> 01:06:35.922]  When we come back, stay with us.
[01:06:36.775 --> 01:06:44.179]  The bottom line on nuclear weapons is that when the president gives the order, it must be followed.
[01:06:44.639 --> 01:06:52.303]  There's about four minutes between the order being given and the people responsible for launching nuclear weapons to do so.
[01:06:52.563 --> 01:06:54.664]  As president, I will make it clear.
[01:06:55.544 --> 01:07:00.266]  That the United States will treat cyber attacks just like any other attack.
[01:07:00.846 --> 01:07:06.209]  We will be ready with serious political, economic, and military responses.
[01:07:06.269 --> 01:07:09.250]  They're voting for peace on planet Earth if they vote for Trump.
[01:07:09.650 --> 01:07:12.631]  But if they vote for Hillary, it's war.
[01:07:12.671 --> 01:07:15.232]  We came, we saw, he died.
[01:07:17.648 --> 01:07:19.670]  With her, you'll end up in World War III.
[01:07:20.010 --> 01:07:23.493]  I want the Iranians to know that if I'm the president, we will attack Iran.
[01:07:23.693 --> 01:07:31.580]  Right now, Senator, for us to control all of the airspace in Syria would require us to go to war against Syria and Russia.
[01:07:33.516 --> 01:07:33.976]  The U.S.
[01:07:34.016 --> 01:07:37.638]  military has just raised the threat level to DEFCON 2.
[01:07:37.998 --> 01:07:45.602]  Meanwhile, Hillary Clinton is still threatening Russia with military action, following unconfirmed reports of further hacking.
[01:07:45.983 --> 01:07:48.524]  It's like she's not even concerned about the repercussions.
[01:07:48.684 --> 01:07:52.546]  Of course not, because she's... Look, that's a really loud noise.
[01:07:52.726 --> 01:07:57.069]  Alright, looks like we're having a little bit of technical difficulties.
[01:07:57.089 --> 01:07:59.310]  We'll try to get Leanne back on in a few minutes.
[01:08:03.100 --> 01:08:07.625]  When the President gives the order, it must be followed.
[01:08:31.360 --> 01:08:32.000]  November 8th.
[01:08:32.040 --> 01:08:36.082]  Vote like your world depends on it.
[01:08:37.382 --> 01:08:40.163]  From the Library of Congress in Washington, D.C.
[01:08:40.183 --> 01:08:47.945]  One.
[01:08:48.666 --> 01:08:49.766]  Two.
[01:08:51.106 --> 01:08:51.807]  Three.
[01:08:53.047 --> 01:08:53.647]  Four.
[01:08:54.588 --> 01:08:55.208]  Five.
[01:08:56.428 --> 01:08:57.288]  Seven.
[01:08:58.409 --> 01:08:58.729]  Six.
[01:09:01.040 --> 01:09:21.758]  6... 8... 9... 9... 10... 9... 8... 7... 6... 5... 4... 3... 2... 1... 0... These are the stakes.
[01:09:23.039 --> 01:09:26.662]  To make a world in which all of God's children can live.
[01:09:27.783 --> 01:09:28.924]  Or to go into the dark.
[01:09:30.274 --> 01:09:35.442]  We must either love each other, or we must die.
[01:09:36.123 --> 01:09:38.647]  Vote for President Johnson on November 3rd.
[01:09:39.388 --> 01:09:41.391]  The stakes are too high for you to stay home.
[01:09:42.864 --> 01:09:48.949]  And that was the globalist that sold us out, and Barry Goldwater, the patriot against the New World Order, was kicked out even though he was anti-war.
[01:09:49.349 --> 01:09:58.396]  And it's the same thing, Leanne, a total inversion of reality, where Trump's trying to make good deals in these wars, take care of the troops, the VA, and then he's the warmonger.
[01:09:58.436 --> 01:10:00.238]  It's just the left are disgusting liars.
[01:10:01.460 --> 01:10:02.041]  Absolutely.
[01:10:02.601 --> 01:10:11.527]  And the fact that Hillary Clinton and others, these globalists, have been planning to steal this election, they've been planning to say that it's going to drag out for a long time.
[01:10:11.888 --> 01:10:13.989]  They've known that this was going to happen.
[01:10:14.169 --> 01:10:14.810]  How did they know?
[01:10:15.050 --> 01:10:16.231]  How were they prepared for this?
[01:10:16.571 --> 01:10:17.752]  Why were they telling people
[01:10:18.132 --> 01:10:25.015]  That perhaps the House is going to have to decide who won the election because it's going to drag out for so long or it's going to be such a close race.
[01:10:25.075 --> 01:10:29.696]  I mean, they already knew what was going to happen and they've been getting us mentally.
[01:10:30.257 --> 01:10:36.119]  You always talk about that, that the globalists, they always put their plans out prior to it happening.
[01:10:36.139 --> 01:10:36.699]  They have to.
[01:10:36.739 --> 01:10:37.459]  It's like a sickness.
[01:10:37.479 --> 01:10:39.140]  They have to tell you what they're going to do.
[01:10:39.860 --> 01:10:41.201]  And they have.
[01:10:41.381 --> 01:10:42.021]  They have been.
[01:10:42.281 --> 01:10:51.526]  Hillary Clinton said Biden should not concede to President Trump under any circumstances whatsoever because she thinks it's going to drag out.
[01:10:51.626 --> 01:10:55.728]  And eventually, she does believe he will win if we do not give an inch.
[01:10:56.489 --> 01:10:57.789]  And how is that going to happen?
[01:10:57.809 --> 01:11:00.731]  People are saying right now, Jones, how'd you predict it all again?
[01:11:00.891 --> 01:11:02.452]  I didn't think they had a damn blueprint.
[01:11:02.732 --> 01:11:02.912]  Right.
[01:11:04.273 --> 01:11:05.053]  Be positive.
[01:11:05.353 --> 01:11:06.294]  It's a landslide.
[01:11:06.334 --> 01:11:06.654]  Yeah.
[01:11:06.694 --> 01:11:08.235]  They've got a fraud slide to block it.
[01:11:08.695 --> 01:11:12.516]  I mean, it's just incredible that they will stop at nothing to do this.
[01:11:12.596 --> 01:11:26.580]  Last night, when I was watching the electoral votes being added to Joe Biden, and they gave him California before the polls had even closed in California, and everyone says, oh, well, it's just a given that they're going to... So they would freeze it with him on top.
[01:11:26.900 --> 01:11:27.580]  Right, exactly.
[01:11:27.600 --> 01:11:28.300]  They want to freeze it.
[01:11:28.380 --> 01:11:30.161]  It's so transparent!
[01:11:30.601 --> 01:11:36.863]  But meanwhile, they wouldn't give Trump Texas or any of these other states that, you know, he was over 80,000 votes or so.
[01:11:37.183 --> 01:11:38.743]  Oh, it's still too close to call.
[01:11:39.163 --> 01:11:42.124]  You know, meanwhile, they give him Arizona and these other places.
[01:11:42.424 --> 01:11:45.505]  And then they say it was an error in the AP's tallying.
[01:11:45.545 --> 01:11:48.565]  But we were watching real time going, what the heck?
[01:11:48.605 --> 01:11:50.486]  They're giving it to Biden when Trump's at 56%.
[01:11:50.526 --> 01:11:52.366]  By the way, did you guys find this creepy speech?
[01:11:52.446 --> 01:11:53.247]  I saw it last night.
[01:11:53.267 --> 01:11:54.127]  Did you find the creepy speech?
[01:11:55.008 --> 01:11:55.129]  Ugh.
[01:11:55.530 --> 01:11:57.580]  Gives me the... You say you did?
[01:11:59.551 --> 01:12:02.632]  Yeah, I don't want to listen to his voice, but just roll the video that she was talking about.
[01:12:02.652 --> 01:12:06.514]  He looked, animatronic is the word, like a Chuck E. Cheese thing.
[01:12:06.534 --> 01:12:09.895]  It sends a shiver into my soul.
[01:12:09.915 --> 01:12:11.495]  I mean, listen, listen, listen.
[01:12:11.535 --> 01:12:17.958]  If I was, if I walked in a business and a guy was acting like him and had that, with that fake smile, I'd walk right back out.
[01:12:18.158 --> 01:12:19.818]  Yeah, you know you're talking to a shyster.
[01:12:20.379 --> 01:12:25.421]  He's a used car salesman, you know, trying to sell you something you don't need at way overpriced.
