[00:00:00.535 --> 00:00:00.895]  Warning.
[01:12:18.703 --> 01:12:19.364]  Come on, man.
[01:12:20.606 --> 01:12:23.771]  No, Trump needs to... I think Trump needs to address the nation and say this...
[01:12:24.795 --> 01:12:34.843]  We don't want further escalation in Iran, but we're going to protect our interests and our troops, and I want Obama and John Kerry in the Oval Office now!
[01:12:35.284 --> 01:12:40.708]  I would send out everybody, the FBI, the CIA, Secret Service, send them all out!
[01:12:41.008 --> 01:12:44.211]  Get Obama's ass into the White House now!
[01:12:44.511 --> 01:12:45.711]  Make a public address.
[01:12:45.891 --> 01:12:49.513]  Make a public statement to the world saying, I'm looking for Obama.
[01:12:49.773 --> 01:12:50.693]  He cut them a deal.
[01:12:50.933 --> 01:12:53.494]  We're about to have larger escalation with this country.
[01:12:53.774 --> 01:12:54.894]  Where is Barack Obama?
[01:12:55.114 --> 01:12:56.535]  And then it exposes Obama!
[01:12:57.655 --> 01:12:59.056]  Owen, let me ask you this.
[01:13:00.276 --> 01:13:13.460]  If, if I gave you 1.7 billion dollars, and if possibly I gave you a message with the 1.7 billion dollars, and if possibly you committed a crime,
[01:13:14.725 --> 01:13:15.766]  Against said country.
[01:13:16.326 --> 01:13:17.927]  Do you not think that I would also be brought in?
[01:13:17.947 --> 01:13:20.028]  But when it comes to Obama, they say, what?
[01:13:20.048 --> 01:13:20.188]  What?
[01:13:20.208 --> 01:13:21.109]  Let's just pay $1.7 billion.
[01:13:37.017 --> 01:13:48.783]  Let's say Alex Jones hands me a hundred grand right here, a stack of cash, a bunch of passports, fake IDs and a gun, and then I run out and I shoot somebody, let's say a diplomat, and then who do you think they're going to question first?
[01:13:50.103 --> 01:13:54.665]  Well, sir, we first of all ask you to lower your voice, stop being so aggressive.
[01:13:55.026 --> 01:13:56.306]  We're going to take everybody.
[01:13:56.787 --> 01:13:57.407]  Of course.
[01:13:57.947 --> 01:13:58.988]  Isn't it hysterical?
[01:13:59.128 --> 01:14:03.870]  It's not hysterical because it's problematic and it's gone kinetic now, but it's, that's what it is.
[01:14:04.807 --> 01:14:07.109]  And people forget the timeline so people don't want to say it.
[01:14:07.490 --> 01:14:10.833]  So people are talking about Iran as if it's like an isolated incident.
[01:14:10.973 --> 01:14:14.496]  No, this has been something that's been on the timeline continually.
[01:14:16.898 --> 01:14:20.882]  What do you think Obama promised Iran behind closed doors?
[01:14:22.223 --> 01:14:23.064]  A global government.
[01:14:24.585 --> 01:14:27.428]  Which they would be at the top of, which is what the Ayatollah said!
[01:14:28.410 --> 01:14:29.330]  A global government.
[01:14:29.630 --> 01:14:31.111]  Guys, put that into a search engine.
[01:14:31.891 --> 01:14:34.332]  Iran says they'll be at the top of a new world order.
[01:14:34.352 --> 01:14:35.773]  They said that about two years ago.
[01:14:35.793 --> 01:14:39.114]  A global government, without question.
[01:14:39.594 --> 01:14:52.438]  All the losers on a geopolitical level are hoping for the fall of the United States of America, are hoping for the fall of the UN, are hoping for the fall of what we know has security around the world.
[01:14:52.699 --> 01:14:53.479]  They're hoping for it.
[01:14:53.759 --> 01:14:56.480]  And if you're a loser, you'd hope for rich people to lose money too.
[01:14:57.583 --> 01:15:00.206]  And this is, again, this is elementary level stuff.
[01:15:00.606 --> 01:15:10.135]  Why would Barack Obama send cash to Iran instead of electronic transfers that can be easily tracked and monitored, which you'd think you'd want to do anyway with billions of dollars?
[01:15:10.175 --> 01:15:13.218]  I don't know.
[01:15:13.338 --> 01:15:14.399]  His middle name's Hussein.
[01:15:14.740 --> 01:15:15.521]  Barack Hussein?
[01:15:15.741 --> 01:15:16.582]  President Hussein?
[01:15:17.402 --> 01:15:17.843]  Hussein.
[01:15:20.250 --> 01:15:23.051]  Let me ask you this.
[01:15:23.071 --> 01:15:28.215]  I don't know if he's radio silent as this all happens when they flooded people with cash.
[01:15:29.336 --> 01:15:30.356]  I don't know.
[01:15:31.077 --> 01:15:37.701]  What do you think is going through, let me ask you this Zach, what do you think is going through the average member of the military's head right now?
[01:15:41.283 --> 01:15:43.545]  Let me wrap my gloves around your neck.
[01:15:47.250 --> 01:15:50.192]  And do you think that's aimed in a certain direction right now?
[01:15:51.233 --> 01:15:58.458]  I think most people in the military are pretty object-focused, pretty operation-focused, and they just got to do what they got to do.
[01:15:58.659 --> 01:16:08.966]  Unfortunately, they happen to be in this political football game of politics, but the guys I know, the women I know who happen to be serving, are going to do their job to the best ability.
[01:16:09.286 --> 01:16:10.988]  They're the greatest fighting force in the country.
[01:16:11.588 --> 01:16:13.890]  They're the greatest fighting force in the world.
[01:16:14.637 --> 01:16:24.847]  And they will execute the mission, but it's pretty difficult when the refs are rigged, the organization's rigged, the ball's rigged, and we still win.
[01:16:25.468 --> 01:16:26.388]  And yeah, exactly.
[01:16:26.428 --> 01:16:28.250]  The ref, the time clock, the scoreboard.
[01:16:28.450 --> 01:16:28.931]  Everything!
[01:16:29.371 --> 01:16:32.054]  So what is, I mean, and here, this is what my fear is.
[01:16:32.534 --> 01:16:38.820]  My fear is when they wake up in Iraq and Iran in about three hours,
[01:16:39.941 --> 01:16:47.166]  And we start getting reports because there's finally daylight and people can actually, you know, look at the scene there and figure out what's going on.
[01:16:47.386 --> 01:16:48.587]  How bad is the devastation?
[01:16:49.088 --> 01:16:52.370]  My fear is it's not just B-52s that are launched.
[01:16:52.430 --> 01:16:58.635]  My fear is a lot of other stuff has been launched and it will be an all-out hellfire in Iran.
[01:16:59.415 --> 01:17:03.317]  If there is a hair on an American's head that is singed from one of these attacks.
[01:17:03.817 --> 01:17:05.638]  And people can sit here and debate all day long.
[01:17:05.818 --> 01:17:06.378]  Oh, who's right?
[01:17:06.398 --> 01:17:06.798]  Who's wrong?
[01:17:06.899 --> 01:17:07.599]  No, no, no.
[01:17:07.639 --> 01:17:09.620]  Let's look at what's really going to happen here.
[01:17:09.740 --> 01:17:14.242]  I think it's going to be all out hellfire in Iran if this gets any worse.
[01:17:15.162 --> 01:17:15.843]  Well, I agree.
[01:17:15.863 --> 01:17:27.368]  And I think that's why President Trump is waiting just before sunrise, the first prayer at dawn in the Islamic calendar, the first prayer to make an actual order.
[01:17:28.720 --> 01:17:29.201]  I don't know.
[01:17:41.246 --> 01:18:04.433]  Let me ask you this, if it's a situation like the original strikes from the Trump administration in Syria where it's just damage, property damage essentially, you know, the base is destroyed, you know, the flight decks or whatever are destroyed, I mean, do you think Trump responds to that or do you think that's something that we kind of just have the same kind of snowball effect of just more tension?
[01:18:05.760 --> 01:18:11.846]  Well, geographically, Iran is much different from that, but what we are going to see is a devastating response.
[01:18:12.306 --> 01:18:15.169]  And if I was him, I would respond overwhelmingly.
[01:18:15.950 --> 01:18:25.499]  It's like saying, like being in a fight, like you're getting a couple of jabs, getting a couple of hooks, but if you could land a real heavy, you know, a haymaker, you better land it.
[01:18:26.480 --> 01:18:28.722]  And when you swing a haymaker, you better land it.
[01:18:29.244 --> 01:18:41.707]  Well, I think if you figure you're going to save yourself a bunch of, let's say, brain damage from not sustaining 30 more punches in the fight, if you can knock them out with one haymaker, you're going to do that a la Fukushima a la Hiroshima.
[01:18:42.707 --> 01:18:55.931]  Yeah, I mean, it's not going to be that, but if we strike sites where they happen to be hiding those things, that's their bidding because they're not supposed to have them anyways under the deal that Barack Obama paid them for.
[01:18:56.653 --> 01:18:58.174]  Which I don't think anybody believes.
[01:18:58.254 --> 01:19:01.317]  I mean, I think Iran probably has nukes.
[01:19:03.959 --> 01:19:11.505]  You know, I'm so glad you bring into this because people... Yeah, and people want to see you say, oh, well, you know, you always go back to Obama.
[01:19:11.525 --> 01:19:12.165]  Well, wait a second.
[01:19:12.486 --> 01:19:16.769]  So people want to claim Obama's responsible for this new economy, which is total BS.
[01:19:17.009 --> 01:19:20.172]  Well, why don't you give Obama some credit for the tension in the Middle East?
[01:19:20.192 --> 01:19:25.516]  Why don't you give Obama some credit for empowering the state of Iran that is clearly out of control now?
[01:19:27.589 --> 01:19:29.311]  I couldn't agree with you more.
[01:19:30.473 --> 01:19:33.276]  There is a direct correlation between that and nobody could argue that.
[01:19:34.237 --> 01:19:34.718]  Absolutely.
[01:19:36.463 --> 01:19:44.225]  I just hope that Trump is really measuring this and really thinking about his gut instincts when he's taking on all this different intel.
[01:19:44.445 --> 01:19:47.246]  Because look, you know, Chuck Schumer said it.
[01:19:47.626 --> 01:19:48.606]  Other government officials said it.
[01:19:48.926 --> 01:19:51.327]  The intelligence agencies are going to screw you, Trump.
[01:19:51.527 --> 01:19:52.107]  They told him it.
[01:19:52.167 --> 01:19:52.707]  They told you.
[01:19:52.948 --> 01:19:55.508]  The intelligence agencies are going to screw you, Trump.
[01:19:55.768 --> 01:19:57.229]  Six ways of Sunday is what they said.
[01:19:57.309 --> 01:19:59.609]  One might say the intelligence community is going to kill you.
[01:20:01.070 --> 01:20:01.910]  Yeah, that was Philip Mudd.
[01:20:03.337 --> 01:20:22.647]  I would just say, we have to war game this, we have to analyze it, and at the end of the day, we have to realize geographically where we're at, where our alliances lead, and what we're going to do moving forward.
[01:20:23.571 --> 01:20:26.293]  And I think a lot of people are comfortable in their own lives.
[01:20:26.373 --> 01:20:29.455]  I think a lot of people are not prepared to deal with this.
[01:20:29.495 --> 01:20:31.837]  They're prepared to observe it, like entertainment.
[01:20:32.197 --> 01:20:33.738]  But make no mistake, this is war.
[01:20:34.558 --> 01:20:35.319]  And it's a big war.
[01:20:35.339 --> 01:20:43.544]  Because what we're not hearing anything is from the Chinese, the Russians, and also the former president of the United States, Barack Hussein Obama.
[01:20:44.245 --> 01:20:47.007]  And to me, I take that as a direct threat.
[01:20:48.428 --> 01:20:51.950]  And I'm a guy who analyzes things of this nature, and
[01:20:53.954 --> 01:21:01.282]  I do that for a living, and I can just tell you from the sources I have, from the dots I've connected, this is a very big problem.
[01:21:02.403 --> 01:21:03.104]  I think we all agree.
[01:21:03.124 --> 01:21:05.186]  I think we all feel it as well.
[01:21:06.307 --> 01:21:07.809]  It's natural, folks.
[01:21:07.829 --> 01:21:08.449]  We're all connected.
[01:21:08.489 --> 01:21:10.051]  We're all humans here, and we can all feel it.
[01:21:13.652 --> 01:21:14.834]  I don't know if Trump is going to speak tonight.
[01:21:14.854 --> 01:21:16.577]  They've said that the White House is considering it.
[01:21:16.658 --> 01:21:19.763]  Trump is meeting with the National Security Advisors right now.
[01:21:19.783 --> 01:21:23.811]  There might be more attacks in route if he's postponed the speech.
[01:21:23.871 --> 01:21:25.434]  He might be in the Situation Room as we speak.
[01:21:26.172 --> 01:21:27.733]  Well, that's because more attacks are coming in.
[01:21:27.773 --> 01:21:29.535]  Iran has announced them and they've now been launched.
[01:21:30.595 --> 01:21:30.976]  All right.
[01:21:31.036 --> 01:21:40.022]  Well, Zach, thank you for your great analysis and please be able to join us tomorrow during David Knight's show or during mine or during Owen's here at InfoWars.com.
[01:21:40.103 --> 01:21:41.423]  Thank you so much and God bless you.
[01:21:41.444 --> 01:21:43.145]  And if anything happens tonight, you've got the hotline.
[01:21:43.185 --> 01:21:45.126]  We'll call you if you want to pop back in.
[01:21:45.166 --> 01:21:45.467]  Thank you.
[01:21:46.287 --> 01:21:46.848]  Absolutely, guys.
[01:21:46.868 --> 01:21:47.168]  Thank you.
[01:21:47.848 --> 01:21:48.109]  All right.
[01:21:50.040 --> 01:21:53.681]  Again, we can sit here and Monday morning quarterback this all day long.
[01:21:54.442 --> 01:21:59.624]  Bottom line, Iran has been working with the Deep State since they were put in power in 1979, and that was above
[01:22:04.969 --> 01:22:10.172]  The president was above Jimmy Carter, was above Reagan.
[01:22:10.432 --> 01:22:20.218]  There's a lot of sophisticated groups who aren't above the electorate, aren't above the president, but they operate in the bureaucracy, just like Trump can't get rid of John Brennan's security clearance.
[01:22:20.238 --> 01:22:21.239]  They just say, F you!
[01:22:22.039 --> 01:22:29.424]  And the way they built the NSA system starting in the 90s, as the designer of it is exposed, William Binney, on this very show and in this very chair where I sit,
[01:22:30.950 --> 01:22:35.395]  He was like, wait, you're now changing it where anybody with a security clearance can get in and not be seen?
[01:22:35.415 --> 01:22:41.561]  That opens up the surveillance grid to bring us down, not to keep us safe, even if you're going to go for a surveillance grid.
[01:22:42.002 --> 01:22:43.904]  And then he went into the fact that the Deep State
