[00:00:00.550 --> 00:00:01.190]  Ha ha ha ha!
[01:37:38.858 --> 01:37:40.059]  I don't know what that is.
[01:37:40.059 --> 01:37:42.060]  It's propaganda.
[01:37:42.060 --> 01:37:43.121]  It's total contempt.
[01:37:43.121 --> 01:37:44.462]  It's total hubris.
[01:37:44.462 --> 01:37:45.582]  Yes, it is.
[01:37:45.582 --> 01:37:46.243]  It's impunity.
[01:37:48.328 --> 01:37:51.209]  Well, you mentioned that you said that we were a non-profit.
[01:37:51.209 --> 01:37:58.772]  I want to update you on that because we stripped the non-profit status away from, we ourselves did, from black box voting in January of this year.
[01:37:58.772 --> 01:38:00.313]  And there's a reason for that.
[01:38:00.313 --> 01:38:05.635]  As a 501c3, I was not permitted to say anything that could help or hurt a candidate.
[01:38:05.635 --> 01:38:08.656]  And I knew coming into this year that
[01:38:09.494 --> 01:38:16.656]  I could not have that restriction on me, so we basically stripped that out, and we are operating as a full proprietorship right now.
[01:38:16.656 --> 01:38:30.278]  I'm running it, and I'm doing the exact same work, but let me tell you a little bit partisan, but I don't really care, you know, it's not about the candidates and which one wins, but it's about the process, right?
[01:38:30.278 --> 01:38:33.119]  But one thing that I have noticed with the Clinton machine
[01:38:34.060 --> 01:38:37.222]  Is that they telegraph what they're going to do.
[01:38:37.222 --> 01:38:41.866]  They build a media narrative around it so people will accept the result.
[01:38:41.866 --> 01:38:53.317]  And so one thing that has alarmed me very much is that I've been watching a media narrative that basically is targeting Georgia, Utah, and now Alaska.
[01:38:53.317 --> 01:38:58.701]  Indicating that those are in play and they might go, you know, might reverse trend and go for Clinton.
[01:39:00.006 --> 01:39:13.290]  Georgia, Utah, and Alaska are some of the very few states who are 100% using this system with the fractional count, and each one is controlled by one central power.
[01:39:14.409 --> 01:39:26.357]  So, knowing what I know about what this system can do, if they said, if this particular GEMS system was going to be used statewide, which states would it be?
[01:39:26.357 --> 01:39:27.818]  There's only four.
[01:39:27.818 --> 01:39:31.320]  There's Georgia, Utah, Alaska, and Mississippi.
[01:39:31.320 --> 01:39:32.341]  That's it.
[01:39:32.341 --> 01:39:37.565]  So, to see three of the four suddenly saying they're in play, what a surprise.
[01:39:37.565 --> 01:39:39.886]  They haven't been for years and years, but now they're in play.
[01:39:39.886 --> 01:39:43.929]  That telegraphs to me that they plan to take those states, or try.
[01:39:44.653 --> 01:39:47.034]  You know, Bev, I'm not just saying this.
[01:39:47.034 --> 01:40:04.022]  It's so amazing to talk to somebody who's so immersed in this, and of course was a storied, very successful fraud investigator previous to taking this on, to just be able to have you on and see how astute you are, because almost everybody else I talk to in the media or in research doesn't get it.
[01:40:05.040 --> 01:40:05.421]  I don't know.
[01:40:19.259 --> 01:40:41.865]  Going to go for Hillary, and as you said, you're more of a liberal, but a classical liberal, a real liberal, the type of liberal I respect that tells the truth no matter what, so I don't want to put words in your mouth, but as a liberal, I mean, is it not clear that Hillary and the media are trying to sell the idea that there is an election fraud and that Trump's going to lose by a landslide when the polls and everything else show something opposite?
[01:40:42.421 --> 01:40:43.641]  Let me put it this way.
[01:40:43.641 --> 01:40:51.984]  Of course, things have been very surprising of late, but if she is still viable in any way, whether or not she wins, she will win.
[01:40:51.984 --> 01:40:54.565]  Wow, please say that again.
[01:40:54.565 --> 01:40:56.726]  Whether or not she wins, she will win.
[01:40:57.978 --> 01:41:03.921]  Now, she may be removed from office afterwards, and as you may recall, Richard Nixon was right in the middle.
[01:41:03.921 --> 01:41:09.704]  He had been four months into Watergate scandals, and was re-elected and removed from office later.
[01:41:09.704 --> 01:41:19.749]  But what's so disturbing about that is, you know, there's actually some Republican elites who might prefer getting her in and removing her from office.
[01:41:20.726 --> 01:41:23.750]  Oh, of course, of course, of course.
[01:41:23.750 --> 01:41:25.813]  Of course, exactly, exactly.
[01:41:25.813 --> 01:41:28.356]  The whole power structure is against Trump.
[01:41:28.356 --> 01:41:34.924]  I mean, whether he's perfect or good or bad, I mean, if we claim we're against the corrupt power structure, then how could we not be for Trump?
[01:41:34.924 --> 01:41:36.706]  I mean, I'm sorry.
[01:41:36.706 --> 01:41:39.149]  Well, you know, and I really feel like this is a
[01:41:40.858 --> 01:41:43.039]  I'll say this as well.
[01:41:43.039 --> 01:41:57.706]  Whatever anyone thinks about the candidate, I will say that when he has brought to the front the issue of tampering with elections, it's one of the most important services that could have been done in the United States ever.
[01:41:58.940 --> 01:42:03.561]  Really important, because it was taboo for the media to talk about it.
[01:42:03.561 --> 01:42:05.342]  And it forced them to talk about it.
[01:42:05.342 --> 01:42:07.983]  Now, they put a whole bunch of, you know, happy faces on it.
[01:42:07.983 --> 01:42:10.103]  Well, it can't be done, because blah, blah, blah, blah, blah.
[01:42:10.103 --> 01:42:14.205]  Which was kind of nonsense, but it forced it out into the public, into the open.
[01:42:14.205 --> 01:42:28.289]  And I think, you know, that's kind of the beauty of actually having the real public actually pick their candidate, is because you may, you may get someone who at, you know, at first glance, you kind of go, eh, I don't know about that.
[01:42:28.669 --> 01:42:34.991]  But it can make the pendulum start to go back the other direction when that happens.
[01:42:34.991 --> 01:42:39.993]  And I just think that that, that alone was just so important.
[01:42:39.993 --> 01:42:55.739]  Because we cannot, I mean, if not now, then sometime if we keep doing these unauthenticatable mystery elections, there will be a perfect storm and there could be something that becomes very destabilizing.
[01:42:55.739 --> 01:42:57.019]  We need to solve this problem.
[01:42:57.967 --> 01:43:03.690]  Bev Harris, I tell you, pure Veritas from blackboxvoting.org, founder now.
[01:43:03.690 --> 01:43:08.733]  It is a profit think tank for free speech, thinking more effective.
[01:43:08.733 --> 01:43:11.074]  So be sure to go to that site and support her work.
[01:43:11.074 --> 01:43:12.535]  No one on the left, no one on the right.
[01:43:13.576 --> 01:43:22.900]  No one internationally cannot say she is the highest respected for her integrity, whether it was on HBO or NPR or Vice or CNN or Fox News.
[01:43:22.900 --> 01:43:25.621]  Everyone has to admit this woman goes where the story is.
[01:43:25.621 --> 01:43:27.002]  She exposes Republicans.
[01:43:27.002 --> 01:43:28.462]  She exposes Democrats.
[01:43:28.462 --> 01:43:29.323]  She exposes it all.
[01:43:29.323 --> 01:43:32.124]  And you just heard her in deep research.
[01:43:32.124 --> 01:43:41.028]  Fraction magic voting going on in key states where they can remotely at the Central Tabulation Center, shave the votes, reprogram it,
[01:43:42.065 --> 01:43:43.287]  And then hide it.
[01:43:43.287 --> 01:43:46.552]  Total proof these election machines are Pandora's box.
[01:43:46.552 --> 01:43:47.694]  Absolutely foisted.
[01:43:47.694 --> 01:43:49.938]  The establishment wants us to be asleep.
[01:43:49.938 --> 01:43:51.621]  To not know this is happening.
[01:43:51.621 --> 01:43:54.165]  But just covering this today, I want to thank DrudgeReport.com.
[01:43:55.572 --> 01:43:57.133]  We're caring about our elections.
[01:43:57.133 --> 01:44:03.315]  It's top-linked, middle-column, red-linked, How America's Elections Are Hacked, Missing, Linked, Discovered, Vote Fraud Expert.
[01:44:03.315 --> 01:44:05.716]  Bev Harris details it.
[01:44:05.716 --> 01:44:09.698]  It is now up there on Drudge.
[01:44:09.698 --> 01:44:15.861]  Quite frankly, the article is important, the video is powerful, but I think this interview is even more illuminating.
[01:44:15.861 --> 01:44:20.283]  I mean, 21 years on air, I am having trouble actually talking at this point.
[01:44:21.303 --> 01:44:22.725]  That's so incredible.
[01:44:22.725 --> 01:44:39.624]  If people haven't seen the video, if they just tuned in to what Bev Harris was saying, I'm going to add a link to the article that's on Drudge, and I'm going to tweet right now, that real Alex Jones, you guys can tweet, that a top election expert is exposing smoking gun of election fraud on air now.
[01:44:40.345 --> 01:44:57.276]  I mean, because I agree with her that the elite are preparing everyone for Trump to lose, even though she's way behind, even though they're adding 9 points, 12 points, 15, 20 points in the samples, even though every Democrat I know, I mean, folks, almost every Democrat I know now in the last two weeks says they're voting for Trump.
[01:44:57.276 --> 01:44:58.917]  It's happening all over the country.
[01:44:58.917 --> 01:45:00.038]  I can't believe it now.
[01:45:00.498 --> 01:45:03.300]  I mean, I would get hissed at wearing a Trump shirt six months ago.
[01:45:03.300 --> 01:45:05.061]  Now, people come over and say, you know what?
[01:45:05.061 --> 01:45:05.701]  She is a crook.
[01:45:05.701 --> 01:45:06.662]  I'm going for him.
[01:45:06.662 --> 01:45:08.643]  She robbed it from Bernie Sanders.
[01:45:08.643 --> 01:45:16.509]  And so, I think there's a huge landslide for Trump, and I think she's right, looking at the pre-narrative, how they're getting everybody ready for him to lose in these key states.
[01:45:16.509 --> 01:45:18.830]  I think those are the states we watch.
[01:45:18.830 --> 01:45:21.132]  So, Bev Ares, you've got the floor for five minutes.
[01:45:21.132 --> 01:45:24.974]  A lot of the people tuning in right now, recap the incredible smoking gun.
[01:45:24.974 --> 01:45:25.515]  This isn't like
[01:45:26.255 --> 01:45:31.836]  You got the code to Diebold and proved they could cheat, and then went back and looked at some of the paper ballot evidence not matching.
[01:45:31.836 --> 01:45:35.317]  It's not like you caught, you know, the programmers admitting they were stealing it.
[01:45:35.317 --> 01:45:48.039]  You have absolute proof on how they're able to do it all over the country, built into it, built into it, so they could... You have discovered the built, crafted backdoor.
[01:45:48.039 --> 01:45:51.180]  Not some rat hole where they could, you know, maybe do something.
[01:45:51.180 --> 01:45:53.500]  You have discovered the smoking gun.
[01:45:54.659 --> 01:45:58.243]  Yeah, and let me tell you who put it in there, okay?
[01:45:58.243 --> 01:46:05.310]  When Benny Smith found this, at first, you know, he said, well, you know, I said, well, maybe it's just in Memphis, where you are.
[01:46:05.310 --> 01:46:08.113]  No, no, I got all my databases, it was in all my databases.
[01:46:08.113 --> 01:46:14.360]  And then he pointed me to some programmer emails, and following those and some other documents,
[01:46:16.323 --> 01:46:17.844]  That date, they put it in there.
[01:46:17.844 --> 01:46:19.524]  Now that date disturbed me very much.
[01:46:19.524 --> 01:46:41.875]  It was in June 2001, because I knew that who controlled the company back then was a person who had been convicted of 23 counts of computer fraud and had formerly worked for, you can't make this stuff up, formerly employed by Brad Crowe, who was the head of the Watergate Plumbers Unit under Nixon.
[01:46:41.875 --> 01:46:44.616]  This, okay, I still have people going, well it could be you.
[01:46:47.765 --> 01:46:51.487]  Well, again, I want to come back to the fact that the solution is already available to us
