[00:00.000 --> 00:26.000]  Now I know parents out there anxiously waiting for a vaccine for children ages 5 to 11.
[1:30:48.000 --> 1:30:57.000]  It's amazing. If you haven't tried DNA Force Plus, you really should, and for those of you that love it, it's back in stock 40% off exclusively at infowarstore.com.
[1:30:57.000 --> 1:31:19.000]  DNA Force Plus.
[1:31:28.000 --> 1:31:31.000]  It's been an incredible experience to work with you over the years.
[1:31:31.000 --> 1:31:35.000]  And as crazy your things are, I want to keep working into the future.
[1:31:35.000 --> 1:31:38.000]  But again, that's really up to you and up to God.
[1:31:38.000 --> 1:31:43.000]  So please, I hope God works through you and puts a message in your heart to support us.
[1:31:43.000 --> 1:31:46.000]  But again, that's up to you and your relationship with God.
[1:31:46.000 --> 1:31:50.000]  I just want to thank you all for the years of support you've given us and what you've done.
[1:31:50.000 --> 1:31:57.000]  And just ask you again to pray to God and ask what God's vision is for you, and hopefully God will touch your heart to continue to support InfoWars.
[1:31:57.000 --> 1:32:26.000]  God bless.
[1:32:27.000 --> 1:32:40.000]  So please take advantage of sales we're running for one week only.
[1:32:40.000 --> 1:32:43.000]  There's only one week left from October 11th for seven days.
[1:32:43.000 --> 1:32:52.000]  Kicks off October 11th on things like DNA Force Plus at 40% off, Winter Sun at 50% off, Ultra 12 at 50% off, and more.
[1:32:52.000 --> 1:32:58.000]  At InfowarsStore.com, one week left, check out these incredible deals.
[1:33:22.000 --> 1:33:29.000]  Listening to the Alex Jones show. And now your host, Owen Troyer.
[1:33:29.000 --> 1:33:32.000]  I've got a lot of other big news that I got to cover here.
[1:33:32.000 --> 1:33:38.000]  And this COVID vaccine news is quite frankly just getting me to go a little crazy here.
[1:33:38.000 --> 1:33:41.000]  So I want to try to finish this up and move on.
[1:33:41.000 --> 1:33:44.000]  Thomas Massey just put out this hypothetical on Twitter.
[1:33:44.000 --> 1:34:00.000]  And I want to explain something here that if you've thought of something in your head, most likely some form of a government entity or the one world government or the UN or whatever you want to say has thought of it too.
[1:34:00.000 --> 1:34:02.000]  So Thomas Massey puts out this hypothetical.
[1:34:02.000 --> 1:34:05.000]  He says,
[1:34:05.000 --> 1:34:25.000]  Ah, it would also be hard to prove this happened.
[1:34:25.000 --> 1:34:32.000]  You don't think that the administrators of this vaccine and the people that are making it mandatory haven't thought of that.
[1:34:32.000 --> 1:34:35.000]  Of course they have.
[1:34:35.000 --> 1:34:38.000]  Of course they have.
[1:34:38.000 --> 1:34:44.000]  That's why I guarantee you, and again, this is a conversation I should probably have with a doctor.
[1:34:44.000 --> 1:34:48.000]  Maybe we'll get one on the war room or something next week.
[1:34:48.000 --> 1:35:03.000]  To probably do that, because I got some questions that need to be answered now as we're learning more about this, but I guarantee you there's already something in that vaccine that they can trace in your blood that will let them know if you've actually had it or not.
[1:35:03.000 --> 1:35:07.000]  Guarantee it.
[1:35:07.000 --> 1:35:22.000]  And we already pretty much have that confirmed without them actually admitting it where people have done blood tests on the vaccinated versus the non vaccinated and all kinds of tests of vaccinated versus non vaccinated.
[1:35:22.000 --> 1:35:26.000]  And it's easy to tell who's been vaccinated and who hasn't.
[1:35:26.000 --> 1:35:42.000]  And then when you have all these different scientists, whether it's in Germany or the United States that have done deep research on the ingredients of the vaccine, just just putting the juice under the microscope and they find all kinds of foreign contaminants and all kinds of foreign objects and agents and they just have no idea what it is.
[1:35:42.000 --> 1:35:45.000]  There's all kinds of theories about what they might be, but nobody really knows.
[1:35:45.000 --> 1:35:46.000]  So that's now in your body.
[1:35:46.000 --> 1:35:48.000]  That's now in your bloodstream.
[1:35:48.000 --> 1:36:03.000]  So it might be a microchip or a tracking device, I'm not saying that, but it's something it's something so I guarantee you the makers of this vaccine and the people that want to take over the world with medical tyranny.
[1:36:03.000 --> 1:36:09.000]  I guarantee you that they already know they already have a way to find out if you've taken this vaccine or not.
[1:36:09.000 --> 1:36:18.000]  There's just a report I did on the war room, doctors shocked at blood test results from vaccinated individuals. We also uploaded the entire video on the war room channel.
[1:36:18.000 --> 1:36:20.000]  It's got almost half a million views needs 10 million.
[1:36:20.000 --> 1:36:31.000]  And so they can already do blood test on you with with just normal blood test results and they can find out just just based off of stuff that would build an immune system.
[1:36:31.000 --> 1:36:36.000]  If you have a deficient immune system, then they know you've taken the vaccine.
[1:36:36.000 --> 1:36:43.000]  That's just more of a scientific measurable, not necessarily an individual object or something that might be in the vaccine.
[1:36:43.000 --> 1:36:49.000]  There might be that too, because we've seen the microscopic images of the vaccine juice.
[1:36:49.000 --> 1:36:59.000]  So just understand if Thomas Massey or you can think, hey, which is a pretty easy thought pattern.
[1:36:59.000 --> 1:37:01.000]  Hey, why don't I just pretend to get the vaccine?
[1:37:01.000 --> 1:37:04.000]  Why don't I just find a doctor to pretend to get me the vaccine?
[1:37:04.000 --> 1:37:14.000]  Believe me, the mandators of this vaccine, everybody involved with it, they've already thought of that and they already have a way around it.
[1:37:14.000 --> 1:37:23.000]  So they haven't fully exposed themselves on that yet, but they will someday they will someday when they do the mandates.
[1:37:23.000 --> 1:37:29.000]  And oh, someone and some situation says, yeah, I've taken the vaccine and then they do a test to see if they've actually had it.
[1:37:29.000 --> 1:37:34.000]  And they'll say, nope, you didn't take the vaccine. We just touched your blood. You don't have what's in it.
[1:37:34.000 --> 1:37:39.000]  And then that'll be man. And see, that'll be a massive awakening when that happens.
[1:37:39.000 --> 1:37:41.000]  And I do believe that will happen eventually.
[1:37:41.000 --> 1:37:51.000]  Now, I want to go to a clip here of Biden because this is just it's just unbelievable that he would say something like this.
[1:37:51.000 --> 1:37:54.000]  But you know, he's not all there. So I guess it makes sense.
[1:37:54.000 --> 1:37:59.000]  Here's Biden yesterday in clip 11 talking about the vaccine mandates.
[1:37:59.000 --> 1:38:05.000]  But you know, Biden said he wants to unite us. He doesn't want to divide us, but the vaccine mandates aren't meant to do that.
[1:38:05.000 --> 1:38:07.000]  Really? Here he is in clip 18.
[1:38:07.000 --> 1:38:09.000]  Let's be clear.
[1:38:09.000 --> 1:38:14.000]  Vaccination requirements should not be another issue that divides us.
[1:38:14.000 --> 1:38:19.000]  That's why we continue to battle the misinformation that's out there.
[1:38:19.000 --> 1:38:27.000]  And companies and communities are setting up there stepping up as well to combat these misinformation.
[1:38:27.000 --> 1:38:38.000]  Southwest Airlines at the head of the pilot, the head of the pilot's union and the CEO dismiss critics who claim vaccination mandates contributed to flight disruptions.
[1:38:38.000 --> 1:38:49.000]  School board members, religious leaders and doctors across the country are fighting misinformation and educating people about the importance of vaccines.
[1:38:49.000 --> 1:38:55.000]  All these efforts are going to help us continue moving the dial to eliminate this disease.
[1:38:55.000 --> 1:39:08.000]  Okay. Sorry, that's a 45 second clip that I've got to sit here and take notes on and boil down because it's amazing how much misinformation and lying can come from Joe Biden in less than a minute.
[1:39:08.000 --> 1:39:14.000]  So first he says mandates don't divide. What? A mandate doesn't divide.
[1:39:14.000 --> 1:39:19.000]  Even even a logical reasonable mandate would divide.
[1:39:19.000 --> 1:39:26.000]  Any sort of forced or coerced activity is going to divide. That is just inherent in mandates.
[1:39:26.000 --> 1:39:31.000]  So to sit here and say, hey, this mandate is not, it shouldn't divide. We shouldn't have another issue to divide us.
[1:39:31.000 --> 1:39:34.000]  That's exactly what it's going to do.
[1:39:34.000 --> 1:39:37.000]  Biden may or may not know that he's barely even able to read off the teleprompter.
[1:39:37.000 --> 1:39:40.000]  He's barely even able to stand up for five minutes anymore.
[1:39:40.000 --> 1:39:43.000]  But to sit there and say, oh, this mandate won't divide us.
[1:39:43.000 --> 1:39:52.000]  Even if the mandate made sense, let alone mandates that are totally illogical, let alone mandates that are part of an experimental drug,
[1:39:52.000 --> 1:39:56.000]  let alone mandates for a drug that doesn't even work.
[1:39:56.000 --> 1:39:58.000]  Of course, mandates are always going to divide.
[1:39:58.000 --> 1:40:01.000]  So boom, right out of the eights in a 45 second clip, that's total BS.
[1:40:01.000 --> 1:40:08.000]  Then he makes the false equivalency of talking about misinformation.
[1:40:08.000 --> 1:40:13.000]  And he says, oh, we're doing, you know, the mandate shouldn't divide.
[1:40:13.000 --> 1:40:16.000]  And it's because of misinformation on the internet.
[1:40:16.000 --> 1:40:18.000]  Total false equivalency.
[1:40:18.000 --> 1:40:21.000]  Any mandate is always going to have divisions and resistance.
[1:40:21.000 --> 1:40:29.000]  But then he somehow sidesteps that into saying, oh, this is because of misinformation on the internet.
[1:40:29.000 --> 1:40:33.000]  What misinformation? Notice how he doesn't cite any.
[1:40:33.000 --> 1:40:41.000]  They'll never cite the actual misinformation they're talking about because the misinformation is actually real factual information that they don't want you to see.
[1:40:41.000 --> 1:40:48.000]  Whether it's about ivermectin or whether it's about Fauci and Dasik and researching the gain of function.
[1:40:48.000 --> 1:40:50.000]  But of course, he's just reading off a teleprompter.
[1:40:50.000 --> 1:40:53.000]  But it's amazing how many lies you can cram into 45 seconds.
[1:40:53.000 --> 1:40:56.000]  Then of course, he's stumbling and fumbling and bumbling through his words.
[1:40:56.000 --> 1:40:59.000]  And then he just blatantly lies about Southwest Airlines.
[1:40:59.000 --> 1:41:03.000]  Again, he didn't write that speech.
[1:41:03.000 --> 1:41:05.000]  He's just reading off a teleprompter.
[1:41:05.000 --> 1:41:08.000]  Can you believe how evil these people are, though, to do that to Joe Biden?
[1:41:08.000 --> 1:41:10.000]  Again, I'm not standing up for Joe Biden.
[1:41:10.000 --> 1:41:12.000]  I don't think he's a good person.
[1:41:12.000 --> 1:41:22.000]  But what a blatant lie to say that the Southwest Airlines problem is not because of vaccine mandates when they've admitted it and everybody knows it.
[1:41:22.000 --> 1:41:25.000]  That's like putting something on Biden's teleprompter that says,
[1:41:25.000 --> 1:41:31.000]  the sun rises in the west and sets in the east and we're battling misinformation about that.
[1:41:31.000 --> 1:41:33.000]  The whole world knows that's a lie.
[1:41:33.000 --> 1:41:35.000]  But he's just reading off a teleprompter.
[1:41:35.000 --> 1:41:38.000]  So, I mean, it's almost a sick game that they're doing to Joe Biden at this point,
[1:41:38.000 --> 1:41:43.000]  making him tell these blatant lies for the public to hear.
[1:41:43.000 --> 1:41:47.000]  Saying, oh, the vaccine mandate was not the problem with the Southwest Airlines.
[1:41:47.000 --> 1:41:50.000]  Everybody knows that was the problem.
[1:41:50.000 --> 1:41:52.000]  The CEO came out and said as much.
[1:41:52.000 --> 1:41:55.000]  Multiple pilots have gone on record.
[1:41:55.000 --> 1:41:58.000]  Flight attendants have gone on record.
[1:41:58.000 --> 1:42:04.000]  And then he says, oh, it has nothing to do with the vaccine and it's not meant to divide us and we're battling misinformation.
[1:42:04.000 --> 1:42:06.000]  Lie, lie, lie, lie, lie.
[1:42:06.000 --> 1:42:21.000]  And yes, there is a video at infowars.com where a bunch of workers on a construction site were told that it was 300 plus workers told that they had to have the vaccine or they'd lose their job.
