[00:00:00.149 --> 00:00:01.049]  And so on.
[01:08:16.732 --> 01:08:25.756]  I was shocked when I discovered I could be inhaling these additives that can lead to coughing, wheezing, and shortness of breath, headaches, nausea, irritation of the skin, and mucous membranes.
[01:08:25.776 --> 01:08:26.036]  Yes.
[01:08:26.036 --> 01:08:27.879]  Now compare a Calben Pure Soap.
[01:08:27.879 --> 01:08:32.104]  All natural, earth friendly, no harsh chemicals, no animal testing.
[01:08:32.104 --> 01:08:37.110]  They're safe and you save 85% of the money you're spending on cleaning products now.
[01:08:37.110 --> 01:08:39.212]  Start saving over $1,000 a year for your family of four.
[01:08:40.954 --> 01:08:42.035]  Keep it natural.
[01:08:42.035 --> 01:08:50.439]  Call Calbin Pure Soap for a free catalog at 1-800-340-7091 or log on to 5starsoap.com.
[01:08:50.439 --> 01:08:56.481]  Try Calbin Pure Soaps and I'll bet you'll never use any other cleaning products again.
[01:08:56.481 --> 01:09:01.764]  Call 1-800-340-7091 for all your cleaning needs.
[01:09:01.764 --> 01:09:07.366]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[01:09:10.687 --> 01:09:12.628]  We are back live, ladies and gentlemen.
[01:09:12.628 --> 01:09:17.469]  I'm going to go over the evidence of FEMA camps and tell you exactly how they operate here right now.
[01:09:17.469 --> 01:09:24.371]  Then I'm going to get into how the media, the corporate media, now that this can't be denied anymore, is trying to spin it.
[01:09:24.371 --> 01:09:31.733]  First off, Exhibit A. Civilian Inmate Labor Camp Program.
[01:09:33.140 --> 01:09:36.542]  This is directly from the Army's own website.
[01:09:36.542 --> 01:09:37.363]  It's the top link.
[01:09:37.363 --> 01:09:44.747]  If you Google, Civilian Inmate Labor Camp Program, you will be on the Army's own website.
[01:09:44.747 --> 01:09:47.069]  In 2002, I published my book, Descent into Tyranny.
[01:09:47.069 --> 01:09:53.773]  I've been covering it since 97, when it was declassified, but I put it in my book, Descent into Tyranny.
[01:09:53.773 --> 01:10:01.938]  The only other media outlet that I have seen that ever covered this was Dr. Jerome Corsi,
[01:10:03.061 --> 01:10:05.043]  Civilian prisons coming soon to the U.S.
[01:10:05.043 --> 01:10:05.964]  Army base near you.
[01:10:05.964 --> 01:10:10.427]  Little notice regulation allows construction of military installations to hold civilian U.S.
[01:10:10.427 --> 01:10:11.548]  citizens on them.
[01:10:11.548 --> 01:10:14.811]  Well, they've been in the camps since 86.
[01:10:14.811 --> 01:10:16.713]  It was not declassified until 1997.
[01:10:20.572 --> 01:10:26.414]  The regulation revises an earlier civilian inmate labor camp signed December 9th, 1997 under the Clinton administration.
[01:10:26.414 --> 01:10:28.114]  That's when they declassified it.
[01:10:28.114 --> 01:10:32.676]  So, here is WorldNet Daily on that front.
[01:10:32.676 --> 01:10:36.657]  So, it is Army Regulation 210-35.
[01:10:36.657 --> 01:10:37.097]  Army Regulation 210-35.
[01:10:37.097 --> 01:10:37.338]  Now, in
[01:10:46.945 --> 01:10:54.770]  1986, under Rex 84, they opened 12 secret army camps to test if they could keep them secret while they held federal.
[01:10:54.770 --> 01:10:56.651]  Now they hold state prisoners as well.
[01:10:56.651 --> 01:11:03.695]  Federal prisoners would then be given a few years off, their sentence if they agreed to not tell family about it, and to go to the labor camps.
[01:11:03.695 --> 01:11:08.498]  It is a labor camp, and under the revised military rules, it allows any U.S.
[01:11:08.498 --> 01:11:11.300]  citizens to be put in it under forced labor.
[01:11:11.300 --> 01:11:14.142]  Now, this is only about
[01:11:17.466 --> 01:11:19.667]  It's exactly 30 pages long.
[01:11:19.667 --> 01:11:26.289]  I suggest you Google, even if you're listening on AM and FM shortwave satellite right now, just write notes.
[01:11:26.289 --> 01:11:29.590]  Civilian Inmate Labor Camp Program, even if you don't have a computer, go to the library.
[01:11:29.590 --> 01:11:30.670]  This is important.
[01:11:30.670 --> 01:11:32.351]  Write notes.
[01:11:32.351 --> 01:11:37.352]  Go check all of this out for yourself, okay?
[01:11:37.352 --> 01:11:42.914]  Now, that dovetails with the Houston Chronicle and other publications that reported
[01:11:44.597 --> 01:11:55.585]  First in January 7th in the Houston Chronicle 2006, that emergency FEMA camps were being built by a division of Halliburton, Kellogg, Brown and Root.
[01:11:55.585 --> 01:11:57.046]  Write that note, Google it.
[01:11:57.046 --> 01:12:01.469]  Because Beck says he's been doing months of research and they've been having trouble finding him.
[01:12:01.469 --> 01:12:09.355]  He's doing research, but he can't ever bring any facts, and he makes little jokes about, ooh, the government's going to get me, or, oh, I'm being censored on Fox and calls us conspiracy theorists.
[01:12:09.355 --> 01:12:13.958]  Okay, well here it is, Beck, and I know listeners for years have been sending you all this, so don't act like you don't know.
[01:12:15.615 --> 01:12:18.618]  Civilian Inmate Labor Camp Program.
[01:12:18.618 --> 01:12:21.920]  Now that dovetails with the new legislation introduced.
[01:12:21.920 --> 01:12:26.684]  The camps are already built, kind of like they already had the warrantless wiretapping for years.
[01:12:26.684 --> 01:12:29.207]  And when they got caught, they retroactively went and legalized it.
[01:12:30.017 --> 01:12:42.705]  The bill at these threat fusion centers, FEMA emergency centers in every county and city in the country, they're moving the National Guard in, paying for free space for the police, fire department, emergency management, under federal control.
[01:12:42.705 --> 01:12:47.429]  It says they're going to have the clergy response teams and community there to help the public as they go into the camp.
[01:12:47.429 --> 01:12:49.730]  Obama's going to build medical centers on these.
[01:12:49.730 --> 01:12:51.691]  They're going to advertise, it's fun to go to the camp.
[01:12:51.691 --> 01:12:55.774]  Like Germany, they didn't say we're taking you to a slave camp, a forced labor camp, and then a death camp.
[01:12:55.774 --> 01:12:59.877]  It was, oh, it's a place because you lost your homes, and you know, it's a refugee
[01:12:59.957 --> 01:13:01.840]  We're good to go.
[01:13:15.091 --> 01:13:16.912]  National Emergency Centers Act, H.R.
[01:13:16.912 --> 01:13:17.952]  645.
[01:13:17.952 --> 01:13:20.373]  New legislation authorizes FEMA camps in the U.S.
[01:13:20.373 --> 01:13:21.153]  Okay?
[01:13:21.153 --> 01:13:22.274]  There's the bill number.
[01:13:22.274 --> 01:13:22.734]  Gave it to you.
[01:13:22.734 --> 01:13:23.514]  In fact, we have this.
[01:13:23.514 --> 01:13:26.035]  Can we throw that up on screen for folks?
[01:13:26.035 --> 01:13:27.315]  And I'll give you over 100 articles.
[01:13:27.315 --> 01:13:30.076]  But, uh, new legislation authorizes FEMA camps in the U.S.
[01:13:30.076 --> 01:13:30.656]  There you go.
[01:13:30.656 --> 01:13:31.657]  That integrates with this.
[01:13:31.657 --> 01:13:34.238]  Now, they doubled these from 12 camps that are listed.
[01:13:34.238 --> 01:13:37.159]  You can go to them with people on them.
[01:13:37.159 --> 01:13:39.860]  People on YouTube have gone and shot to the wire and showed prisoners at them.
[01:13:39.860 --> 01:13:42.380]  And we've shot video of children being held in them.
[01:13:42.380 --> 01:13:43.401]  It's in, uh, in-game.
[01:13:44.266 --> 01:13:54.173]  You can go, uh, these are the 24 big ones, first 12, kept secret for 11 years, from 86 to 97, was declassified in 97, and now it's been radically expanded in 2005.
[01:13:54.173 --> 01:13:55.714]  Okay?
[01:13:55.714 --> 01:13:56.995]  There you have it right there.
[01:13:56.995 --> 01:13:59.417]  Absolute, total, complete proof.
[01:13:59.417 --> 01:14:02.099]  People working in them right now.
[01:14:02.099 --> 01:14:05.922]  Then we had the governor four years ago in Rhode Island.
[01:14:05.922 --> 01:14:07.023]  It was in the local news.
[01:14:08.464 --> 01:14:17.832]  In the Providence Journal and the local NBC affiliate, they said if you criticize the government, download music, this was in the bill, hundreds of other things, life in prison as under treason.
[01:14:17.832 --> 01:14:29.342]  There was another bill almost passed in Oregon under Senator Menace, you can Google that, Senator Menace, FEMA camp bill, and they said downloading music, protesting, life in prison in a forest labor camp.
[01:14:34.264 --> 01:14:37.905]  I mean, this is just off the charts, ladies and gentlemen.
[01:14:37.905 --> 01:14:42.966]  And when the Governor and others got confronted with this in Rhode Island, they said, well, the Feds told us to pass this.
[01:14:42.966 --> 01:14:48.228]  So, I just gave you the sources on that for everybody else that's out there.
[01:14:48.228 --> 01:14:53.209]  We told you Obama was going to set up a million-person domestic spy force, because he announced they would.
[01:14:53.209 --> 01:14:55.330]  The Pentagon had written this up decades ago.
[01:14:55.330 --> 01:14:56.150]  Clinton had pushed it.
[01:14:56.150 --> 01:14:59.471]  Bush had pushed it under divisions of AmeriCorps called Secure Corps.
[01:15:00.371 --> 01:15:10.559]  There were Philadelphia Daily News articles about how they were training 15-year-olds with M-16s in the public schools for warrant apprehension during martial law.
[01:15:10.559 --> 01:15:12.160]  That's one source on that.
[01:15:12.160 --> 01:15:16.043]  Defense Department announces civilian expeditionary workforce.
[01:15:16.043 --> 01:15:21.807]  This is a Steve Watson, Infowars.net story, but it's all linked to the bills and mainstream news.
[01:15:21.807 --> 01:15:24.949]  Defense Department Directive 1404.10.
[01:15:24.949 --> 01:15:25.830]  Again, write this down.
[01:15:25.830 --> 01:15:26.911]  Defense Department Directive 1404.10.
[01:15:31.064 --> 01:15:48.415]  And this is to establish a giant civilian military, as big as the military, a million person, and it says that you will be deployed under draft, it says that it's compulsory, domestically and internationally overseas, so dual use.
[01:15:48.415 --> 01:15:55.579]  Defense Department announces civilian expeditionary workforce, and then we have links throughout the article to the Department of Defense announcements.
[01:15:55.579 --> 01:15:57.120]  Outside of Congress, they've just done this.
[01:15:58.632 --> 01:16:00.213]  Here's the Washington Post.
[01:16:00.213 --> 01:16:03.296]  Pentagon to detail troops to bolster domestic security.
[01:16:03.296 --> 01:16:06.919]  Military expects to have 20,000 uniformed troops on the streets of the United States.
[01:16:06.919 --> 01:16:15.326]  Also in the Army Times, they announced that for PR purposes, they would have military, Army, and Marines running checkpoints for DUIs.
[01:16:15.326 --> 01:16:16.547]  You're not for drunks, are you?
[01:16:16.547 --> 01:16:19.069]  This is how they condition you to accept it.
[01:16:19.069 --> 01:16:25.174]  That they would also have them with the jaws of life, and it showed it on the Army own website, them helping cut people out of cars.
[01:16:26.428 --> 01:16:32.190]  Well, you're not against the military fighting forest fires, cutting people out of cars, doing drug interdiction, doing anti-terror.
[01:16:32.190 --> 01:16:34.251]  See, that's just the cover story.
[01:16:34.251 --> 01:16:38.893]  Now the Army War College admits, it's been all over the news, they're preparing to quote, engage the American people.
[01:16:40.117 --> 01:16:43.159]  And that their new mission under NORTHCOM is suppressing the American people.
[01:16:43.159 --> 01:16:45.721]  They're teaching police that there's new white Al-Qaeda.
[01:16:45.721 --> 01:16:47.622]  And that Americans are about to rebel nationwide.
[01:16:47.622 --> 01:16:48.943]  That's mainstream news.
[01:16:48.943 --> 01:16:51.045]  That they're preparing to crush the American people.
[01:16:51.045 --> 01:16:52.986]  Pentagon to detail troops.
[01:16:52.986 --> 01:16:53.847]  Zoom in on this camera.
[01:16:53.847 --> 01:16:55.688]  I'll use this as a close shot.
[01:16:55.688 --> 01:16:59.631]  Some of these articles you don't have on the computer in there.
[01:16:59.631 --> 01:17:05.975]  Pentagon to detail troops to bolster domestic security.
