[00:00.000 --> 00:01.200]  We'll protect voting rights.
[01:08:12.240 --> 01:08:17.920]  he went on to say as fast as i can he indefinitely did that i want to ship one third the size of a
[01:08:17.920 --> 01:08:24.320]  large british attack ship was on fire and sinking he tied it to the side the troops climbed over
[01:08:24.320 --> 01:08:29.040]  the marines climbed over they took the ship and before that happened as their ship sinking the
[01:08:29.040 --> 01:08:34.400]  british officer held over a bullhorn they had batteries back then it was a big bullhorn he held
[01:08:34.400 --> 01:08:41.520]  him and said give up now and we'll give you full amnesty surrender and john paul jones said surrender
[01:08:42.400 --> 01:08:45.680]  i have only begun to fight
[01:08:49.040 --> 01:08:54.080]  and that's what i tell my enemies and they get so angry about it i've never been happier
[01:08:54.080 --> 01:09:00.640]  here i've never been more engaged knowing i'm doing important work for humanity i'm not happy
[01:09:00.640 --> 01:09:07.200]  about all the bad things happening in the world but i am extremely at a cellular gut spiritual level
[01:09:08.160 --> 01:09:13.360]  i feel aligned with my ancestors i feel aligned with my family i feel aligned with my crew i feel
[01:09:13.360 --> 01:09:18.480]  aligned with god i just know i'm doing what i'm supposed to do and i'm as high as a kite
[01:09:18.480 --> 01:09:29.920]  my very cells are telling me good job we like you that's because my spirit's in there resonating
[01:09:29.920 --> 01:09:36.800]  through them so no matter how they demonize or attack no matter what fantastical stuff they
[01:09:36.800 --> 01:09:45.520]  announce oh you owe 2.75 trillion dollars you owe two trillion 750 million dollars it's just
[01:09:45.520 --> 01:09:50.880]  ridiculous how about quadrillion how about infinity money it's just all okay add infinity money
[01:09:51.600 --> 01:09:55.520]  in fact i joked with their billion dollar judgment i said why not a trillion why not 50
[01:09:55.520 --> 01:10:00.640]  trillion because it's it's a joke they're a joke and they filed in court by the way a few days ago
[01:10:01.200 --> 01:10:06.080]  he's being brazen and saying he won't pay the money to the court so we want you to
[01:10:06.080 --> 01:10:14.800]  just before his appeal seize all his assets i don't have anything you dumb asses
[01:10:16.960 --> 01:10:26.320]  i'm so ridiculous and it's a 395 page document they filed almost all of it has no relation to reality
[01:10:28.160 --> 01:10:31.040]  but but understand this and then get serious about it for about your calls
[01:10:31.040 --> 01:10:37.040]  they hate me because they hate populace and they hate strength and they hate you so remember that
[01:10:37.040 --> 01:10:42.240]  absolute hatred is you're they don't know who you are they just hate you in general but they
[01:10:42.240 --> 01:10:48.160]  know who i am and so all the hate you see for alex jones is the hate of this dying corrupt
[01:10:48.160 --> 01:10:55.280]  inbred disgusting establishment that's going down and you know the god works in mysterious
[01:10:55.280 --> 01:11:00.720]  ways and i haven't enjoyed the persecution in lies about me at a certain level but it's like
[01:11:00.720 --> 01:11:11.920]  that great song my way written for frank sinatra and you know he talks about regrets i've got a few
[01:11:12.640 --> 01:11:16.560]  but then again not enough to mention because when you start thinking about the bad things that
[01:11:16.560 --> 01:11:20.480]  happened they made you better that which doesn't kill you only makes you stronger that nichin
[01:11:20.480 --> 01:11:29.600]  thing and at the very end of the song to paraphrase it it's i took the blows i did it my way i didn't
[01:11:29.600 --> 01:11:36.880]  back down and that's really what all of this comes down to i mean i want to go back to your calls
[01:11:37.440 --> 01:11:42.400]  the fennel and we've got robert and tyland first i just loaded phone lines i'm gonna get to all of
[01:11:42.400 --> 01:11:47.920]  you but since i mentioned it go ahead and cue up my way i want to play it out to the break
[01:11:47.920 --> 01:11:54.800]  because the end part is so incredibly important he says now his tears subside
[01:11:54.800 --> 01:12:06.960]  i find it all so amusing and now his tears subside i find it all so amusing my enemies are a
[01:12:06.960 --> 01:12:11.360]  blessing this has been incredible this has all been turned to our advantage we are more informative
[01:12:11.360 --> 01:12:15.920]  and more influential than ever all of us together as a family because we didn't buy their propaganda
[01:12:15.920 --> 01:12:25.920]  and we didn't bow here's my way
[01:12:45.920 --> 01:12:55.920]  the record
[01:13:00.080 --> 01:13:04.240]  you know the truth is so good i sent the end of the song so let's get right to the end i uh
[01:13:05.120 --> 01:13:10.560]  you know what print me print me the lyrics from my way because they're just it's such poetry
[01:13:10.560 --> 01:13:16.000]  especially when you've been in the arena for most of your adult life and you've seen what
[01:13:16.960 --> 01:13:23.440]  what knowledge is what wisdom is because you can have knowledge but until you've had it's
[01:13:23.440 --> 01:13:27.520]  a lot of experience you learn how everything connects to everything else then you don't
[01:13:28.080 --> 01:13:33.360]  get that wisdom and i don't claim to be you know obi-wan kanobi or gandalf the gray here
[01:13:33.360 --> 01:13:38.720]  i'm just saying that everything's nothing but good no even the horrible bad things that
[01:13:38.720 --> 01:13:42.960]  happen i understand it's all part of god's plan and i don't ever get mad at god i just respect god
[01:13:42.960 --> 01:13:49.040]  and i whatever god's plan is i'm just here to do it and be as best i can i'm mad at myself that
[01:13:49.040 --> 01:13:53.840]  i'm too weak to actually carry out god's plan properly uh but i know you're the same way you
[01:13:53.840 --> 01:13:59.840]  know we're very humble people and that's why god has given us this whole operation all of you the
[01:13:59.840 --> 01:14:06.240]  listeners and viewers the crew our sponsors our affiliates everybody god gave us this power at this
[01:14:06.240 --> 01:14:15.600]  time and appointed us a billion years ago to be on the deck of this ship right now going into these
[01:14:15.600 --> 01:14:23.760]  waters to be the leaders standing up to evil god has risen us up god has trained us i now look back
[01:14:23.760 --> 01:14:30.160]  on my whole life and everything i've gone through the attacks and the pain and all of it was literally
[01:14:30.160 --> 01:14:35.120]  preparing me now because if they put all this weight on me 30 years ago i couldn't have took it
[01:14:35.120 --> 01:14:40.640]  or 20 years ago or even 10 years ago or five years ago now i can basically take anything
[01:14:41.760 --> 01:14:46.080]  as long as you're with me and if i'm taken out of the fight man i've had one hell of a run
[01:14:47.040 --> 01:14:51.680]  they can kill me they can put me in prison they do anything they want they're gonna destroy my
[01:14:51.680 --> 01:14:55.680]  family they're gonna destroy it anyways their soul's going forever all that matters
[01:14:55.680 --> 01:15:03.440]  it's a commitment more than i could chew bring it up
[01:15:03.440 --> 01:15:28.000]  all right let's move back into your phone calls and all the news and moving from some
[01:15:28.000 --> 01:15:35.200]  beautiful voice as blue eyes we got to talk about all those blue eyes and beautiful brown eyes that
[01:15:35.200 --> 01:15:40.160]  will never be seen by the lot of day that were stuffed out by the billions on our planet and by
