[00:00:05.875 --> 00:00:10.418]  July 4th!
[01:04:21.450 --> 01:04:29.654]  And it's like four-year-old girls in SS uniforms, dead, laying on beds with their legs partially spread.
[01:04:31.510 --> 01:04:34.711]  And then the other one is dead babies from car wrecks.
[01:04:34.711 --> 01:04:37.633]  And this is Arnold's favorite artwork.
[01:04:37.633 --> 01:04:40.814]  I mean, that's who these people are.
[01:04:40.814 --> 01:04:45.416]  I mean, looking at it haunts me years later.
[01:04:45.416 --> 01:04:48.978]  Seeing what this guy's into.
[01:04:48.978 --> 01:04:52.179]  We'll be right back, ladies and gentlemen, on the other side of this quick break.
[01:04:52.179 --> 01:04:53.860]  I'm your host, Alex Jones.
[01:04:53.860 --> 01:04:55.280]  InfoWars.com.
[01:04:55.280 --> 01:04:56.261]  David Ikes, coming up.
[01:05:00.489 --> 01:05:02.791]  Hi, I'm Dr. Edward Grew.
[01:05:02.791 --> 01:05:10.215]  It took me 20 years of searching the globe to find the deposit of the highest purity iodine available.
[01:05:10.215 --> 01:05:21.043]  The new Survival Shield X2 is mined from 7,000 to 10,000 feet below the earth in pristine, environmentally clean conditions.
[01:05:21.043 --> 01:05:30.289]  The iodine crystals we use are extracted from an ancient 300 million plus year old deposit deep in the earth.
[01:05:31.009 --> 01:05:35.071]  It's the strongest nascent iodine on the market today.
[01:05:35.071 --> 01:05:38.833]  It delivers 650 micrograms per drop.
[01:05:38.833 --> 01:05:40.894]  Experience the new formula.
[01:05:40.894 --> 01:05:43.476]  Experience the ancient purity.
[01:05:43.476 --> 01:05:44.796]  Shield your family.
[01:05:44.796 --> 01:05:46.617]  Survival Shield X2.
[01:05:46.617 --> 01:05:49.779]  Available now at InfoWarsLife.com.
[01:05:49.779 --> 01:05:53.741]  X2 from InfoWarsLife.com or call toll free 888-253-3139.
[01:05:58.826 --> 01:06:01.048]  I've always believed in nutrition and herbs.
[01:06:01.048 --> 01:06:09.116]  Super Mill Vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[01:06:09.116 --> 01:06:16.304]  Sourced from powerful organic herbs harvested around the planet and then concentrated for maximum potency.
[01:06:16.644 --> 01:06:21.246]  I just received my male vitality about three days ago, and I must say, that is some good stuff.
[01:06:21.246 --> 01:06:31.869]  After consulting top doctors, nutritionists, pharmacists, and others, we have developed what I believe is the ultimate, non-GMO, organic, super male vitality formula.
[01:06:31.869 --> 01:06:38.011]  Super male vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[01:06:38.331 --> 01:06:40.613]  I jump out of bed ready to fight these criminals every day.
[01:06:40.613 --> 01:06:44.756]  I look forward to waking up and taking my super male vitality and get the day started.
[01:06:44.756 --> 01:06:46.697]  It's not just the super male vitality.
[01:06:46.697 --> 01:06:50.860]  All the products in Infowarslife.com are simply amazing.
[01:06:50.860 --> 01:06:57.805]  Visit Infowarslife.com today to secure your super male vitality and other powerful products from Infowarslife.
[01:06:58.812 --> 01:07:01.616]  Alex Jones here for InfoWars.com.
[01:07:01.616 --> 01:07:06.282]  In the month of July, we have got giant specials on everything at Madein1776.com.
[01:07:06.282 --> 01:07:08.305]  The already discounted Made in 1776 t-shirts are only $17.76.
[01:07:13.712 --> 01:07:13.892]  I think?
[01:07:33.959 --> 01:07:41.522]  Five months free right now when you get a membership at PrisonPlanet.tv for a limited time, only $39.95 a year.
[01:07:41.522 --> 01:07:45.404]  That's more than five months free off the regular price.
[01:07:45.404 --> 01:07:52.047]  Not just this July 4th weekend, but the entire month of July at MadeIn1776.com.
[01:07:52.047 --> 01:07:57.109]  Molon Labe, you can take my gun from my cold, dead hands.
[01:08:01.914 --> 01:08:04.659]  He's the T-Rex of political talk.
[01:08:04.659 --> 01:08:10.949]  Alex Jones on the GCN Radio Network.
[01:08:10.949 --> 01:08:16.257]  Headlines up on InfoWars.com on this Live Monday Worldwide Edition.
[01:08:19.121 --> 01:08:23.806]  95-year-old World War II veteran to death with beanbag rounds.
[01:08:23.806 --> 01:08:28.271]  Bill aiming at zero tolerance lunacy becomes law.
[01:08:28.271 --> 01:08:35.519]  If kids at public schools or elsewhere see that you have eaten a cookie and it looks like the shape of a gun, you won't be arrested.
[01:08:36.860 --> 01:08:40.082]  United Nations may soon be paying water bills in Detroit.
[01:08:40.082 --> 01:08:42.023]  That's up on Infowars.com.
[01:08:42.023 --> 01:08:45.105]  UK begins beta testing cashless society.
[01:08:45.105 --> 01:08:53.230]  Senator Feinstein says there will be plots to kill Americans because of the ISIS threat, publicly run and funded by her and her controllers.
[01:08:53.230 --> 01:08:57.432]  Cheney says another 9-11 coming, but far deadlier if you don't give up all your rights.
[01:08:57.432 --> 01:09:04.096]  Yes, he says, if we ask questions, if we debate this, yes, yes, don't say anything or terrorists will get you.
[01:09:05.396 --> 01:09:08.877]  Sounds like being held hostage to me.
[01:09:08.877 --> 01:09:20.362]  Hillary Clinton calls for harsh restrictions on alternative media, attacks the Drudge Report, and Bloomberg admits there's a vast liberal conspiracy of billionaire globalist meaning to try to pass gun control.
[01:09:21.954 --> 01:09:27.056]  They're not liberal or conservative, that's just how they divide their two controlled camps, folks.
[01:09:27.056 --> 01:09:41.640]  They are the globalist scourge, though you do have a libertarian-esque Tea Party move with UKIP here and the Tea Party in the United States, UKIP in England, where David Icke is, and then the Tea Party here in the United States, that is challenging global governance.
[01:09:41.640 --> 01:09:48.522]  You have the Prime Minister of Australia, who got voted in, promising to repeal the carbon tax that's really hurting the people.
[01:09:49.790 --> 01:09:51.611]  Introducing a bill to do just that.
[01:09:51.611 --> 01:10:01.674]  You have the Supreme Court ruling that the EPA needs to stop shutting down all the power plants because the people are getting upset.
[01:10:01.674 --> 01:10:04.374]  The globalist agenda is being exposed.
[01:10:04.374 --> 01:10:07.415]  Here's another headline out of the Columbia Journalism Review.
[01:10:07.415 --> 01:10:16.198]  Local cops can track your phone and they do it without warrants and the government doesn't want you to know how they do it through the Federal Threat Fusion Center.
[01:10:17.176 --> 01:10:22.522]  Again, they don't want to have a debate about the man behind the curtain.
[01:10:22.522 --> 01:10:36.799]  But, Toto's out there, love him or hate him, like David Icke and so many others have shocked people out of their stupor, out of their trance-like medical state.
[01:10:37.827 --> 01:10:41.588]  People grown up in front of television, on record, go pull up the studies.
[01:10:41.588 --> 01:10:43.689]  Get Alzheimer's, get brain disorders.
[01:10:43.689 --> 01:10:46.450]  Just type in, Alzheimer's television viewing.
[01:10:46.450 --> 01:10:50.792]  Or type in, brainwaves, lowered television.
[01:10:50.792 --> 01:10:52.973]  Or television, pessimism.
[01:10:52.973 --> 01:10:56.054]  It causes pessimism that then triples your chances of dementia.
[01:10:57.915 --> 01:11:00.676]  People are watching weaponized television.
[01:11:00.676 --> 01:11:09.221]  They're in a near trance-like state, with the chemicals in the food and the water exacerbating it as an adjuvant to accelerate that.
[01:11:09.221 --> 01:11:23.749]  And somebody like David Icke, with all of his best-selling books and his research, is able to flip a switch with a narrative, whether you agree with it or not, that so much of it is now revealed to be true, that he's able to get them out of their trance.
[01:11:25.160 --> 01:11:30.521]  You can say what you want about Infowars.com and the way I come off sometimes, but it doesn't matter.
[01:11:30.521 --> 01:11:34.402]  It's real, it's primitive, it's human.
[01:11:34.402 --> 01:11:40.103]  Toto is just a little dog, but is able to pull the curtain back and show the controller.
[01:11:40.103 --> 01:11:46.705]  Who's projecting this big supreme being image up there as a giant floating phantasm.
[01:11:48.351 --> 01:11:51.154]  We're here not to even analyze the politics of it anymore.
[01:11:51.154 --> 01:11:53.016]  We've proven all this.
[01:11:53.016 --> 01:12:01.105]  We're here now to talk to those that are still conditioned and have pre-programmed conditioning.
[01:12:01.105 --> 01:12:06.031]  To understand that you are being controlled.
[01:12:07.265 --> 01:12:10.106]  And that where you're going is a very bad place.
[01:12:10.106 --> 01:12:17.007]  And the reason you feel powerless or the reason you're laughing even though you know you're controlled is because you've been preconditioned and that's artificial.
[01:12:17.007 --> 01:12:22.549]  That's an automatic response that has been programmed into you, literally.
[01:12:22.549 --> 01:12:27.250]  They had that perfected a hundred years ago with the psychology.
[01:12:27.250 --> 01:12:36.492]  Now it's so advanced, but it doesn't matter how advanced the mind control is, if you can step out of it, look at it from the outside,
[01:12:38.328 --> 01:12:47.352]  And realize that there's infinite love and infinite peace in the universe, and that the globalists aren't in even control of this planet fully.
[01:12:47.352 --> 01:12:53.655]  They're trying to get control, building an artificial construct to create a false consciousness, a false synthetic reality.
[01:12:53.655 --> 01:12:56.456]  They've been successful with some people, a hundred percent.
[01:12:56.456 --> 01:12:57.657]  Others, by degree.
[01:12:57.657 --> 01:13:00.258]  But there's a giant split happening.
[01:13:00.258 --> 01:13:05.260]  Now, either those accelerating their awakening, or those that are
[01:13:06.730 --> 01:13:14.416]  Falling deeper into the control and we shouldn't get mad at those people We should feel really sorry for them because it's like the body snatchers already got them.
[01:13:14.416 --> 01:13:30.608]  That's my allegory now joining us is the former world champ soccer goalie BBC News and sports presenter the former head of the Green Party until he traveled to Peru and I would liken it to Saul of Tarsus being a
[01:13:30.928 --> 01:13:32.690]  Knocked off his horse, literally.
[01:13:32.690 --> 01:13:41.380]  And again, this was 20 years ago, plus, seeing the world a different way.
[01:13:41.380 --> 01:13:45.925]  And some people see the world in a flash a different way, other people it's incremental.
[01:13:45.925 --> 01:13:47.446]  But David Icke...
[01:13:48.746 --> 01:13:48.846]  Yeah.
[01:14:06.587 --> 01:14:16.939]  Came in that early wave to not just challenging the New World Order and its political systems, but going deeper into the larger paradigm.
[01:14:16.939 --> 01:14:20.604]  And I've got to say, again, it's important to recognize trailblazers like David Icke.
[01:14:21.857 --> 01:14:31.580]  It's important to recognize this radio show and you, the listeners, who are just as important as I am, literally half the people I see on the street know who I am now, and most of them agree with us.
[01:14:31.580 --> 01:14:35.262]  Most of the military I talk to are listeners and agree with us.
[01:14:35.262 --> 01:14:42.584]  People are really waking up, and that shows the power I've had in 19 years, the power David's had in 20-plus years, the power you have.
[01:14:42.584 --> 01:14:44.805]  Where is the next David Icke, the next Alex Jones?
[01:14:46.778 --> 01:14:52.939]  You are, in your area, and it's about this journey and this animating contest.
[01:14:52.939 --> 01:15:00.601]  You see the wars breaking out, the famines, the dollar devaluation, the globalists are emerging, announcing their world government.
[01:15:00.601 --> 01:15:04.622]  They announced the United States of Europe with no sovereignty yesterday.
[01:15:04.622 --> 01:15:06.883]  That was in the Financial Times of London.
[01:15:06.883 --> 01:15:08.543]  So, it's all happening.
[01:15:08.543 --> 01:15:11.964]  David Icke, thank you so much for joining us from your TV studios.
[01:15:12.424 --> 01:15:13.206]  They're in London.
[01:15:13.206 --> 01:15:19.740]  I know you want to get into ISIS and the perfect model of problem reaction solution, but I want to do that in the next segment.
[01:15:19.740 --> 01:15:20.783]  The five minutes we've got.
[01:15:20.783 --> 01:15:23.007]  In fact, I'm going to skip this break so we have more time.
[01:15:24.349 --> 01:15:29.715]  I want you to break down where you think we are, using a football analogy, in the game.
[01:15:29.715 --> 01:15:42.429]  I'd say we were three or four goals behind, but now we've gotten three or four more goals, and we're neck and neck with a quarter left here, and we've got the initiative, but the enemy is going to strike back.
[01:15:42.429 --> 01:15:45.272]  Where do you say we are in this magical time?
[01:15:46.587 --> 01:16:06.290]  Well, I think that this whole ISIS situation in the Middle East is the start of a whole new stage from the point of view of the agenda and there's no doubt that more and more people are beginning to see through the cover stories because
[01:16:07.549 --> 01:16:09.410]  In the end, it's a perception deception.
[01:16:09.410 --> 01:16:11.352]  It's all a perception deception.
[01:16:11.352 --> 01:16:18.916]  It's programming a perception of reality that suits the agenda for you to have.
[01:16:18.916 --> 01:16:26.982]  So, in the Middle East at the moment, we've got a kind of great cocktail of perception deceptions.
[01:16:26.982 --> 01:16:31.044]  We've got the deception that this ISIS came out of nowhere, that it's
