[00:00:06.172 --> 00:00:07.074]  That's a hit.
[01:02:23.918 --> 01:02:28.159]  Judge orders hospital treat dying man who was in a coma on a respirator.
[01:02:28.159 --> 01:02:36.661]  Now he's out of the coma, but another judge has come out and said, well, you can't give him ivermectin, so he'll probably die.
[01:02:36.661 --> 01:02:39.561]  AP forced to issue correction on fake news about ivermectin.
[01:02:39.561 --> 01:02:41.642]  But that's what Jimmy Kimmel quoted right there.
[01:02:43.041 --> 01:02:49.648]  AP corrects Ivermectin fake news, only 2% poison calls, not 70% of the calls.
[01:02:49.648 --> 01:02:55.754]  And it goes on and on, Rolling Stone being a staged deal, being fake, none of it was true, not one person was sick.
[01:02:55.754 --> 01:03:03.722]  Here's all the big studies, use of Ivermectin in association with lower mortality in hospitalized patients with coronavirus disease.
[01:03:03.722 --> 01:03:05.744]  It was already around back then, the Ivermectin and COVID.
[01:03:07.822 --> 01:03:11.484]  2019 study, Ivermectin, Wonder Drip from Japan, the Human Use Perspective.
[01:03:11.484 --> 01:03:13.826]  That's from the NIH.gov.
[01:03:13.826 --> 01:03:16.127]  See that, Kim Kim?
[01:03:16.127 --> 01:03:17.167]  On and on and on.
[01:03:17.167 --> 01:03:24.551]  Study after study, after study, after study, after study, after study.
[01:03:24.551 --> 01:03:27.433]  The NIH, all of it.
[01:03:27.433 --> 01:03:29.834]  And the media banning doctors that try to talk about it.
[01:03:29.834 --> 01:03:31.655]  Total censorship, criminal activity.
[01:03:31.655 --> 01:03:33.076]  Let's finish up with Kimmel, here it is.
[01:03:35.814 --> 01:03:39.796]  ...other than Sandy Hook denier slash internet lunatic Alex Jones.
[01:03:39.796 --> 01:03:41.037]  You know what this is?
[01:03:41.037 --> 01:03:42.417]  This is ivermectin for humans.
[01:03:42.417 --> 01:03:44.358]  It won a Nobel Prize as an antiviral.
[01:03:44.358 --> 01:03:47.700]  And this is inhalable, or these are the tablet steroids.
[01:03:47.700 --> 01:03:48.460]  So let me show ya.
[01:03:48.460 --> 01:03:51.362]  I was gonna do this anyways earlier.
[01:03:51.362 --> 01:03:52.602]  See this?
[01:03:52.602 --> 01:03:53.363]  See this, Fauci?
[01:03:53.363 --> 01:03:54.403]  You see this, Bill Gates?
[01:03:54.403 --> 01:03:56.804]  I'm gonna kill those prions, you bastard murderers.
[01:03:56.804 --> 01:03:58.825]  Gonna hit them with a bio-weapon, you monster.
[01:03:58.825 --> 01:03:59.586]  You wanna suppress me?
[01:03:59.586 --> 01:04:01.207]  You wanna kill me, you son of a bitch?
[01:04:01.207 --> 01:04:02.387]  You f***ing demon?
[01:04:02.387 --> 01:04:03.268]  You think I'm easy to kill?
[01:04:04.704 --> 01:04:09.426]  Think I'm going to roll over to your crap?
[01:04:09.426 --> 01:04:12.188]  No!
[01:04:12.188 --> 01:04:15.730]  I've never seen someone that mad drink a Topo Chico before.
[01:04:15.730 --> 01:04:20.312]  It kind of came out of nowhere.
[01:04:20.312 --> 01:04:23.854]  Who would have guessed he'd wash it down with that?
[01:04:23.854 --> 01:04:29.616]  I would have thought maybe some kind of nacho-flavored Bang Energy drink, but nope, give me a Topo Chico.
[01:04:31.690 --> 01:04:33.251]  I'm not the only one back at work today.
[01:04:33.251 --> 01:04:37.194]  Jill Biden returned to the classroom after more than a year of teaching remotely.
[01:04:37.194 --> 01:04:41.458]  Dr. Biden is an English professor at Northern Virginia Community College.
[01:04:41.458 --> 01:04:47.623]  Believe it or not, she's the first First Lady in history to have a full-time job while living in the White House.
[01:04:47.623 --> 01:04:49.945]  Meanwhile, former First Lady... Alright, we'll be back, ladies and gentlemen.
[01:04:51.530 --> 01:04:54.754]  There are a lot of energy drinks and energy pills on the market.
[01:04:54.754 --> 01:04:59.480]  And of course, most of them work because if something doesn't work, people aren't going to reorder it.
[01:04:59.480 --> 01:05:01.002]  But they have side effects.
[01:05:01.002 --> 01:05:02.004]  They have chemicals.
[01:05:02.004 --> 01:05:09.673]  They have dyes in them that hurt your brain and hurt your cells and hurt your body in the process and leave you burnt out and hungover.
[01:05:10.334 --> 01:05:22.305]  InfoWars for years has consulted top developers and top labs to bring you BrainForce+, to bring you TurboForce, and other clean formulas that give you long, sustained, focused energy.
[01:05:22.305 --> 01:05:26.628]  Well now, we are introducing something that is at the next level.
[01:05:26.628 --> 01:05:28.190]  Multiple years in development.
[01:05:28.630 --> 01:05:31.052]  It is Brain Force Ultra.
[01:05:31.052 --> 01:05:39.199]  It is a liquid in a dropper and it is twice as strong as Brain Force Plus just in the natural caffeine department.
[01:05:39.199 --> 01:05:47.545]  Then it's got a bunch of other powerful herbs and compounds that will take your focus and your clarity to the next level with clean energy.
[01:05:47.545 --> 01:05:48.927]  And it funds the InfoWar.
[01:05:48.927 --> 01:05:51.248]  Exclusively available at InfoWarStore.com.
[01:06:02.836 --> 01:06:06.439]  Live, raw, and unfiltered.
[01:06:06.439 --> 01:06:24.872]  It's the Alex Jones Show!
[01:06:24.872 --> 01:06:27.513]  Unspeakable evil!
[01:06:27.513 --> 01:06:32.297]  Fauci admitted to creating doomsday virus gain-of-function weapon
[01:06:33.834 --> 01:06:34.775]  I should probably change that headline.
[01:06:34.775 --> 01:06:37.456]  I know I wrote it for the live show feed today.
[01:06:37.456 --> 01:06:38.457]  Unspeakable Evil!
[01:06:38.457 --> 01:06:43.380]  Fauci admitted to creating doomsday virus gain-of-function weapon.
[01:06:43.380 --> 01:06:47.142]  Let's just add weapon, or bioweapon, in 2012.
[01:06:47.142 --> 01:06:53.605]  And I already read that document, showed you the video clips, showed you documents from a four-year lawsuit by The Intercept.
[01:06:53.605 --> 01:06:57.127]  That is just incredible.
[01:06:57.127 --> 01:06:59.669]  I really like Greenwald.
[01:07:01.041 --> 01:07:04.962]  He left the Intercept, but the Intercept still does an incredible job.
[01:07:04.962 --> 01:07:10.183]  FOIA released Fauci-funded coronavirus, tumeric coronavirus, in Wuhan.
[01:07:10.183 --> 01:07:16.464]  But we just played a video of him admitting they created a gain-of-function in 2012 with a quote, doomsday flu.
[01:07:16.464 --> 01:07:19.545]  That video is also up on Infowars.com.
[01:07:19.545 --> 01:07:21.165]  I mean, this is just massive.
[01:07:21.165 --> 01:07:30.047]  And listen, I'm on Rand Paul because he's the only one that's done anything about this and said you should be criminally investigated.
[01:07:31.613 --> 01:07:35.796]  But the FBI has been basically overseeing this since Obama got in.
[01:07:35.796 --> 01:08:00.352]  I mean, I remember in 2006, Dr. Eric Pionka, the head of the UT Biology Department, who was on the UT website in his bio, this is in my film, Endgame, it's in a bunch of other documentaries, pieces I did, dressed up in a druid outfit, talking about Lucifer, and
[01:08:01.451 --> 01:08:04.534]  He said, I can't wait till airborne Ebola hits.
[01:08:04.534 --> 01:08:07.216]  It will soon reduce the world population by 90%.
[01:08:07.216 --> 01:08:11.080]  My family and I will die, but that's how we must save the Earth.
[01:08:11.080 --> 01:08:16.845]  And then one of his graduate students attacked us in a news article and a letter to the editor.
[01:08:16.845 --> 01:08:19.227]  She was working at a bioweapon lab in California.
[01:08:19.227 --> 01:08:22.030]  And she said, Dr. Pianka is too liberal.
[01:08:22.030 --> 01:08:25.713]  Who can deny that all humans are parasites and must be exterminated?
[01:08:27.742 --> 01:08:33.125]  That's a lady working at a bioweapon lab with crazy looking eyes on a power trip.
[01:08:33.125 --> 01:08:36.987]  I said, where's the FBI?
[01:08:36.987 --> 01:08:38.888]  Where is the FBI?
[01:08:38.888 --> 01:08:51.076]  I said, this guy is over a high level UT biology system where they've got weapons systems, level four lab in Texas on the coast in Galveston.
[01:08:51.076 --> 01:08:54.097]  I said, I want the FBI over there right now!
[01:08:54.097 --> 01:08:56.719]  A day later, two FBI agents went and talked to Bianca.
[01:08:58.203 --> 01:09:04.848]  Because that's what you're supposed to do when you've got a real-life 12-monkey person out there doing this.
[01:09:04.848 --> 01:09:14.014]  Nowadays, the FBI's investigating me, who wouldn't hurt anybody offensively.
[01:09:14.014 --> 01:09:15.735]  You attack me, I'll sure as hell attack you.
[01:09:15.735 --> 01:09:16.916]  You better believe it.
[01:09:16.916 --> 01:09:18.637]  But I'm not an offensive person.
[01:09:21.331 --> 01:09:23.312]  I don't want to kill Fauci, even though he wants to kill us.
[01:09:23.312 --> 01:09:25.493]  I don't want to kill Bill Gates, even though he's killing us.
[01:09:25.493 --> 01:09:27.234]  I don't want to kill Klaus Schwab.
[01:09:27.234 --> 01:09:29.676]  I just want you to know he's killing you.
[01:09:29.676 --> 01:09:32.617]  And if you go kill him, it'll turn him into martyrs.
[01:09:32.617 --> 01:09:34.178]  I want to kill their name.
[01:09:34.178 --> 01:09:35.719]  I want to kill their programs.
[01:09:35.719 --> 01:09:37.440]  I want to kill their operations.
[01:09:37.440 --> 01:09:39.441]  I want to politically, peacefully shut it all down.
[01:09:42.657 --> 01:09:56.969]  But if they keep putting everybody in camps and putting forced shots in us and making us have heart attacks and die and erase our immune system, as all the literature admits they do, at a certain point, I'm not organizing violence, I'm not going to carry out violence.
[01:09:56.969 --> 01:10:01.152]  I'm simply asking, are we just going to take it?
[01:10:01.152 --> 01:10:04.515]  Gandhi did, Jesus did, but they were leaders.
[01:10:04.515 --> 01:10:06.537]  Martin Luther King Jr., that was for a point.
[01:10:07.827 --> 01:10:13.148]  What would Martin Luther say if white people started just going into black neighborhoods and just killing millions of black people?
[01:10:13.148 --> 01:10:15.029]  Would Martin Luther King have said, oh, turn the other cheek to that?
[01:10:15.029 --> 01:10:16.669]  No.
[01:10:16.669 --> 01:10:18.349]  He had most of the white people on his side.
[01:10:18.349 --> 01:10:20.390]  White people have been trying to get rid of that crap forever.
[01:10:20.390 --> 01:10:22.930]  It was a minority of whites and others that were doing that.
[01:10:22.930 --> 01:10:35.193]  And so he knew to take the billy clubs, take the police dogs, take the water cannons, so that everybody would see that it was wrong, just like Gandhi did.
[01:10:35.193 --> 01:10:36.173]  They were all learning from Christ.
[01:10:37.534 --> 01:10:54.904]  But when it's all done through propaganda and apps and locking you down and all this, we better fight like hell politically now and peacefully now so it doesn't get to a point that Churchill talked about where you don't even have a chance of winning but it's better to die on your feet than die on your knees as a slave where they take your time with you.
[01:10:57.591 --> 01:11:04.634]  Look, they've organized rebellions and programmed people that a rebellion is burning police cars and breaking Starbucks windows.
[01:11:04.634 --> 01:11:06.915]  Starbucks has private agreements with Antifa.
[01:11:06.915 --> 01:11:08.416]  The documents come out where they pre-target.
[01:11:08.416 --> 01:11:10.096]  They say, here's where you're allowed to attack.
[01:11:10.096 --> 01:11:12.357]  And those big corporations have sponsorships letting them do it.
[01:11:12.357 --> 01:11:14.118]  That's come out.
[01:11:14.118 --> 01:11:17.440]  So that when the actual war starts, you go knock out Starbucks windows.
[01:11:17.440 --> 01:11:18.420]  No, no, no.
[01:11:18.420 --> 01:11:19.581]  If a physical war starts,
[01:11:20.658 --> 01:11:25.099]  If you go kill cops, they want you to, so when things collapse, they'll bring in their outside police.
[01:11:25.099 --> 01:11:26.900]  The police aren't who you want to kill.
[01:11:26.900 --> 01:11:28.340]  The military isn't who you want to kill.
[01:11:28.340 --> 01:11:32.181]  You wouldn't even want to go out and face the warriors down, head up.
[01:11:32.181 --> 01:11:33.282]  That's not what rebels do.
[01:11:33.282 --> 01:11:35.402]  That's not what guerrilla warfare is.
[01:11:35.402 --> 01:11:43.124]  You go after the leadership and their spies and their operatives, so that nobody spies on the Liberty Movement and they know not to do that.
[01:11:43.124 --> 01:11:44.725]  And you go after the actual leaders.
[01:11:44.725 --> 01:11:47.546]  And I'm not saying do that.
[01:11:47.546 --> 01:11:48.766]  I'm just simply saying
[01:11:49.841 --> 01:12:02.112]  You're all been programmed to hate the police by the media and say they're the enemy and say go out and kill the police so that it's this background noise with the left and even the right so that when things kick off, that's the classic confrontation that happens.
[01:12:02.112 --> 01:12:04.073]  That's an idiotic attack.
[01:12:04.073 --> 01:12:06.015]  That's an idiotic response.
[01:12:06.015 --> 01:12:08.177]  That's moronic.
[01:12:08.177 --> 01:12:09.398]  You don't want to be seen.
[01:12:09.398 --> 01:12:10.719]  You don't want to be known.
[01:12:10.719 --> 01:12:13.682]  You, like a wolf, want to come in and go out.
[01:12:16.104 --> 01:12:17.485]  And that's not what's going to happen.
[01:12:17.485 --> 01:12:18.986]  Nobody's going to blow anything up.
[01:12:18.986 --> 01:12:20.687]  I'm not going to blow anything up.
[01:12:20.687 --> 01:12:22.048]  We need to stop that.
[01:12:22.048 --> 01:12:25.691]  You don't need to fantasize about war and fantasize about death.
