[00:00:02.611 --> 00:00:04.412]  It makes zero sense.
[00:57:32.509 --> 00:57:34.411]  Again, that's up to you and your relationship with God.
[00:57:34.411 --> 00:57:38.814]  I just want to thank you all for the years of support you've given us and what you've done.
[00:57:38.814 --> 00:57:42.938]  And just ask you again to pray to God and ask what God's vision is for you.
[00:57:42.938 --> 00:57:45.880]  And hopefully God will touch your heart to continue to support him for worse.
[00:57:45.880 --> 00:57:50.164]  God bless.
[00:57:50.164 --> 00:57:52.786]  You're listening to The Alex Jones Show.
[00:58:05.280 --> 00:58:07.842]  All right, there is a video that's about 10 minutes long.
[00:58:07.842 --> 00:58:09.744]  It's a Bandai video.
[00:58:09.744 --> 00:58:11.506]  The last time I checked, it's got about 300,000 views.
[00:58:11.506 --> 00:58:13.968]  That's great, but it needs about 300 million views.
[00:58:13.968 --> 00:58:17.411]  That's Bill Gates in his own words talking about the depopulation program.
[00:58:18.303 --> 00:58:21.545]  Watch Bill Gates admit to human depopulation program.
[00:58:21.545 --> 00:58:23.126]  9 minutes, 28 seconds, band out video.
[00:58:23.126 --> 00:58:27.129]  I'm going to play a few minutes of this because some stations don't carry this segment.
[00:58:27.129 --> 00:58:32.953]  And then I'm going to come back and be as judicious as possible to actually plow through the COVID takeover news and how to counter it.
[00:58:32.953 --> 00:58:35.895]  And of course, the announcement for implantable microchips in US troops.
[00:58:37.339 --> 00:58:41.361]  Again, there were a lot of articles about them testing chips on troops 20 years ago.
[00:58:41.361 --> 00:58:50.326]  Then I confirmed from family that they were briefed in a group of several hundred officers in the Army here in Texas at a base.
[00:58:50.326 --> 00:58:51.867]  My cousin told me I could talk about it.
[00:58:51.867 --> 00:58:54.288]  I just don't say his name, but they figured it out and called him in about it.
[00:58:55.255 --> 00:59:11.702]  He's retired now, but that's that's how serious it is and so a lot of folks have already gotten chips They've already been tested on they say do it for your country It's well known a lot of people volunteer for you know things like MK ultra 50 60 years ago So that goes on there's DARPA's testing implantable chips and soldiers brains.
[00:59:11.702 --> 00:59:24.027]  I would tell people this 15 years ago They'd say you're crazy, but now it's all out in the open, but let's go ahead and go to part of Bill Gates issue that really grabbed me as as urgent as
[00:59:25.402 --> 00:59:30.845]  We see a lot of things that are going very well.
[00:59:30.845 --> 00:59:33.767]  Things like reducing childhood death.
[00:59:33.767 --> 00:59:36.048]  Things like reducing childhood death.
[00:59:53.606 --> 00:59:55.848]  First, we've got population.
[00:59:55.848 --> 00:59:58.570]  The world today has 6.8 billion people.
[00:59:58.570 --> 01:00:00.791]  That's headed up to about 9 billion.
[01:00:00.791 --> 01:00:10.639]  Now, if we do a really great job on new vaccines, health care, reproductive health services, we could lower that by perhaps 10 or 15 percent.
[01:00:10.639 --> 01:00:21.067]  Now, if we do a really great job on new vaccines, health care, reproductive health services, we could lower that by perhaps 10 or 15 percent.
[01:00:22.785 --> 01:00:30.797]  The problem is that the population is growing the fastest where people are less able to deal with it.
[01:00:30.797 --> 01:00:36.765]  So it's in the very poorest places that you're going to have a tripling in population by 2050.
[01:00:38.127 --> 01:00:49.804]  And so their ability to feed, educate, provide jobs, stability, protect the environment in those locations mean, you know, they're faced with an almost impossible problem.
[01:00:49.804 --> 01:00:53.409]  Here we can see a chart that looks at the total
[01:00:54.142 --> 01:00:58.426]  world population over the last several hundred years.
[01:00:58.426 --> 01:01:01.088]  And at first glance, this is a bit scary.
[01:01:01.088 --> 01:01:11.117]  We go from less than a billion in 1800 and then 3, 4, 5, 6 and 7.4 billion where we are today is happening even faster.
[01:01:11.117 --> 01:01:20.585]  So Melinda and I wondered whether providing new medicines and keeping children alive, would that create more of a population problem?
[01:01:22.638 --> 01:01:26.779]  And what the developing world does not need is more children.
[01:01:26.779 --> 01:01:41.402]  And I think that was the biggest aha to Bill and me when we got into this work, is we asked ourselves, of course, the same hard-nosed question you'd ask, which is, if you get into this work and you start to save these children, will women just keep overpopulating the world?
[01:01:41.402 --> 01:01:44.043]  And thank goodness the converse is absolutely true.
[01:01:44.995 --> 01:01:51.291]  This is a very important question to get right because it was absolutely key for me.
[01:01:51.291 --> 01:01:53.156]  When our foundation first started up...
[01:01:53.809 --> 01:01:55.571]  It was focused on reproductive health.
[01:01:55.571 --> 01:02:02.378]  That was the main thing we did because I thought, you know, population growth in poor countries is the biggest problem they face.
[01:02:02.378 --> 01:02:07.684]  You've got to help mothers who want to limit family size have the tools and education to do that.
[01:02:07.684 --> 01:02:10.166]  That's the only thing that really counts.
[01:02:10.166 --> 01:02:16.373]  Is spending a million dollars on that last three months of life for that patient, would it be better not to lay off
[01:02:17.397 --> 01:02:21.599]  Those ten teachers, and to make that trade up in medical costs.
[01:02:21.599 --> 01:02:26.102]  But that's called the death panel, and you're not supposed to have that discussion.
[01:02:26.102 --> 01:02:30.804]  But that's called the death panel, and you're not supposed to have that discussion.
[01:02:30.804 --> 01:02:34.185]  That's only about three minutes of the nine and a half minute piece.
[01:02:34.185 --> 01:02:35.246]  It's at Van Dot Video.
[01:02:35.246 --> 01:02:36.867]  I hope you share it.
[01:02:36.867 --> 01:02:37.747]  It's got 414,000 views.
[01:02:37.747 --> 01:02:40.028]  He's got 300 million views.
[01:02:40.028 --> 01:02:41.489]  And again, they set themselves up as God.
[01:02:41.489 --> 01:02:43.170]  You can say that it's overpopulated in some areas.
[01:02:43.843 --> 01:02:47.244]  Well, when they say be hard-nosed, they're not just talking about killing all the third world, which is bad enough.
[01:02:47.244 --> 01:02:50.724]  They're talking about sterilizing everybody, making us mutate into this new creature.
[01:02:50.724 --> 01:02:55.685]  That's where this really goes.
[01:02:55.685 --> 01:02:58.486]  The equation is very simple.
[01:02:58.486 --> 01:03:00.306]  The mega-banks control the media.
[01:03:00.306 --> 01:03:02.107]  They control big pharma.
[01:03:02.107 --> 01:03:04.667]  They control academia.
[01:03:04.667 --> 01:03:07.088]  They control the military, industrial complex.
[01:03:07.088 --> 01:03:08.068]  They control big tech.
[01:03:09.213 --> 01:03:18.317]  And everywhere that they have been in control in the third world, they have established absolute total despotism and dehumanization.
[01:03:18.317 --> 01:03:26.802]  It is the Western Christian idea of human freedom that ended slavery and that promoted women's rights and so much more that actually threatens them.
[01:03:26.802 --> 01:03:33.565]  So because they can't defeat that empowering ethic, they instead co-opt it, turn it upside down, and use
[01:03:34.405 --> 01:03:42.512]  The idea of equality to actually destroy human freedom and the free market that threatens their monopolies of control.
[01:03:42.512 --> 01:03:46.995]  That's why they target InfoWars, because we understand the keys to defeating them.
[01:03:46.995 --> 01:03:52.400]  But the only way our transmission gets out is if you promote InfoWars and ban that video.
[01:03:52.400 --> 01:03:53.501]  So we double your efforts.
[01:03:53.501 --> 01:03:54.401]  We're all in this together.
[01:04:06.138 --> 01:04:10.960]  Big Brother, mainstream media, government cover-ups.
[01:04:10.960 --> 01:04:12.661]  You want to stop tyranny?
[01:04:12.661 --> 01:04:14.441]  Well, so does he.
[01:04:14.441 --> 01:04:21.184]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:04:21.184 --> 01:04:23.905]  All right, I'm hosting all four hours of the Alex Jones Show today.
[01:04:23.905 --> 01:04:25.486]  We got three hours left in front of us.
[01:04:25.486 --> 01:04:30.107]  We're into hour number two on this Monday, April 12, 2021 transmission.
[01:04:30.107 --> 01:04:33.969]  Owen Schroer is now down at the border back in McAllen, Texas.
[01:04:34.842 --> 01:04:40.020]  Where the Border Patrol says it is the worst collapse of the border going on.
[01:04:40.020 --> 01:04:41.084]  He'll go to the facilities.
[01:04:41.898 --> 01:04:42.178]  I think?
[01:05:12.198 --> 01:05:16.379]  And they give money, the women are given to them, no IDs, no nothing, their cell phones are taken.
[01:05:16.379 --> 01:05:19.340]  I mean, this is the stuff of hell.
[01:05:19.340 --> 01:05:22.861]  And then the whole leftist media comes and defends it.
[01:05:22.861 --> 01:05:30.843]  Oh, those were real kids being put into Trump, but they were being taken to have a wonderful life and Alex Jones was being mean to them.
[01:05:30.843 --> 01:05:39.385]  The left has just signed on to pure evil, just like Apple has signed on to helping run the worst death camps and getting slave labor out of the worst death camps in communist China.
[01:05:41.232 --> 01:05:44.593]  These are not the moral authorities they tell you they are all day.
[01:05:44.593 --> 01:05:49.854]  These are selfish, bad, crazy people that have broken the law of common sense.
[01:05:49.854 --> 01:05:55.156]  They've broken the law of the social compact, the social contract.
[01:05:55.156 --> 01:05:58.917]  Okay, so if you just joined us last hour, I talked about it.
[01:05:58.917 --> 01:05:59.717]  I want to go through it now.
[01:06:01.175 --> 01:06:22.528]  60 Minutes came out at DARPA with the same lab that we exposed over a year ago, funded by Bill and Melinda Gates, with all these different types of implantable microchips, some that are in the vaccine, some that are on a bandage you put over it that works into your skin, nanoparticles of glass, because they can miniaturize things so much now, that also tracks you, that a scanner reads.
[01:06:22.528 --> 01:06:23.369]  But this is a little
[01:06:24.185 --> 01:06:33.048]  Green octopus about a millimeter wide, along that little green, green antennas, little green wires.
[01:06:33.048 --> 01:06:36.989]  And they put this in you, and then it transmits to computers to say if you're sick.
[01:06:36.989 --> 01:06:48.993]  And we've got to have this now, because if it saves one person, we've always got to wear masks, because, you know, you might have germs, might get somebody sick, even though all the studies show that us sharing our germs makes us healthier, and that the mask causes bacterial pneumonia.
[01:06:48.993 --> 01:06:50.414]  Let's not worry about those studies.
[01:06:52.699 --> 01:06:59.224]  This is political action and we're told we've got to keep the blue cities shut down forever.
[01:06:59.224 --> 01:07:00.645]  Unless you're in communist China.
[01:07:00.645 --> 01:07:04.988]  It's all a big sign that we're closed for business and we're non-essential.
[01:07:04.988 --> 01:07:06.349]  So see the video for yourself.
[01:07:06.349 --> 01:07:07.370]  Video!
[01:07:07.370 --> 01:07:14.656]  DARPA is working on COVID vaccine implantable microchip to detect the virus and of course detect whether you've had your vaccines.
[01:07:14.656 --> 01:07:16.857]  But this is not just an implantable chip.
[01:07:16.857 --> 01:07:18.659]  This is not just a nanotech sponge.
[01:07:20.262 --> 01:07:23.564]  The vaccines themselves are the real nanotech reprogramming your DNA.
[01:07:23.564 --> 01:07:25.324]  It's beyond microchips.
[01:07:25.324 --> 01:07:29.986]  But they metaphysically still need to get the general public to opt in.
[01:07:29.986 --> 01:07:32.428]  That's the law of the universe.
[01:07:32.428 --> 01:07:37.590]  Until they go into their final endgame and Satan goes past free will and starts forcing it then.
[01:07:38.323 --> 01:07:44.326]  All hell breaks loose and everybody that keeps signing on thinking, oh I get to go back to normal as long as I submit.
[01:07:44.326 --> 01:07:45.687]  You notice you never go back to normal.
[01:07:45.687 --> 01:07:47.028]  They lie to you every step of the way.
[01:07:47.028 --> 01:07:49.769]  15 days to cut the curve.
[01:07:49.769 --> 01:07:51.270]  Oh, just two months of a mask.
[01:07:51.270 --> 01:07:53.391]  Oh, just a couple months lockdown.
[01:07:53.391 --> 01:07:55.352]  Oh, now it's years, decades.
[01:07:55.352 --> 01:07:56.633]  Well, it's the new normal.
[01:07:56.633 --> 01:07:59.694]  I mean, AP, Reuters, CNN, we need to always wear masks.
[01:07:59.694 --> 01:08:01.735]  We need new vaccines every month, every week.
[01:08:01.735 --> 01:08:03.456]  Hell, I'm sure the vaccine doesn't work.
