[00:00.000 --> 00:14.000]  Crashing through the lies and disinformation, it's Alex Jones, coming to you live from
[1:22:18.000 --> 1:22:34.000]  specifically the manufacture of smartphones on the one hand and the manufacture of 5G equipment. 5G is the, of course, fibered to the phone 100 times faster than 4G. It's going to control everything in the future.
[1:22:34.000 --> 1:22:55.000]  And if you install the 5G switching equipment, which the Chinese company of Huawei wants to do around the world, then you can turn those switches on and you can turn those switches off. And I had to laugh the other day, the Italians were trying to convince the Italians of all people to rip out all of the Huawei equipment that they've installed in Italy.
[1:22:55.000 --> 1:23:10.000]  And the director of telecommunications in Italy said this, he said, but we like Huawei because it's so cheap and it's so flexible. Well, the reason it's cheap is it's subsidized by the Chinese Communist Party. Of course, it's cheap because it's spy equipment.
[1:23:10.000 --> 1:23:26.000]  The reason it's flexible, Alex, is because it can be reprogrammed remotely. Well, isn't that convenient? The Chinese Communist Party through Huawei, once it installs this 5G equipment, can reprogram it remotely to do exactly what Beijing wants.
[1:23:26.000 --> 1:23:40.000]  That's why this stuff is so dangerous. It's going to control everything in the future, the driverless cars, the freight trains, the power plants, and of course, weapons systems.
[1:23:40.000 --> 1:23:56.000]  This is beyond something like the Terminator movie. This is the Communist Chinese dominant because, like you said, they'll sell it not at cost at a loss. As the heart of their global move, a Trojan horse, here's basically free 5G.
[1:23:56.000 --> 1:24:11.000]  Just pay for the basic cost, but we control it and then the Chinese government is already dominant in rural America. They've already put it in or already begging Trump. Don't make us take it out. We want the Chai-Kong 5G.
[1:24:11.000 --> 1:24:24.000]  Well, it's 30%, 40% cheaper than Cisco systems or the other manufacturers of 5G equipment because it's paid for in large part by the Chinese Communist Party for their own purposes of control, spying, and espionage.
[1:24:24.000 --> 1:24:34.000]  They've got literal slaves putting this crap together. Then they ship it over. Their technicians come over that are operatives. I can't believe we've even allowed this to happen.
[1:24:34.000 --> 1:24:47.000]  Well, we've gotten pretty far down this road. Finally, though, we have an administration with people in the administration, like the trade and industry council head Peter Navarro, who understands that China literally wants to kill us.
[1:24:47.000 --> 1:25:00.000]  Peter wrote a few years ago a book called Death by China, which people may have heard of, about how Chinese products can be dangerous to us. Bicycles that break down when you ride them and kill their owners, things like that.
[1:25:00.000 --> 1:25:09.000]  But the 5G stuff is much more dangerous. It would be not just individual death by China, but it would be the death of our civilization.
[1:25:09.000 --> 1:25:19.000]  Because think about all of a sudden the train stop running, the car stop running, the power plant shut down, the lights go off, your cell phone doesn't work, everything stops.
[1:25:19.000 --> 1:25:32.000]  And China says, in order for us to turn the lights back on again, you're going to have to demobilize. You're going to have to build down your military. You're going to have to hand us the Western Pacific.
[1:25:32.000 --> 1:25:50.000]  That's what we're talking about. We're talking about the end game here. A century ago, the important things were controlling strategic choke points, like the Panama Canal, like the Straits of Malacca, where the British built Singapore to control entry and egress from the Pacific end of the Indian Ocean.
[1:25:50.000 --> 1:25:58.000]  Today, those strategic choke points are going to be controlled by 5G equipment. And we don't want that equipment to be made in China.
[1:25:58.000 --> 1:26:23.000]  Now, we've gotten pretty far down this road. We're having to go in, I understand, and rip out computer motherboards from many of our military facilities because we haven't paid enough attention to the fact that anything made in China of a high-tech nature is going to have a backdoor, a trapdoor, is going to have a chimp embedded in it so that the Chinese can use it remotely to collect information.
[1:26:23.000 --> 1:26:40.000]  That's not just me talking. I mean, the FBI Director Christopher Wray earlier this year said that Huawei equipment could be used in a malicious way to modify and steal information to conduct undetected espionage that we wouldn't even find out about until months or years later.
[1:26:40.000 --> 1:26:55.000]  So we now know that this is a problem. We're now finally taking action, but we couldn't take action fast enough. And we've got to bring the world along with us because the United States can't stand alone in this. We have to have Australia, New Zealand, the English-speaking countries with us.
[1:26:55.000 --> 1:27:09.000]  I think they are on board. We have to get places like South Korea and Japan to join with us as well. Because if they're using 5G, if our allies are using 5G equipment, we really can't be allied with them in the future because information flows.
[1:27:09.000 --> 1:27:20.000]  Sure, everything's being intercepted. It's like when we had the Nazi Ultra Code, and of course they didn't know during World War II, that's how we were able to beat them. This is crazy and it's all admitted.
[1:27:20.000 --> 1:27:43.000]  When the Chinese people want freedom, China's very weak if we simply stand up to them. And that's why I'm encouraging leftists and others out there who have this moronic hatred of America. China doesn't care about you. America is full of good people on average, and we need to stand against the
[1:27:43.000 --> 1:27:53.000]  big corporate elite that have bet on China. They're the real traders that set China up to do this, and they're lust to defeat the American experiment.
[1:27:53.000 --> 1:28:10.000]  I know in my gut, we're going to beat the globalists in the Chai Kongs. I'm not a vindictive person, but justice needs to be done. Those of you that actively serve this, there's a lot of you out there who are globalists who serve the Chai Kong operation, you're going to have to pay for what you've done.
[1:28:10.000 --> 1:28:23.000]  So I'm just encouraging everybody now, stop now. Don't be part of this and realize the alarms already been pulled, the alarms already been set, and the resistance has already been triggered, and I don't think in the end the globalists are going to win.
[1:28:23.000 --> 1:28:25.000]  What do you think, Stephen?
[1:28:25.000 --> 1:28:41.000]  I think we still control our own destiny here, and certainly the Trump terrorists have done exactly what they were supposed to do. They have raised the cost for the Chinese Communist Party. They have brought the Chinese Communist Party to the negotiating table, and I think we're going to see the trade
[1:28:41.000 --> 1:28:54.000]  depths with China shrink rapidly over the next couple of years. If not, the terrorists are going to go up to 25%, and I'll tell you what that means. That means that Apple, which now makes things in China, will be making things in Vietnam.
[1:28:54.000 --> 1:29:19.000]  We'll talk to you soon. We salute you.
[1:29:19.000 --> 1:29:45.000]  We'll see you soon.
