[00:00.000 --> 00:04.880]  Founder Alex Jones is calling out alleged collusion between Google and Democrats
[1:05:25.000 --> 1:05:31.800]  Which defends liberty and freedom and your second amendment and your first amendment and so much more at a critical time
[1:05:32.840 --> 1:05:39.480]  So it is a true 360 win-win situation when you go to infowarstore.com and get dna force plus
[1:05:39.960 --> 1:05:42.680]  Finally our flagship product back at stock
[1:05:43.400 --> 1:05:45.240]  It keeps us on the air
[1:05:45.240 --> 1:05:53.560]  And it's gonna sell out quick but despite that we're offering it for 50% off at infowarstore.com
[1:05:54.600 --> 1:05:59.240]  To support our longtime viewers and listeners and for new folks to take advantage of it
[1:05:59.240 --> 1:06:18.200]  From the front lines of the information war it's alex jones
[1:06:42.200 --> 1:06:47.400]  Info wars founder alex jones is calling out alleged collusion between google and democrats
[1:06:47.720 --> 1:06:52.600]  The american people demand that their first amendment be defended
[1:06:52.600 --> 1:06:59.800]  The republic is rising well alex you're the gladiator and you keep on pounding the opposition. I love it alex jones
[1:06:59.800 --> 1:07:01.960]  Nice guy. You've been demonized enough
[1:07:03.720 --> 1:07:09.560]  I mean he must be a threat if they call you out by name alex jones alex jones alex jones
[1:07:10.680 --> 1:07:16.360]  I know we had alex jones in the room earlier promoting conspiracy theories alex jones
[1:07:16.360 --> 1:07:23.240]  Obviously you're one of the conspiracy theorists whose brand is bullying you didn't call me to testify in america. I have a right to face my accusers
[1:07:23.640 --> 1:07:30.120]  And you congressman doge are a liar and a fraud the real election meddling is by facebook and google and others are shadow banning people
[1:07:30.280 --> 1:07:38.120]  They're outright banning people and they're blocking conservatives involved in their own first amendment political speech info wars tells viewers that the world is out to deck them
[1:07:38.200 --> 1:07:45.320]  The FCC is cracking down on conspiracy theorist alex jones info wars just lost their war on info
[1:07:45.320 --> 1:07:52.920]  Yesterday apple iTunes video and spotify youtube twitter and facebook have all blocked alex jones and info wars
[1:07:53.000 --> 1:08:00.120]  So there's also guys on cnn that's been their whole day calling facebook and saying can you ban this person? I want them shut down
[1:08:00.200 --> 1:08:05.080]  I want them silence. I want them muted. I think they are horrible for our society. I want them shut down
[1:08:05.480 --> 1:08:09.320]  I want them silence alex jones which has now been taken off the facebook thank god
[1:08:09.400 --> 1:08:14.920]  But who is the most banned news network in the world info wars dot com info wars
[1:08:14.920 --> 1:08:19.960]  It's a radio show hosted by alex jones info wars comes to mind. What's happened with info wars?
[1:08:20.040 --> 1:08:26.360]  I would love it if you would follow up also about alex jones info wars info wars you watch info wars president trump is
[1:08:27.080 --> 1:08:32.760]  The info wars president trump appeared on jones's show. He actually went on jones's show and said
[1:08:33.400 --> 1:08:36.920]  Your reputations are amazing. I will not let you down
[1:08:37.880 --> 1:08:41.480]  Move bitch get out the way up up and away
[1:08:41.480 --> 1:08:45.480]  Hey, small as well. Why do you hate the first amendment so much?
[1:08:46.280 --> 1:08:51.560]  There goes congressman small as well. Google is going to lie again and violate the law
[1:08:51.800 --> 1:08:54.360]  That's enough. You take too much noise. That man's breathless
[1:08:54.760 --> 1:08:56.760]  I'd like reserved time
[1:09:00.920 --> 1:09:02.760]  I'm getting pissed out
[1:09:02.760 --> 1:09:04.600]  Hey the d5 woman didn't work
[1:09:04.600 --> 1:09:11.080]  With me it's all straightforward attack. That's the real power. Hello. This is tank hill and i'm telling you what
[1:09:11.080 --> 1:09:14.520]  You need to listen to alex jones info wars dot com
[1:09:14.680 --> 1:09:21.960]  1776 will commence again if you try to take off fire on james on the mainstream corporate media for not defending the first amendment
[1:09:22.040 --> 1:09:28.040]  But instead attack dogging calling for federal regulators to shut down independent free press working with big tech
[1:09:28.040 --> 1:09:33.880]  We're not turning our guns in and we're not running and we're not stacking down if you want a
[1:09:33.880 --> 1:09:41.880]  Comedians
[1:09:52.840 --> 1:09:57.880]  So the house representatives run by democrats was put out a report blaming trump for any vaccine
[1:09:57.960 --> 1:10:01.640]  Damaging he made them put out the experimental shot when we know
[1:10:01.640 --> 1:10:04.360]  It's foushee and bill gates the new world order
[1:10:06.200 --> 1:10:09.240]  Why does trump not understand that i was talking to drew Hernandez this morning via text
[1:10:09.240 --> 1:10:11.880]  He said me it's like he predicted it's now out there
[1:10:12.280 --> 1:10:19.160]  Headlines exclusive vaccinated making up higher proportion of cuba 19 metrics in the u.s. Including hospitalizations and deaths
[1:10:19.560 --> 1:10:22.200]  Same numbers worldwide. That's out of the epic times
[1:10:23.560 --> 1:10:26.280]  It's a big deal ladies and gentlemen drew Hernandez
[1:10:27.080 --> 1:10:30.600]  Thank you for joining us. I wanted to get your take on the situation. I think this is huge
[1:10:30.600 --> 1:10:35.800]  This shows the rats are leaving the sinking ship and if trump doesn't get ahead of this, this is going to bring him down
[1:10:37.080 --> 1:10:42.280]  Well, absolutely alex and uh, you know, thanks for having me shout out to the info warriors in the getter chat
[1:10:42.360 --> 1:10:46.200]  They want you to know that they love you very much alex, but I wanted to analyze
[1:10:46.920 --> 1:10:51.240]  This political article with you. Just take a look at the headline. Look at how they word this. Okay
[1:10:51.560 --> 1:10:55.960]  The trump administration pressured the fda to authorize
[1:10:57.080 --> 1:10:59.080]  unproven treatments
[1:10:59.080 --> 1:11:08.760]  unproven treatments for kovat 19 and the first kovat 19 vaccines on accelerated on an accelerated timeline
[1:11:09.240 --> 1:11:14.040]  Operation warp speed. Okay. People need to understand you are literally watching
[1:11:14.680 --> 1:11:20.600]  Propaganda begin to get fed to the public for a future narrative to be installed on president trump. That's right
[1:11:20.680 --> 1:11:22.680]  This is the kickoff. This is the kickoff
[1:11:23.400 --> 1:11:28.840]  This is literally the kickoff they use this verbiage because listen people have been banned for this stuff on
[1:11:28.840 --> 1:11:33.480]  Facebook and twitter for posting these exact same things saying trump's being set up
[1:11:34.040 --> 1:11:37.240]  Trump's being set up with operation warp speed. It's a bad vaccine
[1:11:37.880 --> 1:11:41.880]  It's not good for the people and it's being put people have been banned for this kind of stuff
[1:11:41.960 --> 1:11:45.320]  But we know what these people do alex. So they are kicking this off
[1:11:45.640 --> 1:11:51.880]  There's been a shift in the simulation and this is meant to mess with your mind. This is how the info war works
[1:11:51.880 --> 1:11:59.160]  This is how propaganda works. They're literally setting up the narrative for whoever is going to run in 2022 in the midterms already
[1:11:59.160 --> 1:12:06.520]  They're giving them more ammo to go to go against trump candidates and ultimately they're giving more ammo to whoever runs against trump in
[1:12:07.080 --> 1:12:12.840]  2024, okay now I say this because I love the republic and I love where our country
[1:12:13.560 --> 1:12:20.040]  Was going in 2016 to 2019 and I want to see that continue now when I say this about president trump
[1:12:20.040 --> 1:12:23.240]  I say this because I want him to just clearly understand
[1:12:23.640 --> 1:12:30.680]  I mean these people are literally setting you up to literally be the sacrificial lamb to blame millions of deaths
[1:12:31.000 --> 1:12:36.440]  And blame the vaccine negative effects that are happening to people not only mentally but physically
[1:12:36.760 --> 1:12:41.400]  Literally on you take a look at how the narrative is being set up and alex you know this
[1:12:41.640 --> 1:12:45.160]  What why is dr. Fauci writing off into the sunset in december?
[1:12:45.160 --> 1:12:50.040]  Is it because he's scared that there's going to be investigations and he's going to be you know expo
[1:12:50.040 --> 1:12:54.920]  That's not why it's because they're setting up trump to be to be to be the blame right now
[1:12:55.240 --> 1:12:59.560]  He's writing off into the sunset because they're setting up trump to blame for these bad vaccines
[1:12:59.800 --> 1:13:03.960]  That's why dr. Fauci is in the news literally today saying I have nothing to hide
[1:13:04.520 --> 1:13:09.160]  Yes, that's a quote. He's saying I have what why is he saying that alex because they know
[1:13:09.560 --> 1:13:14.600]  That they're going to blame all this on trump. Oh, well, well, I was just advising the current and it's not just him
[1:13:14.600 --> 1:13:19.480]  It's it's it's the head of the cdc. It's berks. They're all saying we knew it didn't work
[1:13:19.560 --> 1:13:24.920]  We lied so later they're going to go well. He told you years ago. They are literally pre-programming this right now
[1:13:25.800 --> 1:13:31.880]  Exactly that is exactly why the cdc is coming out saying the same thing and dr. Berks is coming out and saying the exact same thing
[1:13:32.360 --> 1:13:38.440]  We we knew all along that this this this wasn't effective. I mean we were advising the president at the time
[1:13:38.440 --> 1:13:45.960]  I mean that's that's what we were doing. They are literally going to pin this on president trump alone and he needs to understand
[1:13:46.040 --> 1:13:49.720]  That this is part of the scythe. I totally agree. Here's the key drew for me
