[00:00.000 --> 00:26.000]  Defending the Republic from enemies, foreign and domestic, it's Alex Jones.
[01:26:38.000 --> 01:26:43.000]  So do your own research, educate yourself, and it's your duty. It's, you know, it's the future of the country.
[01:26:43.000 --> 01:26:46.000]  That is a smart crowd compared to a lot of them.
[01:26:46.000 --> 01:26:52.000]  But when you look at the hidden Veritas camera videos and the others that have come out in the congressional hearings, they sit up there and they go,
[01:26:52.000 --> 01:26:59.000]  Number one mission, stop info wars, then stop the president spreading his information.
[01:26:59.000 --> 01:27:06.000]  Yes, sir, we were on at lunch. The heads of the company, sir, we were on at lunch stopping Paul Watson.
[01:27:06.000 --> 01:27:13.000]  And then last week there were all these Southern Poverty Law Center and George Soros articles from Media Matters and Right Wing Watch going,
[01:27:13.000 --> 01:27:20.000]  Oh, look, the last week they've had three top Facebook trending and they've had a bunch of top Twitter and they're like, yours.
[01:27:20.000 --> 01:27:26.000]  Some of the headlines were like, Zuckerberg's been caught again.
[01:27:26.000 --> 01:27:28.000]  Twitter's done it again.
[01:27:28.000 --> 01:27:31.000]  And these articles have headlines just chewing them out.
[01:27:31.000 --> 01:27:36.000]  Maybe try to pull something during the break. It's like, Zuckerberg drops the ball.
[01:27:36.000 --> 01:27:39.000]  Zuckerberg's got some explaining to do again.
[01:27:39.000 --> 01:27:45.000]  He's openly censoring, having people arrested in Germany that don't go along with the Muslim invasion, working with Pakistan.
[01:27:45.000 --> 01:27:48.000]  People arrested that, you know, so they don't believe in Allah.
[01:27:48.000 --> 01:27:54.000]  And, you know, he's like bent over to every authoritarian regime there is on the planet.
[01:27:54.000 --> 01:27:59.000]  And they're just chewing him out, going, look what you did.
[01:27:59.000 --> 01:28:08.000]  And then Facebook's like, we'll bet him quicker. We will. We will. We're sorry. We'll stop him because they don't want me to sit here and play these clips.
[01:28:08.000 --> 01:28:10.000]  By the way, that was campus reform. They do a great job.
[01:28:10.000 --> 01:28:16.000]  But after they do their interview, I would then actually show the clip of Obama because he didn't say those things.
[01:28:16.000 --> 01:28:19.000]  Just as you can see it for yourself.
[01:28:19.000 --> 01:28:22.000]  All right, we're going to go to break. We have the camel clip.
[01:28:22.000 --> 01:28:25.000]  He says, you're dumb. And this is so important.
[01:28:25.000 --> 01:28:34.000]  Because if you understand this, you understand all the angles to it because when they talk about how we're in an echo chamber, they know it's the opposite.
[01:28:34.000 --> 01:28:42.000]  And they're desperately trying to keep the very, very sad people that are under their control still on their little plantation.
[01:28:42.000 --> 01:28:48.000]  When you heard that one guy say it's BS, Obama, you know, never said we're going to take out ISIS. He likes ISIS.
[01:28:48.000 --> 01:28:51.000]  Well, the truth is he does like ISIS. He helped create them.
[01:28:51.000 --> 01:28:56.000]  These people just don't know what they're talking about, though. We'll be back. Stay with us.
[01:29:21.000 --> 01:29:34.000]  Hear that. That's the sound of a house being trashed while a gang of thieves ransacked the place.
[01:29:34.000 --> 01:29:53.000]  And what they don't steal will be destroyed this year. Resolve not to be the next victim of a break in. Go to fakeTV.com and discover a device that creates the illusion someone inside is watching TV, even when you're miles away. Security is a mindset and fake TV should be part of your security solution.
[01:29:53.000 --> 01:29:55.000]  Be vigilant, but not fearful.
[01:29:55.000 --> 01:29:58.000]  FakeTV.com
[01:29:58.000 --> 01:30:01.000]  Mike in Arizona here on the air worldwide. Go ahead.
[01:30:01.000 --> 01:30:13.000]  Oh, Alex, you can rent any day of the week. Thank you, sir, for doing what you do and being a patriot and doing your best to save America and encouraging us as fellow patriots to do that in our local areas as well.
[01:30:13.000 --> 01:30:23.000]  And as a longtime InfoWars listener, I want to say thanks for the awesome brain force, Anthroplex. My girlfriend would like to say thanks for the Anthroplex too.
[01:30:23.000 --> 01:30:24.000]  Thank you.
[01:30:24.000 --> 01:30:36.000]  Thank you to the BioTrue Selenium, the SuperBlue toothpaste for you folks who are big, normal toothpaste fans. The SuperBlue is awesome. And thank you so much, Alex, for the InfoWars life products. They are quality. I can't wait to get some more.
[01:30:36.000 --> 01:30:40.000]  And thank you so much for doing that for us to keep us healthy. Absolutely.
[01:30:40.000 --> 01:30:54.000]  Because then we could all, as educated patriots, help our other countrymen and women understand that there's a bigger problems going on and if we can get our houses in order and be good to each other and ourselves, we can take our country back.
[01:30:54.000 --> 01:31:13.000]  Over a year in the making, produced by one of the top organic firms in the country, that if you want proven studies and documentation, I'm going to speak for hours. This is one of the files I have here of what this is proven to do, the ingredients in this.
[01:31:13.000 --> 01:31:26.000]  This is the ultimate immune system boost for this time of year, anytime of the year. But immune wall is incredible. And folks, other formulas that aren't even as good are $70, $80. It's a great deal at $39.
[01:31:26.000 --> 01:31:43.000]  Immune wall, beta-glucans, olive leaf, and so much more. It is concentrated. You need to go read what is in here. The mushroom blend of the most expensive, highest quality mushrooms that just incredibly accelerate a citrus peel blend. I mean, this is the next level.
[01:31:43.000 --> 01:31:58.000]  It's now available, ladies and gentlemen, immune wall. I think it's beyond season. Beta-glucan, olive leaf, and more. Immune wall, infowarsstore.com, infowarslife.com, or triple-82533139.
[01:31:58.000 --> 01:32:14.000]  Support good oral health with our one-of-a-kind, super-blue, fluoride-free products. InfoWarslife brings you a revolutionary toothpaste blend with iodine and nano-silver designed to deliver a powerful clean. Enjoy a minty, fresh flavor made with peppermint oil or try our bubblegum flavor.
[01:32:14.000 --> 01:32:37.000]  Pair this groundbreaking toothpaste with the super-blue, fluoride-free mouthwash and supercharge your oral health. Our amazing mouthwash features natural oils and ancient ingredients used since aboriginal and biblical times. Instead of containing fluoride, our super-blue line is floated with the good halogen iodine and an array of other beneficial compounds that have been hand-selected for their oral health benefits.
[01:32:37.000 --> 01:32:47.000]  Super-blue, fluoride-free mouthwash and toothpaste are the first and only to contain all of these natural ingredients. Xylitol, nano-silver, and iodine.
[01:32:47.000 --> 01:33:09.000]  Notice the difference with our super-blue, fluoride-free products. Refresh your breath and invigorate your oral health routine at infowarsstore.com. That's infowarsstore.com.
[01:33:18.000 --> 01:33:27.000]  Mainstream media. Government coverups. You want answers? Well, so does he.
[01:33:27.000 --> 01:33:48.000]  Live from Austin, Texas. Broadcasting worldwide. It's Alex Jones.
[01:33:58.000 --> 01:34:12.000]  I'm Alex Jones, your host. Infowars.com and newswars.com as well as prisonplanet.com are our main sites. Thank you so much.
[01:34:12.000 --> 01:34:26.000]  Again, ladies and gentlemen, I'm going to go ahead and get to some news clips here. And then later, I'm going to get into Jimmy Kimmel because I'm not quite ready to get into that yet. I was working on another story during the break.
[01:34:26.000 --> 01:34:34.000]  I stopped here a minute late and that just spoiling my mojo. I think I'm doing too much during these breaks. I think I'm going to have to stop doing work during the breaks.
[01:34:34.000 --> 01:34:45.000]  I try to multitask around here and I figured out that's what's frustrating me. That's what's derailing me and I'm not going to do it anymore. If I don't have the info on something, I'm not going to wait a minute to do it once I get on here.
[01:34:45.000 --> 01:34:57.000]  I'm just psychoanalyzing what sets me off and then ruins my day. You know, most talk show hosts, they sit there and they practice what they're going to do. They script everything.
[01:34:57.000 --> 01:35:05.000]  They have a bunch of guests, a bunch of clips, a bunch of news and you're not really hearing who they are. You're hearing what I really think and what's going on here on this broadcast.
[01:35:05.000 --> 01:35:17.000]  There's nobody telling me what to say or what to do. The problem is that has its own downside because I have probably 50 articles that I actually looked at or read, a couple hundred more that I haven't even gotten to.
[01:35:17.000 --> 01:35:37.000]  They're all incredibly important and I tend to get caught up obsessing over how weird and brainwashed the left is instead of just moving on and exposing the big issues and what the globalists are doing and kind of just get up above the clouds from down there in their false reality
[01:35:37.000 --> 01:35:50.000]  and really get up there in the halls of Elysium where the globalists see themselves operating politically as a breakaway civilization completely separate from what they're up to and what they're doing.
[01:35:50.000 --> 01:36:07.000]  It's coming up, but I will get into chemical because we have the audio now of him saying, you know, you have to be a liberal to be a talk show host because conservatives are all stupid. And the reason I want to get into that is it's illustrative of the overall elitist attitude.
[01:36:07.000 --> 01:36:24.000]  It's also illustrative of how those shows have up to 100 writers and it's all completely scripted, even the pre interviews they do with the folks that get there two, three hours before to script what they're going to talk about with the actors for six minute segments.
[01:36:24.000 --> 01:36:41.000]  To sit there and produce something like this and then say that conservatives couldn't do that is asinine. But that's all they've got is their so called elitism and we are defeating them.
