[00:00.000 --> 00:06.000]  Here is a sneak peek at the new head-to-head TV show I'm doing with Jesse Ventura.
[01:25:35.000 --> 01:25:42.000]  Well, I want to believe it is. But I'll tell you what, I've been down here in the Baha now for 10 years.
[01:25:42.000 --> 01:25:49.000]  And maybe some of it's due to the hurricane that hit here, which was devastating earlier this past fall.
[01:25:49.000 --> 01:25:57.000]  But out where I live, Alex, I'm not seeing the fish this year like I've seen them in past years.
[01:25:57.000 --> 01:26:06.000]  There's no sardine swarms that I'd see five or six of them a day, these hot spots of sardines. I'm not seeing that anymore.
[01:26:06.000 --> 01:26:12.000]  There's nothing dead on the beaches anymore. You can't be dead on the beach if nothing in the water is alive.
[01:26:12.000 --> 01:26:19.000]  That's right. And Fukushima started melting down again this week. And that's what we've got in mainline scientific reports.
[01:26:19.000 --> 01:26:22.000]  They're saying much of the Northern Pacific is dead in a doornail.
[01:26:22.000 --> 01:26:30.000]  Well, I don't know what the whales are here. I will say that the whales are surviving. I'm seeing plenty of whales.
[01:26:30.000 --> 01:26:38.000]  But I'm worried about the other things I'm not seeing. I'm not seeing a lot of seagulls, which are not seagulls.
[01:26:38.000 --> 01:26:44.000]  But what's the ones that's pelicans pelicans? There you go. I'm not seeing I used to see them.
[01:26:44.000 --> 01:26:50.000]  They were like fighter formations down here. You'd see five or six a day with 20 of them in a group, flying in formation.
[01:26:50.000 --> 01:26:57.000]  Unbelievable. Today I see a single pelican here and there. I finally saw a couple of formations the other day.
[01:26:57.000 --> 01:27:05.000]  So I don't know if the hurricane threw everything off here or I don't know. And I'll tell you what's going on down here.
[01:27:05.000 --> 01:27:13.000]  It isn't the sport fishing. It isn't the Mexicans in their bonka boats fishing. They've been doing it for years.
[01:27:13.000 --> 01:27:24.000]  It's these trawlers. They're out at night. I see them. They're five abreast. They drag these nets and they literally sweep the bottom of everything that exists.
[01:27:24.000 --> 01:27:27.000]  Well, that's a big part of it. You know about a real environmental crisis.
[01:27:27.000 --> 01:27:37.000]  Overfishing is devastating fish populations worldwide and something needs to be done about it. That is a real environmental crisis in my view.
[01:27:37.000 --> 01:27:50.000]  Yeah. I mean, I'm living it down here. Alex, I didn't think in one decade I would see the change down here that I've seen in one decade as far as the wildlife goes in the ocean down here.
[01:27:50.000 --> 01:28:00.000]  Well, I'll tell you, it is. Remember, this is the place Jacques Cousteau. Jacques Cousteau bought the Calypso his ship here, parked it here for two to three years and said this is paradise.
[01:28:00.000 --> 01:28:13.000]  I don't think he might say that today. Wow. Real environmental crisis. Undoubtedly humans are causing some big problems, but the globalists just use that to divert us off into things that give them more power and don't fix the problems.
[01:28:13.000 --> 01:28:24.000]  Oh, Alex, always remember what one of my heroes, George Carlin said. You know why we're here, don't you humans on earth? Well, the earth needed plastic.
[01:28:24.000 --> 01:28:38.000]  You know, the earth can produce anything else. The one thing the earth cannot produce is plastic. So that's the reason humans came because humans know how to make plastic and the earth needed plastic.
[01:28:38.000 --> 01:28:47.000]  Because other than that, we are simply a consumer. We do. We give nothing back. We only take.
[01:28:47.000 --> 01:28:57.000]  Well, if you look out in the Pacific, they say that there is a garbage island bigger than Texas floating out off the coast of the United States in between Japan.
[01:28:57.000 --> 01:29:08.000]  Imagine if that thing ever comes ashore. Governor Ventura, I'm not kissing your butt. It is like the fountain of youth down there. You look like you lost 15, 20 pounds. You look 10 years younger. What are you doing?
[01:29:08.000 --> 01:29:15.000]  Well, I do a four mile walk every morning in the desert with four pound weights on each ankle.
[01:29:15.000 --> 01:29:17.000]  And you're doing some surfing?
[01:29:17.000 --> 01:29:28.000]  Well, I'm getting them in. I'm doing a lot of old dumbbell training. You know, I don't have all the mechanized machines off the grid. We're ducking and hiding from the drones all the time. That's why Abraham's always dirty.
[01:29:28.000 --> 01:29:31.000]  Jesse, we're out of time. Thanks for joining us.
[01:29:31.000 --> 01:29:33.000]  All right, Alex, we'll see you next time.
[01:29:33.000 --> 01:29:35.000]  Thanks a lot, buddy. There goes Jesse Ventura on our show.
[01:29:35.000 --> 01:29:45.000]  We're on the march. The Empire's on the run. Alex Jones and the GCN Radio Network.
[01:29:45.000 --> 01:29:52.000]  The month of February is all about Valentine's Day. Big heart shaped boxes filled with delicious candy.
[01:29:52.000 --> 01:29:58.000]  What if we the Patriots hijacked Valentine's Day and instead made it about human liberty and individual empowerment?
[01:29:58.000 --> 01:30:03.000]  I'm all about human potential. I'm all about the individual being empowered. The establishment is the opposite.
[01:30:03.000 --> 01:30:08.000]  That's why they spike our water with fluoride, GMO, estrogen mimickers and the rest of the garbage.
[01:30:08.000 --> 01:30:15.000]  Info Wars is striking back in the month of February with Human Empowerment Month, how we can come together and win the human race.
[01:30:15.000 --> 01:30:23.000]  And to celebrate the kickoff of Human Empowerment Month, we're slashing prices on InfoWarsLife.com products like Super Male and Super Female Vitality.
[01:30:23.000 --> 01:30:30.000]  The sale is only running for the month, 20% off, and there's a lot of other powerful specials at InfoWarsLife.com.
[01:30:30.000 --> 01:30:39.000]  InfoWarsLife.com, celebrating human potential in the month of February. Visit InfoWarsLife.com to find this special and many others in the month of February.
[01:30:39.000 --> 01:30:45.000]  Again, InfoWarsLife.com or 888-553-3139.
[01:30:45.000 --> 01:30:51.000]  Used since before the days of the Roman Empire to support the body's natural systems and enhance overall health.
[01:30:51.000 --> 01:31:04.000]  Introducing the new InfoWarsLife.com oil of oregano formulation, a highly advanced nutraceutical form of this key herb that has been traditionally used by civilizations for thousands of years to promote health.
[01:31:04.000 --> 01:31:18.000]  We have now procured the most high quality and potent forms of oregano oil on the market, sourced from top leading manufacturers to ensure a concentrated level of bioactive ingredients extracted directly from the wild herb.
[01:31:18.000 --> 01:31:24.000]  And sealed in easy to use capsules, you will no longer need to endure the burning of liquid oregano on the tongue.
[01:31:24.000 --> 01:31:31.000]  Wild crafted from the Mediterranean oregano species that experts agree is one of the most powerful and most challenging to acquire.
[01:31:31.000 --> 01:31:36.000]  This winter season is more important than ever to secure this true form of oil of oregano.
[01:31:36.000 --> 01:31:45.000]  Now available in our limited first run at InfoWarsLife.com, that's InfoWarsLife.com or call 888-253-3139.
[01:31:45.000 --> 01:31:50.000]  The average person's life is filled with unexpected challenges.
[01:31:50.000 --> 01:31:56.000]  Unlock the energy it takes to defeat these daily beasts with super male or super female vitality,
[01:31:56.000 --> 01:32:05.000]  specifically designed to assist the body in regulating proper hormone balance to create superior vitality in males and females.
[01:32:05.000 --> 01:32:15.000]  Supercharge and conquer your world at InfoWarsLife.com or call 1-88-253-3139.
