[00:00.000 --> 00:06.000]  That's right, Headache Stay Gone must work for you before you pay for it.
[01:19:01.000 --> 01:19:06.000]  Look, the Bible's a history book and you look at Babylon and all these places, the Bible says when you become enslaved,
[01:19:06.000 --> 01:19:16.000]  your new owners will set women above you and so women enjoy it.
[01:19:17.000 --> 01:19:21.000]  I mean, you're going to have a completely destroyed society, look what's happened to black people
[01:19:22.000 --> 01:19:28.000]  and it's already happened, over 50% illegitimacy in whites and we'll be 90% making no mistakes soon enough
[01:19:29.000 --> 01:19:35.000]  and the media will put out an image of a male, the cool thing is to walk with your shoulders bent over
[01:19:36.000 --> 01:19:41.000]  and your pants hanging down, looking left and right and shifty and so your young males learn how to act like that.
[01:19:42.000 --> 01:19:49.000]  Well, that's just how the slaves acted 2,000 years ago and 200 years ago and we act just like slaves, don't we?
[01:19:50.000 --> 01:19:55.000]  It's cool to make jokes and be stupid and not be able to talk because we're a social creature.
[01:19:56.000 --> 01:20:01.000]  They show us this on TV, every Fox TV show where it's a sitcom, the men are all complete scum idiots,
[01:20:01.000 --> 01:20:08.000]  total drunk fools who can't do anything, the mother's the boss, see, see?
[01:20:09.000 --> 01:20:16.000]  They play to be promiscuous, go ahead and get a divorce, you see?
[01:20:17.000 --> 01:20:23.000]  Because they don't want men leading families, being strong tribal units, no.
[01:20:24.000 --> 01:20:28.000]  No, they want us to be a bunch of gang members acting like monkeys.
[01:20:28.000 --> 01:20:32.000]  Well, stop acting like it, you want to rebel, be straight and strong.
[01:20:35.000 --> 01:20:43.000]  Hello folks, this is Alex Jones introducing you to the incredible Berkey Solar Charger, your source for free solar electricity.
[01:20:44.000 --> 01:20:50.000]  This portable system is the size of a book when folded and small enough to fit into a briefcase, handbag or glove compartment.
[01:20:51.000 --> 01:20:56.000]  The Berkey Solar Charger has been designed to power the Berkey Lights LED lamps as well as other applications
[01:20:56.000 --> 01:21:02.000]  such as mobile phones, radios, digital cameras and PDAs when electricity is not available.
[01:21:03.000 --> 01:21:10.000]  Its multi-voltage capabilities, multiple adapters and rechargeable batteries provide for flexible source of auxiliary backup power.
[01:21:11.000 --> 01:21:15.000]  Simply place the Berkey Solar Charger in the sun, plug in your application and you have power.
[01:21:16.000 --> 01:21:20.000]  Disconnect your application, the system automatically begins charging its own rechargeable batteries.
[01:21:21.000 --> 01:21:25.000]  Get the incredible Berkey Solar Charger for only $75 by calling New Millennium.
[01:21:26.000 --> 01:21:31.000]  Call us at 888-803-4438 and tell them Alex Jones sent you.
[01:21:32.000 --> 01:21:35.000]  That's toll free, triple 8, 803-4438.
[01:21:36.000 --> 01:21:39.000]  David J. Smith for Newswatch Magazine.
[01:21:40.000 --> 01:21:45.000]  Have you ever been told that communism has collapsed and no longer a threat to our national sovereignty?
[01:21:46.000 --> 01:21:53.000]  If so, why are communists overthrowing African and South and Central American governments to install a communist regime?
[01:21:53.000 --> 01:22:02.000]  If so, why has Cuba and China agreed with other communist countries to surround the United States in preparation for an attack to end capitalism?
[01:22:03.000 --> 01:22:11.000]  We'd like to help you understand why these things are happening by offering you an absolutely free one-year subscription to Newswatch Magazine.
[01:22:12.000 --> 01:22:20.000]  Just call our toll-free number 1-800-516-8736.
[01:22:21.000 --> 01:22:26.000]  That's 1-800-516-8736.
[01:22:27.000 --> 01:22:33.000]  Call now. Operators are standing by to receive your order for a free subscription to Newswatch Magazine.
[01:22:36.000 --> 01:22:39.000]  The United States seems to be celebrating over its triumph of reducing government debt.
[01:22:39.000 --> 01:22:51.000]  But the truth be told, public and private debt increased to a record high in 1999, reaching a peak of $14.8 trillion, marking 10.57% annual increase, outpacing its previous 10 years.
[01:22:52.000 --> 01:22:58.000]  The U.S. economy receives its currency by taking on debt through a private banking institution called the Federal Reserve System.
[01:22:59.000 --> 01:23:02.000]  In the year 2000, debt growth collapsed to only 4.5%.
[01:23:03.000 --> 01:23:07.000]  It's bad enough that the U.S. citizens is bound by debt in order to have commerce.
[01:23:08.000 --> 01:23:13.000]  However, shocking the economy with the reduction of this magnitude could wipe out years of growth in a stock portfolio.
[01:23:14.000 --> 01:23:17.000]  Before you make your next investment decision, get the cold hard facts.
[01:23:18.000 --> 01:23:23.000]  Call 1-800-686-2237 for your free report on the outstanding level of public and private debt.
[01:23:24.000 --> 01:23:28.000]  You must understand how recession and depression are driven by outstanding debt.
[01:23:28.000 --> 01:23:34.000]  Call 1-800-686-2237. That's 1-800-686-2237.
[01:23:35.000 --> 01:23:40.000]  Times are tough right now, but there are a lot of different ways to get ourselves out of this mess.
[01:23:41.000 --> 01:23:44.000]  Providing for our own food, water, and power are a good start.
[01:23:45.000 --> 01:23:51.000]  As you may have heard by now, Ken's Solar has been configuring alternative energy packages for over a decade.
[01:23:52.000 --> 01:23:55.000]  One of Ken's most popular items right now is the new solar-powered generator.
[01:23:55.000 --> 01:24:00.000]  For a lot less than you'd expect, this portable system can chop up nearly a third of your electric bill.
[01:24:01.000 --> 01:24:06.000]  Getting yourself onto solar power is one of the most liberating things you can do for yourself and your family.
[01:24:07.000 --> 01:24:14.000]  The solar-powered generator will run your lights, fan, electric blanket, your refrigerator, and a whole slew of household items.
[01:24:15.000 --> 01:24:23.000]  Visit Ken's website at kensolar.com for free downloads, free videos and how-tos, and of course the new solar-powered generator.
[01:24:23.000 --> 01:24:27.000]  Enter the GCN coupon code during your order and save an additional 10%.
[01:24:28.000 --> 01:24:34.000]  Get a solar-powered generator now from kensolar.com. That's kensolar.com.
[01:24:53.000 --> 01:25:16.000]  Welcome back. Let's go to some calls.
[01:25:17.000 --> 01:25:24.000]  We've got that big gas holdup against the IRS coming up in the next hour. Ed Brown, amazing story.
[01:25:25.000 --> 01:25:29.000]  Let's go to Patrick in Ohio. Thanks for holding on. I'm going to move quickly. Go ahead.
[01:25:30.000 --> 01:25:37.000]  Hey, Alex. It's Patrick here in Columbus. I called a couple months ago, but this time I want to talk about Big Brother in action.
[01:25:37.000 --> 01:25:48.000]  I was traveling from Florida back to Ohio, and on I-75 near Atlanta, Georgia, I happened to see Big Brother in action with a billboard
[01:25:49.000 --> 01:25:55.000]  asking us to be profiled to prevent 9-11 from happening, and I just thought to myself...
[01:25:56.000 --> 01:25:59.000]  And now they're using the AMBER Alert, which I told you 10 years ago as I read the federal plan,
[01:26:00.000 --> 01:26:05.000]  is really going to be anti-gun messages, anti-terror messages, cattle on your neighbor messages,
[01:26:05.000 --> 01:26:09.000]  and now they are right here in Texas and all over the country. Report terrorist 1-800.
[01:26:10.000 --> 01:26:15.000]  And, yeah, profile everyone. Help us spy on everyone. They're recruiting all the truck drivers. It's just hell on earth.
[01:26:16.000 --> 01:26:20.000]  I asked your listeners if they could possibly maybe take a picture of that to send.
[01:26:21.000 --> 01:26:27.000]  Well, why don't you go buy a disposable camera for eight bucks and take shots and mail it to me and I'll post it?
[01:26:28.000 --> 01:26:30.000]  Well, you know, I'm in Ohio. This was in Georgia.
[01:26:31.000 --> 01:26:32.000]  Where were you in Georgia?
[01:26:32.000 --> 01:26:39.000]  It was near Atlanta. It's about maybe 50 miles south of Atlanta on I-75.
[01:26:40.000 --> 01:26:44.000]  I-75, 40-50 miles south of Atlanta, Georgia.
[01:26:45.000 --> 01:26:50.000]  Yes, and that's where I saw it. And I'm going to get back to Ed Brown.
[01:26:51.000 --> 01:26:54.000]  I've been trying to gather information on him.
[01:26:55.000 --> 01:27:01.000]  You know, it's funny. Fox News portrays Ed as almost like a terrorist. He's like an enemy to the U.S.
[01:27:02.000 --> 01:27:06.000]  He's not paying his money into the private banks that are destroying the country. How dare him?
[01:27:07.000 --> 01:27:12.000]  You know, they act like his house looks like it's a battle fortress with guns hanging out of it.
[01:27:13.000 --> 01:27:15.000]  It looks like a normal house to me when I look at the photos.
[01:27:16.000 --> 01:27:19.000]  Well, they're mad that he's saying, go ahead, come kill me. That's it. I've had enough.
[01:27:20.000 --> 01:27:25.000]  And wait till, God forbid, they kill a bunch of people like him. It's just going to be Waco after Waco.
[01:27:26.000 --> 01:27:30.000]  Every time they do it, our numbers swell. Every time they do it, we're that much closer to arresting these people.
[01:27:30.000 --> 01:27:32.000]  Just let them continue. Let them continue.
[01:27:33.000 --> 01:27:36.000]  You know, the Pentagon can lose $2.3 trillion.
[01:27:37.000 --> 01:27:41.000]  That's an AP article from five and a half years ago, sir. It's now 3.9 trillion.
[01:27:42.000 --> 01:27:48.000]  They can't go find that, but yet they're going to go attack this man who's minding his own business.
[01:27:49.000 --> 01:27:52.000]  Well, the average idiot out there thinks, well, we've got to pay taxes. We've got to pay for stuff.
[01:27:53.000 --> 01:27:57.000]  Your gas taxes, your road taxes, your property taxes, your state income taxes,
[01:27:58.000 --> 01:28:02.000]  all of those things pay for the infrastructure which they're going to use to control us.
[01:28:03.000 --> 01:28:06.000]  As Ronald Reagan said, as the Commission said, as Paul K. Roberts will tell you,
[01:28:07.000 --> 01:28:13.000]  not one cent of this money goes around the country, goes directly into the Federal Reserve.
[01:28:14.000 --> 01:28:18.000]  And then they're the ones that issue the money to begin with, order the Treasury, and control the money volume.
[01:28:19.000 --> 01:28:24.000]  It's a tool of control. The elites aren't even involved, quote, in money. They literally issue it.
[01:28:24.000 --> 01:28:29.000]  It's all about control. That's why when you make money, they don't send you credit cards every day,
[01:28:30.000 --> 01:28:35.000]  but when you're poor and broke and living in a one-room, cockroach-infested apartment in college eating ramen noodle,
[01:28:36.000 --> 01:28:41.000]  you get credit cards every few days in the mail. It's about getting you in the system. It's about debilitating you.
[01:28:42.000 --> 01:28:44.000]  It's about controlling you. It's about making sure you're not independent.
