[00:00.000 --> 00:02.320]  Visit survivalistseeds.com.
[1:57:39.400 --> 1:57:45.560]  people now compared to that could be 2002 goes week on which is where the US
[1:57:45.560 --> 1:57:51.320]  attacks Georgia through Georgia in the Russia even in the same month yeah so are
[1:57:51.320 --> 1:57:55.360]  they getting us ready for this to be so we saw they did Fox TV shows with the
[1:57:55.360 --> 1:57:57.760]  government hijacks a jet to fly the World Trade Center to blame it on
[1:57:57.760 --> 1:58:02.560]  Afghanistan and they love the flood what they're gonna do beforehand so you got
[1:58:02.560 --> 1:58:07.000]  to look at that they criminals love to brag they always do out of time God bless
[1:58:07.000 --> 1:58:10.920]  you all see you back next Sunday or back tomorrow info wars dot com appreciate
[1:58:10.920 --> 1:58:14.640]  you all get out there and take on tyranny knowing is to have the battle
[1:58:14.640 --> 1:58:18.480]  taking action is the other half let's do it together death of the New World Order
[1:58:18.480 --> 1:58:22.480]  forever for Liberty hi this is Ted Anderson did you miss your favorite
[1:58:22.480 --> 1:58:25.680]  shows on GCN today thanks to the continued support of our listeners
[1:58:25.680 --> 1:58:29.520]  subscribers and sponsors we are proud to bring the GCN audience a new and
[1:58:29.520 --> 1:58:34.480]  exciting way to listen called on demand available on GCN live dot com on demand
[1:58:34.480 --> 1:58:38.280]  plays each show continuously until the next time the show goes live it's simple
[1:58:38.280 --> 1:58:42.480]  to use just go to GCN live dot com click on the on-demand button and find your
[1:58:42.480 --> 1:58:47.400]  favorite shows don't get discouraged get on demand free thanks again to the
[1:58:47.400 --> 1:58:53.200]  listeners at GCN live dot com are your Federal Reserve notes looking for a
[1:58:53.200 --> 1:58:58.720]  safe haven mine found it in precious metals not paper promises but actual
[1:58:58.720 --> 1:59:04.400]  gold in my possession it is liquid it is private it owes no one it cannot go
[1:59:04.400 --> 1:59:09.520]  bankrupt and it maintains its purchasing power find your answer at Midas
[1:59:09.520 --> 1:59:19.640]  Resources that's 1-800-686-2237 the answer is that 1-800-686-2237
[1:59:19.640 --> 1:59:25.240]  honey have you seen the remote sweetie have you seen my car keys I can't find
[1:59:25.240 --> 1:59:29.560]  my wallet sound familiar why not save time looking for lost things and lose
[1:59:29.560 --> 1:59:33.800]  the stress instead introducing our patented find one find all keyfinders
[1:59:33.800 --> 1:59:38.360]  or fofa XD for short once a fofa keyfinder is attached to each of those
[1:59:38.360 --> 1:59:42.800]  easy-to-lose things it can find and be found by all the rest use your wallet
[1:59:42.800 --> 1:59:47.080]  to find your keys your keys to find the remote control or any of them to find an
[1:59:47.080 --> 1:59:50.680]  uncharged or muted cell phone the possibilities are endless fofa goes
[1:59:50.680 --> 1:59:54.400]  through walls cushions and laundry baskets up to 30 feet and projects a
[1:59:54.400 --> 2:00:09.120]  clear 90 plus decibel beep got the remote oh my keys
