[00:00.000 --> 00:14.000]  And now, the tip of the spear, leading the fight to take back the nation, it's Olin Shroyer.
[01:32:39.000 --> 01:32:44.000]  In fact, current research has found that it actually acts by blocking the activity of
[01:32:44.000 --> 01:32:49.000]  triptase, which is an enzyme that amplifies immune and inflammatory responses in the body.
[01:32:49.000 --> 01:32:52.000]  Go outside and enjoy the air you breathe.
[01:32:52.000 --> 01:32:57.000]  Head to infowarstore.com and grab a pack of our pollen block chewable tablets.
[01:33:22.000 --> 01:33:27.000]  It looks like he's starting to fail it.
[01:33:27.000 --> 01:33:29.000]  We had a chemical attack a few days ago.
[01:33:29.000 --> 01:33:32.000]  It was clearly a false flag inside Syria.
[01:33:32.000 --> 01:33:34.000]  The Russians announced they're pulling out.
[01:33:34.000 --> 01:33:38.000]  Rebels have been caught three times staging chemical attacks before.
[01:33:38.000 --> 01:33:40.000]  The Globals want to keep that conflict going.
[01:33:40.000 --> 01:33:43.000]  The same globals that back to ISIS and al-Qaeda.
[01:33:43.000 --> 01:33:50.000]  And now Trump has said he's looking in the next 24 hours or so at the possibility of striking 20-plus Russian targets.
[01:33:50.000 --> 01:33:54.000]  Now, Paul Watson is reported on infowarstore.com, state department statements, and others,
[01:33:54.000 --> 01:33:58.000]  that Trump's planning to hit 70 targets or that that's on the table right now,
[01:33:58.000 --> 01:34:03.000]  including Russian military bases and air bases and an naval base,
[01:34:03.000 --> 01:34:05.000]  where the Russians are already pulling out.
[01:34:05.000 --> 01:34:07.000]  This is insane.
[01:34:07.000 --> 01:34:10.000]  The Russians went in to stop the al-Qaeda, ISIS forces.
[01:34:10.000 --> 01:34:14.000]  Now, the neocons on the left are on Trump's ass about Russiagate.
[01:34:14.000 --> 01:34:17.000]  I think probably blackmailing him, not with some kind of Russiagate stuff,
[01:34:17.000 --> 01:34:20.000]  like Daniel's, start World War III.
[01:34:20.000 --> 01:34:22.000]  True insane scum in D.C.
[01:34:22.000 --> 01:34:24.000]  Bipartisan total filth.
[01:34:24.000 --> 01:34:28.000]  The same type of terroristic lawsuits we see filed against such a shutdown-free speech.
[01:34:28.000 --> 01:34:30.000]  They're after our guns.
[01:34:30.000 --> 01:34:34.000]  They're just pure authoritarians, like the Nazis, like the Soviets.
[01:34:34.000 --> 01:34:36.000]  The poor Russians have done nothing to us.
[01:34:36.000 --> 01:34:40.000]  And it's this litmus test of being beat over the head until you accept a huge war.
[01:34:40.000 --> 01:34:42.000]  The Russians went in and did what we should have done.
[01:34:42.000 --> 01:34:47.000]  The Russian military backed it five years ago, blocked Obama, but now it is just a real...
[01:34:47.000 --> 01:34:49.000] ...family.
[01:34:49.000 --> 01:34:51.000]  See my wife and baby right over there.
[01:34:51.000 --> 01:34:53.000]  I took on the D.C. trip with me.
[01:34:53.000 --> 01:34:56.000]  And it just makes me really, really upset that I'm a father,
[01:34:56.000 --> 01:34:59.000]  and I love my family, and this type of crap's going on.
[01:34:59.000 --> 01:35:04.000]  Yeah, Trump brought the economy back and got us out of the TPP and all this globalism.
[01:35:04.000 --> 01:35:08.000]  But the cancer that is the globalists, Bipartisan, is just unbelievable.
[01:35:08.000 --> 01:35:12.000]  And shame on all the Twitter bots, and Google bots, and YouTube bots, and Facebook bots,
[01:35:12.000 --> 01:35:16.000]  who get your stuff promoted so you attack America, you attack me, you attack Trump.
[01:35:16.000 --> 01:35:21.000]  All of you are the ones driving this towards total war and your whole BS Russian era.
[01:35:21.000 --> 01:35:27.000]  There's my wife right there. There's my baby.
[01:35:27.000 --> 01:35:31.000]  And they just don't want to live in a nuclear war.
[01:35:31.000 --> 01:35:33.000]  They don't want to have this kind of crap happen.
[01:35:33.000 --> 01:35:35.000]  And America's on the wrong side of this, man.
[01:35:35.000 --> 01:35:39.000]  This is absolutely wrong. I'm sick of it.
[01:35:39.000 --> 01:35:43.000]  I don't just show you my daughter, love an uncle or daughter, ever.
[01:35:43.000 --> 01:35:46.000]  I just show it to you, because naturally it's on the line. Your children, too.
[01:35:46.000 --> 01:35:49.000]  I'm so sick of this crap.
[01:35:49.000 --> 01:35:54.000]  I'm flying back to Austin, hoping nuclear war doesn't start long in the air for three hours.
[01:35:54.000 --> 01:35:57.000]  I tell people I've taken freedom for granted so long,
[01:35:57.000 --> 01:36:00.000]  we'll bring the Islamists in, the attacks, they take our freedom,
[01:36:00.000 --> 01:36:02.000]  some of the globalists are allied with it.
[01:36:02.000 --> 01:36:06.000]  And then I guess who checked us coming in was nothing but women and burkas.
[01:36:06.000 --> 01:36:08.000]  Headdress is total joke.
[01:36:08.000 --> 01:36:10.000]  I mean, it is just such an unbelievable joke.
[01:36:10.000 --> 01:36:12.000]  The globalists are allied with radical Islam.
[01:36:12.000 --> 01:36:14.000]  They're allied with the EU. They're allied with the Communist Chinese.
[01:36:14.000 --> 01:36:17.000]  It's not the Russians. The Russians have pulled out of the globalist system
[01:36:17.000 --> 01:36:20.000]  after 85 years being under their control.
[01:36:20.000 --> 01:36:22.000]  And that's why the globalists want them back under their control.
[01:36:22.000 --> 01:36:23.000]  Everybody else under control.
[01:36:23.000 --> 01:36:26.000]  It's about raw, satanic power.
[01:36:26.000 --> 01:36:29.000]  All right, call the White House, call Congress, call Seisman, create a huge buzz,
[01:36:29.000 --> 01:36:32.000]  and know you don't use some... I saw a comment earlier,
[01:36:32.000 --> 01:36:34.000]  a great point on my YouTube video.
[01:36:34.000 --> 01:36:37.000]  Six months later, eight months later, we don't know who did Vegas.
[01:36:37.000 --> 01:36:39.000]  Was it six months later?
[01:36:39.000 --> 01:36:41.000]  Of course we do. It was Islamists' attack.
[01:36:41.000 --> 01:36:43.000]  Saudi Arabia did some war.
[01:36:43.000 --> 01:36:47.000]  They know that within two hours it was the Russians in Syria,
[01:36:47.000 --> 01:36:49.000]  right when the Russians were pulling out
[01:36:49.000 --> 01:36:51.000]  and the rebels had been caught doing it before.
[01:36:51.000 --> 01:36:53.000]  Why would the Russians give themselves a black eye?
[01:36:53.000 --> 01:36:56.000]  This is about keeping that war going, getting Assad out.
[01:36:56.000 --> 01:37:00.000]  Libya attacks Syria. Obama attacks Syria. It's wrong. It's bull.
[01:37:00.000 --> 01:37:03.000]  We need to get out of there now. This needs to frickin' stop.
[01:37:03.000 --> 01:37:05.000]  I personally am sick of it.
[01:37:05.000 --> 01:37:07.000]  That's my family right there.
[01:37:07.000 --> 01:37:09.000]  And it's about them.
[01:37:09.000 --> 01:37:12.000]  And it's about my family right there.
[01:37:12.000 --> 01:37:15.000]  Not dying in a nuclear winter.
[01:37:15.000 --> 01:37:17.000]  We just think this stuff can never happen.
[01:37:17.000 --> 01:37:20.000]  So the left is so brazen, they overthrew Iraq, they overthrew Libya,
[01:37:20.000 --> 01:37:22.000]  they overthrew our allies like Egypt,
[01:37:22.000 --> 01:37:25.000]  and they just want war and power and control, and it's sick.
[01:37:25.000 --> 01:37:27.000]  And Trump's instincts are right to not do this
[01:37:27.000 --> 01:37:29.000]  and announce we were pulling out two weeks ago.
[01:37:29.000 --> 01:37:31.000]  So Trump announces we're pulling out.
[01:37:31.000 --> 01:37:33.000]  And this whole new crisis starts claiming he's soft on Russia.
[01:37:33.000 --> 01:37:36.000]  The same crap with that damn Mueller.
[01:37:36.000 --> 01:37:38.000]  So enjoy yourselves, everybody. Enjoy nuclear war.
[01:37:38.000 --> 01:37:40.000]  That's what happens. Pray for peace and pray for Trump
[01:37:40.000 --> 01:37:42.000]  to make the right decision.
[01:37:42.000 --> 01:37:44.000]  I'm Alex Jones with them, FullWars.com.
[01:37:44.000 --> 01:37:46.000]  I'm with Troyers Live, right now covering it all on the radio
[01:37:46.000 --> 01:37:48.000]  in FullWars.com for what's my show.
[01:37:48.000 --> 01:37:55.000]  And I'll tell you, it's amazing.
[01:37:55.000 --> 01:37:59.000]  You realize the reason why they want to demonize Russia so much
[01:37:59.000 --> 01:38:06.000]  and pit America against Russia is because Russia's not globalist.
[01:38:06.000 --> 01:38:08.000]  I'm not saying Russia's perfect.
[01:38:08.000 --> 01:38:12.000]  Russia has its own problems, but they're not globalist.
[01:38:12.000 --> 01:38:16.000]  So that means the Russian government is going to, in general,
[01:38:16.000 --> 01:38:21.000]  just tell the truth or at least not go along with the globalist bull crap.
[01:38:21.000 --> 01:38:26.000]  So you've got the Russian ambassador to the United Nations right now,
[01:38:26.000 --> 01:38:32.000]  Vasily Nebensiya, addressing the UN Security Council to refute claims
[01:38:32.000 --> 01:38:35.000]  that Syrian leader Bashar al-Assad gassed his own people
[01:38:35.000 --> 01:38:38.000]  and that the United States is imposing undue hostilities on Russia
[01:38:38.000 --> 01:38:40.000]  for defending its sovereignty.
[01:38:40.000 --> 01:38:43.000]  Now, we've already got plenty of proof of this.
[01:38:43.000 --> 01:38:45.000]  In fact, we already told you this was coming.
[01:38:45.000 --> 01:38:47.000]  Other news outlets already told you this was coming.
[01:38:47.000 --> 01:38:51.000]  Nikki Haley told you this was coming last June.
[01:38:51.000 --> 01:38:53.000]  Don't take my word for it.
[01:38:53.000 --> 01:38:56.000]  I got the tweet right here.
[01:38:56.000 --> 01:38:59.000]  Nikki Haley, any further attacks done to the people of Syria
[01:38:59.000 --> 01:39:00.000]  will be blamed on Assad.
[01:39:00.000 --> 01:39:02.000]  Again, no evidence, just jumping to conclusions,
[01:39:02.000 --> 01:39:04.000]  just telling you their false flag is coming.
[01:39:04.000 --> 01:39:07.000]  But also Russia and Iran who support him killing his own people
[01:39:07.000 --> 01:39:10.000]  and then they're going to turn it into a Russian-Iran issue.
[01:39:10.000 --> 01:39:14.000]  So Nikki Haley shows you their cards and then the people still fall for it.
[01:39:14.000 --> 01:39:20.000]  So listen to what Vasily Nebensiya said at the UN Security Council.
[01:39:20.000 --> 01:39:22.000]  I'm reading from the transcript here.
[01:39:22.000 --> 01:39:24.000]  We're combing through this video to get all of it.
[01:39:24.000 --> 01:39:26.000]  Very long transcript, but very important things said.
[01:39:26.000 --> 01:39:28.000]  Let me just read directly here.
[01:39:28.000 --> 01:39:33.000]  Also, information is surfacing that the Altaf Camp American instructors
[01:39:33.000 --> 01:39:37.000]  have trained a number of groups of fighters to stage provocations
[01:39:37.000 --> 01:39:40.000]  with chemical weapons used to create a pretext for a strike.
[01:39:40.000 --> 01:39:45.000]  It was clear to us that attempts to shelter terrorists and at the same time
[01:39:45.000 --> 01:39:48.000]  punish the regime so hated by some Western capitalists
[01:39:48.000 --> 01:39:50.000]  would sooner or later be undertaken.
[01:39:50.000 --> 01:39:52.000]  Yeah, they've been trying this for years.
[01:39:52.000 --> 01:39:56.000]  Speaking heads on television screens sought to repeal last year's strike against Syria.
[01:39:56.000 --> 01:40:01.000]  This morning there were strikes against the T-4 airfield in Hamz province.
[01:40:01.000 --> 01:40:03.000]  We are deeply troubled by such actions.
[01:40:03.000 --> 01:40:08.000]  Provocations in Douma echo last year's incident in Khan Shikun.
[01:40:08.000 --> 01:40:13.000]  The unifying aspect is the fact that there is a planned nature of these attacks.
[01:40:13.000 --> 01:40:19.000]  An analysis of the USS operations prior to and after the incident in Khan Shikun.
