[00:00.000 --> 00:10.000]  And I grow up, I always be around you guys!
[01:21:52.000 --> 01:22:00.000]  They have to always let people out and they commit terror attacks because they don't want you to know they're letting Islam in to then take your rights.
[01:22:00.000 --> 01:22:04.000]  So Millie Weaver, reporter for infowars.com.
[01:22:04.000 --> 01:22:08.000]  She's one of the only folks not purged off the precious Twitter as people can follow her there for now.
[01:22:08.000 --> 01:22:12.000]  Other points on what your source is saying he thinks is coming in Canada.
[01:22:12.000 --> 01:22:19.000]  I think the fact that Canada is gearing up, as you say, for an emergency from according to your source with all the other calls to have a coup against Trump.
[01:22:19.000 --> 01:22:22.000]  I think that just fits into the overall climate.
[01:22:22.000 --> 01:22:23.000]  Exactly, Alex.
[01:22:23.000 --> 01:22:33.000]  That's the whole point I'm trying to make here is that this source who personally communicates with and knows Trudeau and has privy information is basically saying in a panic.
[01:22:33.000 --> 01:22:42.000]  Canada is preparing itself for measures that they could take in the event of a coup or an overthrow in the United States.
[01:22:42.000 --> 01:22:57.000]  And why would they why would they have a knowledge of that if it not for the fact that Justin Trudeau himself is a leftist that aligns himself with the left and the deep state that would be talking about and plotting the overthrow.
[01:22:57.000 --> 01:23:04.000]  Oh, I mean, it's fair to say that Justin Trudeau is the it's a very crude term and I hate to use it, but it absolutely fits.
[01:23:04.000 --> 01:23:10.000]  It's true. I mean, Justin Trudeau is the butt plug of the New World Order.
[01:23:10.000 --> 01:23:15.000]  I mean, let's just say he's the sewer line of the New World Order.
[01:23:15.000 --> 01:23:18.000]  He's just a horrible creature says don't use the words mother and father.
[01:23:18.000 --> 01:23:20.000]  He is totally committed to evil.
[01:23:20.000 --> 01:23:22.000]  And I know the Canadians are totally upset with him.
[01:23:22.000 --> 01:23:24.000]  They want to get rid of him.
[01:23:24.000 --> 01:23:39.000]  And what it is is we see this underlying theme here between the NAFTA negotiations as to who's going to go against America and the Trump Patriots and who's going to be standing with the globalists once they try to do this coup.
[01:23:39.000 --> 01:23:53.000]  And essentially in some of these articles, Canada came out and said they felt betrayed by Mexico in Mexico being willing to work with Trump and his administration and Mexico was basically like, well, Canada just seems out.
[01:23:53.000 --> 01:24:02.000]  For itself and we want to make sure we're on the best negotiating and we can be because both sides don't know what's going to happen here.
[01:24:02.000 --> 01:24:04.000]  They don't know how a coup is going to play out.
[01:24:04.000 --> 01:24:08.000]  And in fact, the deep state doesn't even know how a coup would play out either.
[01:24:08.000 --> 01:24:12.000]  So everyone's just trying to position themselves, make alliances.
[01:24:12.000 --> 01:24:34.000]  And there's a lot of chatter going on right now in the intelligence community about this coup, about also Islamic terror cells being activated inside the U.S. and Canada, which raises huge red flags again for talk of a potential false flag terror attack that could happen around the midterms or sometime after.
[01:24:34.000 --> 01:24:45.000]  Oh, there's no doubt they're going to attack the media and say I'm behind it, but they're not running thousands of articles saying I'm calling for violence and lying when I'm not saying it and saying I'm saying get battle rivals ready for the media when I haven't said that.
[01:24:45.000 --> 01:24:47.000]  They're not doing that for nothing.
[01:24:47.000 --> 01:24:49.000]  They are gearing up for false flags.
[01:24:49.000 --> 01:24:58.000]  But the problem is they're real people are trying to stab Congressman, shoot Congressman, stab congressional candidates, burn down Republican facilities.
[01:24:58.000 --> 01:25:08.000]  Just today, death threats everywhere. I mean, it is getting redunculus bonkers crazy right now.
[01:25:08.000 --> 01:25:15.000]  So I don't see how this violent blue wave is going to be blamed on Republicans.
[01:25:15.000 --> 01:25:25.000]  Well, another important thing to note here, Alex, the another thing that points to the fact that there's a coup possible, or there's some kind of emergency that's going to happen possible.
[01:25:25.000 --> 01:25:42.000]  Is that President Trump actually made a presidential proclamation on August 31 declaring this month, September 2018, National Preparedness Month, and essentially in his presidential proclamation, which you can pull up on
[01:25:42.000 --> 01:25:55.000]  House dot gov. He's basically warning people to take measures and actions to get prepared for the inevitable or the unpredicted disasters and things that could happen in our nation.
[01:25:55.000 --> 01:26:03.000]  And yes, he does mention, you know, disasters in the wake, an example with hurricanes and other things like that.
[01:26:03.000 --> 01:26:13.000]  He's also mentioning just overall being prepared for the unknown, whether it's economic, whether it's anything. And this is a very important thing.
[01:26:13.000 --> 01:26:30.000]  He initiated this proclamation on August 31. And this is all in this timeline when they fully went forward with censoring and banning Alex Jones and info wars on August 4 and continuing on throughout this.
[01:26:30.000 --> 01:26:39.000]  And now they're purging everybody else. They're getting the voice, the voices silenced. They don't want live feeds to counter their narrative ahead of the big false flag. Millie, we were great job. We'll talk to you soon.
[01:26:39.000 --> 01:26:51.000]  Thank you, Alex. Thank you. Okay, now we have a bunch of big guests coming up as well. Eric Bowling, formerly a Fox News. I once joked that I wanted to have a bear knuckles boxing match with him.
[01:26:51.000 --> 01:27:01.000]  He didn't beat me up. It was a joke. I'm actually scared now. I ran into him at Trump Tower and I grew 90% of what he has to say. And he disagrees with me on a lot of things, or at least what the media has said about straw man.
[01:27:01.000 --> 01:27:11.000]  He's going to be in here all next hour. Roger Stone coming up. We got Graham Ledger of One American News about the censorship. How is Trump going to fight back? What's the latest in DC on executive orders?
[01:27:11.000 --> 01:27:21.000]  They are imminent. And I've got that from White House sources, campaign sources, and some of the, let's just say community outreach groups that Trump is involved with.
[01:27:21.000 --> 01:27:27.000]  I think people can probably guess what I'm talking about. It would have been done weeks ago, but he's being sabotaged as they now admit.
[01:27:27.000 --> 01:27:36.000]  So that's coming up with Graham Ledger in the next segment. First off, everybody needs to go to infowarstore.com and support the broadcast. Obviously, that's clear.
[01:27:36.000 --> 01:27:43.000]  We're under attack. We're trying to expand the Democratic Party's coming after me. Hillary's trying to shut me down. They got all these fake lawsuits.
[01:27:43.000 --> 01:27:50.000]  We're beating a lot of these, but it's going to take a lot of money. So if you want them to win, don't get the products, but you are doing it.
[01:27:50.000 --> 01:28:00.000]  You are doing it. So we have amazing specials right now in X2 that is the final run. It's like a no longer secure it from this big oil company where they get it at 12,000 feet.
[01:28:00.000 --> 01:28:08.000]  The pure iodine. Nobody else has it. Maybe we'll get it again with another company. The contract's over. I can't get a better deal. They keep raising prices.
[01:28:08.000 --> 01:28:16.000]  We're working on some other suppliers, but you know, you got to go through a bunch of stuff and it's an amazing product. Nobody else has got X2.
[01:28:16.000 --> 01:28:30.000]  infowarslive.com, infowarstore.com, or triple eight, two, five, three, three, one, three, nine. So again, if you financially support us and get great products, we are basically unstoppable. We've got on our side.
[01:28:30.000 --> 01:28:46.000]  Go get some great Mollon LaBear, infowars.com, or reelect 45 shirts and sign up for auto ship initial 10% on things like Wicked America Coffee that's so good or stuff like this. You're going to want to order again, cancel anytime for free, additional 5% off on everything with Patriot points.
[01:28:46.000 --> 01:29:00.000]  So you got a little account there, infowarsstore.com, standing as the globalist. You're supporting us. You're our sponsors. You're making it all possible. So thank you all. But get your X2. This is the last run.
[01:29:16.000 --> 01:29:36.000]  This is the last run.
[01:29:36.000 --> 01:29:52.000]  This year, resolve not to be the next victim of a break-in. Go to faketv.com and discover a device that creates the illusion someone inside is watching TV, even when you're miles away. Security is a mindset, and fake TV should be part of your security solution.
[01:29:52.000 --> 01:29:58.000]  Be vigilant, but not fearful. FakeTV.com.
[01:29:58.000 --> 01:30:14.000]  You deserve a deep restful sleep with knockout by infowarslife. Our organic formula is made from high quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[01:30:14.000 --> 01:30:28.000]  Knockout packs a powerful punch to get you through the night and achieve proper sleep. Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[01:30:28.000 --> 01:30:38.000]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need. Wake up refreshed and take on the day.
[01:30:38.000 --> 01:30:50.000]  Infowarslife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price. Get the sleep you deserve and experience the power of knockout.
[01:30:50.000 --> 01:31:08.000]  Head on over to infowarslife.com and say goodbye to fatigue. That's infowarslife.com.
[01:31:20.000 --> 01:31:37.000]  It's a water filtration system that will provide water filtration for your entire home, removing 220 plus contaminants from your water. It's compact in size, easy to install and maintain, and keeps fluoride and other dangerous toxins out of your water supply and away from you and your family.
[01:31:37.000 --> 01:31:58.000]  With its broad spectrum contaminant reduction, you'll only need this one filter for clean and refreshing water all over your home. Head to infowarsstore.com and whether it's your first water filtration purchase or you're looking to replace your current run down systems, it's time to go big and go home with the pro pure whole house filtration system today.
[01:31:58.000 --> 01:32:10.000]  We've taken thousands of years of known research and put it together with our own four years of seeking and testing to find the very best systems that God gave us through Mother Nature to detoxify the body. That's why I'm introducing Z Shield.
[01:32:10.000 --> 01:32:24.000]  Toxic metal and chemical defense support. It's made in the USA. It's filled with known compounds from nature that are absolutely associated with detoxifying the body and it supports the info war. It is a classical 360 win.
[01:32:24.000 --> 01:32:34.000]  This is the formula that I personally have been taking for over a year and now we believe we have come as close to perfection when it comes to a detoxifier as you can possibly get.
[01:32:34.000 --> 01:32:51.000]  You owe it to yourself, you owe it to your family and you owe it to the future of this country in the world that patriots stay as healthy and as clean and as focused as you can be because we need you, the remnant of America, to reignite those brushfires the next level and to be healthy and as focused as you can be.
[01:32:51.000 --> 01:32:58.000]  To support and your prayers together, we're changing the world. Now it's time to change our bodies with Z Shield, infowarslife.com.
[01:33:22.000 --> 01:33:26.000]  The Mary Story is like the Clinton body count story. That's according to website infowars.
[01:33:31.000 --> 01:33:35.000]  Dr. Martin Luther King has been shot to death in Memphis, Tennessee.
[01:33:35.000 --> 01:33:39.000]  J.F.K. was shot from the back and the front.
[01:33:39.000 --> 01:33:43.000]  It was almost as if it were a planned explosion. It just panicked.
[01:33:43.000 --> 01:33:48.000]  It took the babies out of the incubators and left the children to die on the cold floor.
[01:33:48.000 --> 01:33:58.000]  I think this is a national security imperative. We have clear things that we do not understand how they work, operating in areas that we can't control.
