[00:00:01.000 --> 00:00:02.000]  It's too...
[01:28:16.420 --> 01:28:19.420]  makes them wealthy and comfortable and happy,
[01:28:19.420 --> 01:28:22.420]  he also said that the working class is no longer going to be
[01:28:22.420 --> 01:28:25.420]  the base of the revolution because of these things.
[01:28:25.420 --> 01:28:28.420]  In other words, we don't have to be responsible
[01:28:28.420 --> 01:28:31.420]  to the working class anymore, which opens up the ability
[01:28:31.420 --> 01:28:34.420]  for Marxists who are seeking power to make friends with the corporations.
[01:28:34.420 --> 01:28:37.420]  The bosses are no longer the enemy,
[01:28:37.420 --> 01:28:40.420]  they're an opportunity.
[01:28:40.420 --> 01:28:43.420]  Because the working class is irrelevant.
[01:28:43.420 --> 01:28:46.420]  He said the energy is somewhere else.
[01:28:46.420 --> 01:28:49.420]  The minorities, the feminists, the outsiders,
[01:28:49.420 --> 01:28:52.420]  that's who he said have the energy for a Marxist revolution
[01:28:52.420 --> 01:28:55.420]  in the West, not the working class.
[01:28:55.420 --> 01:28:58.420]  And so Marxism was able to evolve to abandon.
[01:28:58.420 --> 01:29:01.420]  Please give me one minute of your time.
[01:29:01.420 --> 01:29:04.420]  Please write this down and please go look this up.
[01:29:04.420 --> 01:29:07.420]  It will change your life.
[01:29:07.420 --> 01:29:10.420]  The UN admits and the Lancet Medical Journal admits
[01:29:10.420 --> 01:29:13.420]  that upwards of 2 billion people have mental disabilities
[01:29:13.420 --> 01:29:16.420]  and declining cognitive abilities.
[01:29:16.420 --> 01:29:19.420]  The term they use is intellectual disability because of lack of iodine.
[01:29:19.420 --> 01:29:22.420]  Most iodine in the environment
[01:29:22.420 --> 01:29:25.420]  is bound to other elements so your body can't absorb it.
[01:29:25.420 --> 01:29:28.420]  Only pure iodine can really be absorbed
[01:29:28.420 --> 01:29:31.420]  right into the cells.
[01:29:31.420 --> 01:29:34.420]  Infowarsstore.com has the only iodine out there
[01:29:34.420 --> 01:29:37.420]  that actually has this type of full effect.
[01:29:37.420 --> 01:29:40.420]  Ladies and gentlemen, X3 has been sold out for 6 months,
[01:29:40.420 --> 01:29:43.420]  it's very hard to produce, and it's finally back in stock.
[01:29:43.420 --> 01:29:46.420]  In fact, I was just taking some before I shot this ad.
[01:29:46.420 --> 01:29:49.420]  This, ladies and gentlemen, is powerful, you and your family need it,
[01:29:49.420 --> 01:29:52.420]  it's 25% off back in stock.
[01:29:52.420 --> 01:29:55.420]  X3, try iodine exclusively at Infowarsstore.com.
[01:29:55.420 --> 01:29:58.420]  Take action now, but regardless, research this info.
[01:29:58.420 --> 01:30:01.420]  Ladies and gentlemen, the truth, the solution
[01:30:01.420 --> 01:30:04.420]  is laying right there in front of you, hidden in plain view.
[01:30:04.420 --> 01:30:07.420]  Please listen to me in the next 60 seconds.
[01:30:07.420 --> 01:30:10.420]  If you go to Wikipedia, it has links to the UN's own website
[01:30:10.420 --> 01:30:13.420]  where they admit the number one cause of cognitive disability
[01:30:13.420 --> 01:30:16.420]  in the world is iodine deficiency.
[01:30:16.420 --> 01:30:19.420]  The number one preventable cause
[01:30:19.420 --> 01:30:22.420]  of intellectual disability is lack of
[01:30:22.420 --> 01:30:25.420]  real, pure iodine in the body
[01:30:25.420 --> 01:30:28.420]  as they bomb us with the bad halogens, bromine, bromide,
[01:30:28.420 --> 01:30:31.420]  chlorine, and so much more.
[01:30:31.420 --> 01:30:34.420]  Upwards of 2 billion people in a Lancet medical journal study
[01:30:34.420 --> 01:30:37.420]  in 2007 worldwide have cognitive disabilities
[01:30:37.420 --> 01:30:40.420]  because they don't have high quality iodine.
[01:30:40.420 --> 01:30:43.420]  Most iodine is bound to other elements, you don't absorb it.
[01:30:43.420 --> 01:30:46.420]  We have X3, all three types of good iodine together
[01:30:46.420 --> 01:30:49.420]  that supercharges your body.
[01:30:49.420 --> 01:30:52.420]  X3 is now back in stock at Infowarsstore.com.
[01:30:52.420 --> 01:30:55.420]  It's been sold out for over six months for 25% off.
[01:30:55.420 --> 01:30:58.420]  X3, back in stock, take action now, Infowarsstore.com.
[01:30:58.420 --> 01:31:01.420]  Iodine is naturally acquired through the soil
[01:31:01.420 --> 01:31:04.420]  which is at the foundation of our entire food supply.
[01:31:04.420 --> 01:31:07.420]  Modern farming techniques have stripped the soil
[01:31:07.420 --> 01:31:10.420]  of this essential trace element
[01:31:10.420 --> 01:31:13.420]  which has caused an iodine deficiency in about half the population.
[01:31:13.420 --> 01:31:16.420]  And there are two things we need to do about it.
[01:31:16.420 --> 01:31:19.420]  We need to practice more regenerative farming.
[01:31:19.420 --> 01:31:22.420]  There are plenty of proven technologies
[01:31:22.420 --> 01:31:25.420]  in permaculture and biodynamics
[01:31:25.420 --> 01:31:28.420]  that will naturally keep the soil rich with iodine.
[01:31:29.420 --> 01:31:32.420]  And we need to ensure that we get the sufficient amount of iodine every day.
[01:31:32.420 --> 01:31:35.420]  Derived from ancient sea salts
[01:31:35.420 --> 01:31:38.420]  found thousands of feet below the earth's surface.
[01:31:38.420 --> 01:31:41.420]  Our Infowars Life Survival Shield X3
[01:31:41.420 --> 01:31:44.420]  is hands down the best.
[01:31:44.420 --> 01:31:47.420]  Pure, nascent iodine
[01:31:47.420 --> 01:31:50.420]  stabilized in an activated triiodine form.
[01:31:50.420 --> 01:31:53.420]  For a healthy thyroid and a healthy metabolism
[01:31:53.420 --> 01:31:56.420]  get yours now at Infowarsstore.com.
[01:31:58.420 --> 01:32:01.420]  I want to thank all of you over the years who have supported Infowars
[01:32:01.420 --> 01:32:04.420]  financially and with word of mouth and prayer.
[01:32:04.420 --> 01:32:07.420]  All the success that we've had together against the globalists
[01:32:07.420 --> 01:32:10.420]  and the fact that we're not caught flat footed during their major takeover
[01:32:10.420 --> 01:32:13.420]  is because of you. Humanity has a real fighting chance.
[01:32:13.420 --> 01:32:16.420]  I just want to thank you all for buying products
[01:32:16.420 --> 01:32:19.420]  at Infowarsstore.com like books and films and supplements
[01:32:19.420 --> 01:32:22.420]  and water filtration, air filtration and so much more.
[01:32:22.420 --> 01:32:25.420]  But for those of you that want to actually give us a straight donation
[01:32:26.420 --> 01:32:29.420]  to fund our operation during this critical time
[01:32:29.420 --> 01:32:32.420]  go to Infowarsstore.com and right at the top
[01:32:32.420 --> 01:32:35.420]  you'll see a link to make a straight donation.
[01:32:35.420 --> 01:32:38.420]  A one time donation of $5, $10, $50
[01:32:38.420 --> 01:32:41.420]  or a recurring donation you can cancel anytime.
[01:32:41.420 --> 01:32:44.420]  I want to thank all of you that have donated and I want to encourage those of you out there
[01:32:44.420 --> 01:32:47.420]  that want to support freedom to take action now and be part
[01:32:47.420 --> 01:32:50.420]  of the global awakening, the new renaissance
[01:32:50.420 --> 01:32:53.420]  that's countering the great reset by going to Infowarsstore.com
[01:32:53.420 --> 01:32:56.420]  and clicking on the donate button and giving today.
[01:32:56.420 --> 01:32:59.420]  Thank you so much for your support. Please take action.
[01:33:07.590 --> 01:33:18.590]  We now take you live to the Central Texas Command Center, in the heart of the resistance.
[01:33:18.590 --> 01:33:20.590]  And now, your host, Owen Troyer.
[01:33:20.590 --> 01:33:27.590]  Let's go back to this powerful speech from Dr. James Lindsay.
[01:33:27.590 --> 01:33:35.590]  Culture industry, an industry that commodifies and packages culture and sells it back to people.
[01:33:35.590 --> 01:33:40.590]  So supposedly stripped of what it actually is. Empty. Abstract now.
[01:33:40.590 --> 01:33:44.590]  And so what of course did they do? They seized the means of production of the culture industry.
[01:33:44.590 --> 01:33:46.590]  Because that's what they do.
[01:33:46.590 --> 01:33:57.590]  And so they started to transform the culture industry to sell racial, sexual, gender, sexuality based, agitprop.
[01:33:57.590 --> 01:34:00.590]  As though that were genuine culture.
[01:34:00.590 --> 01:34:04.590]  And so we get concepts like cultural appropriation.
[01:34:04.590 --> 01:34:10.590]  We get concepts like cultural relevance, cultural this, cultural that, cultural everything.
[01:34:10.590 --> 01:34:12.590]  And it's all provided in pastiche.
[01:34:12.590 --> 01:34:19.590]  It's all provided as a mockery of what's really going on.
[01:34:19.590 --> 01:34:25.590]  And this evolved in America's highly racialized context.
[01:34:26.590 --> 01:34:32.590]  A form of identity based Marxism. A constellation of Marxist species.
[01:34:32.590 --> 01:34:42.590]  That all work with the same operating premise but locate themselves in different, and I'll use the German term here for this, folk.
[01:34:42.590 --> 01:34:45.590]  LGBTQ is a folk.
[01:34:45.590 --> 01:34:49.590]  And they get folkish identity there and become activists.
[01:34:49.590 --> 01:34:52.590]  The black community is a folk.
[01:34:52.590 --> 01:34:53.590]  How do I know?
[01:34:53.590 --> 01:34:59.590]  That's what W.E.B. Du Bois said it would be when he laid down the foundations that became critical race theory later.
[01:34:59.590 --> 01:35:02.590]  They think of themselves as nations.
[01:35:02.590 --> 01:35:03.590]  Don't they all have flags?
[01:35:03.590 --> 01:35:05.590]  Don't they put them on your buildings like colonizers?
[01:35:05.590 --> 01:35:07.590]  Don't they hang them in your streets?
[01:35:07.590 --> 01:35:10.590]  They think of themselves as occupying nations.
[01:35:10.590 --> 01:35:17.590]  But they see themselves as bound together just like the various colonized nations around the world in seeking liberation from western civilization.
[01:35:17.590 --> 01:35:21.590]  And so we end up with western Marxism taking many forms.
[01:35:21.590 --> 01:35:24.590]  All right, ladies and gentlemen, now this is a long speech.
[01:35:24.590 --> 01:35:26.590]  There is some time remaining on it.
[01:35:26.590 --> 01:35:34.590]  We're going to stop this right here, and I will let you know the full speech will be posted to Band.Video.
[01:35:34.590 --> 01:35:36.590]  In fact, it's already up on Band.Video.
[01:35:36.590 --> 01:35:38.590]  If you guys could just put that on the screen for me, I'll give them the title.
[01:35:38.590 --> 01:35:42.590]  And, of course, the link is also at Infowars.com.
[01:35:42.590 --> 01:35:48.590]  So if you're looking for the full clip there, the full video, Infowars.com and Band.Video,
[01:35:48.590 --> 01:35:51.590]  there's a channel called Transwar on Humanity.
[01:35:51.590 --> 01:35:56.590]  And the title is Woke Culture is Modern Maoism Tailor-Made to Destroy the West.
[01:35:56.590 --> 01:36:03.590]  And that's where you can find that full video clip as well as many other video clips on Band.Video.
[01:36:03.590 --> 01:36:11.590]  Banned video clips that the corrupt establishment, the corrupt government does not want you to see.
[01:36:11.590 --> 01:36:14.590]  All right, I do have a bunch of news.
[01:36:14.590 --> 01:36:23.590]  On the other side, though, after this segment, Alex Jones is going to be returning with some other major breaking news reports.
[01:36:23.590 --> 01:36:40.590]  And now they're claiming this individual Sai Varshith Kandula who rammed a U-Haul video into a structure in Washington, D.C. by the White House.
[01:36:40.590 --> 01:36:42.590]  I guess it was the White House gate.
[01:36:42.590 --> 01:36:47.590]  And then had the Nazi flag perfectly laid out.
[01:36:47.590 --> 01:36:48.590]  Isn't it amazing?
[01:36:48.590 --> 01:36:56.590]  This is the video clip we get of a Nazi flag just perfectly laid out on the ground of the U-Haul crashed into the gate there.
[01:36:56.590 --> 01:36:58.590]  I mean, even the crash is suspect.
[01:36:58.590 --> 01:37:02.590]  I just doubt the whole thing.
[01:37:02.590 --> 01:37:03.590]  I'm sorry.
[01:37:03.590 --> 01:37:05.590]  It's just so absurd.
[01:37:05.590 --> 01:37:10.590]  It does beg a lot of questions, no doubt.
[01:37:10.590 --> 01:37:13.590]  But once again, this is clearly propaganda.
[01:37:13.590 --> 01:37:15.590]  This is clearly words have no meaning.
[01:37:15.590 --> 01:37:27.590]  And if anything, this is a deranged, lunatic individual that obviously has mental problems at his young age of 19.
[01:37:27.590 --> 01:37:31.590]  So we'll see what happens with more background information on this.
[01:37:31.590 --> 01:37:36.590]  But they're running their same gambit.
[01:37:36.590 --> 01:37:37.590]  Oh, it's a Nazi.
[01:37:37.590 --> 01:37:38.590]  Oh, it's a white supremacist.
[01:37:38.590 --> 01:37:39.590]  It's just absurd.
[01:37:39.590 --> 01:37:40.590]  And they don't mean Nazi.
[01:37:40.590 --> 01:37:42.590]  They don't mean white supremacist.
[01:37:42.590 --> 01:37:43.590]  That is propaganda.
[01:37:43.590 --> 01:37:48.590]  That is code language for Trump supporter, Christian, conservative, white man, Republican.
