[00:00.000 --> 00:02.000]  it
[1:20:23.420 --> 1:20:40.940]  We are back, and without further hesitation, let's go to part two of the collapse of western
[1:20:40.940 --> 1:20:46.860]  civilization. This video is up on YouTube right now. Please get it out there. Here it is, part two.
[1:20:46.860 --> 1:20:52.460]  As French philosopher Eric Zamore outlines, the elite have stopped caring about native
[1:20:52.460 --> 1:20:59.180]  populations. Why? Because those populations no longer tolerate stagnant wage growth and diminished
[1:20:59.180 --> 1:21:05.020]  job prospects, simply to enslave themselves as a servant class for the elite. That's why
[1:21:05.020 --> 1:21:11.660]  they're on the streets rioting, so far easier for the elite just to replace them with robots and a
[1:21:11.660 --> 1:21:17.980]  third world slave class. Great civilizations collapse when the supply of labor outstrips
[1:21:17.980 --> 1:21:24.140]  demand. We're now reaching this point. Great civilizations collapse when wealth inequality
[1:21:24.140 --> 1:21:29.100]  runs rampant. We're now reaching this point. Great civilizations collapse when the elite
[1:21:29.100 --> 1:21:34.540]  debases the currency to hide financial problems. We're now reaching this point.
[1:21:34.540 --> 1:21:38.300]  And the Democratic Party, for whatever reason, is not trying to address those problems.
[1:21:38.300 --> 1:21:45.020]  They're attacking Trump himself or the symptoms, but the disease is this pervasive economic
[1:21:45.020 --> 1:21:49.420]  insecurity as we make it harder and harder for Americans to find meaningful opportunities.
[1:21:49.420 --> 1:21:56.620]  Great civilizations collapse when the building block of society, the family unit crumbles into
[1:21:56.620 --> 1:22:02.140]  dust. We're now reaching this point. While Muslims in the West unite to rally around
[1:22:02.140 --> 1:22:08.380]  protection of their children, we treat ours like an unwanted medical waste product. While Muslims
[1:22:08.380 --> 1:22:13.740]  in the West refuse to allow their kids to be indoctrinated with warped sexual propaganda.
[1:22:13.740 --> 1:22:19.180]  We dress up ours as drag queens, parade them on television, and demand everyone embrace it as
[1:22:19.180 --> 1:22:25.580]  normal. It's not normal. There's something deeply wrong with what we've become. Now for all its
[1:22:25.580 --> 1:22:31.740]  barbarity, at least Islam provides its adherence with some sense of meaning and fulfillment.
[1:22:31.740 --> 1:22:39.100]  Time to join the winning team. The Mayan civilization collapsed when the Spanish
[1:22:39.100 --> 1:22:45.020]  invasion inflicted upon it a foreign culture intent on spreading its own systems of faith
[1:22:45.020 --> 1:22:52.140]  and governance, beginning to notice any parallels. Historically, the movement toward androgyny occurs
[1:22:52.140 --> 1:23:01.020]  in late phases of culture as a civilization is starting to unravel. And you can find it again
[1:23:01.020 --> 1:23:07.100]  and again and again through history in the Greek art. You can see it happening all of a sudden.
[1:23:07.100 --> 1:23:16.140]  There's a kind of the sculptures of handsome new young men athletes that used to be very robust
[1:23:16.140 --> 1:23:20.460]  in the archaic periods suddenly begin to seem like wet noodles toward the end.
[1:23:21.580 --> 1:23:27.420]  And the people who live in such periods, the late phase of culture, whether it's the Hellenistic
[1:23:27.420 --> 1:23:32.940]  era, whether it's the Roman Empire, whether it's the Moved Decade of Oscar Wilde in the 1890s,
[1:23:32.940 --> 1:23:38.300]  whether it's in Weimar Germany, people who live in such times feel that they're very sophisticated,
[1:23:38.300 --> 1:23:43.180]  they're very cosmopolitan. Homosexuality, heterosexuality, so what? Anything goes and so on.
[1:23:45.180 --> 1:23:49.660]  From the perspective of historical distance, you can see that it's a culture that no longer
[1:23:49.660 --> 1:23:58.140]  believes in itself. And then what you invariably get are people who are convinced of the power
[1:23:58.140 --> 1:24:04.300]  of heroic masculinity on the edges, whether they're the vandals and the Huns or whether they're the
[1:24:04.300 --> 1:24:10.860]  barbarians of Isis. You see them starting to mass on the outsides of the culture and that's what
[1:24:10.860 --> 1:24:17.580]  we have right now. What does our culture provide? A tedious drip-drip of anodyne lethargic dross,
[1:24:17.580 --> 1:24:24.220]  or at the other end of the spectrum, a sewer pipe of obscene, tawdry hedonism. What does our society
[1:24:24.220 --> 1:24:29.820]  provide? A lifestyle of never talking to or knowing your neighbors, of aborting your babies,
[1:24:29.820 --> 1:24:35.420]  of cheating on your wives. A lifestyle of desperately searching for the next dopamine hit,
[1:24:35.420 --> 1:24:41.260]  whether that be from an Instagram-like, a pharmaceutical drug, or a new gadget. A lifestyle
[1:24:41.260 --> 1:24:48.780]  of strip malls, five-lane traffic, f*** recycled pop songs, f*** recycled movies, f*** recycled
[1:24:48.780 --> 1:24:55.820]  NPT celebrities, all spouting the same opinions. Our art may become so degenerate that future
[1:24:55.820 --> 1:25:02.940]  generations will be completely uninterested in it. And I'm sorry, but free market capitalism just
[1:25:02.940 --> 1:25:10.380]  doesn't cut it anymore as a purposeful credo to unite and fortify western civilization. It takes
[1:25:10.380 --> 1:25:17.180]  much more than an increasingly unjust economic system to maintain a civilization, which is why
[1:25:17.180 --> 1:25:23.980]  the enemies are at the gates waiting to take over. Which is why socialist vulture demagogues are busy
[1:25:23.980 --> 1:25:30.060]  licking their lips. We've abandoned the enlightenment values that build western civilization. We've
[1:25:30.060 --> 1:25:36.060]  abandoned the idea that family is fundamental to community strength and happiness. We've abandoned
[1:25:36.060 --> 1:25:43.020]  high culture in favor of lowbrow junk culture. We've abandoned stoic strength of character
[1:25:43.020 --> 1:25:49.900]  in favor of chemical dependence. We labor under an economic and political system that has abandoned
[1:25:49.900 --> 1:25:57.980]  us. We collectively killed God, well left with nothing authentic to believe in. That's why everyone's
[1:25:57.980 --> 1:26:03.820]  on drugs. That's why everyone's nihilistic. That's why everyone's unhappy. What's the solution?
[1:26:05.020 --> 1:26:11.580]  There is no solution. Every great civilization collapses on average every three hundred and
[1:26:11.580 --> 1:26:16.220]  thirty six years. And the collapse of ours is very much overdue.
[1:26:22.940 --> 1:26:29.180]  That is the collapse of western civilization. YouTube video available right now. It's got about
[1:26:29.180 --> 1:26:33.180]  three hundred and thirty thousand views overnight. So it seems to be going viral. A lot of people
[1:26:33.180 --> 1:26:37.980]  resonating with that. And in connection with that, we have a headline here out of Breitbart.
[1:26:37.980 --> 1:26:44.460]  Fertility falls in EU. Not one country hits population replacement level. I've talked about
[1:26:44.460 --> 1:26:51.420]  this many times before. You have a situation in major European cities like Frankfurt, like Antwerp,
[1:26:52.220 --> 1:26:57.580]  where immigrants are now the majority of the population. In Antwerp, Belgium, which is Belgium's
[1:26:57.580 --> 1:27:07.500]  most popular city, fifty two percent five to fifty two percent of the population are migrants. Problem
[1:27:07.500 --> 1:27:13.740]  being is that ninety percent, nine zero percent of those migrants vote for either left wing or
[1:27:13.740 --> 1:27:20.300]  far left wing parties. This is precisely why the elite are now importing their servant slave class.
[1:27:20.300 --> 1:27:24.780]  And by and large, that's a democratic party movement. But it's also a kind of
[1:27:24.780 --> 1:27:30.700]  coke brother's movement to bring in cheap labor. So we get crushed in the vice and everybody loses.
[1:27:30.700 --> 1:27:34.940]  They vote for left wing parties. They vote for parties who want bigger government. That's why
[1:27:34.940 --> 1:27:41.500]  they import the voting block. Now total births in the European Union's 28 member states in 2017
[1:27:41.500 --> 1:27:46.700]  has fallen from the year before. Well, first time mothers are now almost 30. So mothers are getting
[1:27:46.700 --> 1:27:53.580]  older. They're having less babies in Europe throughout Europe, which is why in Hungary,
[1:27:53.580 --> 1:28:02.300]  Viktor Orban introduced this policy where he gave newborn mothers thirty five thousand dollars
[1:28:02.300 --> 1:28:08.060]  to every woman. This is women who marry every woman under 40 who marries for the first time.
[1:28:08.060 --> 1:28:11.980]  And that loan is completely written off after the birth of her third child.
[1:28:11.980 --> 1:28:18.540]  Women who raise four or more children are now exempt from paying income tax for life in Hungary.
[1:28:18.540 --> 1:28:22.380]  Now a lot of people on the right are going to say, oh, my God, that's socialism. No, it's not.
[1:28:22.380 --> 1:28:28.220]  That's economic nationalism. That's building up your own population. That's basic survival.
[1:28:29.100 --> 1:28:35.020]  Meanwhile, in Europe, biggest released by Euro start and Tuesday revealed that there were 5.075
[1:28:35.020 --> 1:28:41.020]  million babies born in the union. That's less than the year before 5.148 million with a total
[1:28:41.020 --> 1:28:46.940]  fertility rate of 1.59 births per woman. Again, that's down on the year before.
[1:28:46.940 --> 1:28:54.380]  I'm well sure of 2.1 births per woman needed to maintain a population where literally dying out
[1:28:54.380 --> 1:28:58.700]  in the next segment. I'll talk about what exactly we're being replaced with. Join us
[1:28:58.700 --> 1:29:05.020]  at thisinforwars.com. We'll be back. Hi, I'm Dan Pilla. I started fighting the IRS over 40 years
[1:29:05.020 --> 1:29:09.980]  ago when they tried to seize my mother's house. I sued the IRS and won. I beat the IRS then and
[1:29:09.980 --> 1:29:14.220]  I've been beating them ever since. I wrote the book on tax debt settlement and I've helped thousands
[1:29:14.220 --> 1:29:18.780]  of people deal with tax problems they thought might never be solved. I can help you too. If you owe
[1:29:18.780 --> 1:29:23.500]  taxes you can't pay, don't wait another day. There's no such thing as a hopeless tax case.
[1:29:23.500 --> 1:29:30.940]  Call 800-34-no-tax or go to my website, danpilla.com. That's danpilla.com, danpilla.com.
[1:29:31.660 --> 1:29:39.260]  We pledge allegiance to one flag and that flag is the American flag. Did you know the official
[1:29:39.260 --> 1:29:44.300]  national American flag has never been manufactured for retail stores? The one that Americans fought
[1:29:44.300 --> 1:29:49.500]  and died for. The one symbol that represents our Constitution. Now you can be a part of this great
[1:29:49.500 --> 1:29:57.420]  movement that's never been seen before. Together we'll recapture America. Call 1-877-383-4777
[1:29:57.420 --> 1:30:12.140]  or visit theofficialflag.com, theofficialflag.com.
[1:30:12.140 --> 1:30:18.460]  By leaps and by bounds, the number one best-selling supplement family in the world
[1:30:18.460 --> 1:30:24.460]  is energy drinks and energy supplements. But they are riddled with dyes and toxins and
[1:30:24.460 --> 1:30:28.860]  synthetic caffeine and other chemicals that sure get you a quick boost but burn out in
