[00:00.000 --> 00:02.000]  Oh
[1:40:45.440 --> 1:40:54.440]  There would be millions of people marching to demand control of our borders so that we don't have infectious diseases just running across the borders and infecting Americans.
[1:40:54.440 --> 1:41:05.440]  There would be people marching in front of the Fed to demand honest money and an end to the fake fiat currency system that's silently stealing all your wealth and all your productivity every night as you sleep.
[1:41:05.440 --> 1:41:10.440]  Your money is being stolen through debasement of the money supply.
[1:41:10.440 --> 1:41:16.440]  I can't sound the alarm enough and in a sense, I almost feel, I feel numb to it.
[1:41:16.440 --> 1:41:26.440]  It's so insane every day, day after day that in order to even function in this environment, I have to turn it off.
[1:41:26.440 --> 1:41:36.440]  I have to turn off these elements that should have us screaming, screaming, begging for God to intervene, begging for humanity to wake up.
[1:41:36.440 --> 1:41:49.440]  And yet, we can't because just to deal with this, we have to alter our own circuitry, so to speak, just to be able to talk and function because the truth is so nightmarish.
[1:41:49.440 --> 1:41:58.440]  It's so horrific. It's such a nightmare. What can we do as a human race?
[1:41:58.440 --> 1:42:07.440]  I'm here to tell you, it's over for humanity. There will only be lone survivors. The strategy must now shift.
[1:42:07.440 --> 1:42:14.440]  You can be a survivor. We can help you survive. The information here at InfoWars and what I do can help you survive.
[1:42:14.440 --> 1:42:24.440]  I'll give you some practical things in the next segment, but maybe it's an astonishing statement to hear from me, the health ranger, but it's over for humanity as a whole.
[1:42:24.440 --> 1:42:37.440]  The masses will be slaughtered. The depopulation agenda cannot be stopped. Do you understand? Do you effing understand? I'm not going to use profanity, but you need to be thinking in those terms.
[1:42:37.440 --> 1:42:46.440]  Do you understand? You are targeted for termination. All of humanity is targeted. There may be lone survivors. Now our job is to help you be one of those people.
[1:42:46.440 --> 1:42:55.440]  I'll have more on the other side. This is Mike Adams with InfoWars.com. Stay with us.
[1:42:55.440 --> 1:43:01.440]  I want to talk about super silver whitening toothpaste because I hadn't tried it except for maybe the last week and a half.
[1:43:01.440 --> 1:43:07.440]  And I told Alex, I said, man, this is the best toothpaste I've ever tried. He's like, well, what are you doing just sitting in here telling me?
[1:43:07.440 --> 1:43:16.440]  You got to get up there and tell people. So here I am telling people super silver whitening toothpaste is by far the best toothpaste I've ever tried.
[1:43:16.440 --> 1:43:33.440]  And I'm 45 years old and I've tried a lot of different toothpaste and it's fluoride free. I think the big difference, the game changer in this is the coral calcium because after I brush my teeth with this, they feel so clean and the toothpaste that I don't even like rinse out my mouth after I brush my teeth with this.
[1:43:33.440 --> 1:43:47.440]  It feels so good. It feels like it feels like good things are happening in my mouth. In fact, I find myself brushing my teeth three to four times a day rather than just twice a day now because I like the way it feels.
[1:44:04.440 --> 1:44:16.440]  Our operations with our partners, the Communist Chinese have bought control of your media, but it's true, your people are beginning to awaken.
[1:44:16.440 --> 1:44:28.440]  That's why Cobra is launching operations to trigger race war, mass shootings and bombings, which will be blamed on those loyal to America.
[1:44:28.440 --> 1:44:38.440]  Anyone once we stage these attacks, that does not blame it on Trump, will also be targeted by Cobra in the future.
[1:44:38.440 --> 1:44:53.440]  You see, when you expose our false flags and fake media, I will carry out attacks and then blame you like we've done with Alex Jones blaming him for mass shootings we committed.
[1:44:53.440 --> 1:44:56.440]  Hail Cobra!
[1:44:56.440 --> 1:45:00.440]  Since the beginning, Secret 12 has been one of our most popular formulas.
[1:45:00.440 --> 1:45:05.440]  Now we're bringing you an all-new version of your favorite formula to help you reach your energy peak.
[1:45:05.440 --> 1:45:14.440]  Altra 12 from Infowars Life takes advantage of the most effective and expensive form of B12 available, methylcobalamin, to provide you with twice the B12.
[1:45:14.440 --> 1:45:21.440]  Altra 12 can help make DNA, support the body's energy production and help produce healthy blood cells while assisting proper nervous system function.
[1:45:21.440 --> 1:45:26.440]  Help support your energy levels and take advantage of the superior form of B12 today with Altra 12.
[1:45:26.440 --> 1:45:29.440]  It's no secret that our daily lives are becoming more stressful.
[1:45:29.440 --> 1:45:34.440]  No matter what side of the political spectrum you're on, we're all feeling the strain from rising pressure.
[1:45:34.440 --> 1:45:39.440]  That's why we worked hard to create a new formula to support your fight against stress in your hectic day.
[1:45:39.440 --> 1:45:43.440]  Chill Force is our solution for a true, healthy, relaxation support formula.
[1:45:43.440 --> 1:45:51.440]  As the long-awaited sister formula to Brain Force Plus, this formula includes powerful ingredients and time-tested practices to help fight your stress levels.
[1:45:51.440 --> 1:45:56.440]  It's time to take a breather. Get Chill Force today at InfowarsStore.com.
[1:45:56.440 --> 1:46:00.440]  It's time to take a new, healthier approach to one of your most basic needs.
[1:46:00.440 --> 1:46:07.440]  The Alexa Pure Pro water filtration system is the same water filter that Alex and the Infowars crew use every day for the purest water possible.
[1:46:07.440 --> 1:46:11.440]  You can start cleaning the toxins from your water for clean, healthy and delicious drinking water.
[1:46:11.440 --> 1:46:18.440]  Perfect for preppers or anyone concerned with the healthier source of water, the Alexa Pure Pro can remove up to 99.9% of impurities.
[1:46:18.440 --> 1:46:22.440]  This groundbreaking, gravity-fed water filtration system is like no other.
[1:46:22.440 --> 1:46:46.440]  Make sure your water is up to your standards today with the Alexa Pure Pro.
[1:46:52.440 --> 1:46:56.440]  Infowars brought to you by you.
[1:47:23.440 --> 1:47:30.440]  This is Mike Adams continuing with our emergency broadcast today. Thank you for joining us.
[1:47:30.440 --> 1:47:33.440]  I'll be with you during this segment and the next segment.
[1:47:33.440 --> 1:47:41.440]  I believe we have, if I understand correctly, rapid report coming on in the next hour to talk to us about this accelerating infectious disease pandemic.
[1:47:41.440 --> 1:47:47.440]  Now, in the last segment, I mentioned that I believe it's over for humanity.
[1:47:47.440 --> 1:47:57.440]  I think that humanity is being targeted with so many vectors of destruction that, in my assessment, the bulk of the human race will not survive this.
[1:47:57.440 --> 1:48:04.440]  Now, there can be lone survivors or small groups of survivors, and I think that that's the strategy we have to get to now.
[1:48:04.440 --> 1:48:09.440]  And just the fact that you are tuning into this broadcast means that you are a survivor. You have a survivor mindset.
[1:48:09.440 --> 1:48:14.440]  You're not part of the sheeple class that just walks off a cliff because everybody else is doing it in front of you.
[1:48:14.440 --> 1:48:19.440]  You question, hey, wait a minute, isn't that a cliff? Maybe we shouldn't jump off that cliff.
[1:48:19.440 --> 1:48:22.440]  You're different from the masses, thank God.
[1:48:22.440 --> 1:48:38.440]  And because the masses are committing suicide and they're going to go along with this global suicide, this coronavirus bioengineered weapon system that is being deliberately released after having been developed as a weapon against humanity.
