[00:00.000 --> 00:21.480]  Waging war on corruption, it's Alex Jones, coming to you live from the front lines of
[1:38:38.480 --> 1:38:44.480]  Find out more just by Googling his podcast or going to his YouTube channel upwards of 20 million viewers a week.
[1:38:44.480 --> 1:38:46.480]  Does the show three times a week.
[1:38:46.480 --> 1:38:53.480]  And that'll be 130 time, 130 time Pacific that we go on.
[1:38:53.480 --> 1:39:00.480]  Okay, let's go ahead now and go back to Dr. Jerome Corsi doc.
[1:39:00.480 --> 1:39:04.480]  Let's flush out this Russia thing and listen, you've broken so many big stories over the year.
[1:39:04.480 --> 1:39:08.480]  You got the secret documents on NAFTA and GATT and TPP.
[1:39:08.480 --> 1:39:10.480]  And I mean, you've been a game changer.
[1:39:10.480 --> 1:39:19.480]  I know there are leftist foundations in Russia that the State Department sends money to that then come back and were against Trump.
[1:39:19.480 --> 1:39:24.480]  And there was also Russian groups that were for Ukraine being overthrown, but they were really globalist groups.
[1:39:24.480 --> 1:39:26.480]  I know you've not been an enemy of Russia or anything.
[1:39:26.480 --> 1:39:30.480]  You've supported Trump, wanting to have peace and go up to jihadis.
[1:39:30.480 --> 1:39:39.480]  But I really respect you when you say you've got the investigative reports and the witnesses and people to prove that some type of Russian funding was actually trying to disrupt Trump rallies.
[1:39:39.480 --> 1:39:41.480]  The question is, who would be behind it in Russia?
[1:39:41.480 --> 1:39:47.480]  So, so, so break down a little bit of a prelude or an order of what's coming tomorrow.
[1:39:47.480 --> 1:39:54.480]  Well, I also want to say that Roger Stone's book, and I just posted a review on Amazon.
[1:39:54.480 --> 1:40:00.480]  This is the definitive book of the 2016 campaign and it's written by a master.
[1:40:00.480 --> 1:40:08.480]  I mean, there's hardly anyone more experienced who knows Donald Trump better, more political operative than Roger Stone.
[1:40:08.480 --> 1:40:17.480]  If you want to understand what happened, why Trump won and why Hillary lost, how Hillary lost, you've got to read.
[1:40:17.480 --> 1:40:18.480]  You must read.
[1:40:18.480 --> 1:40:22.480]  This should be required reading in all political science bureaus around the world.
[1:40:22.480 --> 1:40:25.480]  Instead, they're just trying to ignore why Trump won.
[1:40:25.480 --> 1:40:27.480]  It's got information in it.
[1:40:27.480 --> 1:40:30.480]  And Roger, really, I think this is Roger's best book.
[1:40:30.480 --> 1:40:39.480]  He really kind of pours out his soul on this one and his deepest strategies so you can understand that, you know, Trump's victory did not just happen.
[1:40:39.480 --> 1:40:44.480]  It was, you know, and you're discussed very extensively in the book.
[1:40:44.480 --> 1:40:52.480]  Alex Jones is made focused on as one of the key reasons why Donald Trump won.
[1:40:52.480 --> 1:40:58.480]  Your audience, you know, Richard Dixon is called a silent majority and Donald Trump knows it himself.
[1:40:58.480 --> 1:40:59.480]  He's acknowledged it.
[1:40:59.480 --> 1:41:03.480]  You personally, Alex, and we both know that.
[1:41:03.480 --> 1:41:05.480]  Well, it's an amazing time to be alive.
[1:41:05.480 --> 1:41:09.480]  Let's talk about the Russians and then what you expect the globalists to do to try to stop Trump.
[1:41:09.480 --> 1:41:20.480]  We're going to understand that Putin, it plays all sides and Russia is always for causing disordered confusion, chaos.
[1:41:20.480 --> 1:41:31.480]  Russia's benefited from this as part of the whole, you know, fundamentally communist strategy for destabilizing a society in preparation for overturning the government.
[1:41:31.480 --> 1:41:36.480]  Russia can say all it wants that it's not communist, but Putin's still KGB.
[1:41:36.480 --> 1:41:41.480]  I think Trump can deal with Putin, but this is going to be a matter of power politics.
[1:41:41.480 --> 1:41:44.480]  It's not, you know, I've looked Putin in the eye and I see his soul.
[1:41:44.480 --> 1:41:45.480]  Forget about that.
[1:41:45.480 --> 1:41:47.480]  Putin's a nation state.
[1:41:47.480 --> 1:41:51.480]  He's got strong interests and we have to be a nation state with strong interests.
[1:41:51.480 --> 1:42:01.480]  We have to define it maturely with Putin who's going to do what and, you know, when there's legitimate evidence and there is workers of the world, other organizations that are communist funded,
[1:42:01.480 --> 1:42:17.480]  operatives being sent back to Russia for training, brought back here to the United States, funding coming out of Hillary's campaign through the Democratic National Party into these groups, these operatives,
[1:42:17.480 --> 1:42:21.480]  operating below the surface to higher thugs.
[1:42:21.480 --> 1:42:22.480]  And we saw them.
[1:42:22.480 --> 1:42:24.480]  I mean, I saw them firsthand with my wife.
[1:42:24.480 --> 1:42:26.480]  We both going to test to it.
[1:42:26.480 --> 1:42:29.480]  These are not 60s protesters at the inaugural.
[1:42:29.480 --> 1:42:31.480]  These are constant.
[1:42:31.480 --> 1:42:34.480]  Every other word is a foul word.
[1:42:34.480 --> 1:42:37.480]  Throwing stones, breaking windows.
[1:42:37.480 --> 1:42:39.480]  These are anarchists.
[1:42:39.480 --> 1:42:40.480]  They're nuts.
[1:42:40.480 --> 1:42:48.480]  Some of them are mentally ill, charging in to attack people who are simply trying to go to the gala, you know, to the inaugural gala.
[1:42:48.480 --> 1:42:54.480]  This is not organized political protests of Martin Luther King Variety.
[1:42:54.480 --> 1:42:58.480]  This is organized chaos and disruption.
[1:42:58.480 --> 1:42:59.480]  Sure.
[1:42:59.480 --> 1:43:05.480]  But going back to my point, Russia legitimately is trying to build up its families, bringing back Christianity.
[1:43:05.480 --> 1:43:11.480]  I don't lionize Putin, but he has made a lot of free market reforms.
[1:43:11.480 --> 1:43:16.480]  He has been exposing globalism and promoting nation states, resisting that.
[1:43:16.480 --> 1:43:19.480]  I understand most governments play a double game as well.
[1:43:19.480 --> 1:43:24.480]  I just think in general, the globalist anger at Russia, I think is legitimate.
[1:43:24.480 --> 1:43:27.480]  I mean, Russia more and more is blocking globalism.
[1:43:27.480 --> 1:43:36.480]  Well, I mean, there's certain things that Russia does and Putin does that can be to the advantage of ending globalism and advancing the cause of freedom.
[1:43:36.480 --> 1:43:45.480]  Don't get me wrong, but it's like our government does all kinds of things that if Americans knew what our government was involved in would never approve of.
[1:43:45.480 --> 1:43:48.480]  So too, Putin plays both sides of the game.
[1:43:48.480 --> 1:43:51.480]  And Trump is going to have to be sophisticated, and it is.
[1:43:51.480 --> 1:43:57.480]  I mean, Trump knows that everybody's writing for themselves in international politics.
[1:43:57.480 --> 1:44:08.480]  And Trump is going to have to deal with Russia and Putin as a nation state that has ambitions in Ukraine, the Crimea, Eastern Europe, its sphere of influence,
[1:44:08.480 --> 1:44:11.480]  and is going to act to destabilize other countries.
[1:44:11.480 --> 1:44:12.480]  Rules are going to have to be set.
[1:44:12.480 --> 1:44:20.480]  We're going to have to expose when Russia is inappropriately working with the Soros left to fund disruptive protests.
[1:44:20.480 --> 1:44:32.480]  I mean, it's also important because here, Roger Stone is being attacked as being the architect behind WikiLeaks or get Trump as the elected president.
[1:44:32.480 --> 1:44:45.480]  The truth is, Russia did everything it could to attack the Trump campaign and funded these groups who were in the streets protesting, causing riots.
[1:44:45.480 --> 1:44:55.480]  Well, I mean, I want to see it because all I'm saying is Putin is outlawing Soros' groups and rolling up his organizations in Russia.
[1:44:55.480 --> 1:45:03.480]  So, I mean, I can believe that the way bureaucracy works, you can have leftist in the Russian system that we're going for Hillary.
[1:45:03.480 --> 1:45:04.480]  I mean, we know that.
[1:45:04.480 --> 1:45:07.480]  I just don't see it as if.
[1:45:07.480 --> 1:45:14.480]  But I was also told by some other smart folks that they said, listen, Putin on the surface says he likes Trump and hopes if Trump gets elected,
[1:45:14.480 --> 1:45:15.480]  they can work together.
[1:45:15.480 --> 1:45:18.480]  But overall, they want to work with Hillary because they have her penetrated.
[1:45:18.480 --> 1:45:25.480]  They have her emails and they know that Hillary's people got 35 million for the uranium.
[1:45:25.480 --> 1:45:28.480]  She met twice secretly with Putin.
[1:45:28.480 --> 1:45:31.480]  Kissinger is an advisor to Putin.
[1:45:31.480 --> 1:45:34.480]  So there is some triple sophisticated game going on.
[1:45:34.480 --> 1:45:45.480]  And Hillary, you know, this I wrote about extensively, I mean, Hillary, it was being paid as was Podesta through money-long during connections in Russian banks.
[1:45:45.480 --> 1:45:53.480]  They're being paid millions of dollars for transferring U.S. technology to Russia under this, you know, failed reset.
[1:45:53.480 --> 1:45:54.480]  Sure.
[1:45:54.480 --> 1:45:57.480]  So Trump needs to bring that out and burn the Democrats because here's the deal.
[1:45:57.480 --> 1:45:58.480]  I'm not a vindictive person.
[1:45:58.480 --> 1:45:59.480]  They're not giving up.
[1:45:59.480 --> 1:46:05.480]  They've got TV shows and movies and vice calling for his death in the New York Times saying he needs to be killed.
[1:46:05.480 --> 1:46:06.480]  It's a daily drumbeat.
[1:46:06.480 --> 1:46:08.480]  And so we're under attack.
[1:46:08.480 --> 1:46:11.480]  We haven't won yet and they're doing illegal things.
[1:46:11.480 --> 1:46:13.480]  And I think Trump needs to take the gloves off.
[1:46:13.480 --> 1:46:20.480]  I mean, I know he wants to stabilize the economy first, show people prosperity, but they might kill him by the time he gets that done.
[1:46:20.480 --> 1:46:28.480]  And these protests, what the left is engaging in right now is classic Soviet adjutant propaganda to agitate,
[1:46:28.480 --> 1:46:30.480]  to create disruption.
[1:46:30.480 --> 1:46:43.480]  If you take a look and see these protesters in the street through the lens of KGB-funded type protesters through communist organizations operating in the United States,
[1:46:43.480 --> 1:46:50.480]  as well as Soros, you see the far left is just buying into what would be called agit-prop.
[1:46:50.480 --> 1:46:52.480]  Well, sure, agitation propaganda.
[1:46:52.480 --> 1:46:55.480]  But larger than that, I think it's more of a wind-up toy.
[1:46:55.480 --> 1:47:03.480]  Like, the old Soviet Union has pretty much fallen apart and they're kind of more of a Russian Federation and a new Russian Empire is what they're trying to go back to.
[1:47:03.480 --> 1:47:05.480]  So I agree they want to rebuild and expand.
[1:47:05.480 --> 1:47:06.480]  No one's debating that.
[1:47:06.480 --> 1:47:08.480]  The issue is they haven't expanded much yet.
[1:47:08.480 --> 1:47:14.480]  And then meanwhile, sure, they're following some old Soviet diagram and template and operating system.
