[00:00:00.049 --> 00:00:00.409]  Firearms!
[01:55:45.967 --> 01:55:50.110]  We all have our secrets and our private lives and we want to be able to be private.
[01:55:50.780 --> 01:56:04.031]  And, uh, you know, as, you know, apparently from what I've been listening on your program and just from my own life experiences as well, people like to get into things like secret societies where they think that they have the code and everything.
[01:56:04.031 --> 01:56:07.614]  Do you think that anybody in a secret society should be in government?
[01:56:07.614 --> 01:56:14.800]  You know, uh, I just think this is an ongoing thing that would be very interesting to hear about systematically in discussion.
[01:56:14.800 --> 01:56:16.382]  You know, we need to debate that further.
[01:56:16.382 --> 01:56:17.843]  I believe in free association.
[01:56:18.940 --> 01:56:28.148]  And, uh, it's very dangerous to, you know, the tyranny it would take to stop people being in secret societies and government, uh, would be probably greater than the tyranny they're bringing forward.
[01:56:28.148 --> 01:56:36.594]  But I am for exposing them, resisting it, and when they engage in corruption or in mafia tactics, that's a secret society, then they should be brought to justice.
[01:56:36.594 --> 01:56:37.615]  Excellent question.
[01:56:37.615 --> 01:56:39.156]  Again, I just respect all your calls.
[01:56:39.156 --> 01:56:40.057]  I'm sorry I'm going so quick.
[01:56:40.057 --> 01:56:41.018]  I want to get to everybody.
[01:56:41.018 --> 01:56:43.280]  Chuck in North Carolina, you're on the air worldwide.
[01:56:43.280 --> 01:56:43.620]  Go ahead.
[01:56:44.815 --> 01:56:51.560]  Hey Alex, your homeschooling material for me, my wife, and my two daughters.
[01:56:51.560 --> 01:57:02.767]  I just want to say, one thing I have a problem with is the Jim Morrison's and that type of thing on the show throughout the week.
[01:57:02.767 --> 01:57:07.191]  I wish we could keep the Merle Haggard and some other better music besides that point.
[01:57:07.191 --> 01:57:11.453]  Well, I mean, we do play some classical music, but Trey's in there with his music playing.
[01:57:11.453 --> 01:57:12.554]  I mean, I like a lot of that.
[01:57:12.554 --> 01:57:13.495]  I like the way it sounds.
[01:57:14.765 --> 01:57:22.248]  It's just the ones that profess to be in the Satan and stuff like that, and I know you're not part of that Alex, I love you.
[01:57:22.248 --> 01:57:27.270]  Like I'm saying, just anyways, I wish we could get rid of the Jim Morrison's and stuff like that.
[01:57:27.270 --> 01:57:33.792]  Anyways, North Carolina's talking about putting toll roads on I-77, Georgia's putting toll roads on I-85.
[01:57:33.792 --> 01:57:37.874]  They're seizing our main infrastructure and bringing in total tyranny.
[01:57:37.874 --> 01:57:41.035]  Alex, Mike, and many others, we are out of time.
[01:57:41.035 --> 01:57:41.415]  Sorry.
[01:57:41.995 --> 01:57:43.998]  Be back next Sunday live, 4 to 6 p.m.
[01:57:43.998 --> 01:57:45.780]  Central, 5 to 7 p.m.
[01:57:45.780 --> 01:57:46.220]  Eastern.
[01:57:46.220 --> 01:57:47.702]  That's 2 to 4 p.m.
[01:57:47.702 --> 01:57:49.644]  Pacific, 3 to 5 p.m.
[01:57:49.644 --> 01:57:52.988]  Mountain.
[01:57:52.988 --> 01:57:56.893]  Folks, I only covered just the tip of the iceberg, the thin veneer.
[01:57:57.665 --> 01:57:59.546]  There's thousands of other points I can make.
[01:57:59.546 --> 01:58:02.028]  So many things that are going on I want to warn you about.
[01:58:02.028 --> 01:58:04.629]  Understand this, I'm not making any of it up.
[01:58:04.629 --> 01:58:06.170]  All I do is research this.
[01:58:06.170 --> 01:58:08.572]  All I do when I go to sleep is dream about this stuff.
[01:58:08.572 --> 01:58:09.752]  I eat, drink, and sleep it.
[01:58:09.752 --> 01:58:10.893]  It's diabolical.
[01:58:10.893 --> 01:58:12.074]  We've got to come together.
[01:58:12.074 --> 01:58:13.114]  We've got to stop it.
[01:58:13.114 --> 01:58:17.197]  I'll see you on the web at InfoWars.com and PrisonPlanet.com.
[01:58:17.197 --> 01:58:19.258]  Now get out there and take on the tyranny!
[01:58:19.258 --> 01:58:20.579]  Stand up for human liberty!
[01:58:20.899 --> 01:58:25.260]  It's no secret that Genesis Communications Network depends on listeners like you.
[01:58:25.260 --> 01:58:28.140]  Now you can do even more to hear Genesis shows in your area.
[01:58:28.140 --> 01:58:32.701]  Simply call your local radio stations and tell them about your favorite GCN programs.
[01:58:32.701 --> 01:58:33.421]  It's easy.
[01:58:33.421 --> 01:58:40.022]  Log on to GCNlive.com or call us toll free 877-807-4048.
[01:58:40.022 --> 01:58:40.782]  Make a difference.
[01:58:40.782 --> 01:58:46.163]  Call your local stations and contact us through affiliate relations at GCNlive.com or call 877-807-4048.
[01:58:46.163 --> 01:58:46.523]  Call today.
[01:58:51.633 --> 01:58:54.575]  Are your Federal Reserve notes looking for a safe haven?
[01:58:54.575 --> 01:58:57.196]  Mine found it in precious metals.
[01:58:57.196 --> 01:59:01.019]  Not paper promises, but actual gold in my possession.
[01:59:01.019 --> 01:59:08.283]  It is liquid, it is private, it owes no one, it cannot go bankrupt, and it maintains its purchasing power.
[01:59:08.283 --> 01:59:10.844]  Find your answer at Midas Resources.
[01:59:10.844 --> 01:59:11.405]  That's 1-800-686-2237.
[01:59:11.405 --> 01:59:12.545]  The answer is at 1-800-686-2237.
[01:59:20.675 --> 01:59:26.918]  Ionic Zone has the lowest prices in the USA on shock treatment ozone generators, starting at $299.
[01:59:26.918 --> 01:59:40.885]  Ionic Zone shock treatment ozone generators are used by remediation contractors and homeowners alike to sterilize homes and cars, making them free from bacteria, molds, viruses, and complete removal of secondhand smoke, pet odors, you name it.
[01:59:40.885 --> 01:59:44.047]  What else can three oxygen atoms, in other words, ozone, do?
[01:59:44.087 --> 01:59:44.768]  I think so.
