[00:00.000 --> 00:21.880]  Defending the Republic from enemies foreign and domestic it's Alex Jones and now your
[01:24:58.200 --> 01:25:07.200]  Now, I gotta tell you, I had this same dream and I was like eight years old. I still remember vividly because it messed me up for weeks.
[01:25:07.200 --> 01:25:23.200]  And it was these little, I described it at the time to my parents as like a smurf, but they were like little elves or whatever and they were like screaming in this loud voice at me just as loud as you could possibly imagine.
[01:25:23.200 --> 01:25:28.200]  And then for like weeks, I was terrorized. Like people would be talking to me and I would think they were yelling at me.
[01:25:28.200 --> 01:25:33.200]  I mean, I had to go to sleep with classical music and all this kind of stuff and it really rocked me.
[01:25:33.200 --> 01:25:42.200]  And then as a college experiment with drugs and stuff like that, I dropped LSD one time and then had a similar experience.
[01:25:42.200 --> 01:25:58.200]  And I'm just wondering how many people out there that are like us that are God-fearing, God-loving followers of Jesus, followers of freedom, guys like we are, women.
[01:25:58.200 --> 01:26:08.200]  How many people have had these similar experiences to what Alex is talking about, which kind of sounds like what these guys that go on these DD, DMT and high-losser trips are seeing too.
[01:26:08.200 --> 01:26:22.200]  And man, I just, I wish there was a community of people like us, like the Info Warriors, like we could talk to one another and gather this information together and then seek out churches also.
[01:26:22.200 --> 01:26:30.200]  You know what's funny about that, Travis? It's interesting that you bring this up. Again, I can't even believe I'm going down this road.
[01:26:30.200 --> 01:26:38.200]  I have a friend of mine who, I'm not going to get into the details because he hasn't said he wants me to talk about this yet.
[01:26:38.200 --> 01:26:46.200]  I'm trying to get him to come on air to talk about this, but he is a, it's a small business owner, but he's been successful in his local market.
[01:26:46.200 --> 01:26:55.200]  And what happened to him yesterday was he got 100% erased off of all his Google platforms.
[01:26:55.200 --> 01:27:01.200]  And that pretty much right where he stands now will kill his business because that's how he makes business contacts.
[01:27:01.200 --> 01:27:11.200]  That's how he does all of his transactions. And now they're saying that they're going to go through, because he appealed it, they're now saying they're going to go through every email, every document he's ever sent.
[01:27:11.200 --> 01:27:17.200]  So that's doctors records, medical records, all this crap. Now, he doesn't want me to talk about this. So I'm just kind of mentioning this story and here's why.
[01:27:17.200 --> 01:27:24.200]  He was about to start a podcast because he is a Godfair and he has had similar stuff like what you're talking about and Alex is talking about.
[01:27:24.200 --> 01:27:37.200]  And so he wanted to start a podcast for exactly this thing, for people to talk about that, but kind of have it in a rational discussion where it's not like talking about, you know, trying to induce these D&T hallucinations,
[01:27:37.200 --> 01:27:42.200]  but instead trying to figure out what people are seeing or what the significance of it is.
[01:27:42.200 --> 01:27:50.200]  As far as these little elf creatures go, it does seem, look, I mean, I'm no choir boy, I went to college, I've done a lot of different experimentation with drugs.
[01:27:50.200 --> 01:28:03.200]  But the one thing, the elf thing seems to always come up because I remember there's this thing called salvia, which is probably one of the most powerful hallucinogens on the planet in a short time.
[01:28:03.200 --> 01:28:10.200]  And I remember before I experimented that I was doing a bunch of research and they always said elves, all these people always seeing elves.
[01:28:10.200 --> 01:28:17.200]  So it's like this reoccurring thing of people always seeing elves. I don't know what the hell it means. I've never seen any elves, but people keep talking about.
[01:28:17.200 --> 01:28:26.200]  So what it represents to me, it's kind of like, have you ever seen Westworld Travis where like they wake up in the outside world for like a second and they see the picture of the man in the mask,
[01:28:26.200 --> 01:28:30.200]  and then it becomes like a myth, it becomes like art, you know what I'm talking about?
[01:28:30.200 --> 01:28:41.200]  Yes, I do. And so then they go around Westworld and they find like a doll or like a drawing, like a depiction of what they saw in this other dimension that they don't know exists,
[01:28:41.200 --> 01:28:49.200]  but they've all seen it, they all recognize it, and they just don't know why until they've all had their eyes opened and then they know what it is.
[01:28:49.200 --> 01:28:56.200]  So it's like, is that the example of what we're experiencing here? That's an interesting call from Travis. We'll be right back.
[01:28:56.200 --> 01:29:00.200]  Pain in my neck, back and shoulders has really gotten worse.
[01:29:00.200 --> 01:29:04.200]  Relief for body pain is here with Sunny Bay Heating Pads.
[01:29:04.200 --> 01:29:08.200]  Well, the last thing I want is to take another pill. So what's so good about Sunny Bay Heating Pads?
[01:29:08.200 --> 01:29:14.200]  Sunny Bay Heating Pads, made by BiomedDB Design right here in the USA, come in all sizes.
[01:29:14.200 --> 01:29:20.200]  Our extra large, microwavable heating pad for back pain is designed to be large enough to cover your entire back.
[01:29:20.200 --> 01:29:24.200]  It's also perfect to wrap around your legs, knees, or shoulder and neck.
[01:29:24.200 --> 01:29:26.200]  But I need to know their good quality.
[01:29:26.200 --> 01:29:30.200]  Of course, Sunny Bay Heating Pads and pillows are often an Amazon choice,
[01:29:30.200 --> 01:29:36.200]  and it's easy and most affordable when you purchase your Sunny Bay Heating Pads right from our website, SunshinePillows.com,
[01:29:36.200 --> 01:29:41.200]  or call us 253-678-1361.
[01:29:41.200 --> 01:29:44.200]  Hey, a Sunny Bay Heating Pad would make a great gift, right?
[01:29:44.200 --> 01:29:48.200]  Yes, and they start at just $19.99 and free shipping is available.
[01:29:48.200 --> 01:29:56.200]  So call 253-678-1361 or shop for your Sunny Bay Heating Pad at SunshinePillows.com.
[01:30:18.200 --> 01:30:22.200]  As you've taken action with hashtag Alex Jones.
[01:30:22.200 --> 01:30:27.200]  I am patient zero in the massive banning, but you can override the censors now.
[01:30:27.200 --> 01:30:32.200]  And if all of our audience gets involved with hashtag Alex Jones, we are unstoppable together.
[01:30:32.200 --> 01:30:36.200]  We've already changed the world together with our laser focus.
[01:30:36.200 --> 01:30:42.200]  Do it again with hashtag Alex Jones on Twitter, on Facebook, on Google, on YouTube, everywhere.
[01:30:42.200 --> 01:30:48.200]  Call and talk radio, c-span, shout it out loud and public, hashtag Alex Jones.
[01:30:48.200 --> 01:30:52.200]  That's the rallying cry to restore the First Amendment.
[01:30:52.200 --> 01:30:58.200]  Creativity and the dynamic human spirit that refuses to submit.
[01:30:58.200 --> 01:31:01.200]  Stress is a natural part of life.
[01:31:01.200 --> 01:31:07.200]  Work, family, friends, and everyday accidents can put a lot of strain on the body and your mood.
[01:31:07.200 --> 01:31:09.200]  Don't let life weigh you down.
[01:31:09.200 --> 01:31:15.200]  Happies is a powerful mood and stress support formula that has your back against life's daily inconveniences.
[01:31:15.200 --> 01:31:19.200]  Made with ancient ingredients used for thousands of years,
[01:31:19.200 --> 01:31:22.200]  Happies can help you take back the day.
[01:31:22.200 --> 01:31:24.200]  With our powerhouse formula,
[01:31:24.200 --> 01:31:28.200]  Happies can be an important part of your daily supplement routine.
[01:31:28.200 --> 01:31:31.200]  With poor diet and the constant on and off of your work life,
[01:31:31.200 --> 01:31:36.200]  it's more important than ever to support your body in the fight against stress.
[01:31:36.200 --> 01:31:40.200]  With powerful ingredients combined to help support the mind and body,
[01:31:40.200 --> 01:31:47.200]  Happies helps support during stress, promotes overall well-being, and helps support your mood.
[01:31:47.200 --> 01:31:49.200]  Don't let your life bogged down.
[01:31:49.200 --> 01:31:53.200]  Help your body overcome the effects of daily stress and pressure today
[01:31:53.200 --> 01:32:07.200]  with Happies from InfoWarsStore.com.
[01:32:23.200 --> 01:32:27.200]  It's your day-to-day life with ease while encouraging hormonal balance,
[01:32:27.200 --> 01:32:32.200]  perfect by itself, or with super male vitality in the true alpha male pack.
[01:32:32.200 --> 01:32:37.200]  Alpha Power can help boost performance, help maintain normal testosterone levels,
[01:32:37.200 --> 01:32:39.200]  support healthy cholesterol, and more.
[01:32:39.200 --> 01:32:43.200]  Let Alpha Power help bring you to the peak of your optimal health.
[01:32:43.200 --> 01:32:46.200]  Don't fall short on energy in the fight against tyranny.
[01:32:46.200 --> 01:32:52.200]  Show the world what a true alpha male looks like today with Alpha Power at 50% off,
[01:32:52.200 --> 01:32:57.200]  only at the InfoWarsStore.
[01:33:22.200 --> 01:33:29.200]  To the Alex Jones show, and now your host, Owen Troyer.
[01:33:29.200 --> 01:33:31.200]  So everyone's a favorite it couple.
[01:33:31.200 --> 01:33:39.200]  The royal couple, Meghan Markle and Prince Harry, we adore them so.
[01:33:39.200 --> 01:33:46.200]  They've just decided they're going to raise their baby gender fluid.
[01:33:46.200 --> 01:33:50.200]  Unbelievable mental illness.
[01:33:50.200 --> 01:33:54.200]  Let me tell you something, folks. In a sane society, anybody who raises their child gender fluid
[01:33:54.200 --> 01:33:58.200]  or anybody who rubs their menstrual blood on their face or paints with it,
[01:33:58.200 --> 01:34:01.200]  belongs in a straight jacket and a rubber room.
[01:34:01.200 --> 01:34:04.200]  But we don't live in a sane society, do we?
[01:34:04.200 --> 01:34:06.200]  One more thing before I go to your phone calls.
[01:34:06.200 --> 01:34:10.200]  This was pointed out during the break to me.
[01:34:10.200 --> 01:34:15.200]  Look at what, just compare and contrast Roger Stone to Michael Cohen.
[01:34:15.200 --> 01:34:21.200]  Michael Cohen, convicted liar, actually guilty of all of these crimes in his own personal life
[01:34:21.200 --> 01:34:24.200]  and gets caught with all of it.
[01:34:24.200 --> 01:34:32.200]  He gets, what was it, like an eight hour testimony, live on television, all the media covers,
[01:34:32.200 --> 01:34:35.200]  and now he's the hero, Michael Cohen.
[01:34:35.200 --> 01:34:41.200]  Roger Stone, not a convicted liar, not a bunch of crimes in his past.
[01:34:41.200 --> 01:34:45.200]  A Trump loyalist who's not going to sell the country out.
[01:34:45.200 --> 01:34:49.200]  He gets gagged, he doesn't get the big testimony for the public to hear.
[01:34:49.200 --> 01:34:56.200]  You see the difference? Michael Cohen, a liar, a fraud, a con man,
[01:34:56.200 --> 01:35:02.200]  but more than anything, a traitor, he doesn't get gagged even though he's the known liar.
[01:35:02.200 --> 01:35:05.200]  He gets the eight hour testimony on live television.
[01:35:05.200 --> 01:35:12.200]  Roger Stone, not a liar, not a traitor, he gets gagged, he doesn't get the live testimony.
[01:35:12.200 --> 01:35:15.200]  Why? Because he won't sell this country down the drain and he won't lie about President Trump.
[01:35:15.200 --> 01:35:20.200]  Cohen will do that. That's why he gets the testimony run by the deep state and by the Democrats.
[01:35:20.200 --> 01:35:24.200]  All right, let's go back out your calls. Let's go to Sean in Texas.
[01:35:24.200 --> 01:35:26.200]  Go ahead, Sean, you're on the Alex Jones show.
[01:35:26.200 --> 01:35:31.200]  Hey, Owen, thank you so much. I'm well pumped up. I'm on Turbo Force, actually.
[01:35:31.200 --> 01:35:36.200]  I just want to say the products are awesome. I use Turbo Force, the V12, the knockout.
[01:35:36.200 --> 01:35:46.200]  I'm an 11 year listener and I actually got into Alex Jones when I was 16 with the 9-11 Truth Movement.
