[00:00.000 --> 00:10.940]  Yippee-aye, yippee-aye-o-o-o-o-o-o-o-o!
[1:38:30.840 --> 1:38:36.840]  we can solve this we can beat this we don't have to wait 18 months for a vaccine but the media is
[1:38:36.840 --> 1:38:41.800]  silencing all of us who have this message of hope for humanity because they want it to be bad so
[1:38:41.800 --> 1:38:47.400]  yes it is a biological weapon alex but it's not the weapon that they really want it doesn't have
[1:38:47.400 --> 1:38:53.800]  the death rate they wanted which was maybe you know 500% worse than what it is right now it's
[1:38:53.800 --> 1:38:57.720]  not quite there from the point of view of the globalists and they know that we can beat this if
[1:38:57.720 --> 1:39:02.040]  the knowledge gets out and so that's why they're shutting you off with the google app and that's
[1:39:02.040 --> 1:39:06.360]  why the tech giants are part of this look the tech giants have engaged in censorship just like
[1:39:06.360 --> 1:39:10.840]  china did because they want this to be bad they want america's economy to collapse they want
[1:39:10.840 --> 1:39:15.880]  trump to be defeated over this issue the way to protect trump and this has been my motivation from
[1:39:15.880 --> 1:39:21.480]  the start the way to protect trump initially was to do the lockdowns until we found a solution
[1:39:21.480 --> 1:39:26.920]  now we have a solution let's use the solution which is zinc and chloroquine and masks and let's end
[1:39:26.920 --> 1:39:31.000]  the lockdowns as soon as he has to do the lockdowns because they were prepositioning it to blame every
[1:39:31.000 --> 1:39:36.120]  death on him and even when he did that they still tried to blame it and as you said cdc brought it
[1:39:36.120 --> 1:39:41.480]  in their globalist uh they they put the people out on purpose the democrats tried to tell trump
[1:39:41.480 --> 1:39:46.360]  don't block any flights don't do any lockdowns hoping it would get really bad and now they've
[1:39:46.360 --> 1:39:50.600]  had all the governors that are democrats try to block things they know are wonderful treatments
[1:39:50.600 --> 1:39:56.600]  they are true villains who are they taking orders from well the communists the communists in fact
[1:39:56.600 --> 1:40:01.640]  china has been sending testing kits you've seen these stories to european nations and states in
[1:40:01.640 --> 1:40:06.680]  the u.s. testing kits that don't work and twitter and twitter purpose exactly and twitter has been
[1:40:06.680 --> 1:40:11.720]  letting them put out all the propaganda they want saying the u.s. army released it because jack dorsi
[1:40:11.720 --> 1:40:17.080]  is a communist he is with the communist chinese and the chinese are trying to sow total chaos
[1:40:17.080 --> 1:40:21.560]  across the u.s. healthcare industry with false positives and false negatives so that we can't
[1:40:21.560 --> 1:40:27.800]  identify the people who really have it and and we fail to identify uh asymptomatic carriers who are
[1:40:27.800 --> 1:40:35.080]  the ones who are spreading it so look communism is the enemy of humanity communism with this virus
[1:40:35.080 --> 1:40:39.880]  is what's killing people and killing economies and the way to beat the communist is to have
[1:40:39.880 --> 1:40:47.080]  us made testing kits that work us made masks that work and us manufactured zinc supplements
[1:40:47.080 --> 1:40:52.440]  and hydroxychloroquine it's really that simple alex we we've now narrowed this down to about
[1:40:52.440 --> 1:40:57.400]  four things that can solve this we can get america back to work we can have elections on time
[1:40:57.400 --> 1:41:01.640]  we can stop the cycle of replication of this virus we know the solutions now
[1:41:01.640 --> 1:41:06.200]  that's what we need to be doing and we know they're playing blame trump for it uh have mail
[1:41:06.200 --> 1:41:11.080]  in ballots they can steal the election and then let the chai comms literally have our own media
[1:41:11.080 --> 1:41:16.120]  run chai com propaganda against our own country i mean this country is an award literally i mean
[1:41:16.120 --> 1:41:21.240]  when you're saying this i'm hyperventilating because it's so epic it's so real and you were
[1:41:21.240 --> 1:41:26.760]  panicked so was i because it was man-made the media was praising zeezy ping then attacking trump
[1:41:26.760 --> 1:41:30.840]  i mean you can see the setup but i don't think it's gone the way they wanted so now let's ask the
[1:41:30.840 --> 1:41:35.000]  question how do you see this playing out and here's the problem what do they pull next because they
[1:41:35.000 --> 1:41:41.400]  haven't given up they only escalate well my current numbers are lower than dr fauci's numbers i'm
[1:41:41.400 --> 1:41:46.680]  currently projecting between 45 000 and 90 000 fatalities in the united states through the
[1:41:46.680 --> 1:41:54.040]  end of the month of july that number might get a lot lower depending on what we do from here
[1:41:54.040 --> 1:42:00.520]  forward if more people become aware of zinc if more doctors are allowed to prescribe a hydroxy
[1:42:00.520 --> 1:42:05.640]  chloroquine if if people wear more masks then those numbers could get significantly lower we
[1:42:05.640 --> 1:42:09.640]  might end up with only tens of thousands of deaths which would be an amazing victory since
[1:42:09.640 --> 1:42:14.040]  we were looking at two million if we did nothing but fortunately when we won't see two million
[1:42:14.040 --> 1:42:18.280]  anymore we've got this much more under control and we can we can do better yet
[1:42:18.280 --> 1:42:24.280]  mike you've got a lot up at naturalnews.com we repost a lot of it i'm appreciate you let us do
[1:42:24.280 --> 1:42:29.320]  that to m4s.com and newswords.com tell me some of the other big stories you've got well i'm i'm
[1:42:29.320 --> 1:42:33.800]  very concerned that trump knows that there there might be more things coming beyond this virus
[1:42:33.800 --> 1:42:38.040]  uh you've got the pentagon ordering high-level officials into underground bunkers in colorado
[1:42:38.040 --> 1:42:43.720]  and trump calling up one million medical reservists to join uh in in you know treating treating
[1:42:43.720 --> 1:42:49.160]  injuries and perhaps combat injuries if we get invaded or something that's right america absolutely
[1:42:49.160 --> 1:42:52.360]  the globalists you just said they're gonna launch more stuff they didn't just send the troops into
[1:42:52.360 --> 1:42:58.440]  norad for no reason we're now heading up to the death cons we'll be right back allergies dander
[1:42:58.440 --> 1:43:04.840]  asthma germs toxins there are many reasons why we need to think about what is really in the air
[1:43:04.840 --> 1:43:09.800]  around us we may not be able to stop breathing but we can control what's in the air we breathe
[1:43:09.800 --> 1:43:15.960]  the revolutionary alexa pure breeze air filtration system is a powerful ally in the fight against
[1:43:15.960 --> 1:43:22.120]  the dangerous toxins and viruses in the air powerful quiet and effective the breeze uses
[1:43:22.120 --> 1:43:27.480]  a four-step purification process to help you breathe easier and cleaner similar systems could
[1:43:27.480 --> 1:43:33.160]  cost hundreds to even thousands of dollars but the alexa pure breeze air purification is the best
[1:43:33.160 --> 1:43:39.000]  and most affordable bar none the breeze in the ion cluster patented technology used in the system
[1:43:39.000 --> 1:43:46.040]  eliminate up to 99.97 percent of airborne contaminants get the alexa pure breeze today and save big on
[1:43:46.040 --> 1:43:51.240]  a world-class air filtration system for your home don't keep breathing toxic or dangerous air get
[1:43:51.240 --> 1:43:59.080]  this special today at info wars store dot com the ultimate turmeric and inflammatory support
[1:43:59.080 --> 1:44:07.480]  product on the market bodies is available at 40 off at the info wars store using pure turmeric
[1:44:07.480 --> 1:44:14.600]  extract plus peppering from black pepper bodies makes for optimal formula absorption to help
[1:44:14.600 --> 1:44:21.480]  boost and support your flexibility mobility joint function immune system and so much more
[1:44:22.120 --> 1:44:28.760]  truly utilizing its potential bodies contains over 95 percent of the active ingredients in turmeric
[1:44:29.400 --> 1:44:35.640]  and with five other organic herbs and extracts bodies is a synergistic powerhouse of full body
[1:44:35.640 --> 1:44:41.480]  support we worked hard to create a formula that takes advantage of the power of turmeric
[1:44:42.520 --> 1:44:48.840]  check out bodies today for 40 off at info wars store dot com and see what this time tested
[1:44:48.840 --> 1:44:59.880]  ingredient can add to your daily routine my mind for more than eight weeks has been fixed
[1:44:59.880 --> 1:45:06.600]  constantly scanning constantly computing to understand the strategic attack we're witnessing
[1:45:06.600 --> 1:45:12.360]  we know by the scripting and the choreography and the fact that the virus has been scanned
[1:45:12.360 --> 1:45:17.400]  that it's man-made and attack on our economy the globalist media is firmly behind this
[1:45:17.400 --> 1:45:23.720]  devastating the united states and driving from from power but now we know from scores of studies
[1:45:23.720 --> 1:45:31.880]  from china the uk the united states europe brazil japan that the virus reinfects and attacks
[1:45:31.880 --> 1:45:36.600]  different parts of the body that ladies and gentlemen is an engineered bio weapon just as
[1:45:36.600 --> 1:45:42.680]  the indian scientist eight weeks ago conclusively proved their major university they have a name
[1:45:42.680 --> 1:45:49.480]  for it at the pentagon it's called a soft kill weapon it doesn't kill you usually the first time
