[00:00.000 --> 00:13.000]  Crashing through the lies and disinformation, it's Alex Jones coming to you live from the
[01:24:58.000 --> 01:25:00.000]  Oh yes, Gloria Alred.
[01:25:00.000 --> 01:25:02.000]  She cares so much about the woman.
[01:25:02.000 --> 01:25:04.000]  She's here for women.
[01:25:04.000 --> 01:25:13.000]  And then she takes an accuser of Roy Moore
[01:25:13.000 --> 01:25:20.000]  who fabricates a signature on a yearbook and she runs with that to try to bring down Roy Moore.
[01:25:20.000 --> 01:25:22.000]  Just like what you're seeing with Trump.
[01:25:22.000 --> 01:25:24.000]  And then what happens?
[01:25:24.000 --> 01:25:34.000]  That individual that Alred is representing admits to forging the document that she claimed was Roy Moore's signature.
[01:25:34.000 --> 01:25:36.000]  Oh wow, wait a second.
[01:25:36.000 --> 01:25:42.000]  Anyone with a legal background understands that now because of that, the entire case is thrown out.
[01:25:42.000 --> 01:25:46.000]  You just blew the entire case against Roy Moore.
[01:25:46.000 --> 01:25:49.000]  Because now we can't trust any of the evidence.
[01:25:49.000 --> 01:25:51.000]  We can't trust any of the accusers.
[01:25:51.000 --> 01:25:53.000]  And now we have reasonable doubt.
[01:25:53.000 --> 01:25:55.000]  So you just cost yourself the entire lawsuit.
[01:25:55.000 --> 01:25:57.000]  Oops, sorry, Gloria.
[01:25:57.000 --> 01:25:59.000]  You blew it again.
[01:25:59.000 --> 01:26:01.000]  And you know what else she's done?
[01:26:01.000 --> 01:26:06.000]  Just like they've scorched the earth behind them trying to ruin Donald Trump.
[01:26:06.000 --> 01:26:11.000]  And now normal interactions between men and women might be considered sexist or rape even.
[01:26:11.000 --> 01:26:12.000]  Yes, that's right.
[01:26:12.000 --> 01:26:13.000]  That's what they're saying.
[01:26:13.000 --> 01:26:17.000]  Cat calling now in Europe needs to be illegal.
[01:26:17.000 --> 01:26:19.000]  Okay, so you've got that angle.
[01:26:19.000 --> 01:26:24.000]  Then real victims of sexual assault, you know what?
[01:26:24.000 --> 01:26:30.000]  Who maybe don't get the Gloria Alred to represent them because there is no political agenda behind it.
[01:26:30.000 --> 01:26:34.000]  There is no ground to be gained politically by representing these women.
[01:26:34.000 --> 01:26:37.000]  These are just women who are actual victims of sexual assault.
[01:26:37.000 --> 01:26:40.000]  Now they try to come forward and they try to make accusations.
[01:26:40.000 --> 01:26:42.000]  And what are people going to say?
[01:26:42.000 --> 01:26:43.000]  What are juries going to think?
[01:26:43.000 --> 01:26:44.000]  What are judges going to think?
[01:26:44.000 --> 01:26:45.000]  Hmm.
[01:26:45.000 --> 01:26:49.000]  You know, I've seen cases of this where they're forging signatures.
[01:26:49.000 --> 01:26:50.000]  They're making up stories.
[01:26:50.000 --> 01:26:51.000]  So I just, I don't know.
[01:26:51.000 --> 01:26:53.000]  I don't know if I can trust this now.
[01:26:53.000 --> 01:27:00.000]  So now Gloria Alred has scorched the earth for real victims of sexual assault.
[01:27:00.000 --> 01:27:01.000]  So thanks a lot.
[01:27:01.000 --> 01:27:08.000]  So the political agenda to remove Trump from office using this Me Too movement that only happened because of President Trump,
[01:27:08.000 --> 01:27:13.000]  they're now scorching earth for regular relations with just the average individual in society
[01:27:13.000 --> 01:27:19.000]  where if you ask for a phone number, now a woman is so brainwashed into being a victim that she thinks she's being raped.
[01:27:19.000 --> 01:27:25.000]  Then actual victims of sexual assault that want to come forward get no attention from Gloria Alred.
[01:27:25.000 --> 01:27:34.000]  But now their entire testimony is going to be in question because of what Gloria Alred brought forth with a forged signature and a fake accusation.
[01:27:34.000 --> 01:27:36.000]  And why are they doing all this?
[01:27:36.000 --> 01:27:37.000]  Because of President Trump.
[01:27:37.000 --> 01:27:39.000]  They cannot have Trump in office.
[01:27:39.000 --> 01:27:42.000]  He's not with the Washington establishment.
[01:27:42.000 --> 01:27:43.000]  He's not from the swamp.
[01:27:43.000 --> 01:27:45.000]  He actually wants to drain the swamp.
[01:27:45.000 --> 01:27:46.000]  He wants to put America first.
[01:27:46.000 --> 01:27:48.000]  And these people hate it.
[01:27:48.000 --> 01:28:00.000]  And it shows you, it shows you how big of frauds they are when they say they're for women, when they say they want to represent women.
[01:28:00.000 --> 01:28:11.000]  Yet here they are using women as a political pawn and burning to the ground everything they leave behind them,
[01:28:11.000 --> 01:28:15.000]  making it impossible to actually have normal relations again.
[01:28:15.000 --> 01:28:16.000]  And guess what?
[01:28:16.000 --> 01:28:17.000]  That includes women.
[01:28:17.000 --> 01:28:19.000]  So that's what they're doing.
[01:28:19.000 --> 01:28:21.000]  It's really incredible.
[01:28:21.000 --> 01:28:23.000]  Alright folks, we're about to take a break.
[01:28:23.000 --> 01:28:25.000]  I will take your calls in the third hour.
[01:28:25.000 --> 01:28:28.000]  So in the third hour, exclusively your calls.
[01:28:28.000 --> 01:28:30.000]  When we come back though, we've got a video.
[01:28:30.000 --> 01:28:33.000]  Our reporters went out and followed Savelle Edmonds.
[01:28:33.000 --> 01:28:41.000]  And what we found was that when Savelle wanted to ask questions to these congressmen, they literally locked her out.
[01:28:41.000 --> 01:28:43.000]  So why did they lock her out?
[01:28:43.000 --> 01:28:44.000]  I'm not sure.
[01:28:44.000 --> 01:28:45.000]  We've got the footage though.
[01:28:45.000 --> 01:28:46.000]  Shocking.
[01:28:46.000 --> 01:28:47.000]  Shocking.
[01:28:47.000 --> 01:28:49.000]  Congressman, don't want to talk to Infowars.
[01:28:49.000 --> 01:28:51.000]  Why are they so scared of us?
[01:28:51.000 --> 01:28:53.000]  Is that because we're real news?
[01:28:53.000 --> 01:28:54.000]  Hmm.
[01:28:54.000 --> 01:29:02.000]  Guys, wouldn't your wife or girlfriend love it if you treated her to the very best this Christmas?
[01:29:02.000 --> 01:29:04.000]  Well, you can.
[01:29:04.000 --> 01:29:06.000]  And you don't even have to go out of your way.
[01:29:06.000 --> 01:29:12.000]  We're talking about the world's softest pajamas, available exclusively at pajamagram.com.
[01:29:12.000 --> 01:29:14.000]  That's pajamagram.com.
[01:29:14.000 --> 01:29:22.000]  Created by a team of dedicated pajama experts, the world's softest pajamas are lighter than a cloud, softer than a bunny.
[01:29:22.000 --> 01:29:24.000]  Like cashmere, only better.
[01:29:24.000 --> 01:29:29.000]  She'll love the way the world's softest pajamas feel, and you'll love the way they look.
[01:29:29.000 --> 01:29:34.000]  More than a gift, they're a feeling, an invitation to relax a little longer.
[01:29:34.000 --> 01:29:39.000]  The world's softest pajamas are available only at pajamagram.com.
[01:29:39.000 --> 01:29:43.000]  Visit today and give her a gift that keeps on giving to both of you.
[01:29:43.000 --> 01:29:51.000]  Plus, you don't even have to wrap, because every pajamagram includes free gift packaging, and Christmas delivery is guaranteed.
[01:29:51.000 --> 01:29:58.000]  So visit pajamagram.com or call 1-800-GIVE-PJs.
[01:29:58.000 --> 01:30:03.000]  Maximize your potential and take your body back with super male vitality.
[01:30:03.000 --> 01:30:09.000]  We're breaking the conditioning and fighting back against the globalist's war on male vitality.
[01:30:09.000 --> 01:30:15.000]  Our ultimate non-GMO formula is sourced from powerful organic herbs that have been gathered from around the world,
[01:30:15.000 --> 01:30:18.000]  and then concentrated for maximum potency.
[01:30:18.000 --> 01:30:25.000]  Super male vitality was developed to activate your body's natural processes instead of using synthetic chemicals.
[01:30:25.000 --> 01:30:29.000]  InfoWarsLife wants to bring you the highest quality products.
[01:30:29.000 --> 01:30:38.000]  Our unique combination of ingredients is designed to assist the body in regulating proper balance and creating superior vitality in males.
[01:30:38.000 --> 01:30:42.000]  Support your body and mind and take yourself to the next level.
[01:30:42.000 --> 01:30:46.000]  Boost your vitality and energize your life.
[01:30:46.000 --> 01:30:48.000]  Take control of your body.
[01:30:48.000 --> 01:30:53.000]  Grab a bottle of super male vitality today at infowarslife.com.
[01:30:53.000 --> 01:31:16.000]  Please listen carefully because I'm about to point out three things that will save you a lot of money while you get high quality products and fund the InfoWars.
[01:31:16.000 --> 01:31:26.000]  We're giving you free shipping on all orders above $50.
[01:31:26.000 --> 01:31:32.000]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[01:31:32.000 --> 01:31:36.000]  Just go to infowarsstore.com, select your favorite product or products.
[01:31:36.000 --> 01:31:40.000]  Click on auto ship and choose how often you want us to send you another order.
[01:31:40.000 --> 01:31:47.000]  As you know, I coined the term 360 win and with the new auto ship feature at infowarslife.com, this is a sure win.
[01:31:47.000 --> 01:31:49.000]  10% off on auto ship.
[01:31:49.000 --> 01:31:51.000]  Win, win, win at infowarslife.com.
[01:31:51.000 --> 01:31:53.000]  Free shipping on orders above $50.
[01:31:53.000 --> 01:31:57.000]  And all out of stock items are never out of stock when you sign up for auto ship.
[01:31:57.000 --> 01:31:59.000]  I want to plow into all of this.
[01:31:59.000 --> 01:32:09.000]  Then I'm going to spend a few minutes here first just encouraging listeners to understand that when you buy t-shirts or water filtration systems or books.
[01:32:09.000 --> 01:32:17.000]  Or videos or other material from infowarsstore.com, you are funding the revolution.
[01:32:17.000 --> 01:32:19.000]  I mean, I cannot say it any clearer.
[01:32:19.000 --> 01:32:23.000]  And so it is essential that you purchase the products at infowarsstore.com.
[01:32:23.000 --> 01:32:30.000]  I don't want to thank everybody that has, but we've got the best chloride-free toothpaste with colloidal silver and with high quality atomic iodine.
[01:32:30.000 --> 01:32:33.000]  You cannot beat that for children and adults.
[01:32:33.000 --> 01:32:35.000]  We've got the best mouthwash designed by Dr. Jones.
[01:32:35.000 --> 01:32:38.000]  That's my dad with colloidal silver and iodine as well.
[01:32:38.000 --> 01:32:43.000]  Infowarslife.com or triple-A-253-3139.
[01:32:43.000 --> 01:32:50.000]  And your purchase of the products stands with us, stands with America, stands with Trump, stands against the globalists and their satanic pedophile armies.
[01:32:50.000 --> 01:32:51.000]  And that's who they are.
[01:32:51.000 --> 01:32:53.000]  And they know we know who they are.
[01:32:53.000 --> 01:33:09.000]  Coming back against us so we need your support.
[01:33:09.000 --> 01:33:14.000]  From the front lines of the Information War, it's Alex Jones.
[01:33:14.000 --> 01:33:15.000]  Watch me!
[01:33:15.000 --> 01:33:16.000]  Watch me!
[01:33:16.000 --> 01:33:17.000]  Watch me!
[01:33:17.000 --> 01:33:18.000]  Watch me!
[01:33:18.000 --> 01:33:19.000]  I got it!
[01:33:19.000 --> 01:33:20.000]  I'm Alex Jones.
[01:33:20.000 --> 01:33:21.000]  I'm Owen Schreuer.
[01:33:21.000 --> 01:33:23.000]  And you'll notice we're tag-teaming.
[01:33:23.000 --> 01:33:24.000]  I've been on earlier.
[01:33:24.000 --> 01:33:32.000]  He just came in for a segment or two because behind the scenes, I am gearing up for the big special broadcast tonight after Infowarslife with yours truly, Alex Jones.
[01:33:32.000 --> 01:33:38.000]  Owen Schreuer will have the war room with Roger Schoen, another great analyst from 3 to 6 p.m. Central.
[01:33:38.000 --> 01:33:41.000]  And then that's on AM and FM stations and TV stations.
[01:33:41.000 --> 01:33:45.000]  Then we're going to return tonight, 6 o'clock Central, right through until the results are done.
[01:33:45.000 --> 01:33:47.000]  That should be about 8 o'clock or so.
[01:33:47.000 --> 01:33:51.000]  So again, there'll be a little respite at 6 o'clock.
[01:33:51.000 --> 01:33:53.000]  About 6.30 we'll run some tapes then, but we'll be live by 6.30.
[01:33:53.000 --> 01:34:03.000]  But the feeds will be up at 6 p.m. at infowars.com forward slash show with main feeds on the front page to cover this epic battle with Judge Roy Moore.
[01:34:03.000 --> 01:34:10.000]  A lot of people think it's a bellwether for whether the whole Me Too campaign, the whole hoax will be able to bring down Donald J. Trump.
[01:34:10.000 --> 01:34:12.000]  But again, there's no evidence.
[01:34:12.000 --> 01:34:22.000]  You can see how they've built this whole thing, thrown their own people under the bus who were actually guilty and are now building towards going after Trump because the Russian narrative is falling apart.
[01:34:22.000 --> 01:34:24.000]  But here's the big issue.
[01:34:24.000 --> 01:34:36.000]  We know that there are tapes of women who have been propositioned by media and by political analysts to lie about Trump and say that they've been raped or assaulted or grabbed or that he cheated with them.
[01:34:36.000 --> 01:34:39.000]  We know that no stones have been left unturned during the campaign.
[01:34:39.000 --> 01:34:42.000]  They've had to recycle women that say he asked for their phone number.
[01:34:42.000 --> 01:34:45.000]  And I'm sorry that that woman does not look like his type.
[01:34:45.000 --> 01:34:49.000]  I mean, she looks like a praying maness or something.
[01:34:49.000 --> 01:34:50.000]  And I'm not being mean.
[01:34:50.000 --> 01:34:52.000]  I mean, come on.
[01:34:52.000 --> 01:34:59.000]  Does that look like Melania Trump to you or does that look like any of this stuff or this other lady?
[01:34:59.000 --> 01:35:06.000]  I mean, my God, it looks like the deck of the old maid card game or something.
[01:35:06.000 --> 01:35:08.000]  And I'm not putting these folks down.
[01:35:08.000 --> 01:35:12.000]  But oh, he called me the C word 30 years ago because I was mean to him on an airplane.
