[00:00:04.113 --> 00:00:06.354]  Alright, ladies and gentlemen.
[01:00:34.019 --> 01:00:42.745]  Like a boiling cauldron, the busy Baltic Sea bursting with gas from ruptured Russian Nord Stream reinforced pipelines.
[01:00:42.745 --> 01:00:56.796]  First on CNN, sources telling us that European security officials observed Russian Navy ships earlier this week in the vicinity of those leaks in the Nord Stream pipelines that were likely caused by underwater explosions.
[01:00:57.056 --> 01:00:57.777]  Here's what we know.
[01:00:57.777 --> 01:01:04.542]  We know that Russian support ships, Russian Navy support ships, were spotted in the vicinity of the leaks on these pipelines.
[01:01:04.542 --> 01:01:11.307]  We were also told by a source familiar with the intelligence that Russian submarines were spotted in the general area last week.
[01:01:11.307 --> 01:01:18.793]  I think this is clearly an act of sabotage of some sort and Russia is certainly the most likely suspect.
[01:01:19.554 --> 01:01:21.395]  It's incredibly alarming.
[01:01:21.395 --> 01:01:28.638]  President Vladimir Putin has blamed the United States and its allies for blowing up the undersea Nord Stream pipelines.
[01:01:28.638 --> 01:01:35.181]  It was a deliberate act of sabotage, and now the Russians are pumping out disinformation in lines.
[01:01:35.181 --> 01:01:38.163]  If Russia wanted to shut off the pipeline, they would flip the button.
[01:01:38.163 --> 01:01:39.143]  They would twist the knob.
[01:01:39.143 --> 01:01:40.484]  They don't need to blow it up.
[01:01:40.484 --> 01:01:41.444]  It's theirs.
[01:01:41.444 --> 01:01:42.605]  It starts in Russia.
[01:01:42.605 --> 01:01:45.466]  So it was pretty obvious to us the Biden administration was involved in this.
[01:01:45.686 --> 01:01:47.947]  They have been lying to us all along about this.
[01:01:47.947 --> 01:01:55.371]  There's no way the United States was not either involved or knew about this or at the very minimum approved it.
[01:01:55.371 --> 01:01:56.492]  Today a senior U.S.
[01:01:56.492 --> 01:02:00.494]  government official rejected a new claim by Russia's defense minister.
[01:02:00.494 --> 01:02:07.717]  He claimed that Ukraine is preparing to detonate a radioactive dirty bomb with Western help on its own territory.
[01:02:07.717 --> 01:02:12.880]  This is the first time the 101st Airborne Division has deployed to Europe since World War II.
[01:02:13.160 --> 01:02:22.106]  The idea that we're going to send in offensive equipment and have planes and tanks and trains going in with American pilots and American crews.
[01:02:22.106 --> 01:02:30.012]  Just understand, and don't kid yourself no matter what you all say, that's called World War 3.
[01:02:30.012 --> 01:02:30.833]  The U.S.
[01:02:30.833 --> 01:02:39.258]  will have to send their sons and daughters exactly the same way as we are sending their sons and daughters to war.
[01:02:39.258 --> 01:02:41.380]  And they will have to fight.
[01:02:41.380 --> 01:02:42.501]  And they will be dying.
[01:02:45.706 --> 01:02:51.828]  Air sirens blaring across much of central and eastern Ukraine today as Putin's forces ramp up.
[01:02:51.828 --> 01:02:56.669]  Washington has placed more than 8,000 U.S.-based troops on a heightened state of alert.
[01:02:56.669 --> 01:02:57.829]  Today, the U.S.
[01:02:57.829 --> 01:03:03.111]  sent in the cavalry bound for Romania right along the Ukrainian border.
[01:03:03.111 --> 01:03:06.952]  If we continue down this path, we may end up with a nuclear holocaust.
[01:03:19.818 --> 01:03:21.259]  CNN has learned that the U.S.
[01:03:21.259 --> 01:03:31.104]  is developing contingency plans for possible Russian escalation in its war in Ukraine, including the potential use of tactical nuclear weapons.
[01:03:31.104 --> 01:03:33.466]  Russian President Vladimir Putin today making it official.
[01:03:33.466 --> 01:03:39.149]  He just formally suspended Russia's involvement in its last remaining nuclear arms control treaty with the United States.
[01:03:39.149 --> 01:03:42.591]  The prospect of nuclear conflict whence unthinkable.
[01:03:43.411 --> 01:03:46.192]  He's now back within the realm of possibility.
[01:03:46.192 --> 01:04:06.060]  Every actuary, every historic war game, every analysis shows this leads to total thermal nuclear war.
[01:04:06.060 --> 01:04:09.842]  There's a lot of controversy around this network about Alex Jones, for example.
[01:04:14.731 --> 01:04:25.300]  Alex Jones, the far-right conspiracy theorist who is apparently... It's Alex Jones!
[01:04:25.300 --> 01:04:25.581]  Scum!
[01:04:25.581 --> 01:04:26.802]  Russian scum!
[01:04:26.802 --> 01:04:28.123]  Until Morris comes to mind.
[01:04:40.410 --> 01:04:42.272]  Your reputation's amazing.
[01:04:42.272 --> 01:04:43.753]  I will not let you down.
[01:04:43.753 --> 01:04:47.717]  You will be very, very impressed, I hope.
[01:04:47.717 --> 01:04:50.319]  Right now,
[01:05:02.560 --> 01:05:12.971]  I'm not talking to the viewers and listeners that have gone to InfoWarsTore.com and gotten the great products that enrich your life, that empower your immune system and your body, and keep us on air.
[01:05:12.971 --> 01:05:17.316]  I am humbly, hand in hand, talking to the viewers and listeners that have tuned in
[01:05:17.876 --> 01:05:18.337]  We're good to go.
[01:05:34.540 --> 01:05:36.061]  But we need funds to operate.
[01:05:36.061 --> 01:05:44.424]  Plus, we've got really great products that do amazing things for people like our CBD oil, and our Fizzy Magnesium, and our Sleep Aid, and our Nitric Oxide, and our Real Red Pill.
[01:05:44.424 --> 01:05:47.385]  Plus, all of these are really great products that keep us on air.
[01:05:47.385 --> 01:05:49.166]  Plus, you're missing out on having these products.
[01:05:49.166 --> 01:05:50.467]  So get off the bench.
[01:05:50.467 --> 01:05:51.307]  Get in the game.
[01:05:51.307 --> 01:05:58.050]  Step to the plate and go to InfoWarsTore.com right now and get these great InfoWars products at InfoWarsTore.com.
[01:06:11.109 --> 01:06:20.894]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:06:20.894 --> 01:06:27.677]  We are now into our number two today on this Thursday, March 9th, 2023 transmission.
[01:06:27.677 --> 01:06:32.519]  I think today's show headline at InfoWars.com really says it all.
[01:06:32.519 --> 01:06:34.940]  The entire deep state and its
[01:06:37.745 --> 01:06:43.749]  Deception, it's shielding, it's cloaking of its operations is in free fall.
[01:06:43.749 --> 01:06:52.075]  Red alert, deep state imploding on all fronts, gain of function, spying, censorship, January 6th, and more.
[01:06:52.075 --> 01:06:57.798]  We are at the crossroads, ladies and gentlemen.
[01:06:57.798 --> 01:07:07.365]  So, I covered World War III, I covered the illegal spying and surveillance and censorship that's going on.
[01:07:09.700 --> 01:07:15.984]  All the big hearings happening right now where this incredible criminal activity is coming out.
[01:07:15.984 --> 01:07:22.088]  Matt Taibbi, doing a great job in a four and a half minute opening statement.
[01:07:22.088 --> 01:07:36.597]  Really boiling down and crystallizing how it's big think tanks, dinosaur media, leftist organizations, all
[01:07:37.543 --> 01:07:54.780]  Being given governmental surveillance tools to then censor you and your family and then persecute you and basically bring forward the proto-development and implementation of the social credit score.
[01:07:54.780 --> 01:07:59.745]  I mean, that's here!
[01:07:59.745 --> 01:08:00.806]  And Congress is getting a
[01:08:02.401 --> 01:08:11.106]  Crash course in it, but many of them are involved in it, in the private committee, classified committee hearing meetings held.
[01:08:11.106 --> 01:08:21.332]  They've had hearings the last six and a half years where they just say, Alex Jones is a Russian agent, and Donald Trump is, and we have the Pentagon, you know, working against them.
[01:08:21.332 --> 01:08:30.197]  The Pentagon, the CIA, the FBI, and they haven't been able to shut us down because people have a hunger for truth, and
[01:08:31.223 --> 01:08:37.227]  They've not been able to dig up or make up anything wrong we've done, so now they're shifting to levels of lies.
[01:08:37.227 --> 01:08:43.430]  Where I read articles that come out every day about me, and I mean, all of it is just whole cloth lies.
[01:08:43.430 --> 01:08:45.511]  Total fraud.
[01:08:45.511 --> 01:08:46.952]  Total garbage.
[01:08:46.952 --> 01:08:49.334]  But that's all they've got.
[01:08:49.334 --> 01:08:55.758]  They're not giving up.
[01:08:55.758 --> 01:08:58.939]  They're never going away.
[01:08:58.939 --> 01:08:59.780]  Until we stop them.
[01:09:01.878 --> 01:09:09.025]  And if you look at how they escalate their power grab when they're challenged, they're leading us into nuclear war.
[01:09:09.025 --> 01:09:12.489]  But let's talk about something else other than nuclear war.
[01:09:12.489 --> 01:09:14.291]  What about viruses?
[01:09:14.291 --> 01:09:15.892]  What about man-made viruses?
[01:09:15.892 --> 01:09:21.117]  What about new chimeric viruses that are splices of different families of viruses like COVID-19?
[01:09:21.117 --> 01:09:24.461]  And then the shot that's far worse that is their response and answer to that.
[01:09:25.674 --> 01:09:33.559]  Well, we covered this article yesterday, and I think I'll start where we were yesterday, because there's four or five clips that we didn't get to.
[01:09:33.559 --> 01:09:43.786]  But let's start with the MTG questioning of Robert Redfield, number six, the former head of the CDC.
[01:09:45.745 --> 01:09:51.568]  And then we'll get into all the other clips, but here's the article that has the quotes and things in it, if you want to share it.
[01:09:51.568 --> 01:09:55.889]  Former CDC Director Redfield to Congress, COVID-19 created a lab, U.S.
[01:09:55.889 --> 01:10:01.192]  government funded gain-of-function research, and Fauci basically covered it up.
[01:10:01.192 --> 01:10:06.434]  We're going to play all those clips here now.
[01:10:06.434 --> 01:10:10.296]  Lying to Congress, putting out false reports, you couldn't get more criminal.
[01:10:11.638 --> 01:10:15.679]  This is what courts and law enforcement's supposed to be for.
[01:10:15.679 --> 01:10:28.641]  When you got mad scientists that are trying to recreate 12 monkeys for real, you know, if you like your kids living, see, because they're the one with a gun to our head.
[01:10:28.641 --> 01:10:30.162]  A biological gun.
[01:10:30.162 --> 01:10:37.083]  If you like living, well then we better get up off our asses and stop letting Big Pharma run our lives and try to end our lives.
[01:10:40.379 --> 01:10:42.860]  And I'm not saying go attack Fauci's house.
[01:10:42.860 --> 01:10:45.321]  That's the last thing we want, turns him into a victim.
[01:10:45.321 --> 01:10:47.782]  I want him destroyed politically.
[01:10:47.782 --> 01:10:48.822]  I want him indicted.
[01:10:48.822 --> 01:10:50.462]  I want his ass in prison.
[01:10:50.462 --> 01:10:54.764]  I want him to turn state's evidence against his bosses, Bill Gates, and the rest of them.
[01:10:54.764 --> 01:10:58.125]  But we know what'll happen.
[01:10:58.125 --> 01:11:01.966]  They're getting ready to set Fauci up, because he is the bag man.
[01:11:01.966 --> 01:11:03.547]  He's been doing this stuff for 45 years.
[01:11:03.547 --> 01:11:06.748]  He's a eugenicist, part of Bill Gates' depopulation board.
[01:11:08.916 --> 01:11:13.560]  They're gonna put it all on Fauci, and I think Fauci's gonna have a heart attack and be found dead.
[01:11:13.560 --> 01:11:17.104]  Or die in a car wreck, or maybe a kayaking accident.
[01:11:17.104 --> 01:11:17.864]  Something like that.
[01:11:17.864 --> 01:11:25.631]  So, they know it's all coming out, and I think Fauci will never see a jail cell.
[01:11:25.631 --> 01:11:26.973]  I think they're gonna kill Fauci.
[01:11:26.973 --> 01:11:29.295]  What do you think?
[01:11:29.295 --> 01:11:31.697]  Here's Redfield.
[01:11:38.450 --> 01:11:39.391]  Alright, let's just hit pause.
[01:11:39.391 --> 01:11:42.713]  Let's just hit pause because I don't have any audio.
[01:11:42.713 --> 01:11:43.994]  Let's just recheck the clip.
[01:11:43.994 --> 01:11:48.517]  Whenever you guys tell me it's ready, I'll go to the clip, okay?
[01:11:48.517 --> 01:11:51.199]  Anybody want to tell me it's ready?
[01:11:51.199 --> 01:11:52.159]  Oh, great.
[01:11:52.159 --> 01:11:53.460]  Go ahead and roll it.
[01:11:53.460 --> 01:12:02.166]  Dr. Redfield, did you agree, in your opinion, with Dr. Anderson's assessment at the time that this virus did look engineered?
