[00:00:08.095 --> 00:00:10.216]  It's Friday, August 28th.
[01:04:17.450 --> 01:04:20.571]  Band.Video, Infowars.com, Newswars.com.
[01:04:20.571 --> 01:04:24.272]  And we, of course, also have CensoredByJack.com.
[01:04:24.272 --> 01:04:29.373]  That URL is not blocked on Twitter right now, so be sure and share everything from Band.Video with the links.
[01:04:29.373 --> 01:04:38.315]  If you go to the website, CensoredByJack.com, you will find all the same videos with different URLs to get around the censors here in the new Soviet Union.
[01:04:40.094 --> 01:04:41.976]  But we haven't fallen completely to the commies.
[01:04:41.976 --> 01:04:47.302]  We have a beachhead called Donald Trump and a beachhead called you and I. So let's fight and take the country and the world back together.
[01:04:47.302 --> 01:04:50.185]  But it takes energy, it takes excitement, and I know you've got it.
[01:04:50.185 --> 01:04:51.947]  It's why they fear you.
[01:04:51.947 --> 01:04:55.291]  Well, ladies and gentlemen, they've got a new Showtime movie.
[01:04:56.209 --> 01:05:05.956]  That's supposedly going to premiere this Sunday, titled The Comey Rule, or you call it The Commie Rule, about James Comey and how wonderful he is, and how Trump's a Russian.
[01:05:05.956 --> 01:05:10.700]  More election meddling, more propaganda, more disinfo, it's all been discredited.
[01:05:10.700 --> 01:05:19.206]  So I was watching the trailer the other day with Jeremy Green and I said, we ought to put out our own version of this, and augment it for everyone with some fun.
[01:05:19.206 --> 01:05:23.249]  So this will be powerful for radio listeners, but for TV viewers, it's really powerful.
[01:05:23.249 --> 01:05:24.069]  So if you're a radio listener,
[01:05:25.066 --> 01:05:31.272]  You'll want to go to InfoWars.com or NewsWars.com or Band.Video where it's the top featured video.
[01:05:31.272 --> 01:05:42.984]  We gave it a fun satirical headline and we point out in the write-up it's satire, but it says, uh, the Comey rule, Showtime's the Comey rule leaked in full.
[01:05:44.540 --> 01:05:49.583]  So, Showtime's The Comey Rule leaked before broadcast.
[01:05:49.583 --> 01:05:51.724]  And, of course, it's not really leaked before broadcast.
[01:05:51.724 --> 01:05:54.545]  It's a satire, two-and-a-half-minute video.
[01:05:54.545 --> 01:05:58.748]  And we're going to premiere it here for you right now, and then just enjoy and share.
[01:05:58.748 --> 01:06:01.529]  And then Owen Schroer's coming here right now to take over.
[01:06:01.529 --> 01:06:01.949]  Stay with us.
[01:06:13.769 --> 01:06:24.737]  So we are now 15 days before a presidential election, and we have to go through 347,000 emails to determine if one of the candidates in that election needs to be indicted.
[01:06:24.737 --> 01:06:25.418]  Russia.
[01:06:25.418 --> 01:06:29.161]  We think they're trying to sabotage Secretary Clinton's campaign.
[01:06:29.161 --> 01:06:29.621]  How?
[01:06:29.621 --> 01:06:30.862]  Never spend much time on Facebook.
[01:06:30.862 --> 01:06:33.304]  Eight hours to go before the polls begin to close.
[01:06:33.304 --> 01:06:34.605]  Wisconsin, you see the lead?
[01:06:34.605 --> 01:06:37.707]  This is a sweep!
[01:06:37.707 --> 01:06:38.808]  Director, call me.
[01:06:38.808 --> 01:06:40.269]  The networks have all called it for Trump.
[01:06:43.848 --> 01:06:44.308]  I'm Batman.
[01:06:44.308 --> 01:06:47.410]  We've now been presented the dossier.
[01:07:04.301 --> 01:07:06.662]  He's turning Russia and its connection to Trump.
[01:07:06.662 --> 01:07:12.083]  Putin began cultivating Trump as an asset, helping real estate deals, hundreds of millions in loans.
[01:07:12.083 --> 01:07:14.504]  It constitutes a real threat to national security.
[01:07:14.504 --> 01:07:18.305]  Would you like to come over for dinner tonight?
[01:07:18.305 --> 01:07:20.525]  Burger King, Wendy's, and McDonald's.
[01:07:20.525 --> 01:07:22.946]  Just the two of us?
[01:07:22.946 --> 01:07:27.547]  Nobody gets treated as unfairly as I do.
[01:07:27.547 --> 01:07:28.567]  It's disgraceful.
[01:07:28.567 --> 01:07:32.228]  I need loyalty.
[01:07:32.228 --> 01:07:32.829]  I expect it.
[01:07:38.490 --> 01:07:40.511]  The president just committed a crime in your presence.
[01:07:40.511 --> 01:07:43.573]  Stop deciding what we do and don't need to know.
[01:07:43.573 --> 01:07:45.655]  It's so crazy in there.
[01:07:45.655 --> 01:07:48.357]  We're steaming towards Weissberg.
[01:07:48.357 --> 01:07:54.181]  I want to know what you can do to lift this Russia clock.
[01:07:54.181 --> 01:07:58.804]  If we ever put anything above the truth, it's a bell that can never be unrung.
[01:08:13.607 --> 01:08:19.089]  Alright ladies and gentlemen, we're back in studio now for the Alex Jones Show.
[01:08:19.089 --> 01:08:21.990]  Owen Troyer sitting in for Alex.
[01:08:21.990 --> 01:08:24.451]  We've got new video emerging.
[01:08:24.451 --> 01:08:35.636]  We've seen so much from Kenosha, Wisconsin the night Kyle Rittenhouse defended his life when a
[01:08:37.378 --> 01:08:47.626]  Riot mob descended upon him, specifically few individuals attempting to do serious harm to him, if not kill him.
[01:08:47.626 --> 01:08:57.493]  And so we've seen the videos of him talking hours before that, saying why he was there, protecting the businesses, why he had a gun to protect himself, why he had a med kit.
[01:08:57.493 --> 01:09:04.879]  You saw the videos of the individuals he shot getting violent, threatening, literally asking to be shot before any shots were fired.
[01:09:06.254 --> 01:09:09.356]  We now have new video that has just surfaced.
[01:09:09.356 --> 01:09:17.821]  The stories at InfoWars.com headline, Kyle Rittenhouse offers EMT services to injured protesters in unearthed video.
[01:09:17.821 --> 01:09:20.062]  We go to this video now.
[01:09:38.149 --> 01:09:39.330]  So that's Kyle's voice.
[01:09:39.330 --> 01:09:43.952]  You can recognize it by now if you've been paying attention.
[01:09:43.952 --> 01:09:45.993]  He's asking if anyone's injured.
[01:10:07.975 --> 01:10:10.056]  So, some lady gets hit in the leg.
[01:10:10.056 --> 01:10:11.216]  She can't walk.
[01:10:11.216 --> 01:10:14.438]  She's being helped off the scene.
[01:10:14.438 --> 01:10:16.639]  You can hear Kyle's voice say, I'm an EMT.
[01:10:16.639 --> 01:10:17.419]  Do you need help?
[01:10:17.419 --> 01:10:18.740]  I'm an EMT.
[01:10:18.740 --> 01:10:19.340]  Are you injured?
[01:10:19.340 --> 01:10:22.301]  If there's anybody injured, come see me.
[01:10:22.301 --> 01:10:23.182]  He's got his med kit.
[01:10:23.182 --> 01:10:27.743]  You can see in the pictures when he's out there.
[01:10:27.743 --> 01:10:33.466]  And so once again, this individual is being lied about.
[01:10:35.131 --> 01:10:40.334]  Just like Nick Sandman or anybody else.
[01:10:40.334 --> 01:10:51.100]  So that the leftist riot mobs can continue to feel justified in their attacks against any American that is willing to stand his round.
[01:10:51.100 --> 01:10:59.304]  Any American that isn't going to bow down to their tyranny and their bullying.
[01:10:59.304 --> 01:11:02.786]  And the more you study this situation,
[01:11:04.022 --> 01:11:14.825]  And these events with Kyle Rittenhouse, the more you realize, you know, Kyle really was a good kid and he was out there for the right reasons.
[01:11:14.825 --> 01:11:18.887]  And at the end of the day, that's what the left hates more than anything.
[01:11:18.887 --> 01:11:25.829]  They don't like good young men that are willing to stand up for the right thing and do the right thing in the face of evil, the face of violence.
[01:11:27.654 --> 01:11:44.342]  They certainly don't like young Americans who know how to use a firearm, which he... I mean, I don't know how much training he had, but boy, did he show some pretty good abilities that evening.
[01:11:44.342 --> 01:11:48.304]  I mean, not even a stray bullet from a shot fired from him hit anyone else.
[01:11:52.432 --> 01:12:12.906]  But again, he's out there with a med kit, he's out there trying to protect private property, he's out there trying to help anybody who's injured, not stopping anybody's free speech, not stopping anybody from having a protest, just saying, hey, I'm not going to let you burn down this business, but go ahead, do what you got to do if you want to protest.
[01:12:12.906 --> 01:12:18.791]  There's also videos and pictures of him going out and cleaning off the
[01:12:20.285 --> 01:12:20.585]  I think?
[01:12:34.821 --> 01:12:38.923]  When a guy tries to murder him with a skateboard to the temple, he's allowed to defend his life.
[01:12:38.923 --> 01:12:45.467]  When a guy tries to curb stomp him into the ground with his jumping, flying curb stomp, he's allowed to defend his life.
[01:12:45.467 --> 01:12:50.029]  When a guy is pulling a pistol out of his pockets to shoot him in the head, he's allowed to defend his life.
[01:12:50.029 --> 01:12:51.550]  He did it, and he lives.
[01:12:51.550 --> 01:12:56.073]  Introducing InfoWars Life Pure Turmeric Extract.
[01:12:56.073 --> 01:12:58.634]  This is taken under the tongue.
[01:12:58.634 --> 01:12:59.755]  It is pure turmeric.
[01:13:00.794 --> 01:13:10.004]  It goes together very well with our body's ultimate turmeric formula that is taken as a powdered capsule and absorbed in the stomach and intestines.
[01:13:10.004 --> 01:13:15.850]  This is absorbed under the tongue into the bloodstream and then the remaining also is then absorbed by the stomach.
[01:13:15.850 --> 01:13:18.013]  So it's more of an intense delivery system.
[01:13:18.453 --> 01:13:21.694]  The two formulas are different, but both are concentrates.
[01:13:21.694 --> 01:13:23.535]  And our first product got rave reviews.
[01:13:23.535 --> 01:13:25.655]  We've now been testing this out for several months.
[01:13:25.655 --> 01:13:27.836]  Some of our staff like it more than bodies.
[01:13:27.836 --> 01:13:29.196]  Some like bodies better.
[01:13:29.196 --> 01:13:33.338]  For me, they're both amazing for their anti-inflammatory action and so much more.
[01:13:33.338 --> 01:13:34.518]  And they fund the NymphoWar.
[01:13:34.518 --> 01:13:37.919]  So get our new liquid turmeric extract exclusively.
[01:13:37.919 --> 01:13:39.160]  NymphoWarStore.com today.
[01:13:39.160 --> 01:13:39.880]  Get an additional 25% off.
[01:13:39.880 --> 01:13:40.360]  This is a 360 win.
[01:13:43.641 --> 01:13:45.223]  This isn't about me taking credit.
[01:13:45.223 --> 01:13:46.584]  In fact, it's the opposite.
[01:13:46.584 --> 01:13:50.128]  It's about getting you to understand that you have all the power.
[01:13:58.274 --> 01:14:10.845]  Going back three weeks ago, they had the entire Austin Greenbelt shut down, and they had the spillway by Barton Springs shut down, as well as the main pool that's always been paid for the last 50 years or so.
[01:14:10.845 --> 01:14:13.107]  It's a damned up spring.
[01:14:13.107 --> 01:14:22.695]  Well, we went down there and we got in the park at different areas around town in the last few weeks and educated people that it was all a giant fraud.
[01:14:22.695 --> 01:14:25.517]  And now, despite the fact that they still say the parks are closed,
[01:14:26.178 --> 01:14:33.883]  You go down to any area, you'll see dozens if not hundreds of people, depending where you're at, actually using Barton Springs here in Austin, Texas.
[01:14:33.883 --> 01:14:43.750]  So, Bill Gates and the globalists give the orders to the UN, the UN gives the orders down through the National Health Services, like our NIH, and we all follow it like dutiful slaves.
[01:14:43.750 --> 01:14:46.632]  Stop complying with your own enslavement.
[01:14:46.632 --> 01:14:49.914]  Stop following the orders of these globalist traitors.
[01:14:49.914 --> 01:14:50.835]  Start being free again.
[01:14:54.508 --> 01:15:08.815]  You're listening to the Alex Jones Show.
[01:15:08.815 --> 01:15:10.216]  This is the Alex Jones Show.
[01:15:10.216 --> 01:15:11.877]  Owen Schroer sitting in for Alex.
[01:15:11.877 --> 01:15:17.780]  The left, the Democrats, and their media have gone... I don't even know if there's really a word for it.
[01:15:17.780 --> 01:15:20.221]  It's beyond crazy.
[01:15:20.221 --> 01:15:21.281]  It's beyond insane.
[01:15:21.281 --> 01:15:22.702]  It's beyond self-destructive.
[01:15:22.702 --> 01:15:24.043]  It's... It's a death call.
[01:15:25.442 --> 01:15:43.998]  And it exists and festers in its own lies, in its own deception, and it's now gotten so bad that just the average Democrat that's not a radical is looking at the doublespeak, the hypocrisies, the doublethink, and is like, wait a second, something's not right here.
[01:15:45.444 --> 01:15:52.968]  And so a perfect example would be today, Politico and others running headlines saying, Rand Paul was never touched by protesters!
[01:15:52.968 --> 01:15:54.970]  Rand Paul was never threatened by protesters!
[01:15:54.970 --> 01:15:58.772]  Literally the whole thing's on video, he gets shoved, the police get shoved, they say we're gonna kill you.
[01:15:58.772 --> 01:16:02.054]  Like, Politico doesn't want you to use your own eyes, your own ears.
[01:16:02.054 --> 01:16:08.837]  It's about as deceptive and evil as it gets, but... We'll get more into that.
[01:16:08.837 --> 01:16:11.759]  I want to go to highlights from President Trump's speech last night.
[01:16:11.759 --> 01:16:12.920]  I thought it was fantastic.
[01:16:14.315 --> 01:16:20.579]  And Fox News, after it came out and ripped the President, if you can believe that, with Chris Wallace and Brit Hume and others, I thought it was fantastic.
