[00:00:00.029 --> 00:00:00.271]  What's up?
[01:18:53.537 --> 01:18:54.399]  Please take action.
[01:18:57.449 --> 01:19:05.595]  It's your last chance to get the original designer limited-edition Jeffrey Epstein Christmas sweater.
[01:19:05.595 --> 01:19:18.605]  The globalists are so scared of this story continuing to come out for people learning about the deep state and the international blackmail rings using kidnapped women and children to compromise world leaders.
[01:19:18.605 --> 01:19:22.828]  They do not want this story continuing and this is your last chance
[01:19:23.408 --> 01:19:31.434]  To get the limited edition Christmas sweater at InfoWarsStore.com to help spread the word, to have a piece of history, and to fund our operation.
[01:19:31.434 --> 01:19:34.837]  So, again, it says Christmas lights are a lot like Epstein.
[01:19:34.837 --> 01:19:37.479]  These things don't hang themselves on the front.
[01:19:37.479 --> 01:19:42.023]  On the back, it's got InfoWars.com and shows the O in InfoWars as a wreath.
[01:19:42.023 --> 01:19:43.084]  It's also a noose.
[01:19:43.664 --> 01:19:47.325]  The system can't stand it when you promote things at the grassroots level.
[01:19:47.325 --> 01:19:51.546]  They can't stand it when you fund independent, pro-America, pro-human media.
[01:19:51.546 --> 01:19:55.207]  That's why you've got to take advantage of this shirt and get it today.
[01:19:55.207 --> 01:19:59.428]  Nymphomorestore.com.
[01:19:59.428 --> 01:20:02.049]  You're listening to the Alex Jones Show.
[01:20:10.197 --> 01:20:20.540]  We are back live, broadcasting worldwide.
[01:20:39.236 --> 01:20:46.122]  On this Monday, December 23rd, 2019 transmission.
[01:20:46.122 --> 01:20:53.068]  Now I wanted to get to a few of these stories here and tie it into what's really, really happening.
[01:20:53.068 --> 01:20:57.771]  Remember the Project Veritas CNN clip?
[01:20:57.771 --> 01:21:01.555]  We're gonna play that here for you in just a second.
[01:21:01.555 --> 01:21:07.840]  Project Veritas, where they're talking to one of the producers and they say, oh, well, when there's a shooting in Chicago,
[01:21:09.141 --> 01:21:11.482]  And it's black on black.
[01:21:11.482 --> 01:21:15.344]  We don't cover it because white people don't care.
[01:21:15.344 --> 01:21:18.646]  Well, no, that's not really true.
[01:21:18.646 --> 01:21:22.468]  That's you saying that.
[01:21:22.468 --> 01:21:23.428]  That's the chicken or the egg.
[01:21:40.865 --> 01:21:45.249]  Meanwhile, Michael Bloomberg claims 21 students are shot every day.
[01:21:45.249 --> 01:21:47.671]  Anyone 18 or younger, he calls a student.
[01:21:47.671 --> 01:21:48.631]  It's not true.
[01:21:48.631 --> 01:21:51.194]  It's a totally fake number.
[01:21:51.194 --> 01:22:03.384]  And even the Washington Post and others admitted that Pelosi and he and others are putting out this info, giving her four Pinocchios.
[01:22:03.384 --> 01:22:09.309]  So that's what they're doing, is they're lying about all this.
[01:22:10.319 --> 01:22:13.302]  There are about 23,000 deaths a year from guns.
[01:22:13.302 --> 01:22:16.126]  More than half of those are people committing suicide.
[01:22:16.126 --> 01:22:21.492]  And then you've still got more than 10,000 people being killed by guns.
[01:22:21.492 --> 01:22:25.176]  And most of those then are police and citizens killing criminals.
[01:22:25.176 --> 01:22:28.720]  But you end up with about 3,000 people or so that are usually innocent.
[01:22:28.720 --> 01:22:30.843]  You look at the numbers we've had Professor Lott on.
[01:22:32.090 --> 01:22:33.951]  One of the top statisticians in the world.
[01:22:33.951 --> 01:22:38.232]  And so it's very rare for an innocent person compared to other deaths to be killed by a gun.
[01:22:38.232 --> 01:22:39.252]  It still happens.
[01:22:39.252 --> 01:22:43.613]  And when it happens, the media plays it up like it's the end of the world.
[01:22:43.613 --> 01:22:50.315]  It's like shark attacks are pretty rare, but you hear about them all the time because they hype them up.
[01:22:50.315 --> 01:22:52.616]  But it's way down the list of ways you're going to die.
[01:22:52.616 --> 01:22:58.778]  Do people blame baseball bats or hammers when people use them in murders?
[01:22:58.778 --> 01:22:59.398]  No.
[01:22:59.398 --> 01:22:59.818]  Or knives?
[01:23:00.703 --> 01:23:01.104]  No.
[01:23:01.104 --> 01:23:05.472]  Well, in England they are trying to do that.
[01:23:05.472 --> 01:23:08.779]  So here's from the vault back when Project Veritas caught this on tape.
[01:23:12.865 --> 01:23:22.968]  I think that shootings in poor areas or minority communities don't get as much coverage as if they were to happen in a white area.
[01:23:22.968 --> 01:23:27.989]  So CNN doesn't cover a shooting that happened in a black neighborhood the same that they would cover a shooting in a white neighborhood?
[01:23:27.989 --> 01:23:33.650]  I think, unless if it were like a mass, if it were a mass shooting, like if there were like 20 people killed, they would cover it.
[01:23:33.650 --> 01:23:36.131]  But if there were like two people killed, like in a gang,
[01:23:41.633 --> 01:23:53.435]  And so that's why they play down the Democrat-controlled cities that literally have almost all the crime in the United States taking place in them, almost all the violent crime, because they've always been set up for that.
[01:23:53.435 --> 01:23:58.576]  The Democrats are an organized crime group.
[01:23:58.576 --> 01:24:03.337]  The movie The Gangs of New York's based on a composite of true stories.
[01:24:03.337 --> 01:24:05.697]  It's historical fiction.
[01:24:05.697 --> 01:24:08.538]  That's Democrats.
[01:24:08.538 --> 01:24:09.018]  In the movie.
[01:24:11.027 --> 01:24:14.829]  Using crime to control the city and racial division.
[01:24:14.829 --> 01:24:15.629]  Read the WikiLeaks.
[01:24:15.629 --> 01:24:19.570]  It's reality.
[01:24:19.570 --> 01:24:25.853]  Now, Howard Stern has had Jimmy Kimmel on and done big pieces attacking me.
[01:24:25.853 --> 01:24:27.854]  And he reportedly is doing pieces every week.
[01:24:27.854 --> 01:24:30.135]  And some of these are really funny.
[01:24:30.135 --> 01:24:34.236]  And I think the stuff you see on Stern's show is some pretty good comedy.
[01:24:34.236 --> 01:24:39.418]  I don't agree with the really vulgar stuff, but he's obviously a funny guy.
[01:24:39.418 --> 01:24:40.319]  And this latest piece
[01:24:41.579 --> 01:24:47.024]  Overall, I think it helps get the word out about Epstein, even though it makes a joke out of it.
[01:24:47.024 --> 01:24:49.947]  Except at the end when I talk about, oh, they want to kill white Christians.
[01:24:49.947 --> 01:24:52.749]  Well, the left does say white people are bad and the Christians are bad.
[01:24:52.749 --> 01:24:53.950]  I mean, that's a fact.
[01:24:53.950 --> 01:24:55.732]  And that's a problem of the left doing that.
[01:24:55.732 --> 01:25:01.978]  It's like Sacha Baron Cohen saying that replacement migration doesn't exist when it's official.
[01:25:01.978 --> 01:25:04.200]  But here's what Stern's been up to.
[01:25:05.309 --> 01:25:07.470]  Oh, Alex Jones wants to talk to us.
[01:25:07.470 --> 01:25:12.133]  He's upset that he is not going to be on Holly Weird Squares tomorrow.
[01:25:12.133 --> 01:25:13.653]  You want to talk to him?
[01:25:13.653 --> 01:25:16.855]  Why not?
[01:25:16.855 --> 01:25:21.498]  InfoWars.com is tomorrow's news today.
[01:25:23.621 --> 01:25:24.422]  That's right.
[01:25:24.422 --> 01:25:25.984]  Tomorrow's news.
[01:25:25.984 --> 01:25:28.086]  Tomorrow's news today, InfoWars.com.
[01:25:28.086 --> 01:25:31.591]  We have been shadow banned by Google, Apple, YouTube, Facebook.
[01:25:31.591 --> 01:25:35.415]  And now, gloveless pedophile friend of Hillary Clinton, Howard Stern, good morning.
[01:25:35.415 --> 01:25:37.618]  Good morning, Mr. Jones.
[01:25:37.618 --> 01:25:38.679]  What's it say on your sweater?
[01:25:38.679 --> 01:25:39.260]  I can't read it.
[01:25:39.700 --> 01:25:42.042]  It says Epstein didn't kill himself.
[01:25:42.042 --> 01:25:43.823]  This is from our winter Epstein collection.
[01:25:43.823 --> 01:25:45.544]  We got tees, long sleeves, hoodies.
[01:25:45.544 --> 01:25:47.325]  Defend the resistance in style.
[01:25:47.325 --> 01:25:48.185]  Infowars.com.
[01:25:48.185 --> 01:25:49.987]  Infowars.com.
[01:25:49.987 --> 01:25:53.309]  I gotta tell you, your sweater is actually very attractive.
[01:25:53.309 --> 01:25:54.970]  I would imagine that's a big item.
[01:25:54.970 --> 01:25:56.070]  I would wear that.
[01:25:56.070 --> 01:25:56.931]  It's a big item.
[01:25:56.931 --> 01:26:02.694]  Our prices are as low as Jeffrey Epstein's heart rate after the Clintons killed him and executed him in his jail cell.
[01:26:02.694 --> 01:26:03.455]  Infowars.com.
[01:26:03.935 --> 01:26:08.318]  Yeah, now I understand you're upset because you're not going to be on Hollyweird Squares tomorrow.
[01:26:08.318 --> 01:26:19.364]  Howard, I was going to come on, I was going to expose the Prime Controllers and the Grays, and I was going to give you a side copy of my book, Alex Jones Exposes Globeless Pedophile Cults Again, which by the way, is the perfect stocking stuffer.
[01:26:19.364 --> 01:26:23.126]  We just went to number one on Roger Stone's prison reading list, and it looks great on a coffee table.
[01:26:23.346 --> 01:26:24.026]  Wow.
[01:26:24.026 --> 01:26:26.067]  Number one on Roger Stone's prison reading list.
[01:26:26.067 --> 01:26:27.968]  That's awesome.
[01:26:27.968 --> 01:26:30.990]  I am sorry about the mix-up with Hollywood Squares.
[01:26:30.990 --> 01:26:37.053]  You go have your Illuminati Antichrist holiday show, because I've got the InfoWars Christmas Spectacular.
[01:26:37.053 --> 01:26:39.414]  We have huge celebrity guests, giant games.
[01:26:39.414 --> 01:26:40.755]  You want to hear a quick preview?
[01:26:40.755 --> 01:26:40.975]  Yeah.
[01:26:40.975 --> 01:26:41.535]  Sure.
[01:26:41.535 --> 01:26:43.796]  Alright, listen to this.
[01:26:43.796 --> 01:26:48.559]  It's the InfoWars Christmas Spectacular, starring Alex Jones.
[01:26:50.891 --> 01:26:53.994]  With guest appearances by George Soros.
[01:26:53.994 --> 01:26:54.515]  Come in!
[01:26:54.515 --> 01:27:01.442]  I've come to put gifts in your stocking and fluoride in your water.
[01:27:01.442 --> 01:27:03.885]  Hail Soros!
[01:27:03.885 --> 01:27:06.708]  And appearances by Erv Obama.
[01:27:09.520 --> 01:27:12.402]  Why do you celebrate Arab Obama?
[01:27:12.402 --> 01:27:21.089]  And you won't want to miss Hollywood pedophile occult squares.
[01:27:21.089 --> 01:27:25.912]  Center square for the block, let's go to the ghost of Jeffrey Epstein.
[01:27:25.912 --> 01:27:29.175]  The Clintons killed me.
[01:27:29.175 --> 01:27:32.617]  The Infowars Christmas Spectacular, coming soon.
[01:27:32.617 --> 01:27:37.141]  They'll march you into FEMA camps and exterminate all white Christians.
[01:27:39.680 --> 01:27:41.522]  Boy, I would watch that.
[01:27:41.522 --> 01:27:42.402]  Where's that going to be?
[01:27:42.402 --> 01:27:46.546]  Yeah, by the way, that sounds way more exciting than our Christmas special, honestly.
[01:27:46.546 --> 01:27:47.787]  InfoWars.com.
[01:27:47.787 --> 01:27:49.368]  Listen, Howard, my next guest is here.
[01:27:49.368 --> 01:27:51.390]  We have a known reptilian, Hillary Clinton, coming in.
[01:27:51.390 --> 01:27:53.211]  We're going to play Guess What's In My Gills.
[01:27:53.211 --> 01:27:59.617]  But before I go, Howard, what's your one-stop holiday shop for turbo health supplements at discount prices?
[01:27:59.617 --> 01:27:59.957]  I don't know.
[01:27:59.957 --> 01:28:01.198]  What is it?
[01:28:01.198 --> 01:28:02.439]  InfoWars.com.
[01:28:03.860 --> 01:28:05.221]  Go to InfoWars.com.
[01:28:05.221 --> 01:28:07.003]  We got the Santa sale.
[01:28:07.003 --> 01:28:10.105]  60% off Turbo Force, Super Blue Mind Milk, Eggnog, Fish Oil.
[01:28:10.105 --> 01:28:11.366]  I'm on all these products.
[01:28:11.366 --> 01:28:15.730]  And to you globalists who tell me I can't take my shirt off, well it's coming off!
[01:28:15.730 --> 01:28:18.072]  The pedophiles made Hollywood can't tell me what to do!
[01:28:18.072 --> 01:28:20.734]  The spirit of 1976 is alive!
[01:28:20.734 --> 01:28:23.417]  This is what optimal mail form looks like.
[01:28:23.417 --> 01:28:26.419]  SuperchargedMailVitalityInfoWars.com!
[01:28:36.470 --> 01:28:37.992]  Do you really want to look like that?
[01:28:37.992 --> 01:28:38.894]  Yeah, I do.
[01:28:38.894 --> 01:28:40.396]  All right, well, thank you, Alex.
[01:28:40.396 --> 01:28:44.243]  I'm sorry about the mix-up, and we'll have you on for another show, okay?
[01:28:44.243 --> 01:28:44.904]  InfoWars.com.
[01:28:44.904 --> 01:28:45.806]  Thank you very much.
[01:28:45.806 --> 01:28:47.870]  InfoWars.com.
[01:28:47.870 --> 01:28:49.613]  I think he's right to be upset.
[01:28:56.414 --> 01:29:01.476]  Fellow Patriots, my name is Todd Savage, founder of BlackRifleRealEstate.com.
