[00:00:03.114 --> 00:00:07.156]  Ladies and gentlemen.
[01:38:22.226 --> 01:38:26.968]  It's terrible that Chinese lung cancer, throat cancer rates are the world's highest.
[01:38:26.968 --> 01:38:30.890]  And there's no effort really to rein in this kind of pollution.
[01:38:30.890 --> 01:38:31.990]  But who cares?
[01:38:31.990 --> 01:38:41.694]  The Chinese elite certainly don't care if Chinese workers' lives are sacrificed, as long as their power, as long as their wealth continues to go up.
[01:38:41.694 --> 01:38:45.096]  You know, we hear a lot about North Korea.
[01:38:45.096 --> 01:38:48.017]  What people need to understand is that North Korea is China.
[01:38:48.781 --> 01:38:52.585]  North Korea is a tributary state of the Communist China.
[01:38:52.585 --> 01:38:56.850]  It is armed and defended by Beijing under a mutual security treaty.
[01:38:56.850 --> 01:39:00.994]  So here you have the irony of China saying, oh, we don't like Kim Jong Un.
[01:39:00.994 --> 01:39:03.036]  We want to do something about his nuclear program.
[01:39:03.036 --> 01:39:05.118]  We believe in denuclearization.
[01:39:05.118 --> 01:39:09.723]  At the same time that they're providing components for his missiles that they're combining
[01:39:10.382 --> 01:39:34.834]  Providing technology for his nuclear research program and at the same time they they are protecting North Korea by a mutual security treaty I mean anyone who who fell for that as of course the Clintons did back in the 90s and Everyone in fact up to President Trump fell for that little charade Doesn't understand the point of China's China's relationship with North Korea.
[01:39:34.834 --> 01:39:34.854]  I
[01:39:35.615 --> 01:39:41.160]  Uh, Chinese party supremo Xi Jinping doesn't want to help solve the North Korean problem.
[01:39:41.160 --> 01:39:42.622]  He helped to create the problem.
[01:39:42.622 --> 01:39:52.792]  He sustains the problem, and he's using it for his own purposes, which is to say to distract the United States and the world from the real threat, which is China itself.
[01:39:54.589 --> 01:40:04.139]  And again, the worst human rights abuses, the suicide nets, the forced abortions, the killing of the Buddhists and Christians, and leftist media tried to cover that up for decades.
[01:40:04.139 --> 01:40:05.740]  It's all now admitted.
[01:40:05.740 --> 01:40:09.004]  I think it's beyond just a romanticism for communism.
[01:40:09.004 --> 01:40:16.111]  I just think the average leftist really likes authoritarianism and really wants to appease China and get on the payroll.
[01:40:18.430 --> 01:40:33.127]  Well, I have to agree with you because if the leftists in the United States have no respect for the freest, most democratic country that has ever existed in the world, which is the United States of America,
[01:40:34.247 --> 01:40:37.208]  Then they have to embrace something, you know.
[01:40:37.208 --> 01:40:45.890]  They can't let their minds remain completely empty and so they embrace this distant mirage of socialism, the idea that you can create heaven on earth.
[01:40:45.890 --> 01:40:52.072]  And not knowing very much about China, not wanting to disturb their own illusions, they romanticize the country.
[01:40:52.512 --> 01:40:58.874]  They romanticize strong leaders who are going to solve supposedly problems overnight.
[01:40:58.874 --> 01:41:04.556]  And they fantasize because they love that socialist authoritarianism that they'll be part of the ruling elite.
[01:41:04.556 --> 01:41:12.998]  Just briefly, as we're going to break, and I appreciate your time, Bully of Asia, Stephen Mosier, always a great guest, been on before, one of the top experts out there.
[01:41:12.998 --> 01:41:15.819]  Talk about just briefly your awakening as an atheist.
[01:41:15.819 --> 01:41:17.620]  You know, as kind of, I guess, a liberal, whatever.
[01:41:17.620 --> 01:41:20.741]  You're over there, you actually see it for yourself, that transformation.
[01:41:21.994 --> 01:41:31.901]  Well, years ago I was at the University of California at Berkeley, one of the high temples of secular humanism, teaching Chinese anthropology.
[01:41:31.901 --> 01:41:34.883]  I was finishing up a PhD at Stanford University.
[01:41:34.883 --> 01:41:40.807]  I was selected to go to China and study the People's Republic of China.
[01:41:40.807 --> 01:41:49.533]  I found myself in the midst of the most horrific population control program the world has ever seen, the one-child policy, which involved the forced abortion of women
[01:41:50.353 --> 01:41:52.394]  Seven, eight, and nine months pregnant.
[01:41:52.394 --> 01:41:57.815]  They're forced sterilization following, so they wouldn't disturb the population control program in years to come.
[01:41:57.815 --> 01:42:05.838]  And I really did have, in the operating room, witnessing the forced abortion of women who were very close to giving birth.
[01:42:05.838 --> 01:42:08.719]  I came to understand, first of all, the sanctity of human life.
[01:42:08.719 --> 01:42:16.161]  These were little, tiny human beings, little sons of Adam, daughters of Eve, who were being sacrificed to the population control program.
[01:42:16.841 --> 01:42:31.648]  And I came to believe that if hell could exist and, you know, as it were, the pit of hell opened up before me as I was witnessing forced abortions, then there must be a compensating good, there must be a compensating heaven, there must be a God.
[01:42:31.648 --> 01:42:36.710]  So, in a kind of strange way, I found God in China because of the absolute absence
[01:42:37.470 --> 01:42:39.853]  of God and Godliness in that.
[01:42:39.853 --> 01:42:43.836]  Beautifully said, because when you're surrounded by good and justice, you don't appreciate it.
[01:42:43.836 --> 01:42:46.699]  Once you're put into hell for one moment, you awaken.
[01:42:46.699 --> 01:42:48.841]  Bully of Asia, thank you so much, sir, for your time.
[01:42:48.841 --> 01:42:49.362]  God bless you.
[01:42:49.362 --> 01:42:51.344]  We'll be back.
[01:42:56.505 --> 01:43:02.427]  According to House Minority Leader Nancy Pelosi, due process is only necessary when you're a Democrat.
[01:43:02.427 --> 01:43:15.811]  When asked by NBC's Chuck Todd whether or not embattled rep John Conyers should be in or out of Congress as he faces down sexual harassment allegations, Nancy Pelosi replied, we are strengthened by due process.
[01:43:15.811 --> 01:43:19.652]  Just because someone is accused, and wait, was it one accusation?
[01:43:19.652 --> 01:43:20.112]  Is it two?
[01:43:20.732 --> 01:43:36.501]  Well, Nancy, to answer that question, it was revealed last week the taxpayers voted the bill for a $27,000 settlement for a staffer of Conyers that claimed the 88-year-old congressman made sexual advances on her and then fired her after she wouldn't succumb to them.
[01:43:36.741 --> 01:43:43.103]  And a lawyer who worked for Conyers said she'd often encounter the congressman in his office walking around in his underwear.
[01:43:43.103 --> 01:43:48.605]  Conyers, who's the longest-serving congressman, has denied all sexual harassment allegations against him.
[01:43:48.605 --> 01:43:52.947]  Nancy Pelosi says we need to give him a pass because Conyers is an icon.
[01:43:52.947 --> 01:43:57.228]  Leigh Ann McAdoo, InfoWars.com.
[01:43:57.228 --> 01:43:58.849]  I'm driving home.
[01:43:58.849 --> 01:43:59.129]  Here.
[01:43:59.129 --> 01:44:01.410]  About to take off a few days for Thanksgiving.
[01:44:03.178 --> 01:44:10.323]  And I just want to impart my message to the listeners and viewers of how much I appreciate you and how thankful I am.
[01:44:10.323 --> 01:44:21.609]  And I also just want to re-emphasize the point that if you weren't there taking action, and if you weren't there spreading the word, globalism would have completely taken over not just this country but other nations.
[01:44:21.609 --> 01:44:30.075]  And globalism is a completely anti-individual, anti-God, anti-family, anti-Christian cancer that is just pure
[01:44:31.485 --> 01:44:36.008]  Power cult will to dominate and control society.
[01:44:36.008 --> 01:44:41.111]  And that we have come so far with God's help, and have turned the tide, but the enemy's tracking back.
[01:44:41.111 --> 01:44:46.954]  So just, please, we should all be so thankful to God, and thankful to each other for taking action.
[01:44:46.954 --> 01:44:52.097]  But also, girt ourselves and get ready for the next big fight ahead, because history is happening.
[01:44:52.097 --> 01:44:54.758]  So for myself, and my family, God bless you all.
[01:44:54.758 --> 01:44:55.559]  Have a great Thanksgiving.
[01:44:58.101 --> 01:44:58.482]  I don't
[01:45:14.059 --> 01:45:14.559]  We're good to go.
[01:45:42.418 --> 01:45:45.479]  ProPure water filters 25% off.
[01:45:45.479 --> 01:45:49.941]  We've got 50% off on select high-quality storable foods.
[01:45:49.941 --> 01:45:51.462]  That's unprecedented.
[01:45:51.462 --> 01:45:54.903]  We've got super metal vitality 50% off and so much more.
[01:45:54.903 --> 01:45:55.784]  So check it out today.
[01:45:57.384 --> 01:46:00.508]  America is an information-based civil war.
[01:46:00.508 --> 01:46:07.937]  That's why now more than ever we've got to hit the streets of America and let these globalist scum know we're not backing down from their bullying.
[01:46:07.937 --> 01:46:13.564]  We're only intensifying our operations in the face of their wannabe dictatorship.
[01:46:14.285 --> 01:46:21.976]  Being a conservative, a nationalist, a libertarian, or simply a free speech advocate is truly the counterculture.
[01:46:21.976 --> 01:46:29.887]  The real punk rock is being a patriot who's pro-America, pro-capitalism, and pro-freedom, who at the same time is tolerant.
[01:46:30.567 --> 01:46:35.632]  Modern liberalism is a counterfeit of Thomas Jefferson's classical liberalism.
[01:46:35.632 --> 01:46:37.774]  They are the anti-liberals.
[01:46:37.774 --> 01:46:51.145]  To defend free speech, meet like-minded friends, and promote freedom worldwide, we've got more than 60 original designs of high-quality t-shirts for men and women, as well as more Patriot apparel at InfoWarsTore.com.
[01:46:51.145 --> 01:46:55.129]  Be part of the Second American Revolution at InfoWarsTore.com.
[01:46:58.328 --> 01:47:10.376]  You're listening to the Alex Jones Show.
[01:47:10.376 --> 01:47:13.017]  Waging war on corruption.
[01:47:13.017 --> 01:47:18.101]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[01:47:32.403 --> 01:47:35.485]  You know, I'm not really good at whining.
[01:47:35.485 --> 01:47:38.146]  I'm not really good at saying, oh, poor me.
[01:47:38.146 --> 01:47:41.868]  Because I've asked for everything that's happening.
[01:47:41.868 --> 01:47:45.650]  But I do need the listeners and viewers to understand something.
[01:47:45.650 --> 01:47:48.431]  We're in a fight.
[01:47:48.431 --> 01:47:57.936]  And if the attacks taking place against Infowars and against Newswars, some of which I can talk about publicly, some of which I can't talk about yet, but soon,
[01:47:59.343 --> 01:48:05.524]  If we aren't recognized by you as an attack on all of our freedoms, we will lose.
[01:48:05.524 --> 01:48:07.225]  Now, we've come from behind.
[01:48:07.225 --> 01:48:09.525]  People now know there's a private corporate world government.
[01:48:09.525 --> 01:48:19.167]  They now know our elite sold us out to Communist China and sold out their people to total slavery to be the engine to build world government.
[01:48:19.167 --> 01:48:24.948]  We now know about the globalist pedophile networks and how they control populations.
[01:48:24.948 --> 01:48:27.729]  We now know about their eugenics-based One World Government plan.
[01:48:30.114 --> 01:48:37.558]  We know about their plan to make us all renters living in 200 square foot coffin apartments where families have basically been made illegal.
