[00:00.000 --> 00:01.840]  replace the
[01:05:09.200 --> 01:05:16.200]  Hey, I appreciate your call. We will come back and talk to Steve, Joe, Rob and many others.
[01:05:16.200 --> 01:05:25.200]  It is the first day of 2007. We just broke up on a brand new year. We're breaking her in right now.
[01:05:25.200 --> 01:05:32.200]  Keep it locked in.
[01:05:32.200 --> 01:05:38.200]  It's year after year in production and traveling to distant lands.
[01:05:38.200 --> 01:05:41.200]  My new film Terror Storm is complete.
[01:05:41.200 --> 01:05:49.200]  Shocking, declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[01:05:49.200 --> 01:05:56.200]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[01:05:56.200 --> 01:06:08.200]  Terror Storm Chronicles, the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spy, secret police torture, the latest 9-11 information and much, much more.
[01:06:08.200 --> 01:06:14.200]  Terror Storm is the definitive guide to the history of government-sponsored terrorists. It's an anthology of government crimes.
[01:06:14.200 --> 01:06:31.200]  Terror Storm is a film that everyone who wants to be truly informed must see. Get your copy today at infowars.com or prisonplanet.com, or by calling toll-free 1-888-253-3139, or watch it right now online at prisonplanet.tv.
[01:06:31.200 --> 01:06:40.200]  More than 700 chemicals have been found in our drinking water, and did you know that you can have greater exposure to these chemicals by taking hot showers than when you drink the water?
[01:06:40.200 --> 01:06:45.200]  That's because many chemicals are inhaled when they evaporate, and others are absorbed through the skin.
[01:06:45.200 --> 01:06:54.200]  The KDF Shower Filter is designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus in your shower.
[01:06:54.200 --> 01:06:58.200]  The media is non-toxic, environmentally sound, and is recyclable.
[01:06:58.200 --> 01:07:10.200]  The KDF Shower Filter will typically last 10,000 gallons or one year, whichever comes first. Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
[01:07:10.200 --> 01:07:20.200]  What about you? Order your KDF Shower Filter, normally $49, for a special price of only $35, of $14 savings.
[01:07:20.200 --> 01:07:31.200]  Order now to order at 1-888-803-4438. Order today and save $14 by calling 1-888-803-4438.
[01:07:31.200 --> 01:07:37.200]  It's a fact. You can legally eliminate credit card debt, which has been fraudulently created by the banks.
[01:07:37.200 --> 01:07:46.200]  Since its creation in 1913, the Federal Reserve has not been held responsible for its own debt, so why should you, the hardworking American, be harassed for yours?
[01:07:46.200 --> 01:07:53.200]  There's a double standard when it comes to being responsible for debt, and unlike the Federal Reserve, the people of this country can't print more money when needed.
[01:07:53.200 --> 01:08:01.200]  Day of Jubilee has created a successful program designed for people that want to stop harassing calls and threatening letters from bill collectors.
[01:08:01.200 --> 01:08:12.200]  We also do credit restoration. Join the thousands of Americans who now breathe a sigh of relief because they have legally eliminated their credit card debt, instead of living each day in fear.
[01:08:12.200 --> 01:08:22.200]  It's time to turn your life around. Call Day of Jubilee. Open 9 a.m. to 5 p.m. Central Standard Time at 920-293-8024.
[01:08:22.200 --> 01:08:32.200]  That's 920-293-8024 and ask for Robert. Don't wait any longer to get your life back in order.
[01:08:32.200 --> 01:08:52.200]  He's the T-Rex of political talk. Alex Jones on the GCN Radio Network.
[01:08:52.200 --> 01:09:08.200]  Welcome back. Now 8 minutes, 25 seconds into the second hour of worldwide transmission against tyranny. I am your wartime broadcaster, Alex C. Jones from Austin, Texas.
[01:09:08.200 --> 01:09:23.200]  It's important to introduce you. I am, I guess, every once in a while and it is a new year, so I'll do that and we'll go to calls and then into the Saddam News and then into a vintage clip of my 9-11 morning broadcast on September 11, 5 plus years ago.
[01:09:23.200 --> 01:09:38.200]  I am a 32-year-old native Texan of seven generations and I got into broadcasting 12 years ago. I guess really more than that, but I've had my own show for 12 years.
[01:09:38.200 --> 01:09:49.200]  And I really woke up after a wake-up and then got involved, got on air right after Oklahoma City. I was already assisting behind the scenes before OKC.
[01:09:49.200 --> 01:10:00.200]  And I learned there was a plan to bring in a one-world government. It was stated, it was published, it was admitted, it was being carried out by the think tanks, implemented through our government.
[01:10:00.200 --> 01:10:09.200]  And I swore to fight it. And I asked God for help. And the God used me as a vessel in the fight. And I think God's done that. I think you should ask God to do that with you.
[01:10:09.200 --> 01:10:19.200]  And we've had a great effect. The enemy had the great weight, though, just of their years of planning and their financing and they keep moving forward, but not without opposition.
[01:10:19.200 --> 01:10:28.200]  Before it was a smooth highway. Now they're getting into bumpier and bumpier territory, bigger and bigger rocks. They're blowing tires. They're engines smoking.
[01:10:28.200 --> 01:10:39.200]  And we're going to beat them, folks. Tyrants always tell you you don't have any power and you can't affect change and there's nothing you can do and everything's relative and go back to sleep.
[01:10:39.200 --> 01:10:48.200]  And that's because they're scared to death of highly motivated individuals and populations. We are going to bring them down.
[01:10:48.200 --> 01:10:58.200]  So that's who I am. I am getting emails about this every day still. I am not a 70-something-year-old Canadian tycoon.
[01:10:58.200 --> 01:11:11.200]  Alex E. Jones. I'm Alex E. Jones, too. I'm Alex Emerick Jones. I don't know what his he is. I'm not the 15, what is it, 8-year-old now head of public relations for Scientology named Alex Jones.
[01:11:11.200 --> 01:11:22.200]  I'm not him. I'm 32. I'm not a NPR Pulitzer Prize winning radio and print journalist for the New York Times, Alex S. Jones.
[01:11:22.200 --> 01:11:31.200]  I'm not some Englishman, some big landowner named Alex Jones. I'm Alex Emerick Jones. I just need to do that every few months.
[01:11:31.200 --> 01:11:42.200]  Really, no matter how many times I do it, it doesn't seem to matter. And that's basically it. That's who I am. And I'm dedicated to defending liberty, resisting tyranny.
[01:11:42.200 --> 01:11:53.200]  I am in the Info War and I do my best, I can, with our weapon, the truth to smash their mountains of lies. Let's go ahead and talk to Steve in Ohio. Steve, you're on the air. Go ahead.
[01:11:53.200 --> 01:12:04.200]  It's Chicago, Alex. I thought you were at John Paul Jones for a minute there. I think you're the hardest working man at GCN.
[01:12:04.200 --> 01:12:10.200]  We have a certain charge nurse and guitarist who have a morning show and they don't show up for work lately.
[01:12:10.200 --> 01:12:27.200]  What I want to get to is contrary to the Vino Bellicose licks petals, these khaki brown noses, when they announce a war that says we're not winning, we're not losing, that means stalemate. That means a war of attrition where units are burnt to a cinder and reconstituted over and over again.
[01:12:27.200 --> 01:12:38.200]  What we're doing when we send more troops over there is reinforcing a defeat. Now, if they wanted something that worked, why didn't they stick with the anti-bellum blue helmets?
[01:12:38.200 --> 01:12:51.200]  Well, obviously, sir, I'm sure you know this. The Israeli plan of 1983 was the plan implemented by the Pentagon. It's a strategy of tension, of balkanization.
[01:12:51.200 --> 01:13:07.200]  Brzezinski has now called it the global balkans. They want civil war. They want it to spread into Iran and Syria. They want three ethnic and subgroups killing each other. They want the war. Does a defense contractor make more money if they're a year or 20, 30 years?
[01:13:07.200 --> 01:13:18.200]  They're building permanent bases. They never had an intention of leaving. The Democrats would tell you they'd leave to get in. As soon as they get in, they say, we're increasing troops. We're going nowhere. We'll be there in 10 years.
[01:13:18.200 --> 01:13:33.200]  All the people that are pro-war should be happy. The will of the people. The Constitution doesn't matter. Don't worry. Your masters run things. Don't worry. More soldiers will continue to die. It'll stay at 3,000 forever. It doesn't matter if it's well over 10,000.
[01:13:33.200 --> 01:13:49.200]  The thing is, they never really had a case of spelling to begin with. They went in there and it is false pre-Texas. It's never been proven that they had anything behind their reasons at all.
[01:13:49.200 --> 01:14:07.200]  Absolutely. It's been proven that not that they screwed up about WMDs and thought they were there, but it weren't. They premeditatedly. We have the White House, the Downing Street MMOs. The White House admits they're accurate talking about how they were going to claim they were WMDs when they weren't.
[01:14:07.200 --> 01:14:32.200]  We have them forging Niger Yellow Cake Uranium. We have them buying 1.6 billion in fake news in 2003 and 2004 alone every purchase illegal. Buying off reporters. We have scent come out of Tampa admitting they're buying fake news and got their disinfo people all over the web.
[01:14:32.200 --> 01:14:45.200]  I mean, this isn't a free society. That is scary. No, it's more plutocracy than it is a democracy. It's dangerous. What do you see happening in the new year? What do you see happening in the next few months?
[01:14:45.200 --> 01:15:03.200]  Well, I go to that job site, USA Jobs at the OPM Office of Personnel Management, a federal government official site. They're putting on all these selective service clerks. There are a lot of job vacancies. To me, that's an indicator that something's in the wind.
[01:15:03.200 --> 01:15:26.200]  Some people, they get that chingoistic, chauvinistic type of propaganda going and tell these atrocity tales. The people are not energized, but emotionalized. They buy into this stuff. Eventually, I think the thing is just going to, they're dancing on the edge of a volcano. I think the thing is going to explode.
[01:15:26.200 --> 01:15:37.200]  Here he is, Steven Chicago. Thanks for calling in. Look, let me just try to condense it down to something very simple.
[01:15:37.200 --> 01:15:51.200]  Rupert Murdoch newspapers in Europe and England demonize America and demonize the war. And that guy runs things with an iron fist. They give him talking points.
[01:15:51.200 --> 01:16:01.200]  He said, here in the US, they tell you how good the war is and how great it is and how patriotic it is. Now, what's going on there?
[01:16:01.200 --> 01:16:10.200]  You know, I mean, everybody thinks America's tromping off and engaging in the civil war and doing these bad things, and we're getting a bad name like we've never had globally.
[01:16:10.200 --> 01:16:21.200]  The most loved, the most hated in the last 10 years was Clinton in Serbia and now this. All of it. It's done by design.
[01:16:21.200 --> 01:16:32.200]  The war is launched to demonize America worldwide, to weaken the Republic, to weaken civil liberties, God-given rights, the Bill of Rights, here domestically.
[01:16:32.200 --> 01:16:45.200]  And to also create large cadres of troops that have been kicking down doors, running checkpoints for years, coming home to do it. I mean, this is happening.
[01:16:45.200 --> 01:17:01.200]  So, if anyone wants proof, look at how a fox-owned news corps-owned entities will go along with the war all day long, here domestically, but demonize it overseas.
[01:17:01.200 --> 01:17:15.200]  Again, that's because America is meant to go do the dirty work of the European shareholders of our Federal Reserve, then the EU comes out smelling like a rose and America is now damaged and no longer the lone superpower and totally bankrupt.
