[00:00:05.563 --> 00:00:06.103]  Forget it!
[01:08:14.707 --> 01:08:32.082]  Because before they pasteurized, they had less problems with milk, but you had to keep it clean, you had to have the tubing clean, but now the feces can get in there, the blood, the pus, as these cows just swell up and blood and pus just pours into the milk, and then they just cook that stuff.
[01:08:32.082 --> 01:08:39.788]  They cook it, they boil it and boil it and boil it and pasteurize it, and then it becomes a heart-clogging chemical.
[01:08:40.922 --> 01:08:44.385]  But natural milk is very, very good for you, but you're not allowed to have that.
[01:08:44.385 --> 01:08:46.847]  The SWAT team comes if you want it.
[01:08:46.847 --> 01:08:51.932]  You're gonna drink hormone pus blood, and you're gonna lock it!
[01:08:51.932 --> 01:08:54.554]  Is that clear?!
[01:08:54.554 --> 01:08:56.296]  Alright, good, we're having a nice show today.
[01:08:56.296 --> 01:09:02.941]  I'm fired up, I'm sick of all this evil, and I make the commitment in the New Year to fight the New World Order that much harder!
[01:09:02.941 --> 01:09:05.584]  Alright, excuse me.
[01:09:07.119 --> 01:09:08.600]  John in Florida, go ahead and finish up.
[01:09:08.600 --> 01:09:14.646]  Tell me more about the Bovine Growth Hormone Facility.
[01:09:14.646 --> 01:09:28.859]  Well, it was a real shocker because when I asked everybody, you know, they were workers, they were like people from the, just like the Blue Collar deal, and it was like a silence that went over them because I started there like maybe two or three months before they were on it.
[01:09:30.410 --> 01:09:32.691]  They didn't even want to tell me what we were working on.
[01:09:32.691 --> 01:09:38.172]  In a way, because people needed jobs and stuff, but it was such an ultra-modern facility.
[01:09:38.172 --> 01:09:42.173]  And I looked at their storerooms that were big as football fields, and I said, what's going in there?
[01:09:42.173 --> 01:09:43.113]  It's a refrigerator.
[01:09:43.113 --> 01:09:45.414]  I said, I couldn't believe the energy they're doing this with.
[01:09:45.414 --> 01:09:48.955]  It's like it was insanity.
[01:09:48.955 --> 01:09:51.495]  That's where they're going to store the hormone.
[01:09:51.495 --> 01:09:57.917]  And it's going to be in a injected pack already put into the syringe.
[01:09:58.410 --> 01:10:02.493]  So when they ship it out, it'll be refrigerated to the farmers.
[01:10:02.493 --> 01:10:05.496]  And I said, well, this is so big, it'll probably be worldwide.
[01:10:05.496 --> 01:10:10.300]  I mean, this is like covers, you know, I just couldn't even believe it.
[01:10:10.300 --> 01:10:12.522]  But it was that big.
[01:10:12.522 --> 01:10:19.267]  And that's my first thing with Monsanto, really actually seeing how just unbelievably corrupt they are.
[01:10:22.318 --> 01:10:40.387]  You know, I think, well, you know, and another guy, like, just to get into the militaristic of this, or the militia part of it, was somebody, 12 years ago, was, I was still in a vehicle, and I came to look at it, and he said, there's already blue-helmeted Chinese forces, NATO forces, on our soil.
[01:10:40.387 --> 01:10:43.189]  And he kept going on and on and on, and I said, what are you talking about?
[01:10:43.189 --> 01:10:47.971]  And he goes, well, me and you are patriots, but they're building incinerators in Indiana for me and you.
[01:10:48.712 --> 01:10:50.833]  This was 12 years ago from somebody I didn't even know.
[01:10:50.833 --> 01:10:54.513]  Alright, well let me, I appreciate your calling me to comment on that.
[01:10:54.513 --> 01:11:00.095]  It was in the Rocky Mountain News, the Denver Post, 7 years ago.
[01:11:00.095 --> 01:11:14.278]  I remember it was about 6 months after 9-11, the Governor, let me go back to the headline, it was, Governor says incinerators ready for the dead.
[01:11:15.503 --> 01:11:16.684]  In fact, will somebody find that?
[01:11:16.684 --> 01:11:17.985]  I was looking at it the other day and had trouble.
[01:11:17.985 --> 01:11:19.747]  Will somebody find that?
[01:11:19.747 --> 01:11:21.448]  That was a Rocky Mountain News headline.
[01:11:21.448 --> 01:11:22.809]  That's very close to it.
[01:11:22.809 --> 01:11:25.412]  Will somebody post that in the PrisonPlanet.com forum?
[01:11:25.412 --> 01:11:25.912]  Please help me.
[01:11:25.912 --> 01:11:29.455]  I need all of you to help, to contribute.
[01:11:29.455 --> 01:11:32.178]  That's how we're going to beat these bastards.
[01:11:32.178 --> 01:11:35.501]  And yes, why do you think China has been given the Panama Canal?
[01:11:36.513 --> 01:11:38.434]  Why do you think China has been given our deep water ports?
[01:11:38.434 --> 01:11:42.895]  Why do you think the son of the Chinese president runs the Long Beach Naval Base?
[01:11:42.895 --> 01:11:44.215]  Why do you think all this is happening?
[01:11:44.215 --> 01:11:45.135]  This is globalism.
[01:11:45.135 --> 01:11:49.977]  They're selling us out right now.
[01:11:49.977 --> 01:11:53.057]  They got a bunch of arrogant corrupt bureaucrats that think it's funny.
[01:11:53.057 --> 01:11:55.758]  The bankers are looting everything.
[01:11:55.758 --> 01:11:58.859]  It's so horrible.
[01:11:58.859 --> 01:12:05.381]  Now finishing up with the whole situation with genetic engineering.
[01:12:05.381 --> 01:12:05.841]  Google
[01:12:08.410 --> 01:12:14.336]  How aspartame is made, and you will be on university websites, you will see photos of it.
[01:12:14.336 --> 01:12:26.529]  It is E. coli bacteria, and they feed them poisonous chemicals, wood alcohol, and then aspartame is the defecation.
[01:12:28.403 --> 01:12:29.944]  Of E.coli.
[01:12:29.944 --> 01:12:32.586]  I mean, who comes up with stuff like this?
[01:12:32.586 --> 01:12:35.609]  And then I told people that a few weeks ago we had Betty Martini on about it.
[01:12:35.609 --> 01:12:36.870]  They didn't believe me.
[01:12:36.870 --> 01:12:37.570]  They didn't believe her.
[01:12:37.570 --> 01:12:44.255]  I googled it, put it on screen on the PrisonPlanet.tv show, and I still got emails and stuff going, you liar!
[01:12:44.255 --> 01:12:48.639]  They ain't feeding us nothing from E.coli.
[01:12:48.639 --> 01:12:53.743]  E.coli hurts you.
[01:12:53.743 --> 01:12:55.084]  I mean, who could make that up?
[01:12:56.206 --> 01:13:15.262]  That they're feeding you the excrement of E. coli, they feed two different toxins, one of them is wood alcohol, and then they centrifuge off their waste.
[01:13:15.262 --> 01:13:17.544]  You know what bad breath is?
[01:13:17.544 --> 01:13:22.248]  Bad breath is bacteria dying, being born, their excrement.
[01:13:23.526 --> 01:13:24.967]  That's what the buildup is on your teeth.
[01:13:24.967 --> 01:13:26.587]  It's like little coral reefs.
[01:13:26.587 --> 01:13:27.408]  Generations of them.
[01:13:27.408 --> 01:13:29.428]  That's why you don't brush your teeth for a day.
[01:13:29.428 --> 01:13:30.749]  You got all that white film on your teeth.
[01:13:30.749 --> 01:13:33.110]  It's bacteria.
[01:13:33.110 --> 01:13:37.451]  And they're excrement.
[01:13:37.451 --> 01:13:40.552]  Well, enjoy eating it.
[01:13:40.552 --> 01:13:48.775]  And of course, it's a specially genetically engineered E. coli.
[01:13:48.775 --> 01:13:50.156]  Enjoy!
[01:13:52.529 --> 01:14:06.115]  Some guy last night emailed me and he said, you liar, they're not putting fluoride, water isn't hurting us, mercury isn't hurting us, we live longer today than we did 50 years ago, you liar.
[01:14:06.115 --> 01:14:09.556]  And then he said cancer rates weren't up, and when it's admitted they are.
[01:14:09.556 --> 01:14:21.401]  Again, there was higher infant mortality, more babies died 50, 60, 70 years ago, but if you take out the infant mortality, we are living on average about 15 years shorter.
[01:14:23.661 --> 01:14:24.802]  I said I'd go to the calls.
[01:14:24.802 --> 01:14:27.023]  I can't belabor points too long.
[01:14:27.023 --> 01:14:29.065]  I'm sick of your denial!
[01:14:29.065 --> 01:14:45.396]  If you don't know that our government has been hijacked by foreign banks, and they're stealing you blind, and saying they're going to use the military against you, and poisoning you with the water and food, by design, when we have their own documents and they're openly announcing world government, I can't help you anymore!
[01:14:45.396 --> 01:14:47.437]  I am sick of you living in denial!
[01:14:47.437 --> 01:14:53.421]  I am sick of you people, mind-controlled by the television and the culture, having the nerve to say we're not in a lot of trouble.
[01:14:54.181 --> 01:14:56.423]  And feeling like you're part of the power structure.
[01:14:56.423 --> 01:15:00.967]  What you are is weak cowards.
[01:15:00.967 --> 01:15:12.616]  Those of you out there who are in denial, not our wonderful audience that's out there fighting on the front lines, you better be glad there's all these patriots out there warning people for decades and telling everybody they can and breaking their backs and being attacked and you name it.
[01:15:12.616 --> 01:15:16.259]  And all the people that have been arrested across the country for handing out my videos.
[01:15:16.259 --> 01:15:20.522]  You know, they make a big deal when some school district bans some book.
[01:15:22.742 --> 01:15:34.431]  What about my videos in Tennessee and Kentucky and places where it's been in newspapers but never made national news that people are arrested for handing out Road to Tyranny and Terrorist Storm?
[01:15:34.431 --> 01:15:36.893]  Like Kelly Rushing in Lyon County, Kentucky.
[01:15:36.893 --> 01:15:38.354]  That was in the newspaper.
[01:15:38.354 --> 01:15:39.335]  I was trying to find that the other day.
[01:15:39.335 --> 01:15:45.440]  Will somebody go to the microfilm and get it out of the Lyon County, Kentucky newspaper?
[01:15:45.440 --> 01:15:47.961]  And I called the judge and he said, yeah, we're having a court proceeding.
[01:15:50.063 --> 01:15:53.927]  We're prosecuting him for giving out your videos.
[01:15:53.927 --> 01:15:55.929]  Those are anti-law enforcement.
[01:15:55.929 --> 01:15:56.790]  It was in the newspaper.
[01:15:56.790 --> 01:15:59.232]  It said, this video criticizes police.
[01:15:59.232 --> 01:15:59.893]  That's illegal.
[01:15:59.893 --> 01:16:04.838]  I mean, don't tell me we're in some... Listen here.
[01:16:04.838 --> 01:16:05.519]  Listen.
[01:16:05.519 --> 01:16:06.400]  Listen, folks.
[01:16:06.400 --> 01:16:07.801]  You're not part of the system.
[01:16:07.801 --> 01:16:09.643]  The system is going to hurt you.
[01:16:09.643 --> 01:16:13.147]  Only hope you've got is to speak out, break your conditioning, and warn people.
[01:16:16.050 --> 01:16:18.951]  Eric in Montana, then Wes Wilson, Doug, Rebecca, and others.
[01:16:18.951 --> 01:16:21.351]  Eric, you're on the air worldwide.
[01:16:21.351 --> 01:16:23.971]  Alright, good to talk to you finally.
[01:16:23.971 --> 01:16:25.872]  Good to talk to you.
[01:16:25.872 --> 01:16:33.813]  I've been doing a lot of research here, and unfortunately you weren't the first person to wake me up, but it all coincidentally led to you.
[01:16:33.813 --> 01:16:34.833]  Hey, let's get this straight.
[01:16:34.833 --> 01:16:36.514]  I don't territorialize this info.
[01:16:36.514 --> 01:16:38.754]  I don't care who wakes who up.
[01:16:38.754 --> 01:16:42.555]  We have no future if we don't get on the ball now, brother.
[01:16:42.555 --> 01:16:43.055]  Definitely.
[01:16:44.625 --> 01:16:55.113]  I kind of wanted to touch on the 2008-2009 expectation things a little bit, but I kind of wanted to give a little backstory, and I know I'm limited time, I want to hurry up a little bit.
[01:16:55.113 --> 01:17:11.826]  Basically, I woke up with the Illuminati and started researching them and traced them back to the Knights Templar time, and they realized that they had to get someone in the Catholic Church because of their extensive reach.
[01:17:14.255 --> 01:17:24.722]  Now, I mean, there were secret societies going back to the Roman courts and before that there's all secret societies are the term for ancient intelligence agencies.
[01:17:24.722 --> 01:17:26.063]  Exactly.
[01:17:26.063 --> 01:17:41.933]  Um, uh, and then I stumbled upon a guy named John Todd, which, um, got into the, you know, how they're so dark and evil and which coincidentally led me to you with your Bohemian Grove video.
[01:17:41.933 --> 01:17:42.053]  Um,
[01:17:42.782 --> 01:17:43.082]  That's great.
[01:17:53.029 --> 01:18:01.134]  Yeah, because I only touch on what I can prove and what I know and what I've got power over.
[01:18:01.134 --> 01:18:03.076]  You know, what I can have an effect.
[01:18:03.076 --> 01:18:04.517]  I can stop drinking fluoridated water.
[01:18:04.517 --> 01:18:06.798]  I can not give my children mercury-laced vaccines.
[01:18:06.798 --> 01:18:09.660]  I can, you know, not drink GMO milk.
[01:18:09.660 --> 01:18:11.942]  I can try to eat organic.
[01:18:11.942 --> 01:18:14.784]  I can try to wake up the police and military and not carry out tyranny.
[01:18:14.784 --> 01:18:16.545]  I can try to expose Madoff.
[01:18:16.545 --> 01:18:17.526]  But flying saucers?
[01:18:17.526 --> 01:18:17.766]  You know.
[01:18:19.750 --> 01:18:22.674]  The worldwide economic collapse is here.
[01:18:22.674 --> 01:18:25.898]  The military is being positioned for martial law.
[01:18:25.898 --> 01:18:27.640]  The market of beast is at hand.
[01:18:27.640 --> 01:18:30.944]  Governments are calling for a new world cashless economic system.
[01:18:30.944 --> 01:18:34.549]  Having a long-term food solution is your only hope to stay free.
[01:18:35.610 --> 01:18:39.253]  Now, Survivalist Seeds introduces their Escape the Beast Kit.
[01:18:39.253 --> 01:18:42.635]  24 varieties of all-natural, non-genetically modified heirloom seeds.
[01:18:42.635 --> 01:18:45.497]  For true patriots and homesteaders wanting food insurance.
