[00:00.000 --> 00:29.800]  It's Monday, January 28th, 2019, as a giant polar vortex settles over the east coast.
[01:24:42.800 --> 01:24:44.800]  Now, see, 10 minutes ago, I said they're doing this on purpose.
[01:24:44.800 --> 01:24:49.800]  They're like, that's crazy, but then I start talking about the case for killing granny, Newsweek cover, Time Magazine.
[01:24:49.800 --> 01:24:50.800]  I start laying all this out.
[01:24:50.800 --> 01:24:51.800]  You go, oh, I remember that.
[01:24:51.800 --> 01:24:52.800]  I remember that.
[01:24:52.800 --> 01:24:56.800]  Yeah, that's what's going on, Jack.
[01:24:56.800 --> 01:25:02.800]  So they got hundreds of vaccines that aren't even vaccines that they want to put in your body.
[01:25:02.800 --> 01:25:11.800]  And they're just seeing how many people they can kill in name before you do anything because they know you'll statistically give in to them.
[01:25:11.800 --> 01:25:15.800]  You'll statistically adapt to everybody dying around you and just accept it.
[01:25:15.800 --> 01:25:17.800]  This is the mass culling.
[01:25:17.800 --> 01:25:20.800]  It's going on right now, ladies and gentlemen.
[01:25:20.800 --> 01:25:23.800]  You've been targeted.
[01:25:23.800 --> 01:25:36.800]  Diet, injections, and injunctions will make a rebellion of the proletariat like a rebellion of sheep against the practice of eating mutton.
[01:25:36.800 --> 01:25:38.800]  Mutton is sheep.
[01:25:38.800 --> 01:25:40.800]  That's Bertrand Russell.
[01:25:40.800 --> 01:25:43.800]  One of the main architects of this, I'm going to say it again.
[01:25:43.800 --> 01:25:49.800]  Diet, injections, and injunctions.
[01:25:49.800 --> 01:25:56.800]  Giving you bad food, giving you injections, lower IQ, and injunctions, the courts.
[01:25:56.800 --> 01:26:11.800]  Diet, injections, and injunctions will make a rebellion by the proletariat as impossible as that of sheep against the practice of eating mutton.
[01:26:11.800 --> 01:26:13.800]  And there's other quotes of him.
[01:26:13.800 --> 01:26:22.800]  He said we should have a world government that launches a nuclear war to cull the population so we never have another war.
[01:26:22.800 --> 01:26:25.800]  Along with H.G. Wells and along with Aldous Huxley.
[01:26:25.800 --> 01:26:26.800]  This is who they are.
[01:26:26.800 --> 01:26:32.800]  You might want to read what they plan because they've done it.
[01:26:32.800 --> 01:26:36.800]  They are psychotic demons.
[01:26:36.800 --> 01:26:37.800]  And that's where we stand.
[01:26:37.800 --> 01:26:40.800]  And that's why they want me off the air.
[01:26:40.800 --> 01:26:42.800]  And that's what they don't want you to hear.
[01:26:42.800 --> 01:26:43.800]  They don't want you to warn children.
[01:26:43.800 --> 01:26:47.800]  They don't want people to have the big picture.
[01:26:47.800 --> 01:26:51.800]  They want you to just quietly go get your kid brain damaged and you get your shots.
[01:26:51.800 --> 01:26:57.800]  You wonder why you get cancer when you're 45 and why cancer is up tens of thousands of percentage in children because they're murdering us.
[01:26:57.800 --> 01:27:00.800]  They're killing us.
[01:27:00.800 --> 01:27:04.800]  I had the family pediatrician who owned a bunch of clinics.
[01:27:04.800 --> 01:27:05.800]  He's retired now.
[01:27:05.800 --> 01:27:10.800]  In Austin, I just search engines, you know, years ago, places where they don't push vaccines.
[01:27:10.800 --> 01:27:12.800]  They still gave him if you wanted him.
[01:27:12.800 --> 01:27:14.800]  He called me aside.
[01:27:14.800 --> 01:27:15.800]  You grab him by the arm.
[01:27:15.800 --> 01:27:16.800]  I've told the story a hundred times.
[01:27:16.800 --> 01:27:22.800]  He said, okay, Alex.
[01:27:22.800 --> 01:27:25.800]  You know, doctors volunteer for city clinics every year.
[01:27:25.800 --> 01:27:28.800]  And I went down and they were giving the kids in East Austin.
[01:27:28.800 --> 01:27:29.800]  He grabbed him by the arm.
[01:27:29.800 --> 01:27:34.800]  He goes, they were giving him live polio vaccine from the 1960s.
[01:27:34.800 --> 01:27:36.800]  He goes, you know what that means?
[01:27:36.800 --> 01:27:40.800]  Because, you know, doctors like in their own world think everybody's dumb.
[01:27:40.800 --> 01:27:44.800]  I said, yeah, it means it was live and had SV 40 cancer virus.
[01:27:44.800 --> 01:27:47.800]  And he goes, it's more than that.
[01:27:47.800 --> 01:27:50.800]  Of course, he was thinking also sometimes live polio.
[01:27:50.800 --> 01:27:52.800]  He's just like, that's illegal.
[01:27:52.800 --> 01:28:00.800]  He goes, but you don't tell anybody my name, but you want them.
[01:28:00.800 --> 01:28:05.800]  See, they're all in their own cult too.
[01:28:05.800 --> 01:28:08.800]  And they tell them, well, there are some side effects, but for the greater good,
[01:28:08.800 --> 01:28:10.800]  civilization has been built by this.
[01:28:10.800 --> 01:28:12.800]  No, vaccines had nothing to do with it.
[01:28:12.800 --> 01:28:19.800]  Well, running water and sanitation and washing of clothes and screen doors.
[01:28:19.800 --> 01:28:22.800]  That's, you look at the numbers all over the industrialized world.
[01:28:22.800 --> 01:28:26.800]  When industrialization happens, that's when the disease stops spreading.
[01:28:26.800 --> 01:28:29.800]  Vaccines become ubiquitous by the 60s.
[01:28:29.800 --> 01:28:31.800]  Some of those diseases go back up.
[01:28:31.800 --> 01:28:32.800]  The curves are all like this.
[01:28:32.800 --> 01:28:34.800]  Australia, the U.S., everywhere.
[01:28:34.800 --> 01:28:38.800]  Because industrialized running water, sanitation, disease goes like this.
[01:28:38.800 --> 01:28:39.800]  Infectious disease.
[01:28:39.800 --> 01:28:42.800]  Then, vaccines come back, it starts going back up.
[01:28:42.800 --> 01:28:48.800]  Most of the stuff you get today is from illegal aliens or the vaccines actually giving it to you.
[01:28:48.800 --> 01:28:49.800]  Look it up yourself.
[01:28:49.800 --> 01:28:50.800]  Okay, I'm done.
[01:28:50.800 --> 01:28:52.800]  I've got huge news that just broke.
[01:28:52.800 --> 01:29:21.800]  On the other side, stay with us at FullWars.com.
[01:29:22.800 --> 01:29:24.800]  The States of Empire by James Dunn.
[01:29:24.800 --> 01:29:53.800]  Available at Amazon Books.
[01:29:54.800 --> 01:30:03.800]  You deserve a deep restful sleep with Knockout by InfoWarsLife.
[01:30:03.800 --> 01:30:10.800]  Our organic formula is made from high quality natural ingredients such as valerian root extract,
[01:30:10.800 --> 01:30:14.800]  L-tryptophan, lemon balm leaf extract, and melatonin.
[01:30:14.800 --> 01:30:19.800]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[01:30:19.800 --> 01:30:25.800]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life,
[01:30:25.800 --> 01:30:27.800]  we need to be able to keep up the pace.
[01:30:27.800 --> 01:30:35.800]  Our natural mixture harnesses the power of ten known ingredients to let your body relax and get the sleep you need.
[01:30:35.800 --> 01:30:37.800]  Wake up refreshed and take on the day.
[01:30:37.800 --> 01:30:45.800]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[01:30:45.800 --> 01:30:49.800]  Get the sleep you deserve and experience the power of Knockout.
[01:30:49.800 --> 01:30:53.800]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[01:30:53.800 --> 01:31:22.800]  That's InfoWarsLife.com.
[01:31:24.800 --> 01:31:30.800]  Simply take a packet, mix it into the indicated amount of water, and enjoy.
[01:31:30.800 --> 01:31:38.800]  With 14 servings per box for a two week or more supply, this is the formula to stock up on whenever you need a boost.
[01:31:38.800 --> 01:31:42.800]  Perfect for work, in the car, or at home.
[01:31:42.800 --> 01:31:45.800]  TurboForce is the ultimate answer to a sluggish day.
[01:31:45.800 --> 01:31:47.800]  Don't let your day slow you down.
[01:31:47.800 --> 01:31:57.800]  Perk Up with TurboForce at InfoWarsStore.com
[01:31:57.800 --> 01:31:59.800]  If you're not expanding, you're imploding.
[01:31:59.800 --> 01:32:01.800]  There is no set stasis.
[01:32:01.800 --> 01:32:02.800]  There is no managed system.
[01:32:02.800 --> 01:32:04.800]  There is no un-continuum.
[01:32:04.800 --> 01:32:07.800]  The continuum is always launching forward in the future.
[01:32:07.800 --> 01:32:10.800]  So, you support us and get creative and get fired up.
[01:32:10.800 --> 01:32:12.800]  We won't just be here a hundred years, we'll be here forever.
[01:32:12.800 --> 01:32:19.800]  We'll turn the whole thing around. Our grandchildren on Mars bases and jump bases, and God knows what, are going to look back and say,
[01:32:19.800 --> 01:32:21.800]  we struggled here, we made it.
[01:32:21.800 --> 01:32:23.800]  And that's really where this goes.
[01:32:23.800 --> 01:32:25.800]  God's got a big war for you, Reddy.
[01:32:25.800 --> 01:32:32.800]  And so, if you can't face George Soros and Hillary Clinton and Adolf Hitler and Mao Zedong, are you going to really be able to face the other stuff?
[01:32:32.800 --> 01:32:37.800]  Because God wants warriors that are smart and are ready to build things and are also ready to fight.
[01:32:37.800 --> 01:32:40.800]  You don't go to the next level without getting a big weight put on your back.
[01:32:40.800 --> 01:32:42.800]  And, I mean, I don't know what's going to happen to me in the future.
[01:32:42.800 --> 01:32:46.800]  I mean, all I know is, I want to go with the master built.
[01:32:46.800 --> 01:32:47.800]  I want to go to the next level.
[01:32:47.800 --> 01:32:51.800]  I want to be with the spirit that I've experienced, not these devil worshipers.
[01:32:51.800 --> 01:32:54.800]  They're cold and failed and feels like being in a tomb.
[01:32:54.800 --> 01:33:19.800]  I want life. I want Jesus.
[01:33:19.800 --> 01:33:24.800]  Big Brother, mainstream media, government cover-ups.
[01:33:24.800 --> 01:33:27.800]  You want to stop tyranny? Well, so does he.
[01:33:27.800 --> 01:33:32.800]  Live from the Infowars.com studios, it's Alex Jones.
[01:33:32.800 --> 01:33:40.800]  Okay, I'm going to open the phones up for first-time callers, long-time callers, whatever you want to get into.
[01:33:40.800 --> 01:33:44.800]  Trump's set to declare an emergency in 20 days.
[01:33:44.800 --> 01:33:47.800]  The indictment of Roger Stone.
[01:33:47.800 --> 01:33:50.800]  The record chill blasting down with the horrible global warming.
[01:33:50.800 --> 01:33:52.800]  I'm being sarcastic.
[01:33:52.800 --> 01:33:53.800]  All these subjects.
[01:33:53.800 --> 01:33:55.800]  George Soros saying he's betting against China.
[01:33:55.800 --> 01:33:56.800]  I haven't gotten to that yet in detail.
[01:33:56.800 --> 01:33:57.800]  I mentioned it yesterday.
[01:33:57.800 --> 01:33:59.800]  I really want to spend some time on that.
[01:33:59.800 --> 01:34:01.800]  I'll get to that some next hour.
[01:34:01.800 --> 01:34:03.800]  It's very, very important.
[01:34:03.800 --> 01:34:04.800]  There's a lot here.
[01:34:04.800 --> 01:34:06.800]  Venezuela teetering on the edge of collapse.
[01:34:06.800 --> 01:34:10.800]  France teetering on the edge of collapse.
[01:34:10.800 --> 01:34:17.800]  But I just spent an hour plus getting into vaccines.
[01:34:17.800 --> 01:34:24.800]  That just means big pharma and big governments setting the precedent to inject something in your body.
[01:34:24.800 --> 01:34:27.800]  They got hundreds of things they want to put in you.
[01:34:27.800 --> 01:34:30.800]  They got a long history of secretly testing on you.
[01:34:30.800 --> 01:34:34.800]  And we know every metric shows they're killing us.
[01:34:34.800 --> 01:34:37.800]  So what are we going to do about it?
[01:34:37.800 --> 01:34:41.800]  When this broadcast is done today, we'll archive these videos, m4wars.com.
