[00:00:00.458 --> 00:00:03.860]  Humanity is on a collision course with a horrific end.
[01:40:15.833 --> 01:40:21.815]  It is not easy what you do to put yourself on the line like you do for everybody, for the entire world.
[01:40:21.815 --> 01:40:22.736]  It's not easy.
[01:40:22.736 --> 01:40:29.358]  The stuff they come at you with, the things they say about you, it's not... No one should have to deal with that, so thank you for doing that.
[01:40:29.978 --> 01:40:32.619]  Could it take a great man to do something like that?
[01:40:51.801 --> 01:40:55.522]  So, Canada, they're taking over up here, man.
[01:40:55.522 --> 01:40:59.643]  Recently, they've just introduced, they want to take all our guns away.
[01:40:59.643 --> 01:41:05.684]  Euthanasia, pedophilia, world government, forced injections.
[01:41:05.684 --> 01:41:08.005]  I mean, it's just, it's taking the guns away.
[01:41:08.005 --> 01:41:09.665]  It's just all there.
[01:41:09.665 --> 01:41:19.888]  March 17th of next year, Canada officially lets anyone with a mental disability, whether it's depression, anything, take their own life.
[01:41:21.849 --> 01:41:25.930]  And let's be clear, that's the government encouraging them to do it.
[01:41:25.930 --> 01:41:32.573]  And what is so shocking when Trudeau said, they said, what do you admire most in the world?
[01:41:32.573 --> 01:41:33.153]  He said, dictatorship.
[01:41:33.153 --> 01:41:33.933]  I want to be a dictator.
[01:41:44.532 --> 01:41:45.833]  It's funny you say that.
[01:41:45.833 --> 01:41:51.519]  One of the big theories up here in Canada is that he's actually Fidel Castro's son.
[01:41:51.519 --> 01:41:56.004]  If you look at pictures of Trudeau next to Castro, they look identical.
[01:41:56.004 --> 01:41:58.086]  Their parents used to go to Cuba all the time.
[01:41:58.086 --> 01:41:59.648]  No, I see that all the time.
[01:41:59.648 --> 01:42:04.273]  You know, his dad was a pro-communist just as bad as Fidel, so apples don't fall too far from the tree.
[01:42:05.307 --> 01:42:06.127]  But here's the thing.
[01:42:06.127 --> 01:42:11.189]  If they can do it to us here in Canada, they're coming for you guys.
[01:42:11.189 --> 01:42:13.490]  The government's going to come for every gun you own.
[01:42:13.490 --> 01:42:17.992]  The government's going to come for everything until you're a good little servant.
[01:42:17.992 --> 01:42:21.674]  And without people like you, Mr. Jones, we won't win this fight.
[01:42:21.674 --> 01:42:32.658]  But I truly believe that when people open their eyes and start listening to the truth, listening to things that you have to say, and Owen and other people, you know, you're exposing them.
[01:42:33.436 --> 01:42:35.718]  But the truth's in front of us.
[01:42:35.718 --> 01:42:36.859]  It's laid out.
[01:42:36.859 --> 01:42:38.080]  There's nothing else to say.
[01:42:38.080 --> 01:42:38.961]  It's happening.
[01:42:38.961 --> 01:42:40.402]  You've been saying it's going to happen.
[01:42:40.402 --> 01:42:40.782]  Well, guess what?
[01:42:40.782 --> 01:42:41.243]  It's too late.
[01:42:41.243 --> 01:42:43.325]  We can't prevent it now.
[01:42:43.325 --> 01:42:44.326]  No one wanted to live.
[01:42:44.326 --> 01:42:45.066]  No, you're right.
[01:42:45.066 --> 01:42:48.329]  We're now inside world government that wants to depopulate us.
[01:42:48.329 --> 01:42:53.073]  Bill Gates says he wants to kill the majority of humans, but he's got a shot he wants you to take because he loves you so much.
[01:42:53.073 --> 01:42:53.794]  Thank you, Andrew.
[01:42:53.794 --> 01:42:54.474]  All right.
[01:42:54.474 --> 01:42:55.856]  I'm going to take five, six calls next segment.
[01:42:55.856 --> 01:42:57.097]  I'm going to shut up and go to your calls.
[01:42:58.908 --> 01:43:05.870]  It's hard to believe sometimes that we are still live on air, broadcasting free worldwide.
[01:43:05.870 --> 01:43:11.072]  And it seems quite real that things can change in an instant.
[01:43:11.072 --> 01:43:18.094]  Things are getting very weird, and it's definitely more difficult than ever to even know what's going on.
[01:43:18.094 --> 01:43:21.255]  But we'll keep doing our best, so long as you keep us on the air.
[01:43:22.175 --> 01:43:26.317]  And you can do that now at InfoWarStore.com.
[01:43:26.317 --> 01:43:32.779]  Help us clear out our stock of bodies' turmeric, vitamin C with zinc, and alpha power.
[01:43:32.779 --> 01:43:40.202]  Turn those shady Federal Reserve notes into the highest quality supplements available while they still last.
[01:43:40.202 --> 01:43:43.423]  Now, with free shipping.
[01:43:43.423 --> 01:43:45.724]  We thank you for your support.
[01:43:45.724 --> 01:43:49.666]  And we wish you a very peaceful, happy, and Merry Christmas.
[01:43:58.718 --> 01:44:05.663]  The powerful combination of both vitamin C and zinc are great stepping stones to leading a healthier life.
[01:44:05.663 --> 01:44:11.527]  InfoWars has made it easier to make sure you are getting enough in your system with a supplement that contains both.
[01:44:11.527 --> 01:44:17.891]  This InfoWars Life Offering Vitamin C Plus Zinc with Rose Hips should be your next purchase from the InfoWars store.
[01:44:18.211 --> 01:44:25.436]  The rose hips contained within are a part of the rose flower just below the petals that contain the rose plant seeds.
[01:44:25.436 --> 01:44:35.724]  Natural chemicals found in the hips may even be helpful for a variety of health conditions, including those with osteoarthritis and for those with pain after surgery, studies have shown.
[01:44:36.144 --> 01:44:45.127]  As for vitamin C and zinc themselves, you probably already know that they play an important role in nutrition, immune defense, and the maintenance of your everyday health.
[01:44:45.127 --> 01:44:51.709]  It has been reported that intake of both is often inadequate, even in affluent populations like here in America.
[01:44:51.709 --> 01:44:58.292]  So next time you visit, be sure to check it out at InfoWarsStore.com, where we promise our rose hips don't lie.
[01:44:58.292 --> 01:44:58.772]  Look at that.
[01:44:58.772 --> 01:45:02.953]  Everybody else is just like yellow or clear, and that's because it's been denatured.
[01:45:02.953 --> 01:45:04.153]  It's been watered down.
[01:45:04.153 --> 01:45:04.894]  We didn't do that.
[01:45:06.548 --> 01:45:11.090]  You think I would metaphysically sell you something that is the very best I can get?
[01:45:11.090 --> 01:45:13.311]  I'd rather go to hell than do that.
[01:45:13.311 --> 01:45:22.334]  I will only give you the maximum best info, the maximum truth, the maximum product, because I want that goodwill!
[01:45:22.334 --> 01:45:24.075]  What I do to you, I do to myself.
[01:45:24.075 --> 01:45:25.876]  Don't you get the big secret?
[01:45:25.876 --> 01:45:28.337]  You ever seen fish oil look like that?
[01:45:28.337 --> 01:45:30.298]  No, you've never seen that, have you?
[01:45:30.298 --> 01:45:33.119]  And this little jewel right here is solid.
[01:45:40.774 --> 01:45:42.254]  Look it up!
[01:45:42.254 --> 01:45:48.276]  Find out how even the FDA and the government admits fish oil is incredible.
[01:45:48.276 --> 01:45:53.618]  The number one thing anybody can do for themselves is take good fish oil or krill oil.
[01:45:53.618 --> 01:45:56.339]  Just like our information is dynamite, so are our products in 4store.com.
[01:45:58.280 --> 01:46:00.501]  It's a post-COVID world now.
[01:46:00.501 --> 01:46:04.524]  Americans have lost trust in their doctors and the health care system.
[01:46:04.524 --> 01:46:05.844]  There's a solution.
[01:46:05.844 --> 01:46:06.845]  The Wellness Company.
[01:46:06.845 --> 01:46:10.147]  I'm Dr. Peter McCullough, and I'm the Chief Scientific Officer.
[01:46:10.147 --> 01:46:17.351]  And I can tell you firsthand that these verticals of uncensored content, virtual appointments, doctors on demand,
[01:46:17.611 --> 01:46:43.669]  Prescriptions through a network of community pharmacies, in-home, in vitro diagnostics, laboratory testing, imaging, an online set of holistic products can help guide you for your usual general medical care, but also COVID-19, acute and post-COVID syndromes, vaccine injury syndromes, and the array of things that now America has to work through in this new
[01:46:44.768 --> 01:46:45.269]  I think so.
[01:47:12.243 --> 01:47:14.385]  All right, Nick Fuentes is coming up in about 15 minutes.
[01:47:14.385 --> 01:47:17.708]  Let's go right to your phone calls here on the Alex Jones Show.
[01:47:17.708 --> 01:47:20.630]  Brad in Pennsylvania, you're on the air.
[01:47:20.630 --> 01:47:22.912]  Alex, thanks for taking my call.
[01:47:22.912 --> 01:47:24.153]  Great show today as usual.
[01:47:24.153 --> 01:47:25.414]  You're on fire.
[01:47:25.414 --> 01:47:27.375]  You're the tip of the spear, man.
[01:47:27.375 --> 01:47:27.916]  Love you.
[01:47:27.916 --> 01:47:28.176]  Love you.
[01:47:29.269 --> 01:47:31.632]  Hey, DeSantis is the real deal.
[01:47:31.632 --> 01:47:33.274]  There's no question about it.
[01:47:33.274 --> 01:47:40.643]  Everything he does is quietly, just quietly keeps moving forward with promoting liberty and freedom.
[01:47:40.643 --> 01:47:41.404]  I'll say it.
[01:47:41.404 --> 01:47:42.986]  I find no fault with this man.
[01:47:42.986 --> 01:47:44.308]  He just is incredible.
[01:47:44.308 --> 01:47:47.832]  Now you're paneling a statewide grand jury to prosecute the drug makers?
[01:47:47.832 --> 01:47:48.233]  Yeah!
[01:47:49.258 --> 01:47:55.562]  Yeah, I mean, and we know, back to your point on Fauci, he's guilty of sin for years.
[01:47:55.562 --> 01:47:59.785]  They try to defend him because he's deep state, but he is done.
[01:47:59.785 --> 01:48:01.606]  He's cooked, and history's going to...
[01:48:02.498 --> 01:48:03.919]  Well, here's the key to it all.
[01:48:03.919 --> 01:48:06.781]  Here's the key to it all, Brad, in my view.
[01:48:32.738 --> 01:48:36.322]  It's okay for Trump to be stampeded into this to open the economy.
[01:48:36.322 --> 01:48:37.683]  They lied to him.
[01:48:37.683 --> 01:48:39.445]  It's okay that DeSantis got stampeded.
[01:48:39.445 --> 01:48:44.850]  You've got to come out when the evidence is there and say it's wrong, like Rand Paul got stampeded at first.
[01:48:44.850 --> 01:48:47.333]  But he came out and said he was wrong and they're bad.
[01:48:47.333 --> 01:48:48.314]  To not do that...
[01:48:49.014 --> 01:48:50.015]  Makes you deep state.
[01:48:50.015 --> 01:48:51.255]  I'm not saying Trump is deep state.
[01:48:51.255 --> 01:48:53.397]  I still care about Trump, but he's so pig-headed.
[01:48:53.397 --> 01:49:01.001]  But now, I warned Trump, this is all going to be blamed on you, and now you have the head of the CDC and others saying, yeah, we lied to you.
[01:49:01.001 --> 01:49:02.281]  Yeah, we knew the shot wouldn't work.
[01:49:02.281 --> 01:49:03.462]  Well, they lied to Trump.
[01:49:03.462 --> 01:49:07.044]  He should be burning them while there's still time, because that's what matters.
[01:49:07.044 --> 01:49:13.848]  If Trump comes out against the shot, we'll go over the top and we'll get Fauci and Daszak and Bill Gates arrested.
[01:49:13.848 --> 01:49:15.429]  But it's going to happen regardless now.
[01:49:15.429 --> 01:49:17.150]  You can see the momentum, I can tell you.
[01:49:17.910 --> 01:49:22.013]  So, Galatians 4, 21-31 says that the unbelieving Jews, not the believing Jews, but the unbelieving Jews, are our persecutors.
[01:49:47.574 --> 01:49:55.837]  This actually explains a lot of what you see in the world, how they want to destroy the West, because to them they think the West is Christianity.
[01:49:55.837 --> 01:49:58.378]  Do you want me to put you on hold for when Nick Fuentes is on?
[01:49:58.378 --> 01:50:00.279]  Because I'm sure he wants to go where you're going.
[01:50:00.279 --> 01:50:03.280]  That way you can have more time, or do you want to finish up now?
[01:50:03.280 --> 01:50:06.642]  I mean, yeah, it's fine to go on with Nick Fuentes.
[01:50:06.642 --> 01:50:07.682]  We'll put you on hold.
[01:50:07.682 --> 01:50:09.503]  We'll take calls when Nick's on.
[01:50:09.503 --> 01:50:10.643]  So stay there.
[01:50:10.643 --> 01:50:12.904]  Don't hang up.
[01:50:12.904 --> 01:50:15.946]  Okay, up next is James from Indiana.
[01:50:15.946 --> 01:50:16.466]  Go ahead, James.
[01:50:17.887 --> 01:50:22.088]  Hey, there's news out of Montana of a veteran parking lot suicide that just faded in the wind.
[01:50:22.088 --> 01:50:24.909]  These are institutional failures as grievances are ignored.
[01:50:24.909 --> 01:50:25.989]  The IG is about worthless.
[01:50:25.989 --> 01:50:28.210]  They put out all types of reports of government failures.
