[00:00.000 --> 00:20.000]  InferWars, the most banned network in the world.
[1:12:47.000 --> 1:13:02.000]  In the towns that refuse the inoculation, because the town elders are there's video throwing out the U.N. injectors. They're having their power cut off for not taking the voluntary injections.
[1:13:02.000 --> 1:13:16.000]  And it's all over the news that they're going to start doing similar things here in the United States. They're announcing, according to your phone number and who you are, they're going to come to your house and we haven't been shot up.
[1:13:16.000 --> 1:13:28.000]  Remember the contact tracers? Remember the Clinton Global Initiative last year? Now they're coming to your house because you haven't had the shot. And in the future, they're going to come and drag your ass out.
[1:13:28.000 --> 1:13:44.000]  We cannot continue to rely only on our military in order to achieve the national security objectives that we've set. We've got to have a civilian national security force that's just as powerful, just as strong, just as well funded.
[1:13:44.000 --> 1:13:47.000]  Door-to-door outreach to get remaining Americans vaccinated.
[1:14:14.000 --> 1:14:25.000]  Well, ladies and gentlemen, if you sign up for our free news and show alerts, you can then take those alerts, those articles and those live feeds, both the regular shows and special reports and share them with everyone you know.
[1:14:25.000 --> 1:14:44.000]  Take action now by texting the word NEWS to 833-470-0438. That's 833-470-0438 for info or emergency news alerts or text the word SHOW to 833-470-0438 and receive live show notifications.
[1:14:44.000 --> 1:14:55.000]  Take action now. Rate the chain reaction until others to share those texts. Get news alerts at 833-470-0438.
[1:15:14.000 --> 1:15:24.000]  If you are old, whether you are Hispanic, white, black, it doesn't matter, you've got red blood. And if you love freedom and justice, and if you love our innocent children, we are brothers and sisters together.
[1:15:24.000 --> 1:15:32.000]  And it has just been an incredible experience to work with you over the years. And as crazy as things are, I want to keep working under the future.
[1:15:32.000 --> 1:15:40.000]  But again, that's really up to you and up to God. So please, I hope God works through you and puts a message in your heart to support us.
[1:15:40.000 --> 1:15:47.000]  But again, that's up to you and your relationship with God. I just want to thank you all for the years of support you've given us and what you've done.
[1:15:47.000 --> 1:15:55.000]  And just ask you again to pray to God and ask what God's vision is for you. And hopefully God will touch your heart to continue to support Him for the worst. God bless.
[1:15:55.000 --> 1:16:05.000]  As men age, they often experience a slowdown in vitality, energy and overall wellness.
[1:16:05.000 --> 1:16:13.000]  And that's why we made one of our most popular formulas to date. Super male vitality.
[1:16:13.000 --> 1:16:22.000]  Specifically designed to assist the body in regulating proper balance to create superior vitality in males.
[1:16:22.000 --> 1:16:33.000]  Now look, this unique formula promotes your body's own natural responses and it contains no synthetic chemicals and no unwanted additives.
[1:16:33.000 --> 1:16:45.000]  Yes, we're talking about ancient wisdom combined with modern technology, working together in perfect sacredicity to help you get the most out of this herb-packed formula.
[1:16:45.000 --> 1:16:58.000]  So what are you waiting for? Go to the InfoWars store. Never been a better time than right now. Super male vitality at InfoWarsStore.com.
[1:16:58.000 --> 1:17:07.000]  You're listening to the Alex Jones Show.
[1:17:07.000 --> 1:17:31.000]  Big Brother, mainstream media, government cover-ups. You want to stop tyranny? Well, so does he. Live from the InfoWars.com studios, it's Alex Jones.
[1:17:31.000 --> 1:17:40.000]  So 125 years ago or so, Cecil Rhodes published several big books. You can go out there and look them up and you can buy them today.
[1:17:40.000 --> 1:17:46.000]  And he wanted the British Empire model to go worldwide and be corporate so there wasn't a flag over it.
[1:17:46.000 --> 1:17:54.000]  And he talked about the different things they needed to control people. A world court, a world army, a license to be able to travel, a license to be able to do business,
[1:17:54.000 --> 1:17:59.000]  and they could have a centralized world government through corporations combining their forces together.
[1:17:59.000 --> 1:18:04.000]  Well, now the Patriot Act that we warned of 20 years ago is used against the American people.
[1:18:04.000 --> 1:18:09.000]  And now you've got members of Congress and others on no fly list, no judge, no jury, you can't get on an airplane.
[1:18:09.000 --> 1:18:19.000]  Not a watch list where they harass you, can't get on an airplane. And now Pelosi says, oh, I'm announcing just a new federal bureaucracy,
[1:18:19.000 --> 1:18:33.000]  a new Victorian guard that will set up offices all over the country starting in California and Florida. It's already happening that are going to hunt down critics of Congress after the great insurrection.
[1:18:33.000 --> 1:18:47.000]  And they are calls for arrest of myself and Nick Fuentes only intensifies. So Nick Fuentes is in Texas today and could Nick Fuentes fly here from his native city of Chicago?
[1:18:47.000 --> 1:18:52.000]  And the answer is, well, he'll give you that answer, but a real cherry on top.
[1:18:52.000 --> 1:19:01.000]  They're trying to shut down gab because it's like the rest Internet was just four years ago, three years ago allows everybody on there as long as you're not being illegal or porn or threats of murder.
[1:19:01.000 --> 1:19:12.000]  And now even the governor of Texas wants to shut down. The ADL wants to shut down. Well, Nick Fuentes America first because he's articulate and he's smart and he's popular.
[1:19:12.000 --> 1:19:24.000]  Well, is he allowed to fly? Because, you know, several months ago, he tried to fly to Florida in a big tech demonstration, calling for the governor to pass the law, which he did, which a federal court just overturned, by the way.
[1:19:24.000 --> 1:19:34.000]  Nick was just trying to fly to exercise his first amendment, you know, America's not a police state. Well, was he able to fly to Austin? Nick Fuentes, great to have you in studio.
[1:19:34.000 --> 1:19:43.000]  Yeah, great to be with you. Thanks for having me to answer your question. No, I was not allowed to fly down here to Austin. And that's right. This all started in late April.
[1:19:43.000 --> 1:19:52.000]  I tried to get down to Florida for a small demonstration. We planned to do a press conference to demonstrate in favor of Governor Ron DeSantis big tech law.
[1:19:52.000 --> 1:20:05.000]  And I found out the day of I arrived at the airport early in the morning, tried to get on the plane, tried to actually couldn't even get a boarding pass, tried to get my boarding pass and was told that the security gate that I wasn't allowed to fly.
[1:20:05.000 --> 1:20:16.000]  And I tried three different airlines, two different airports throughout the day, different destinations. And the answer was the same. I called the TSA and they told me that they don't even confirm or deny whether or not you're on the list.
[1:20:16.000 --> 1:20:27.000]  You just basically have to assume if you can't fly. That's total Kafkaesque where you'd like. This is a social credit score. Yes, it's no different. It's no different than what they have in China.
